,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,3,0,0
1,2020-03-20T00:00:00.000Z,3,0,0
2,2020-03-21T00:00:00.000Z,4,0,0
3,2020-03-22T00:00:00.000Z,4,0,0
4,2020-03-23T00:00:00.000Z,4,0,0
5,2020-03-24T00:00:00.000Z,4,0,0
6,2020-03-25T00:00:00.000Z,4,0,0
7,2020-03-26T00:00:00.000Z,5,0,0
8,2020-03-27T00:00:00.000Z,5,0,0
9,2020-03-28T00:00:00.000Z,5,0,0
10,2020-03-29T00:00:00.000Z,7,0,0
11,2020-03-30T00:00:00.000Z,7,0,0
12,2020-03-31T00:00:00.000Z,8,0,0
13,2020-04-01T00:00:00.000Z,9,0,0
14,2020-04-02T00:00:00.000Z,9,0,0
15,2020-04-03T00:00:00.000Z,10,0,0
16,2020-04-04T00:00:00.000Z,10,0,0
17,2020-04-05T00:00:00.000Z,11,0,0
18,2020-04-06T00:00:00.000Z,11,0,0
19,2020-04-07T00:00:00.000Z,16,0,0
20,2020-04-08T00:00:00.000Z,24,0,1
21,2020-04-09T00:00:00.000Z,24,3,1
22,2020-04-10T00:00:00.000Z,28,6,1
23,2020-04-11T00:00:00.000Z,29,7,2
24,2020-04-12T00:00:00.000Z,29,7,2
25,2020-04-13T00:00:00.000Z,54,7,2
26,2020-04-14T00:00:00.000Z,54,7,2
27,2020-04-15T00:00:00.000Z,77,7,2
28,2020-04-16T00:00:00.000Z,91,7,2
29,2020-04-17T00:00:00.000Z,109,10,3
30,2020-04-18T00:00:00.000Z,147,12,4
31,2020-04-19T00:00:00.000Z,185,12,4
32,2020-04-20T00:00:00.000Z,215,16,5
33,2020-04-21T00:00:00.000Z,243,16,5
34,2020-04-22T00:00:00.000Z,272,18,5
35,2020-04-23T00:00:00.000Z,310,19,5
36,2020-04-24T00:00:00.000Z,351,21,5
37,2020-04-25T00:00:00.000Z,379,22,5
38,2020-04-26T00:00:00.000Z,406,22,5
39,2020-04-27T00:00:00.000Z,439,22,5
40,2020-04-28T00:00:00.000Z,467,25,5
41,2020-04-29T00:00:00.000Z,498,53,5
42,2020-04-30T00:00:00.000Z,536,73,5
43,2020-05-01T00:00:00.000Z,566,73,5
44,2020-05-02T00:00:00.000Z,595,99,7
45,2020-05-03T00:00:00.000Z,629,117,7
46,2020-05-04T00:00:00.000Z,668,122,7
47,2020-05-05T00:00:00.000Z,699,172,7
48,2020-05-06T00:00:00.000Z,738,204,7
49,2020-05-07T00:00:00.000Z,781,234,7
50,2020-05-08T00:00:00.000Z,821,256,7
51,2020-05-09T00:00:00.000Z,862,345,7
52,2020-05-10T00:00:00.000Z,896,345,7
53,2020-05-11T00:00:00.000Z,935,365,7
54,2020-05-12T00:00:00.000Z,977,407,7
55,2020-05-13T00:00:00.000Z,1023,421,7
56,2020-05-14T00:00:00.000Z,1074,451,7
57,2020-05-15T00:00:00.000Z,1126,497,7
58,2020-05-16T00:00:00.000Z,1176,503,9
59,2020-05-17T00:00:00.000Z,1223,547,9
60,2020-05-18T00:00:00.000Z,1273,573,9
61,2020-05-19T00:00:00.000Z,1325,577,9
62,2020-05-20T00:00:00.000Z,1380,617,9
63,2020-05-21T00:00:00.000Z,1444,641,9
64,2020-05-22T00:00:00.000Z,1509,655,9
65,2020-05-23T00:00:00.000Z,1572,678,10
66,2020-05-24T00:00:00.000Z,1633,691,10
67,2020-05-25T00:00:00.000Z,1698,708,10
68,2020-05-26T00:00:00.000Z,1760,759,10
69,2020-05-27T00:00:00.000Z,1827,803,10
70,2020-05-28T00:00:00.000Z,1890,843,11
71,2020-05-29T00:00:00.000Z,1959,925,11
72,2020-05-30T00:00:00.000Z,2018,958,11
73,2020-05-31T00:00:00.000Z,2081,1002,11
74,2020-06-01T00:00:00.000Z,2142,1017,12
75,2020-06-02T00:00:00.000Z,2209,1083,12
76,2020-06-03T00:00:00.000Z,2273,1169,13
77,2020-06-04T00:00:00.000Z,2333,1211,14
78,2020-06-05T00:00:00.000Z,2398,1292,15
79,2020-06-06T00:00:00.000Z,2468,1296,16
80,2020-06-07T00:00:00.000Z,2537,1301,17
81,2020-06-08T00:00:00.000Z,2596,1314,17
82,2020-06-09T00:00:00.000Z,2661,1382,18
83,2020-06-10T00:00:00.000Z,2733,1402,18
84,2020-06-11T00:00:00.000Z,2804,1439,19
85,2020-06-12T00:00:00.000Z,2869,1443,19
86,2020-06-13T00:00:00.000Z,2938,1455,19
87,2020-06-14T00:00:00.000Z,3009,1458,19
88,2020-06-15T00:00:00.000Z,3083,1471,19
89,2020-06-16T00:00:00.000Z,3153,1506,19
90,2020-06-17T00:00:00.000Z,3226,1564,20
91,2020-06-18T00:00:00.000Z,3294,1634,21
92,2020-06-19T00:00:00.000Z,3372,1682,22
93,2020-06-20T00:00:00.000Z,3447,1762,23
94,2020-06-21T00:00:00.000Z,3524,1829,23
95,2020-06-22T00:00:00.000Z,3590,1837,23
96,2020-06-23T00:00:00.000Z,3669,1894,24
97,2020-06-24T00:00:00.000Z,3752,2011,26
98,2020-06-25T00:00:00.000Z,3824,2040,27
99,2020-06-26T00:00:00.000Z,3899,2048,28
100,2020-06-27T00:00:00.000Z,3978,2063,28
101,2020-06-28T00:00:00.000Z,4063,2123,28
102,2020-06-29T00:00:00.000Z,4140,2134,28
103,2020-06-30T00:00:00.000Z,4221,2161,29
104,2020-07-01T00:00:00.000Z,4300,2182,29
105,2020-07-02T00:00:00.000Z,4386,2200,29
106,2020-07-03T00:00:00.000Z,4481,2213,30
107,2020-07-04T00:00:00.000Z,4555,2223,30
108,2020-07-05T00:00:00.000Z,4644,2228,30
109,2020-07-06T00:00:00.000Z,4726,2249,32
110,2020-07-07T00:00:00.000Z,4820,2280,33
111,2020-07-08T00:00:00.000Z,4918,2402,34
112,2020-07-09T00:00:00.000Z,5014,2513,35
113,2020-07-10T00:00:00.000Z,5114,2562,36
114,2020-07-11T00:00:00.000Z,5217,2628,37
115,2020-07-12T00:00:00.000Z,5311,2649,42
116,2020-07-13T00:00:00.000Z,5432,2675,42
117,2020-07-14T00:00:00.000Z,5539,2701,43
118,2020-07-15T00:00:00.000Z,5637,2796,43
119,2020-07-16T00:00:00.000Z,5754,2929,44
120,2020-07-17T00:00:00.000Z,5873,3050,46
121,2020-07-18T00:00:00.000Z,5986,3098,48
122,2020-07-19T00:00:00.000Z,6088,3201,49
123,2020-07-20T00:00:00.000Z,6208,3228,51
124,2020-07-21T00:00:00.000Z,6334,3300,52
125,2020-07-22T00:00:00.000Z,6457,3377,52
126,2020-07-23T00:00:00.000Z,6584,3608,52
127,2020-07-24T00:00:00.000Z,6714,3840,52
128,2020-07-25T00:00:00.000Z,6851,3973,52
129,2020-07-26T00:00:00.000Z,6973,4101,52
130,2020-07-27T00:00:00.000Z,7091,4246,53
131,2020-07-28T00:00:00.000Z,7192,4361,55
132,2020-07-29T00:00:00.000Z,7312,4473,57
133,2020-07-30T00:00:00.000Z,7428,4603,58
134,2020-07-31T00:00:00.000Z,7540,4721,59
135,2020-08-01T00:00:00.000Z,7650,4842,61
136,2020-08-02T00:00:00.000Z,7759,5001,61
137,2020-08-03T00:00:00.000Z,7861,5207,63
138,2020-08-04T00:00:00.000Z,7961,5357,65
139,2020-08-05T00:00:00.000Z,8058,5483,67
140,2020-08-06T00:00:00.000Z,8178,5609,69
141,2020-08-07T00:00:00.000Z,8280,5716,71
142,2020-08-08T00:00:00.000Z,8378,5816,73
143,2020-08-09T00:00:00.000Z,8469,5911,73
144,2020-08-10T00:00:00.000Z,8556,6001,73
145,2020-08-11T00:00:00.000Z,8634,6157,73
146,2020-08-12T00:00:00.000Z,8723,6348,75
147,2020-08-13T00:00:00.000Z,8804,6509,76
148,2020-08-14T00:00:00.000Z,8874,6623,77
149,2020-08-15T00:00:00.000Z,8950,6708,79
150,2020-08-16T00:00:00.000Z,9014,6802,79
151,2020-08-17T00:00:00.000Z,9086,6910,81
152,2020-08-18T00:00:00.000Z,9159,7002,83
153,2020-08-19T00:00:00.000Z,9229,7103,83
154,2020-08-20T00:00:00.000Z,9304,7208,83
155,2020-08-21T00:00:00.000Z,9375,7298,83
156,2020-08-22T00:00:00.000Z,9443,7367,83
157,2020-08-23T00:00:00.000Z,9525,7389,83
158,2020-08-24T00:00:00.000Z,9593,7423,83
159,2020-08-25T00:00:00.000Z,9718,7505,84
160,2020-08-26T00:00:00.000Z,9795,7609,85
161,2020-08-27T00:00:00.000Z,9860,7694,86
162,2020-08-28T00:00:00.000Z,9910,7769,87
163,2020-08-29T00:00:00.000Z,9972,7841,87
164,2020-08-30T00:00:00.000Z,10033,7903,89
165,2020-08-31T00:00:00.000Z,10101,7945,90
166,2020-09-01T00:00:00.000Z,10150,8002,91
167,2020-09-02T00:00:00.000Z,10236,8092,92
168,2020-09-03T00:00:00.000Z,10309,8167,93
169,2020-09-04T00:00:00.000Z,10369,8229,93
170,2020-09-05T00:00:00.000Z,10419,8288,93
171,2020-09-06T00:00:00.000Z,10472,8348,93
172,2020-09-07T00:00:00.000Z,10519,8400,93
173,2020-09-08T00:00:00.000Z,10576,8462,94
174,2020-09-09T00:00:00.000Z,10638,8462,94
175,2020-09-10T00:00:00.000Z,10705,8591,95
176,2020-09-11T00:00:00.000Z,10782,8703,95
177,2020-09-12T00:00:00.000Z,10854,8790,95
178,2020-09-13T00:00:00.000Z,10923,8815,95
179,2020-09-14T00:00:00.000Z,10993,8841,96
180,2020-09-15T00:00:00.000Z,11059,8920,97
181,2020-09-16T00:00:00.000Z,11126,8990,99
182,2020-09-17T00:00:00.000Z,11187,9057,101
183,2020-09-18T00:00:00.000Z,11255,9119,101
