,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,3,0,0
1,2020-03-20T00:00:00.000Z,5,0,0
2,2020-03-21T00:00:00.000Z,5,0,0
3,2020-03-22T00:00:00.000Z,7,0,0
4,2020-03-23T00:00:00.000Z,7,0,0
5,2020-03-24T00:00:00.000Z,7,0,0
6,2020-03-25T00:00:00.000Z,7,0,0
7,2020-03-26T00:00:00.000Z,7,0,0
8,2020-03-27T00:00:00.000Z,8,0,0
9,2020-03-28T00:00:00.000Z,8,2,0
10,2020-03-29T00:00:00.000Z,9,2,0
11,2020-03-30T00:00:00.000Z,12,3,0
12,2020-03-31T00:00:00.000Z,12,3,0
13,2020-04-01T00:00:00.000Z,12,3,0
14,2020-04-02T00:00:00.000Z,12,5,0
15,2020-04-03T00:00:00.000Z,15,5,0
16,2020-04-04T00:00:00.000Z,18,3,0
17,2020-04-05T00:00:00.000Z,18,3,0
18,2020-04-06T00:00:00.000Z,18,3,0
19,2020-04-07T00:00:00.000Z,20,7,0
20,2020-04-08T00:00:00.000Z,20,7,0
21,2020-04-09T00:00:00.000Z,28,8,0
22,2020-04-10T00:00:00.000Z,29,8,0
23,2020-04-11T00:00:00.000Z,35,9,0
24,2020-04-12T00:00:00.000Z,42,9,0
25,2020-04-13T00:00:00.000Z,51,9,0
26,2020-04-14T00:00:00.000Z,51,9,0
27,2020-04-15T00:00:00.000Z,64,9,0
28,2020-04-16T00:00:00.000Z,73,9,0
29,2020-04-17T00:00:00.000Z,91,10,2
30,2020-04-18T00:00:00.000Z,111,13,2
31,2020-04-19T00:00:00.000Z,150,14,2
32,2020-04-20T00:00:00.000Z,169,14,2
33,2020-04-21T00:00:00.000Z,188,14,2
34,2020-04-22T00:00:00.000Z,216,18,3
35,2020-04-23T00:00:00.000Z,240,20,3
36,2020-04-24T00:00:00.000Z,276,27,3
37,2020-04-25T00:00:00.000Z,316,29,3
38,2020-04-26T00:00:00.000Z,362,37,3
39,2020-04-27T00:00:00.000Z,465,38,3
40,2020-04-28T00:00:00.000Z,465,38,3
41,2020-04-29T00:00:00.000Z,466,41,4
42,2020-04-30T00:00:00.000Z,493,42,4
43,2020-05-01T00:00:00.000Z,511,46,4
44,2020-05-02T00:00:00.000Z,543,59,4
45,2020-05-03T00:00:00.000Z,643,80,4
46,2020-05-04T00:00:00.000Z,643,80,4
47,2020-05-05T00:00:00.000Z,674,94,4
48,2020-05-06T00:00:00.000Z,711,125,4
49,2020-05-07T00:00:00.000Z,711,125,4
50,2020-05-08T00:00:00.000Z,781,188,4
51,2020-05-09T00:00:00.000Z,781,188,4
52,2020-05-10T00:00:00.000Z,854,263,5
53,2020-05-11T00:00:00.000Z,854,263,5
54,2020-05-12T00:00:00.000Z,876,324,5
55,2020-05-13T00:00:00.000Z,896,339,5
56,2020-05-14T00:00:00.000Z,911,404,5
57,2020-05-15T00:00:00.000Z,932,452,5
58,2020-05-16T00:00:00.000Z,967,503,5
59,2020-05-17T00:00:00.000Z,1001,548,5
60,2020-05-18T00:00:00.000Z,1008,588,5
61,2020-05-19T00:00:00.000Z,1020,591,5
62,2020-05-20T00:00:00.000Z,1064,647,5
63,2020-05-21T00:00:00.000Z,1091,687,6
64,2020-05-22T00:00:00.000Z,1161,712,6
65,2020-05-23T00:00:00.000Z,1191,744,7
66,2020-05-24T00:00:00.000Z,1259,762,8
67,2020-05-25T00:00:00.000Z,1323,790,8
68,2020-05-26T00:00:00.000Z,1370,804,8
69,2020-05-27T00:00:00.000Z,1438,836,10
70,2020-05-28T00:00:00.000Z,1495,856,11
71,2020-05-29T00:00:00.000Z,1551,890,13
72,2020-05-30T00:00:00.000Z,1629,950,15
73,2020-05-31T00:00:00.000Z,1683,978,17
74,2020-06-01T00:00:00.000Z,1751,981,17
75,2020-06-02T00:00:00.000Z,1828,981,17
76,2020-06-03T00:00:00.000Z,1904,1013,17
77,2020-06-04T00:00:00.000Z,1967,1076,17
78,2020-06-05T00:00:00.000Z,2042,1115,18
79,2020-06-06T00:00:00.000Z,2121,1157,18
80,2020-06-07T00:00:00.000Z,2182,1186,20
81,2020-06-08T00:00:00.000Z,2260,1206,20
82,2020-06-09T00:00:00.000Z,2300,1218,20
83,2020-06-10T00:00:00.000Z,2360,1327,22
84,2020-06-11T00:00:00.000Z,2421,1424,23
85,2020-06-12T00:00:00.000Z,2479,1478,23
