date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-28T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-29T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-30T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-31T00:00:00.000Z,2,0,1.0,2,0.0
2020-04-01T00:00:00.000Z,3,0,1.0,3,0.0
2020-04-02T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-03T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-04T00:00:00.000Z,8,1,5.0,8,1.0
2020-04-05T00:00:00.000Z,8,1,0.0,8,0.0
2020-04-06T00:00:00.000Z,9,1,1.0,9,0.0
2020-04-07T00:00:00.000Z,9,1,0.0,7,0.0
2020-04-08T00:00:00.000Z,9,1,0.0,7,0.0
2020-04-09T00:00:00.000Z,12,1,3.0,9,0.0
2020-04-10T00:00:00.000Z,15,1,3.0,12,0.0
2020-04-11T00:00:00.000Z,15,1,0.0,12,0.0
2020-04-12T00:00:00.000Z,18,2,3.0,15,1.0
2020-04-13T00:00:00.000Z,18,2,0.0,15,0.0
2020-04-14T00:00:00.000Z,18,2,0.0,15,0.0
2020-04-15T00:00:00.000Z,27,2,9.0,24,0.0
2020-04-16T00:00:00.000Z,38,2,11.0,35,0.0
2020-04-17T00:00:00.000Z,47,2,9.0,40,0.0
2020-04-18T00:00:00.000Z,53,2,6.0,46,0.0
2020-04-19T00:00:00.000Z,66,2,13.0,59,0.0
2020-04-20T00:00:00.000Z,70,2,4.0,63,0.0
2020-04-21T00:00:00.000Z,81,2,11.0,74,0.0
2020-04-22T00:00:00.000Z,88,2,7.0,81,0.0
2020-04-23T00:00:00.000Z,104,2,16.0,93,0.0
2020-04-24T00:00:00.000Z,120,2,16.0,109,0.0
2020-04-25T00:00:00.000Z,137,3,17.0,126,1.0
2020-04-26T00:00:00.000Z,148,3,11.0,137,0.0
2020-04-27T00:00:00.000Z,158,3,10.0,147,0.0
2020-04-28T00:00:00.000Z,180,3,22.0,168,0.0
2020-04-29T00:00:00.000Z,193,3,13.0,168,0.0
2020-04-30T00:00:00.000Z,211,3,18.0,182,0.0
2020-05-01T00:00:00.000Z,227,3,16.0,194,0.0
2020-05-02T00:00:00.000Z,241,3,14.0,199,0.0
2020-05-03T00:00:00.000Z,253,3,12.0,208,0.0
2020-05-04T00:00:00.000Z,266,3,13.0,206,0.0
2020-05-05T00:00:00.000Z,278,3,12.0,214,0.0
2020-05-06T00:00:00.000Z,293,3,15.0,225,0.0
2020-05-07T00:00:00.000Z,311,3,18.0,243,0.0
2020-05-08T00:00:00.000Z,333,3,22.0,248,0.0
2020-05-09T00:00:00.000Z,343,3,10.0,247,0.0
2020-05-10T00:00:00.000Z,357,3,14.0,250,0.0
2020-05-11T00:00:00.000Z,372,3,15.0,257,0.0
2020-05-12T00:00:00.000Z,384,3,12.0,265,0.0
2020-05-13T00:00:00.000Z,402,3,18.0,274,0.0
2020-05-14T00:00:00.000Z,433,7,31.0,288,4.0
2020-05-15T00:00:00.000Z,452,7,19.0,284,0.0
2020-05-16T00:00:00.000Z,460,7,8.0,267,0.0
2020-05-17T00:00:00.000Z,477,7,17.0,279,0.0
2020-05-18T00:00:00.000Z,487,7,10.0,287,0.0
2020-05-19T00:00:00.000Z,500,7,13.0,279,0.0
2020-05-20T00:00:00.000Z,516,7,16.0,273,0.0
2020-05-21T00:00:00.000Z,527,7,11.0,272,0.0
2020-05-22T00:00:00.000Z,540,8,13.0,275,1.0
2020-05-23T00:00:00.000Z,560,8,20.0,271,0.0
2020-05-24T00:00:00.000Z,567,8,7.0,273,0.0
2020-05-25T00:00:00.000Z,580,8,13.0,286,0.0
2020-05-26T00:00:00.000Z,601,8,21.0,293,0.0
2020-05-27T00:00:00.000Z,617,9,16.0,263,1.0
2020-05-28T00:00:00.000Z,656,9,39.0,295,0.0
2020-05-29T00:00:00.000Z,691,9,35.0,320,0.0
2020-05-30T00:00:00.000Z,719,10,28.0,331,1.0
2020-05-31T00:00:00.000Z,758,10,39.0,363,0.0
2020-06-01T00:00:00.000Z,772,11,14.0,373,1.0
2020-06-02T00:00:00.000Z,804,11,32.0,384,0.0
2020-06-03T00:00:00.000Z,825,11,21.0,400,0.0
2020-06-04T00:00:00.000Z,842,11,17.0,407,0.0
2020-06-05T00:00:00.000Z,862,11,20.0,423,0.0
2020-06-06T00:00:00.000Z,888,12,26.0,414,1.0
2020-06-07T00:00:00.000Z,901,12,13.0,416,0.0
2020-06-08T00:00:00.000Z,926,12,25.0,437,0.0
2020-06-09T00:00:00.000Z,953,12,27.0,447,0.0
2020-06-10T00:00:00.000Z,977,12,24.0,442,0.0
2020-06-11T00:00:00.000Z,1028,12,51.0,463,0.0
2020-06-12T00:00:00.000Z,1066,12,38.0,491,0.0
2020-06-13T00:00:00.000Z,1109,12,43.0,527,0.0
2020-06-14T00:00:00.000Z,1136,12,27.0,543,0.0
2020-06-15T00:00:00.000Z,1161,12,25.0,563,0.0
2020-06-16T00:00:00.000Z,1175,12,14.0,554,0.0
2020-06-17T00:00:00.000Z,1214,12,39.0,577,0.0
2020-06-18T00:00:00.000Z,1246,13,32.0,579,1.0
2020-06-19T00:00:00.000Z,1262,13,16.0,579,0.0
2020-06-20T00:00:00.000Z,1298,14,36.0,584,1.0
2020-06-21T00:00:00.000Z,1331,15,33.0,611,1.0
2020-06-22T00:00:00.000Z,1360,15,29.0,633,0.0
2020-06-23T00:00:00.000Z,1386,15,26.0,627,0.0
2020-06-24T00:00:00.000Z,1411,15,25.0,603,0.0
2020-06-25T00:00:00.000Z,1442,15,31.0,627,0.0
2020-06-26T00:00:00.000Z,1470,15,28.0,648,0.0
2020-06-27T00:00:00.000Z,1494,17,24.0,642,2.0
2020-06-28T00:00:00.000Z,1531,17,37.0,665,0.0
2020-06-29T00:00:00.000Z,1565,17,34.0,686,0.0
2020-06-30T00:00:00.000Z,1583,17,18.0,677,0.0
2020-07-01T00:00:00.000Z,1591,21,8.0,644,4.0
2020-07-02T00:00:00.000Z,1612,21,21.0,657,0.0
2020-07-03T00:00:00.000Z,1632,21,20.0,633,0.0
2020-07-04T00:00:00.000Z,1654,21,22.0,611,0.0
2020-07-05T00:00:00.000Z,1676,21,22.0,625,0.0
2020-07-06T00:00:00.000Z,1696,21,20.0,645,0.0
2020-07-07T00:00:00.000Z,1730,22,34.0,653,1.0
2020-07-08T00:00:00.000Z,1752,22,22.0,630,0.0
2020-07-09T00:00:00.000Z,1778,22,26.0,627,0.0
2020-07-10T00:00:00.000Z,1814,22,36.0,638,0.0
2020-07-11T00:00:00.000Z,1825,23,11.0,628,1.0
2020-07-12T00:00:00.000Z,1844,23,19.0,647,0.0
2020-07-13T00:00:00.000Z,1855,23,11.0,658,0.0
2020-07-14T00:00:00.000Z,1863,24,8.0,634,1.0
2020-07-15T00:00:00.000Z,1886,24,23.0,630,0.0
2020-07-16T00:00:00.000Z,1902,24,16.0,634,0.0
2020-07-17T00:00:00.000Z,1922,24,20.0,640,0.0
2020-07-18T00:00:00.000Z,1946,24,24.0,634,0.0
2020-07-19T00:00:00.000Z,1963,24,17.0,641,0.0
2020-07-20T00:00:00.000Z,1995,24,32.0,668,0.0
2020-07-21T00:00:00.000Z,2005,24,10.0,653,0.0
2020-07-22T00:00:00.000Z,2016,25,11.0,650,1.0
2020-07-23T00:00:00.000Z,2028,26,12.0,618,1.0
2020-07-24T00:00:00.000Z,2040,26,12.0,615,0.0
2020-07-25T00:00:00.000Z,2074,26,34.0,625,0.0
2020-07-26T00:00:00.000Z,2119,26,45.0,669,0.0
2020-07-27T00:00:00.000Z,2137,26,18.0,684,0.0
2020-07-28T00:00:00.000Z,2154,26,17.0,688,0.0
2020-07-29T00:00:00.000Z,2166,26,12.0,682,0.0
2020-07-30T00:00:00.000Z,2175,26,9.0,554,0.0
2020-07-31T00:00:00.000Z,2206,26,31.0,529,0.0
2020-08-01T00:00:00.000Z,2234,26,28.0,497,0.0
2020-08-02T00:00:00.000Z,2261,26,27.0,509,0.0
2020-08-03T00:00:00.000Z,2309,26,48.0,557,0.0
2020-08-04T00:00:00.000Z,2345,26,36.0,575,0.0
2020-08-05T00:00:00.000Z,2390,27,45.0,596,1.0
2020-08-06T00:00:00.000Z,2423,27,33.0,618,0.0
2020-08-07T00:00:00.000Z,2458,27,35.0,635,0.0
2020-08-08T00:00:00.000Z,2511,27,53.0,664,0.0
2020-08-09T00:00:00.000Z,2564,30,53.0,710,3.0
2020-08-10T00:00:00.000Z,2625,30,61.0,768,0.0
2020-08-11T00:00:00.000Z,2657,30,32.0,771,0.0
2020-08-12T00:00:00.000Z,2695,30,38.0,769,0.0
2020-08-13T00:00:00.000Z,2745,30,50.0,812,0.0
2020-08-14T00:00:00.000Z,2792,32,47.0,838,2.0
2020-08-15T00:00:00.000Z,2852,33,60.0,871,1.0
2020-08-16T00:00:00.000Z,2906,33,54.0,925,0.0
2020-08-17T00:00:00.000Z,2947,33,41.0,966,0.0
2020-08-18T00:00:00.000Z,2975,35,28.0,945,2.0
2020-08-19T00:00:00.000Z,2993,37,18.0,922,2.0
2020-08-20T00:00:00.000Z,3043,37,50.0,947,0.0
2020-08-21T00:00:00.000Z,3093,38,50.0,962,1.0
2020-08-22T00:00:00.000Z,3157,38,64.0,969,0.0
2020-08-23T00:00:00.000Z,3209,38,52.0,1009,0.0
2020-08-24T00:00:00.000Z,3261,38,52.0,1061,0.0
2020-08-25T00:00:00.000Z,3325,38,64.0,1058,0.0
2020-08-26T00:00:00.000Z,3355,39,30.0,1042,1.0
2020-08-27T00:00:00.000Z,3393,40,38.0,1041,1.0
2020-08-28T00:00:00.000Z,3429,40,36.0,1005,0.0
2020-08-29T00:00:00.000Z,3467,40,38.0,998,0.0
2020-08-30T00:00:00.000Z,3510,40,43.0,1028,0.0
2020-08-31T00:00:00.000Z,3546,40,36.0,1051,0.0
2020-09-01T00:00:00.000Z,3578,40,32.0,1024,0.0
2020-09-02T00:00:00.000Z,3601,41,23.0,1008,1.0
2020-09-03T00:00:00.000Z,3625,41,24.0,985,0.0
2020-09-04T00:00:00.000Z,3659,41,34.0,996,0.0
2020-09-05T00:00:00.000Z,3696,41,37.0,984,0.0
2020-09-06T00:00:00.000Z,3742,41,46.0,1005,0.0
2020-09-07T00:00:00.000Z,3786,41,44.0,1049,0.0
2020-09-08T00:00:00.000Z,3817,44,31.0,1032,3.0
2020-09-09T00:00:00.000Z,3863,44,46.0,1039,0.0
2020-09-10T00:00:00.000Z,3911,47,48.0,1066,3.0
2020-09-11T00:00:00.000Z,3952,49,41.0,1056,2.0
2020-09-12T00:00:00.000Z,3999,50,47.0,1061,1.0
2020-09-13T00:00:00.000Z,4046,50,47.0,1103,0.0
2020-09-14T00:00:00.000Z,4099,50,53.0,1146,0.0
2020-09-15T00:00:00.000Z,4115,53,16.0,1120,3.0
2020-09-16T00:00:00.000Z,4156,53,41.0,1109,0.0
2020-09-17T00:00:00.000Z,4203,58,47.0,1114,5.0
2020-09-18T00:00:00.000Z,4235,58,32.0,1113,0.0
2020-09-19T00:00:00.000Z,4277,58,42.0,1129,0.0
2020-09-20T00:00:00.000Z,4311,58,34.0,1142,0.0
2020-09-21T00:00:00.000Z,4348,58,37.0,1172,0.0
2020-09-22T00:00:00.000Z,4379,58,31.0,1166,0.0
2020-09-23T00:00:00.000Z,4417,59,38.0,1178,1.0
2020-09-24T00:00:00.000Z,4454,59,37.0,1187,0.0
2020-09-25T00:00:00.000Z,4499,62,45.0,1214,3.0
2020-09-26T00:00:00.000Z,4553,67,54.0,1224,5.0
2020-09-27T00:00:00.000Z,4609,67,56.0,1261,0.0
2020-09-28T00:00:00.000Z,4662,67,53.0,1302,0.0
2020-09-29T00:00:00.000Z,4703,68,41.0,1293,1.0
2020-09-30T00:00:00.000Z,4742,74,39.0,1294,6.0
2020-10-01T00:00:00.000Z,4788,77,46.0,1313,3.0
2020-10-02T00:00:00.000Z,4842,79,54.0,1326,2.0
2020-10-03T00:00:00.000Z,4902,79,60.0,1367,0.0
2020-10-04T00:00:00.000Z,4966,79,64.0,1419,0.0
2020-10-05T00:00:00.000Z,5031,79,65.0,1477,0.0
