,date,confirmed,cured,deaths
0,2020-03-15T00:00:00.000Z,1,0,0
1,2020-03-16T00:00:00.000Z,1,0,0
2,2020-03-17T00:00:00.000Z,1,0,0
3,2020-03-18T00:00:00.000Z,1,0,0
4,2020-03-19T00:00:00.000Z,3,0,0
5,2020-03-20T00:00:00.000Z,3,0,0
6,2020-03-21T00:00:00.000Z,5,0,0
7,2020-03-22T00:00:00.000Z,5,0,0
8,2020-03-23T00:00:00.000Z,5,0,0
9,2020-03-24T00:00:00.000Z,5,0,0
10,2020-03-25T00:00:00.000Z,9,0,0
11,2020-03-26T00:00:00.000Z,9,0,0
12,2020-03-27T00:00:00.000Z,9,0,0
13,2020-03-28T00:00:00.000Z,17,0,0
14,2020-03-29T00:00:00.000Z,17,1,0
15,2020-03-30T00:00:00.000Z,17,1,0
16,2020-03-31T00:00:00.000Z,17,2,0
17,2020-04-01T00:00:00.000Z,22,3,0
18,2020-04-02T00:00:00.000Z,22,4,0
19,2020-04-03T00:00:00.000Z,39,4,0
20,2020-04-04T00:00:00.000Z,39,4,0
21,2020-04-05T00:00:00.000Z,39,4,0
22,2020-04-06T00:00:00.000Z,50,8,0
23,2020-04-07T00:00:00.000Z,61,9,1
24,2020-04-08T00:00:00.000Z,85,15,1
25,2020-04-09T00:00:00.000Z,105,15,1
26,2020-04-10T00:00:00.000Z,125,15,3
27,2020-04-11T00:00:00.000Z,138,25,3
28,2020-04-12T00:00:00.000Z,169,25,3
29,2020-04-13T00:00:00.000Z,210,28,3
30,2020-04-14T00:00:00.000Z,215,32,3
31,2020-04-15T00:00:00.000Z,239,40,3
32,2020-04-16T00:00:00.000Z,260,40,3
33,2020-04-17T00:00:00.000Z,290,48,3
34,2020-04-18T00:00:00.000Z,335,49,4
35,2020-04-19T00:00:00.000Z,383,54,5
36,2020-04-20T00:00:00.000Z,417,59,8
37,2020-04-21T00:00:00.000Z,461,70,8
38,2020-04-22T00:00:00.000Z,481,72,11
39,2020-04-23T00:00:00.000Z,539,88,14
40,2020-04-24T00:00:00.000Z,623,104,16
41,2020-04-25T00:00:00.000Z,707,118,18
42,2020-04-26T00:00:00.000Z,780,122,19
43,2020-04-27T00:00:00.000Z,837,125,19
44,2020-04-28T00:00:00.000Z,888,132,19
45,2020-04-29T00:00:00.000Z,951,208,20
46,2020-04-30T00:00:00.000Z,1017,251,20
47,2020-05-01T00:00:00.000Z,1083,277,20
48,2020-05-02T00:00:00.000Z,1162,319,20
49,2020-05-03T00:00:00.000Z,1244,372,20
50,2020-05-04T00:00:00.000Z,1340,409,21
51,2020-05-05T00:00:00.000Z,1437,443,21
52,2020-05-06T00:00:00.000Z,1534,467,21
53,2020-05-07T00:00:00.000Z,1633,523,21
54,2020-05-08T00:00:00.000Z,1732,554,21
55,2020-05-09T00:00:00.000Z,1830,595,21
56,2020-05-10T00:00:00.000Z,1929,622,22
57,2020-05-11T00:00:00.000Z,2027,662,22
58,2020-05-12T00:00:00.000Z,2126,697,22
59,2020-05-13T00:00:00.000Z,2222,741,22
60,2020-05-14T00:00:00.000Z,2319,858,24
61,2020-05-15T00:00:00.000Z,2418,979,24
62,2020-05-16T00:00:00.000Z,2510,1139,24
63,2020-05-17T00:00:00.000Z,2605,1261,25
64,2020-05-18T00:00:00.000Z,2699,1323,26
65,2020-05-19T00:00:00.000Z,2792,1361,26
66,2020-05-20T00:00:00.000Z,2883,1540,26
67,2020-05-21T00:00:00.000Z,2974,1644,26
68,2020-05-22T00:00:00.000Z,3066,1764,26
69,2020-05-23T00:00:00.000Z,3155,1859,27
70,2020-05-24T00:00:00.000Z,3247,1900,27
71,2020-05-25T00:00:00.000Z,3337,1973,28
72,2020-05-26T00:00:00.000Z,3426,2081,28
73,2020-05-27T00:00:00.000Z,3506,2257,29
74,2020-05-28T00:00:00.000Z,3582,2393,29
75,2020-05-29T00:00:00.000Z,3662,2521,31
76,2020-05-30T00:00:00.000Z,3744,2636,31
77,2020-05-31T00:00:00.000Z,3824,2711,32
78,2020-06-01T00:00:00.000Z,3908,2748,33
79,2020-06-02T00:00:00.000Z,3987,2842,36
80,2020-06-03T00:00:00.000Z,4068,2917,38
81,2020-06-04T00:00:00.000Z,4148,3006,40
82,2020-06-05T00:00:00.000Z,4231,3109,41
83,2020-06-06T00:00:00.000Z,4312,3235,42
84,2020-06-07T00:00:00.000Z,4399,3289,43
85,2020-06-08T00:00:00.000Z,4485,3311,44
86,2020-06-09T00:00:00.000Z,4574,3383,46
87,2020-06-10T00:00:00.000Z,4655,3500,47
88,2020-06-11T00:00:00.000Z,4735,3554,47
89,2020-06-12T00:00:00.000Z,4815,3617,49
90,2020-06-13T00:00:00.000Z,4893,3642,50
91,2020-06-14T00:00:00.000Z,4970,3675,52
92,2020-06-15T00:00:00.000Z,5042,3725,52
93,2020-06-16T00:00:00.000Z,5112,3794,53
94,2020-06-17T00:00:00.000Z,5183,3884,55
95,2020-06-18T00:00:00.000Z,5252,3965,57
96,2020-06-19T00:00:00.000Z,5316,4041,57
97,2020-06-20T00:00:00.000Z,5376,4145,60
98,2020-06-21T00:00:00.000Z,5440,4181,63
99,2020-06-22T00:00:00.000Z,5501,4220,65
100,2020-06-23T00:00:00.000Z,5561,4277,67
101,2020-06-24T00:00:00.000Z,5624,4374,69
102,2020-06-25T00:00:00.000Z,5683,4403,70
103,2020-06-26T00:00:00.000Z,5743,4511,71
104,2020-06-27T00:00:00.000Z,5801,4564,73
105,2020-06-28T00:00:00.000Z,5860,4618,74
106,2020-06-29T00:00:00.000Z,5922,4636,74
107,2020-06-30T00:00:00.000Z,5982,4706,76
108,2020-07-01T00:00:00.000Z,6043,4793,78
109,2020-07-02T00:00:00.000Z,6102,4827,79
110,2020-07-03T00:00:00.000Z,6159,4911,81
111,2020-07-04T00:00:00.000Z,6218,4978,81
112,2020-07-05T00:00:00.000Z,6280,5014,82
113,2020-07-06T00:00:00.000Z,6340,5032,82
114,2020-07-07T00:00:00.000Z,6399,5198,83
115,2020-07-08T00:00:00.000Z,6460,5412,83
116,2020-07-09T00:00:00.000Z,6523,5512,83
117,2020-07-10T00:00:00.000Z,6589,5574,83
118,2020-07-11T00:00:00.000Z,6654,5668,85
119,2020-07-12T00:00:00.000Z,6721,5684,87
120,2020-07-13T00:00:00.000Z,6785,5699,88
121,2020-07-14T00:00:00.000Z,6847,5756,88
122,2020-07-15T00:00:00.000Z,6912,5877,89
123,2020-07-16T00:00:00.000Z,6979,5935,92
124,2020-07-17T00:00:00.000Z,7045,6002,93
125,2020-07-18T00:00:00.000Z,7115,6078,94
126,2020-07-19T00:00:00.000Z,7190,6129,96
127,2020-07-20T00:00:00.000Z,7262,6154,97
128,2020-07-21T00:00:00.000Z,7340,6252,98
129,2020-07-22T00:00:00.000Z,7423,6377,99
130,2020-07-23T00:00:00.000Z,7508,6480,100
131,2020-07-24T00:00:00.000Z,7598,6563,100
132,2020-07-25T00:00:00.000Z,7690,6653,102
133,2020-07-26T00:00:00.000Z,7784,6701,103
134,2020-07-27T00:00:00.000Z,7880,6724,104
135,2020-07-28T00:00:00.000Z,7975,6811,106
136,2020-07-29T00:00:00.000Z,8072,6918,108
137,2020-07-30T00:00:00.000Z,8170,7000,110
138,2020-07-31T00:00:00.000Z,8266,7131,113
139,2020-08-01T00:00:00.000Z,8365,7265,114
140,2020-08-02T00:00:00.000Z,8472,7305,116
141,2020-08-03T00:00:00.000Z,8585,7353,117
142,2020-08-04T00:00:00.000Z,8704,7463,119
143,2020-08-05T00:00:00.000Z,8821,7567,121
144,2020-08-06T00:00:00.000Z,8946,7682,123
145,2020-08-07T00:00:00.000Z,9061,7776,126
146,2020-08-08T00:00:00.000Z,9173,7865,128
147,2020-08-09T00:00:00.000Z,9278,8054,129
148,2020-08-10T00:00:00.000Z,9375,8096,131
149,2020-08-11T00:00:00.000Z,9465,8158,132
150,2020-08-12T00:00:00.000Z,9552,8228,134
151,2020-08-13T00:00:00.000Z,9642,8269,136
152,2020-08-14T00:00:00.000Z,9730,8320,138
153,2020-08-15T00:00:00.000Z,9817,8398,141
154,2020-08-16T00:00:00.000Z,9903,8416,143
155,2020-08-17T00:00:00.000Z,9991,8436,143
156,2020-08-18T00:00:00.000Z,10075,8488,145
157,2020-08-19T00:00:00.000Z,10161,8556,148
158,2020-08-20T00:00:00.000Z,10245,8620,151
159,2020-08-21T00:00:00.000Z,10334,8663,154
160,2020-08-22T00:00:00.000Z,10422,8758,157
161,2020-08-23T00:00:00.000Z,10507,8851,160
162,2020-08-24T00:00:00.000Z,10595,8901,163
163,2020-08-25T00:00:00.000Z,10681,8966,166
164,2020-08-26T00:00:00.000Z,10771,9017,169
165,2020-08-27T00:00:00.000Z,10857,9085,172
166,2020-08-28T00:00:00.000Z,10941,9134,174
167,2020-08-29T00:00:00.000Z,11031,9208,176
168,2020-08-30T00:00:00.000Z,11121,9242,177
169,2020-08-31T00:00:00.000Z,11208,9270,182
170,2020-09-01T00:00:00.000Z,11294,9313,185
171,2020-09-02T00:00:00.000Z,11382,9377,187
172,2020-09-03T00:00:00.000Z,11472,9414,187
173,2020-09-04T00:00:00.000Z,11564,9484,189
174,2020-09-05T00:00:00.000Z,11654,9540,191
175,2020-09-06T00:00:00.000Z,11747,9570,193
176,2020-09-07T00:00:00.000Z,11838,9591,194
177,2020-09-08T00:00:00.000Z,11930,9659,196
178,2020-09-09T00:00:00.000Z,12020,9696,202
179,2020-09-10T00:00:00.000Z,12107,9743,205
180,2020-09-11T00:00:00.000Z,12195,9787,209
181,2020-09-12T00:00:00.000Z,12285,9839,215
182,2020-09-13T00:00:00.000Z,12377,9862,220
183,2020-09-14T00:00:00.000Z,12469,9894,224
184,2020-09-15T00:00:00.000Z,12563,9952,228
185,2020-09-16T00:00:00.000Z,12658,10017,229
186,2020-09-17T00:00:00.000Z,12751,10069,231
187,2020-09-18T00:00:00.000Z,12843,10120,235
188,2020-09-19T00:00:00.000Z,12937,10164,241
189,2020-09-20T00:00:00.000Z,13031,10186,244
190,2020-09-21T00:00:00.000Z,13123,10202,246
191,2020-09-22T00:00:00.000Z,13219,10247,251
192,2020-09-23T00:00:00.000Z,13313,10294,256
193,2020-09-24T00:00:00.000Z,13408,10330,262
194,2020-09-25T00:00:00.000Z,13501,10371,265
195,2020-09-26T00:00:00.000Z,13596,10406,271
196,2020-09-27T00:00:00.000Z,13694,10419,272
197,2020-09-28T00:00:00.000Z,13790,10443,273
198,2020-09-29T00:00:00.000Z,13888,10477,277
199,2020-09-30T00:00:00.000Z,13987,10519,278
200,2020-10-01T00:00:00.000Z,14083,10552,282
201,2020-10-02T00:00:00.000Z,14184,10590,287
202,2020-10-03T00:00:00.000Z,14290,10635,289
203,2020-10-04T00:00:00.000Z,14387,10652,291
204,2020-10-05T00:00:00.000Z,14482,10664,293
205,2020-10-06T00:00:00.000Z,14578,10696,297
206,2020-10-07T00:00:00.000Z,14676,10739,301
207,2020-10-08T00:00:00.000Z,14775,10777,305
208,2020-10-09T00:00:00.000Z,14877,10804,309
209,2020-10-10T00:00:00.000Z,14980,10852,314
210,2020-10-11T00:00:00.000Z,15085,10872,318
