date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15T00:00:00.000Z,5,0,5.0,5,0.0
2020-03-16T00:00:00.000Z,8,0,3.0,8,0.0
2020-03-17T00:00:00.000Z,12,0,4.0,12,0.0
2020-03-18T00:00:00.000Z,12,0,0.0,12,0.0
2020-03-19T00:00:00.000Z,17,0,5.0,17,0.0
2020-03-20T00:00:00.000Z,18,0,1.0,18,0.0
2020-03-21T00:00:00.000Z,35,0,17.0,34,0.0
2020-03-22T00:00:00.000Z,35,0,0.0,34,0.0
2020-03-23T00:00:00.000Z,35,0,0.0,33,0.0
2020-03-24T00:00:00.000Z,35,0,0.0,33,0.0
2020-03-25T00:00:00.000Z,41,0,6.0,34,0.0
2020-03-26T00:00:00.000Z,41,0,0.0,34,0.0
2020-03-27T00:00:00.000Z,49,0,8.0,41,0.0
2020-03-28T00:00:00.000Z,85,0,36.0,77,0.0
2020-03-29T00:00:00.000Z,112,0,27.0,102,0.0
2020-03-30T00:00:00.000Z,119,1,7.0,105,1.0
2020-03-31T00:00:00.000Z,119,1,0.0,102,0.0
2020-04-01T00:00:00.000Z,134,2,15.0,117,1.0
2020-04-02T00:00:00.000Z,177,2,43.0,160,0.0
2020-04-03T00:00:00.000Z,211,2,34.0,194,0.0
2020-04-04T00:00:00.000Z,260,2,49.0,230,0.0
2020-04-05T00:00:00.000Z,305,3,45.0,266,1.0
2020-04-06T00:00:00.000Z,387,3,82.0,348,0.0
2020-04-07T00:00:00.000Z,454,8,67.0,407,5.0
2020-04-08T00:00:00.000Z,549,10,95.0,499,2.0
2020-04-09T00:00:00.000Z,748,13,199.0,696,3.0
2020-04-10T00:00:00.000Z,930,13,182.0,864,0.0
2020-04-11T00:00:00.000Z,1082,14,152.0,1013,1.0
2020-04-12T00:00:00.000Z,1360,18,278.0,1285,4.0
2020-04-13T00:00:00.000Z,1855,19,495.0,1780,1.0
2020-04-14T00:00:00.000Z,2315,24,460.0,2240,5.0
2020-04-15T00:00:00.000Z,2587,26,272.0,2512,2.0
2020-04-16T00:00:00.000Z,3054,33,467.0,2963,7.0
2020-04-17T00:00:00.000Z,3526,40,472.0,3421,7.0
2020-04-18T00:00:00.000Z,3954,40,428.0,3828,0.0
2020-04-19T00:00:00.000Z,4663,49,709.0,4501,9.0
2020-04-20T00:00:00.000Z,5241,49,578.0,5065,0.0
2020-04-21T00:00:00.000Z,5959,49,718.0,5780,0.0
2020-04-22T00:00:00.000Z,6590,56,631.0,6404,7.0
2020-04-23T00:00:00.000Z,7278,56,688.0,7092,0.0
2020-04-24T00:00:00.000Z,7889,66,611.0,7654,10.0
2020-04-25T00:00:00.000Z,8494,69,605.0,8232,3.0
2020-04-26T00:00:00.000Z,9070,71,576.0,8798,2.0
2020-04-27T00:00:00.000Z,9708,71,638.0,9422,0.0
