,date,confirmed,cured,deaths
0,2020-03-15T00:00:00.000Z,34,1,0
1,2020-03-16T00:00:00.000Z,54,1,0
2,2020-03-17T00:00:00.000Z,55,1,0
3,2020-03-18T00:00:00.000Z,86,1,0
4,2020-03-19T00:00:00.000Z,98,1,0
5,2020-03-20T00:00:00.000Z,131,1,0
6,2020-03-21T00:00:00.000Z,137,8,0
7,2020-03-22T00:00:00.000Z,191,8,0
8,2020-03-23T00:00:00.000Z,262,9,0
9,2020-03-24T00:00:00.000Z,290,9,0
10,2020-03-25T00:00:00.000Z,410,15,2
11,2020-03-26T00:00:00.000Z,546,15,2
12,2020-03-27T00:00:00.000Z,703,18,4
13,2020-03-28T00:00:00.000Z,817,28,5
14,2020-03-29T00:00:00.000Z,1014,28,6
15,2020-03-30T00:00:00.000Z,1226,28,11
16,2020-03-31T00:00:00.000Z,1613,70,11
17,2020-04-01T00:00:00.000Z,1880,115,16
18,2020-04-02T00:00:00.000Z,2475,140,19
19,2020-04-03T00:00:00.000Z,2923,168,20
20,2020-04-04T00:00:00.000Z,3357,194,27
21,2020-04-05T00:00:00.000Z,3893,198,29
22,2020-04-06T00:00:00.000Z,4484,206,29
23,2020-04-07T00:00:00.000Z,5181,222,31
24,2020-04-08T00:00:00.000Z,5841,270,38
25,2020-04-09T00:00:00.000Z,6698,313,38
26,2020-04-10T00:00:00.000Z,7822,350,50
27,2020-04-11T00:00:00.000Z,8852,499,58
28,2020-04-12T00:00:00.000Z,10158,687,72
29,2020-04-13T00:00:00.000Z,11513,837,82
30,2020-04-14T00:00:00.000Z,13002,1016,95
31,2020-04-15T00:00:00.000Z,14776,1205,106
32,2020-04-16T00:00:00.000Z,16146,1394,113
33,2020-04-17T00:00:00.000Z,18105,1517,127
34,2020-04-18T00:00:00.000Z,20754,1679,148
35,2020-04-19T00:00:00.000Z,24324,1763,176
36,2020-04-20T00:00:00.000Z,26350,1838,204
37,2020-04-21T00:00:00.000Z,29433,2057,233
38,2020-04-22T00:00:00.000Z,31981,2267,261
39,2020-04-23T00:00:00.000Z,33940,2448,288
40,2020-04-24T00:00:00.000Z,36897,2735,325
41,2020-04-25T00:00:00.000Z,39509,3047,366
42,2020-04-26T00:00:00.000Z,42480,3175,404
43,2020-04-27T00:00:00.000Z,45351,3524,435
44,2020-04-28T00:00:00.000Z,48426,4130,479
45,2020-04-29T00:00:00.000Z,50646,4610,546
46,2020-04-30T00:00:00.000Z,53739,5135,611
47,2020-05-01T00:00:00.000Z,57300,5766,658
48,2020-05-02T00:00:00.000Z,62658,6374,695
49,2020-05-03T00:00:00.000Z,68606,7029,729
50,2020-05-04T00:00:00.000Z,74401,7573,764
51,2020-05-05T00:00:00.000Z,80115,7870,816
52,2020-05-06T00:00:00.000Z,85973,8458,866
53,2020-05-07T00:00:00.000Z,92676,9227,905
54,2020-05-08T00:00:00.000Z,98522,10259,956
55,2020-05-09T00:00:00.000Z,104189,12779,1010
56,2020-05-10T00:00:00.000Z,109740,13790,1068
57,2020-05-11T00:00:00.000Z,115909,17822,1124
58,2020-05-12T00:00:00.000Z,121301,19642,1179
59,2020-05-13T00:00:00.000Z,126004,21506,1232
60,2020-05-14T00:00:00.000Z,130716,23327,1290
61,2020-05-15T00:00:00.000Z,135464,24562,1358
62,2020-05-16T00:00:00.000Z,138969,26032,1432
63,2020-05-17T00:00:00.000Z,142824,27490,1503
64,2020-05-18T00:00:00.000Z,146062,28913,1580
65,2020-05-19T00:00:00.000Z,149607,31496,1651
66,2020-05-20T00:00:00.000Z,152306,36936,1726
67,2020-05-21T00:00:00.000Z,155219,40682,1794
68,2020-05-22T00:00:00.000Z,158207,43582,1867
69,2020-05-23T00:00:00.000Z,161397,47413,1934
70,2020-05-24T00:00:00.000Z,163913,49840,1993
71,2020-05-25T00:00:00.000Z,166473,53586,2034
72,2020-05-26T00:00:00.000Z,169303,61619,2110
73,2020-05-27T00:00:00.000Z,171443,67458,2183
74,2020-05-28T00:00:00.000Z,173497,71251,2254
75,2020-05-29T00:00:00.000Z,175829,74725,2330
76,2020-05-30T00:00:00.000Z,178196,78324,2408
77,2020-05-31T00:00:00.000Z,180791,80179,2477
78,2020-06-01T00:00:00.000Z,183088,82239,2553
79,2020-06-02T00:00:00.000Z,185374,88269,2624
80,2020-06-03T00:00:00.000Z,187216,91654,2685
81,2020-06-04T00:00:00.000Z,189214,94715,2749
82,2020-06-05T00:00:00.000Z,191069,97358,2806
83,2020-06-06T00:00:00.000Z,193061,100431,2864
84,2020-06-07T00:00:00.000Z,195017,102714,2919
85,2020-06-08T00:00:00.000Z,197018,104347,2970
86,2020-06-09T00:00:00.000Z,198590,109737,3029
87,2020-06-10T00:00:00.000Z,199785,113533,3085
88,2020-06-11T00:00:00.000Z,201221,115769,3138
89,2020-06-12T00:00:00.000Z,202935,118024,3187
90,2020-06-13T00:00:00.000Z,204428,119558,3231
91,2020-06-14T00:00:00.000Z,205905,121691,3281
92,2020-06-15T00:00:00.000Z,207264,123240,3334
93,2020-06-16T00:00:00.000Z,208680,126114,3386
94,2020-06-17T00:00:00.000Z,209745,128385,3434
95,2020-06-18T00:00:00.000Z,210785,130431,3483
96,2020-06-19T00:00:00.000Z,211921,132434,3531
97,2020-06-20T00:00:00.000Z,212978,134549,3565
98,2020-06-21T00:00:00.000Z,213946,135556,3597
99,2020-06-22T00:00:00.000Z,215014,136670,3617
100,2020-06-23T00:00:00.000Z,216095,139248,3643
101,2020-06-24T00:00:00.000Z,216906,141268,3657
102,2020-06-25T00:00:00.000Z,217791,142194,3669
103,2020-06-26T00:00:00.000Z,218604,144191,3694
104,2020-06-27T00:00:00.000Z,219354,146043,3714
105,2020-06-28T00:00:00.000Z,220071,147095,3738
106,2020-06-29T00:00:00.000Z,220853,148102,3761
107,2020-06-30T00:00:00.000Z,221598,150397,3796
108,2020-07-01T00:00:00.000Z,222209,152193,3831
109,2020-07-02T00:00:00.000Z,222871,153248,3870
110,2020-07-03T00:00:00.000Z,223530,154839,3904
111,2020-07-04T00:00:00.000Z,224210,156459,3929
112,2020-07-05T00:00:00.000Z,224860,157020,3953
113,2020-07-06T00:00:00.000Z,225545,157652,3975
114,2020-07-07T00:00:00.000Z,226174,159718,3999
115,2020-07-08T00:00:00.000Z,226795,160913,4027
116,2020-07-09T00:00:00.000Z,227363,162086,4059
117,2020-07-10T00:00:00.000Z,228000,163093,4087
118,2020-07-11T00:00:00.000Z,228678,164095,4116
119,2020-07-12T00:00:00.000Z,229357,164560,4143
120,2020-07-13T00:00:00.000Z,230029,164954,4168
121,2020-07-14T00:00:00.000Z,230642,165966,4205
122,2020-07-15T00:00:00.000Z,231270,167810,4234
123,2020-07-16T00:00:00.000Z,231801,168955,4258
124,2020-07-17T00:00:00.000Z,232376,169637,4271
125,2020-07-18T00:00:00.000Z,232954,170180,4285
126,2020-07-19T00:00:00.000Z,233545,170539,4299
127,2020-07-20T00:00:00.000Z,234123,170918,4314
128,2020-07-21T00:00:00.000Z,234725,171771,4331
129,2020-07-22T00:00:00.000Z,235363,172939,4350
130,2020-07-23T00:00:00.000Z,235971,173392,4364
131,2020-07-24T00:00:00.000Z,236616,173854,4375
132,2020-07-25T00:00:00.000Z,237264,174415,4389
133,2020-07-26T00:00:00.000Z,237947,174721,4398
134,2020-07-27T00:00:00.000Z,238641,174985,4411
135,2020-07-28T00:00:00.000Z,239315,175812,4421
136,2020-07-29T00:00:00.000Z,239986,176437,4434
137,2020-07-30T00:00:00.000Z,240664,177908,4446
138,2020-07-31T00:00:00.000Z,241359,179168,4460
139,2020-08-01T00:00:00.000Z,242049,180581,4473
140,2020-08-02T00:00:00.000Z,242713,181342,4485
141,2020-08-03T00:00:00.000Z,243406,182184,4498
142,2020-08-04T00:00:00.000Z,244097,183640,4510
143,2020-08-05T00:00:00.000Z,244784,184969,4521
144,2020-08-06T00:00:00.000Z,245468,186223,4534
145,2020-08-07T00:00:00.000Z,246154,187576,4546
146,2020-08-08T00:00:00.000Z,246845,188854,4560
147,2020-08-09T00:00:00.000Z,247534,189657,4572
148,2020-08-10T00:00:00.000Z,248228,190555,4585
149,2020-08-11T00:00:00.000Z,248922,191598,4599
150,2020-08-12T00:00:00.000Z,249611,192686,4611
151,2020-08-13T00:00:00.000Z,250303,193473,4622
152,2020-08-14T00:00:00.000Z,250991,194823,4633
153,2020-08-15T00:00:00.000Z,251686,196098,4645
154,2020-08-16T00:00:00.000Z,252374,197143,4656
155,2020-08-17T00:00:00.000Z,253064,197962,4666
156,2020-08-18T00:00:00.000Z,253757,199117,4677
157,2020-08-19T00:00:00.000Z,254448,200359,4687
158,2020-08-20T00:00:00.000Z,255136,201567,4698
159,2020-08-21T00:00:00.000Z,255826,202727,4710
160,2020-08-22T00:00:00.000Z,256513,203821,4720
161,2020-08-23T00:00:00.000Z,257124,204786,4731
162,2020-08-24T00:00:00.000Z,257749,205649,4741
163,2020-08-25T00:00:00.000Z,258430,206804,4753
164,2020-08-26T00:00:00.000Z,259070,208193,4764
165,2020-08-27T00:00:00.000Z,259707,209628,4776
166,2020-08-28T00:00:00.000Z,260361,210908,4786
167,2020-08-29T00:00:00.000Z,261038,212301,4798
168,2020-08-30T00:00:00.000Z,261733,213205,4809
169,2020-08-31T00:00:00.000Z,262418,214121,4821
170,2020-09-01T00:00:00.000Z,263059,215383,4832
171,2020-09-02T00:00:00.000Z,263684,216742,4844
172,2020-09-03T00:00:00.000Z,264374,217899,4857
173,2020-09-04T00:00:00.000Z,265066,219095,4867
174,2020-09-05T00:00:00.000Z,265737,220407,4878
175,2020-09-06T00:00:00.000Z,266357,221370,4891
176,2020-09-07T00:00:00.000Z,267047,222252,4905
177,2020-09-08T00:00:00.000Z,267742,223502,4921
178,2020-09-09T00:00:00.000Z,268384,224840,4933
179,2020-09-10T00:00:00.000Z,269079,226274,4947
180,2020-09-11T00:00:00.000Z,269777,227530,4956
181,2020-09-12T00:00:00.000Z,270447,228673,4968
182,2020-09-13T00:00:00.000Z,271097,229573,4982
183,2020-09-14T00:00:00.000Z,271793,230397,4993
184,2020-09-15T00:00:00.000Z,272523,231483,5006
185,2020-09-16T00:00:00.000Z,273273,232706,5016
186,2020-09-17T00:00:00.000Z,274003,234029,5025
187,2020-09-18T00:00:00.000Z,274808,235136,5033
188,2020-09-19T00:00:00.000Z,275633,236055,5044
189,2020-09-20T00:00:00.000Z,276493,236947,5057
190,2020-09-21T00:00:00.000Z,277408,237935,5069
191,2020-09-22T00:00:00.000Z,278388,239126,5084
192,2020-09-23T00:00:00.000Z,279358,240352,5100
193,2020-09-24T00:00:00.000Z,280408,241656,5115
194,2020-09-25T00:00:00.000Z,281968,242883,5129
195,2020-09-26T00:00:00.000Z,283760,244006,5146
196,2020-09-27T00:00:00.000Z,285776,245132,5164
197,2020-09-28T00:00:00.000Z,287993,246074,5180
198,2020-09-29T00:00:00.000Z,290293,247301,5203
199,2020-09-30T00:00:00.000Z,292601,248650,5230
200,2020-10-01T00:00:00.000Z,295025,249861,5254
201,2020-10-02T00:00:00.000Z,297729,251018,5282
202,2020-10-03T00:00:00.000Z,300613,252087,5314
203,2020-10-04T00:00:00.000Z,303940,253031,5343
204,2020-10-05T00:00:00.000Z,307477,253944,5370
205,2020-10-06T00:00:00.000Z,311559,255100,5401
206,2020-10-07T00:00:00.000Z,314788,256362,5442
207,2020-10-08T00:00:00.000Z,318111,257703,5497
208,2020-10-09T00:00:00.000Z,321812,259127,5530
209,2020-10-10T00:00:00.000Z,325917,260433,5560
210,2020-10-11T00:00:00.000Z,330418,261619,5595
