,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,1,0,0
2,2020-03-21T00:00:00.000Z,1,0,0
3,2020-03-22T00:00:00.000Z,1,0,0
4,2020-03-23T00:00:00.000Z,1,0,0
5,2020-03-24T00:00:00.000Z,1,0,0
6,2020-03-25T00:00:00.000Z,1,0,0
7,2020-03-26T00:00:00.000Z,1,0,0
8,2020-03-27T00:00:00.000Z,1,0,0
9,2020-03-28T00:00:00.000Z,1,0,0
10,2020-03-29T00:00:00.000Z,3,0,0
11,2020-03-30T00:00:00.000Z,5,1,0
12,2020-03-31T00:00:00.000Z,11,1,0
13,2020-04-01T00:00:00.000Z,11,1,0
14,2020-04-02T00:00:00.000Z,15,1,0
15,2020-04-03T00:00:00.000Z,15,1,0
16,2020-04-04T00:00:00.000Z,15,1,0
17,2020-04-05T00:00:00.000Z,15,1,0
18,2020-04-06T00:00:00.000Z,18,1,0
19,2020-04-07T00:00:00.000Z,18,1,0
20,2020-04-08T00:00:00.000Z,43,2,0
21,2020-04-09T00:00:00.000Z,44,5,0
22,2020-04-10T00:00:00.000Z,67,5,0
23,2020-04-11T00:00:00.000Z,67,6,0
24,2020-04-12T00:00:00.000Z,128,10,0
25,2020-04-13T00:00:00.000Z,128,10,1
26,2020-04-14T00:00:00.000Z,128,10,1
27,2020-04-15T00:00:00.000Z,265,14,1
28,2020-04-16T00:00:00.000Z,306,15,1
29,2020-04-17T00:00:00.000Z,314,21,1
30,2020-04-18T00:00:00.000Z,324,27,2
31,2020-04-19T00:00:00.000Z,354,28,3
32,2020-04-20T00:00:00.000Z,400,28,3
33,2020-04-21T00:00:00.000Z,438,32,3
34,2020-04-22T00:00:00.000Z,506,56,3
35,2020-04-23T00:00:00.000Z,606,61,3
36,2020-04-24T00:00:00.000Z,663,64,4
37,2020-04-25T00:00:00.000Z,856,70,4
38,2020-04-26T00:00:00.000Z,961,71,4
39,2020-04-27T00:00:00.000Z,989,73,4
40,2020-04-28T00:00:00.000Z,1056,88,4
41,2020-04-29T00:00:00.000Z,1126,98,4
42,2020-04-30T00:00:00.000Z,1227,98,4
43,2020-05-01T00:00:00.000Z,1313,113,4
44,2020-05-02T00:00:00.000Z,1456,116,4
45,2020-05-03T00:00:00.000Z,1694,122,4
46,2020-05-04T00:00:00.000Z,1974,154,4
47,2020-05-05T00:00:00.000Z,2101,154,4
48,2020-05-06T00:00:00.000Z,2237,161,4
49,2020-05-07T00:00:00.000Z,2272,186,4
50,2020-05-08T00:00:00.000Z,2322,234,4
51,2020-05-09T00:00:00.000Z,2340,257,4
52,2020-05-10T00:00:00.000Z,2371,270,5
53,2020-05-11T00:00:00.000Z,2416,291,5
54,2020-05-12T00:00:00.000Z,2428,312,5
55,2020-05-13T00:00:00.000Z,2471,357,5
56,2020-05-14T00:00:00.000Z,2492,448,6
57,2020-05-15T00:00:00.000Z,2551,489,6
58,2020-05-16T00:00:00.000Z,2644,737,6
59,2020-05-17T00:00:00.000Z,2654,1282,6
60,2020-05-18T00:00:00.000Z,2666,1288,6
61,2020-05-19T00:00:00.000Z,2684,1340,6
62,2020-05-20T00:00:00.000Z,2714,1425,7
63,2020-05-21T00:00:00.000Z,2781,1496,7
64,2020-05-22T00:00:00.000Z,2834,1595,7
65,2020-05-23T00:00:00.000Z,2868,1617,7
66,2020-05-24T00:00:00.000Z,2900,1627,7
67,2020-05-25T00:00:00.000Z,2936,1631,7
68,2020-05-26T00:00:00.000Z,2981,1656,7
69,2020-05-27T00:00:00.000Z,3030,1676,7
70,2020-05-28T00:00:00.000Z,3076,1728,7
71,2020-05-29T00:00:00.000Z,3136,1886,7
72,2020-05-30T00:00:00.000Z,3181,2034,7
73,2020-05-31T00:00:00.000Z,3222,2072,7
74,2020-06-01T00:00:00.000Z,3264,2081,7
75,2020-06-02T00:00:00.000Z,3296,2192,7
76,2020-06-03T00:00:00.000Z,3342,2375,7
77,2020-06-04T00:00:00.000Z,3375,2401,7
78,2020-06-05T00:00:00.000Z,3422,2427,7
79,2020-06-06T00:00:00.000Z,3472,2468,7
80,2020-06-07T00:00:00.000Z,3530,2477,7
81,2020-06-08T00:00:00.000Z,3576,2480,7
82,2020-06-09T00:00:00.000Z,3674,2535,7
83,2020-06-10T00:00:00.000Z,3700,2569,7
84,2020-06-11T00:00:00.000Z,3760,2633,7
85,2020-06-12T00:00:00.000Z,3818,2663,7
86,2020-06-13T00:00:00.000Z,3889,2669,7
87,2020-06-14T00:00:00.000Z,3946,2677,7
88,2020-06-15T00:00:00.000Z,4011,2690,7
89,2020-06-16T00:00:00.000Z,4083,2810,7
90,2020-06-17T00:00:00.000Z,4155,2877,9
91,2020-06-18T00:00:00.000Z,4219,2910,9
92,2020-06-19T00:00:00.000Z,4280,2952,9
93,2020-06-20T00:00:00.000Z,4346,3020,9
94,2020-06-21T00:00:00.000Z,4431,3036,9
95,2020-06-22T00:00:00.000Z,4516,3120,9
96,2020-06-23T00:00:00.000Z,4586,3165,9
97,2020-06-24T00:00:00.000Z,4660,3217,11
98,2020-06-25T00:00:00.000Z,4732,3362,11
99,2020-06-26T00:00:00.000Z,4811,3439,12
100,2020-06-27T00:00:00.000Z,4901,3497,12
101,2020-06-28T00:00:00.000Z,4994,3510,13
102,2020-06-29T00:00:00.000Z,5093,3514,13
103,2020-06-30T00:00:00.000Z,5211,3529,15
104,2020-07-01T00:00:00.000Z,5346,3591,16
105,2020-07-02T00:00:00.000Z,5485,3609,16
106,2020-07-03T00:00:00.000Z,5632,3632,18
107,2020-07-04T00:00:00.000Z,5766,3695,19
108,2020-07-05T00:00:00.000Z,5903,3704,21
109,2020-07-06T00:00:00.000Z,6038,3704,21
110,2020-07-07T00:00:00.000Z,6196,3735,21
111,2020-07-08T00:00:00.000Z,6359,3785,21
112,2020-07-09T00:00:00.000Z,6512,3831,23
113,2020-07-10T00:00:00.000Z,6685,3889,26
114,2020-07-11T00:00:00.000Z,6866,3948,28
115,2020-07-12T00:00:00.000Z,7049,3971,29
116,2020-07-13T00:00:00.000Z,7228,3991,32
117,2020-07-14T00:00:00.000Z,7410,4061,35
118,2020-07-15T00:00:00.000Z,7597,4149,39
119,2020-07-16T00:00:00.000Z,7780,4238,42
120,2020-07-17T00:00:00.000Z,7943,4296,44
121,2020-07-18T00:00:00.000Z,8105,4371,47
122,2020-07-19T00:00:00.000Z,8272,4387,49
123,2020-07-20T00:00:00.000Z,8444,4394,52
124,2020-07-21T00:00:00.000Z,8616,4471,55
125,2020-07-22T00:00:00.000Z,8799,4655,57
126,2020-07-23T00:00:00.000Z,8976,4835,59
127,2020-07-24T00:00:00.000Z,9146,4909,61
128,2020-07-25T00:00:00.000Z,9311,5163,64
129,2020-07-26T00:00:00.000Z,9469,5233,66
130,2020-07-27T00:00:00.000Z,9627,5275,68
131,2020-07-28T00:00:00.000Z,9791,5477,68
132,2020-07-29T00:00:00.000Z,9947,5697,71
133,2020-07-30T00:00:00.000Z,10093,5943,74
134,2020-07-31T00:00:00.000Z,10232,6202,77
135,2020-08-01T00:00:00.000Z,10370,6409,79
136,2020-08-02T00:00:00.000Z,10507,6489,79
137,2020-08-03T00:00:00.000Z,10640,6594,81
138,2020-08-04T00:00:00.000Z,10769,6904,84
139,2020-08-05T00:00:00.000Z,10895,7207,86
140,2020-08-06T00:00:00.000Z,11017,7450,88
141,2020-08-07T00:00:00.000Z,11136,7659,90
142,2020-08-08T00:00:00.000Z,11252,7825,94
143,2020-08-09T00:00:00.000Z,11350,7905,96
144,2020-08-10T00:00:00.000Z,11439,7961,98
145,2020-08-11T00:00:00.000Z,11517,8150,101
146,2020-08-12T00:00:00.000Z,11589,8320,104
147,2020-08-13T00:00:00.000Z,11656,8469,107
148,2020-08-14T00:00:00.000Z,11720,8573,109
149,2020-08-15T00:00:00.000Z,11787,8710,112
150,2020-08-16T00:00:00.000Z,11849,8730,116
151,2020-08-17T00:00:00.000Z,11914,8751,121
152,2020-08-18T00:00:00.000Z,11981,8966,125
153,2020-08-19T00:00:00.000Z,12046,9134,129
154,2020-08-20T00:00:00.000Z,12108,9287,133
155,2020-08-21T00:00:00.000Z,12171,9406,133
156,2020-08-22T00:00:00.000Z,12236,9533,140
157,2020-08-23T00:00:00.000Z,12302,9633,144
158,2020-08-24T00:00:00.000Z,12364,9638,148
159,2020-08-25T00:00:00.000Z,12428,9825,152
160,2020-08-26T00:00:00.000Z,12496,9970,154
161,2020-08-27T00:00:00.000Z,12565,10104,157
162,2020-08-28T00:00:00.000Z,12631,10188,157
163,2020-08-29T00:00:00.000Z,12696,10295,158
164,2020-08-30T00:00:00.000Z,12760,10321,159
165,2020-08-31T00:00:00.000Z,12827,10352,159
166,2020-09-01T00:00:00.000Z,12892,10454,162
167,2020-09-02T00:00:00.000Z,12967,10501,165
168,2020-09-03T00:00:00.000Z,13040,10555,166
169,2020-09-04T00:00:00.000Z,13110,10603,168
170,2020-09-05T00:00:00.000Z,13173,10682,169
171,2020-09-06T00:00:00.000Z,13233,10763,170
