date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-29T00:00:00.000Z,3,0,3.0,3,0.0
2020-03-30T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-31T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-01T00:00:00.000Z,7,0,4.0,7,0.0
2020-04-02T00:00:00.000Z,8,0,1.0,8,0.0
2020-04-03T00:00:00.000Z,9,0,1.0,9,0.0
2020-04-04T00:00:00.000Z,10,0,1.0,10,0.0
2020-04-05T00:00:00.000Z,10,0,0.0,10,0.0
2020-04-06T00:00:00.000Z,10,0,0.0,10,0.0
2020-04-07T00:00:00.000Z,14,0,4.0,14,0.0
2020-04-08T00:00:00.000Z,15,0,1.0,15,0.0
2020-04-09T00:00:00.000Z,15,0,0.0,15,0.0
2020-04-10T00:00:00.000Z,17,0,2.0,14,0.0
2020-04-11T00:00:00.000Z,17,0,0.0,14,0.0
2020-04-12T00:00:00.000Z,19,0,2.0,14,0.0
2020-04-13T00:00:00.000Z,20,0,1.0,14,0.0
2020-04-14T00:00:00.000Z,20,0,0.0,11,0.0
2020-04-15T00:00:00.000Z,22,0,2.0,13,0.0
2020-04-16T00:00:00.000Z,23,0,1.0,14,0.0
2020-04-17T00:00:00.000Z,26,0,3.0,13,0.0
2020-04-18T00:00:00.000Z,31,0,5.0,17,0.0
2020-04-19T00:00:00.000Z,33,0,2.0,17,0.0
2020-04-20T00:00:00.000Z,36,0,3.0,20,0.0
2020-04-21T00:00:00.000Z,41,0,5.0,24,0.0
2020-04-22T00:00:00.000Z,45,0,4.0,28,0.0
2020-04-23T00:00:00.000Z,53,0,8.0,34,0.0
2020-04-24T00:00:00.000Z,54,0,1.0,35,0.0
2020-04-25T00:00:00.000Z,58,1,4.0,39,1.0
2020-04-26T00:00:00.000Z,62,2,4.0,42,1.0
2020-04-27T00:00:00.000Z,71,1,9.0,51,-1.0
2020-04-28T00:00:00.000Z,82,1,11.0,61,0.0
2020-04-29T00:00:00.000Z,87,2,5.0,65,1.0
2020-04-30T00:00:00.000Z,97,3,10.0,73,1.0
2020-05-01T00:00:00.000Z,107,3,10.0,81,0.0
2020-05-02T00:00:00.000Z,116,3,9.0,90,0.0
2020-05-03T00:00:00.000Z,127,3,11.0,100,0.0
2020-05-04T00:00:00.000Z,161,3,34.0,130,0.0
2020-05-05T00:00:00.000Z,191,3,30.0,152,0.0
2020-05-06T00:00:00.000Z,197,3,6.0,157,0.0
2020-05-07T00:00:00.000Z,208,5,11.0,162,2.0
2020-05-08T00:00:00.000Z,223,6,15.0,177,1.0
2020-05-09T00:00:00.000Z,245,6,22.0,191,0.0
2020-05-10T00:00:00.000Z,279,6,34.0,225,0.0
2020-05-11T00:00:00.000Z,302,7,23.0,244,1.0
2020-05-12T00:00:00.000Z,332,7,30.0,273,0.0
2020-05-13T00:00:00.000Z,355,7,23.0,287,0.0
2020-05-14T00:00:00.000Z,389,7,34.0,319,0.0
2020-05-15T00:00:00.000Z,436,7,47.0,362,0.0
2020-05-16T00:00:00.000Z,476,7,40.0,388,0.0
2020-05-17T00:00:00.000Z,534,7,58.0,446,0.0
2020-05-18T00:00:00.000Z,599,16,65.0,494,9.0
2020-05-19T00:00:00.000Z,652,16,53.0,547,0.0
2020-05-20T00:00:00.000Z,717,16,65.0,602,0.0
2020-05-21T00:00:00.000Z,764,17,47.0,602,1.0
2020-05-22T00:00:00.000Z,838,17,74.0,648,0.0
2020-05-23T00:00:00.000Z,925,17,87.0,733,0.0
2020-05-24T00:00:00.000Z,985,18,60.0,757,1.0
2020-05-25T00:00:00.000Z,1044,18,59.0,816,0.0
2020-05-26T00:00:00.000Z,1097,18,53.0,832,0.0
2020-05-27T00:00:00.000Z,1139,18,42.0,851,0.0
2020-05-28T00:00:00.000Z,1226,18,87.0,925,0.0
2020-05-29T00:00:00.000Z,1268,18,42.0,955,0.0
2020-05-30T00:00:00.000Z,1318,20,50.0,900,2.0
