date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-24T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-25T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-26T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-27T00:00:00.000Z,3,0,1.0,3,0.0
2020-03-28T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-29T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-30T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-31T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-01T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-02T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-03T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-04T00:00:00.000Z,6,0,3.0,6,0.0
2020-04-05T00:00:00.000Z,6,0,0.0,6,0.0
2020-04-06T00:00:00.000Z,7,0,1.0,7,0.0
2020-04-07T00:00:00.000Z,12,0,5.0,9,0.0
2020-04-08T00:00:00.000Z,12,0,0.0,9,0.0
2020-04-09T00:00:00.000Z,17,0,5.0,14,0.0
2020-04-10T00:00:00.000Z,24,0,7.0,21,0.0
2020-04-11T00:00:00.000Z,29,0,5.0,26,0.0
2020-04-12T00:00:00.000Z,29,0,0.0,26,0.0
2020-04-13T00:00:00.000Z,34,0,5.0,31,0.0
2020-04-14T00:00:00.000Z,41,0,7.0,38,0.0
2020-04-15T00:00:00.000Z,41,0,0.0,38,0.0
2020-04-16T00:00:00.000Z,73,0,32.0,66,0.0
2020-04-17T00:00:00.000Z,85,0,12.0,78,0.0
2020-04-18T00:00:00.000Z,119,1,34.0,112,1.0
2020-04-19T00:00:00.000Z,132,1,13.0,122,0.0
2020-04-20T00:00:00.000Z,175,1,43.0,165,0.0
2020-04-21T00:00:00.000Z,198,1,23.0,188,0.0
2020-04-22T00:00:00.000Z,238,2,40.0,228,1.0
2020-04-23T00:00:00.000Z,249,2,11.0,239,0.0
2020-04-24T00:00:00.000Z,296,2,47.0,286,0.0
2020-04-25T00:00:00.000Z,321,2,25.0,311,0.0
2020-04-26T00:00:00.000Z,363,2,42.0,331,0.0
2020-04-27T00:00:00.000Z,407,2,44.0,375,0.0
2020-04-28T00:00:00.000Z,460,2,53.0,422,0.0
2020-04-29T00:00:00.000Z,498,3,38.0,439,1.0
2020-04-30T00:00:00.000Z,525,5,27.0,458,2.0
2020-05-01T00:00:00.000Z,562,5,37.0,480,0.0
2020-05-02T00:00:00.000Z,594,6,32.0,506,1.0
2020-05-03T00:00:00.000Z,662,7,68.0,551,1.0
2020-05-04T00:00:00.000Z,681,7,19.0,558,0.0
2020-05-05T00:00:00.000Z,756,7,75.0,621,0.0
2020-05-06T00:00:00.000Z,813,7,57.0,674,0.0
2020-05-07T00:00:00.000Z,865,7,52.0,672,0.0
2020-05-08T00:00:00.000Z,923,7,58.0,712,0.0
2020-05-09T00:00:00.000Z,973,7,50.0,729,0.0
2020-05-10T00:00:00.000Z,1023,9,50.0,774,2.0
2020-05-11T00:00:00.000Z,1087,9,64.0,830,0.0
2020-05-12T00:00:00.000Z,1148,10,61.0,886,1.0
2020-05-13T00:00:00.000Z,1207,10,59.0,913,0.0
2020-05-14T00:00:00.000Z,1264,10,57.0,937,0.0
2020-05-15T00:00:00.000Z,1329,10,65.0,967,0.0
2020-05-16T00:00:00.000Z,1381,10,52.0,969,0.0
2020-05-17T00:00:00.000Z,1449,10,68.0,1023,0.0
2020-05-18T00:00:00.000Z,1517,10,68.0,1087,0.0
2020-05-19T00:00:00.000Z,1549,10,32.0,1025,0.0
2020-05-20T00:00:00.000Z,1598,10,49.0,1022,0.0
2020-05-21T00:00:00.000Z,1647,10,49.0,993,0.0
2020-05-22T00:00:00.000Z,1679,10,32.0,962,0.0
2020-05-23T00:00:00.000Z,1740,10,61.0,936,0.0
