,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,1,0,0
2,2020-03-21T00:00:00.000Z,1,0,0
3,2020-03-22T00:00:00.000Z,1,0,0
4,2020-03-23T00:00:00.000Z,1,0,0
5,2020-03-24T00:00:00.000Z,1,0,0
6,2020-03-25T00:00:00.000Z,4,0,0
7,2020-03-26T00:00:00.000Z,4,0,0
8,2020-03-27T00:00:00.000Z,4,0,0
9,2020-03-28T00:00:00.000Z,6,0,1
10,2020-03-29T00:00:00.000Z,6,0,1
11,2020-03-30T00:00:00.000Z,7,0,1
12,2020-03-31T00:00:00.000Z,7,0,1
13,2020-04-01T00:00:00.000Z,7,0,1
14,2020-04-02T00:00:00.000Z,12,0,1
15,2020-04-03T00:00:00.000Z,12,0,1
16,2020-04-04T00:00:00.000Z,12,1,1
17,2020-04-05T00:00:00.000Z,13,1,1
18,2020-04-06T00:00:00.000Z,14,1,1
19,2020-04-07T00:00:00.000Z,14,1,1
20,2020-04-08T00:00:00.000Z,22,1,1
21,2020-04-09T00:00:00.000Z,22,4,1
22,2020-04-10T00:00:00.000Z,25,4,1
23,2020-04-11T00:00:00.000Z,25,4,1
24,2020-04-12T00:00:00.000Z,25,5,1
25,2020-04-13T00:00:00.000Z,45,5,1
26,2020-04-14T00:00:00.000Z,53,6,1
27,2020-04-15T00:00:00.000Z,54,6,1
28,2020-04-16T00:00:00.000Z,82,12,2
29,2020-04-17T00:00:00.000Z,120,13,2
30,2020-04-18T00:00:00.000Z,140,15,2
31,2020-04-19T00:00:00.000Z,184,16,2
32,2020-04-20T00:00:00.000Z,184,16,2
33,2020-04-21T00:00:00.000Z,226,20,2
34,2020-04-22T00:00:00.000Z,254,32,2
35,2020-04-23T00:00:00.000Z,277,32,2
36,2020-04-24T00:00:00.000Z,305,32,2
37,2020-04-25T00:00:00.000Z,361,55,2
38,2020-04-26T00:00:00.000Z,377,58,2
39,2020-04-27T00:00:00.000Z,391,58,2
40,2020-04-28T00:00:00.000Z,456,82,2
41,2020-04-29T00:00:00.000Z,493,108,3
42,2020-04-30T00:00:00.000Z,520,119,3
43,2020-05-01T00:00:00.000Z,569,179,3
44,2020-05-02T00:00:00.000Z,591,190,4
45,2020-05-03T00:00:00.000Z,619,217,4
46,2020-05-04T00:00:00.000Z,700,217,4
47,2020-05-05T00:00:00.000Z,728,217,4
48,2020-05-06T00:00:00.000Z,767,217,4
49,2020-05-07T00:00:00.000Z,798,217,4
50,2020-05-08T00:00:00.000Z,847,217,5
51,2020-05-09T00:00:00.000Z,895,272,5
52,2020-05-10T00:00:00.000Z,937,284,5
53,2020-05-11T00:00:00.000Z,986,331,5
54,2020-05-12T00:00:00.000Z,1039,345,5
55,2020-05-13T00:00:00.000Z,1089,390,5
56,2020-05-14T00:00:00.000Z,1178,415,5
57,2020-05-15T00:00:00.000Z,1208,528,5
58,2020-05-16T00:00:00.000Z,1243,564,5
59,2020-05-17T00:00:00.000Z,1278,602,5
60,2020-05-18T00:00:00.000Z,1312,612,5
61,2020-05-19T00:00:00.000Z,1350,701,5
62,2020-05-20T00:00:00.000Z,1392,760,5
63,2020-05-21T00:00:00.000Z,1437,787,5
64,2020-05-22T00:00:00.000Z,1482,849,5
65,2020-05-23T00:00:00.000Z,1524,880,5
66,2020-05-24T00:00:00.000Z,1566,927,5
67,2020-05-25T00:00:00.000Z,1610,950,5
68,2020-05-26T00:00:00.000Z,1664,1027,6
69,2020-05-27T00:00:00.000Z,1718,1097,6
70,2020-05-28T00:00:00.000Z,1772,1139,6
71,2020-05-29T00:00:00.000Z,1826,1196,6
72,2020-05-30T00:00:00.000Z,1871,1196,6
73,2020-05-31T00:00:00.000Z,1925,1196,6
74,2020-06-01T00:00:00.000Z,1979,1196,6
75,2020-06-02T00:00:00.000Z,2032,1196,7
76,2020-06-03T00:00:00.000Z,2085,1241,8
77,2020-06-04T00:00:00.000Z,2141,1276,8
78,2020-06-05T00:00:00.000Z,2204,1587,8
79,2020-06-06T00:00:00.000Z,2267,1628,8
80,2020-06-07T00:00:00.000Z,2331,1636,8
81,2020-06-08T00:00:00.000Z,2397,1642,8
82,2020-06-09T00:00:00.000Z,2461,1704,8
83,2020-06-10T00:00:00.000Z,2521,1757,10
84,2020-06-11T00:00:00.000Z,2580,1827,10
85,2020-06-12T00:00:00.000Z,2643,1872,11
86,2020-06-13T00:00:00.000Z,2705,1893,11
87,2020-06-14T00:00:00.000Z,2768,1924,11
88,2020-06-15T00:00:00.000Z,2830,1950,11
89,2020-06-16T00:00:00.000Z,2890,2050,11
90,2020-06-17T00:00:00.000Z,2948,2150,13
91,2020-06-18T00:00:00.000Z,3007,2222,13
92,2020-06-19T00:00:00.000Z,3067,2301,13
93,2020-06-20T00:00:00.000Z,3125,2373,14
94,2020-06-21T00:00:00.000Z,3181,2398,14
95,2020-06-22T00:00:00.000Z,3245,2412,14
96,2020-06-23T00:00:00.000Z,3310,2528,14
97,2020-06-24T00:00:00.000Z,3377,2581,15
98,2020-06-25T00:00:00.000Z,3439,2597,15
99,2020-06-26T00:00:00.000Z,3499,2622,17
100,2020-06-27T00:00:00.000Z,3562,2638,18
101,2020-06-28T00:00:00.000Z,3626,2644,18
102,2020-06-29T00:00:00.000Z,3700,2649,18
103,2020-06-30T00:00:00.000Z,3777,2672,19
104,2020-07-01T00:00:00.000Z,3853,2914,19
105,2020-07-02T00:00:00.000Z,3929,2939,20
106,2020-07-03T00:00:00.000Z,4007,3028,21
107,2020-07-04T00:00:00.000Z,4088,3039,22
108,2020-07-05T00:00:00.000Z,4170,3072,22
109,2020-07-06T00:00:00.000Z,4253,3102,22
110,2020-07-07T00:00:00.000Z,4339,3204,23
111,2020-07-08T00:00:00.000Z,4427,3256,23
112,2020-07-09T00:00:00.000Z,4515,3343,25
113,2020-07-10T00:00:00.000Z,4610,3394,27
114,2020-07-11T00:00:00.000Z,4708,3485,28
115,2020-07-12T00:00:00.000Z,4808,3506,28
116,2020-07-13T00:00:00.000Z,4910,3530,28
117,2020-07-14T00:00:00.000Z,5018,3642,30
118,2020-07-15T00:00:00.000Z,5126,3869,32
119,2020-07-16T00:00:00.000Z,5237,3960,32
120,2020-07-17T00:00:00.000Z,5352,4013,33
121,2020-07-18T00:00:00.000Z,5470,4061,34
122,2020-07-19T00:00:00.000Z,5586,4084,34
123,2020-07-20T00:00:00.000Z,5701,4107,34
124,2020-07-21T00:00:00.000Z,5815,4213,36
125,2020-07-22T00:00:00.000Z,5929,4381,38
126,2020-07-23T00:00:00.000Z,6042,4516,40
127,2020-07-24T00:00:00.000Z,6154,4631,41
128,2020-07-25T00:00:00.000Z,6264,4751,41
129,2020-07-26T00:00:00.000Z,6374,4775,41
130,2020-07-27T00:00:00.000Z,6485,4798,41
131,2020-07-28T00:00:00.000Z,6594,4931,44
132,2020-07-29T00:00:00.000Z,6702,5117,44
133,2020-07-30T00:00:00.000Z,6809,5273,46
134,2020-07-31T00:00:00.000Z,6915,5363,47
135,2020-08-01T00:00:00.000Z,7021,5477,47
136,2020-08-02T00:00:00.000Z,7131,5527,47
137,2020-08-03T00:00:00.000Z,7239,5562,47
138,2020-08-04T00:00:00.000Z,7345,5701,49
139,2020-08-05T00:00:00.000Z,7450,5792,50
140,2020-08-06T00:00:00.000Z,7553,5926,51
141,2020-08-07T00:00:00.000Z,7656,6038,51
142,2020-08-08T00:00:00.000Z,7757,6166,54
143,2020-08-09T00:00:00.000Z,7858,6198,55
144,2020-08-10T00:00:00.000Z,7962,6218,55
145,2020-08-11T00:00:00.000Z,8066,6399,57
146,2020-08-12T00:00:00.000Z,8169,6542,58
147,2020-08-13T00:00:00.000Z,8274,6677,62
148,2020-08-14T00:00:00.000Z,8378,6789,64
149,2020-08-15T00:00:00.000Z,8483,6902,65
150,2020-08-16T00:00:00.000Z,8585,6934,65
151,2020-08-17T00:00:00.000Z,8687,6967,66
152,2020-08-18T00:00:00.000Z,8787,7104,67
153,2020-08-19T00:00:00.000Z,8885,7235,67
154,2020-08-20T00:00:00.000Z,8981,7400,69
155,2020-08-21T00:00:00.000Z,9074,7521,71
156,2020-08-22T00:00:00.000Z,9167,7642,71
157,2020-08-23T00:00:00.000Z,9258,7648,71
158,2020-08-24T00:00:00.000Z,9348,7677,71
159,2020-08-25T00:00:00.000Z,9437,7812,72
160,2020-08-26T00:00:00.000Z,9524,7982,72
161,2020-08-27T00:00:00.000Z,9610,8137,74
162,2020-08-28T00:00:00.000Z,9694,8313,74
163,2020-08-29T00:00:00.000Z,9778,8481,75
164,2020-08-30T00:00:00.000Z,9861,8548,76
165,2020-08-31T00:00:00.000Z,9944,8635,76
166,2020-09-01T00:00:00.000Z,10030,8841,77
167,2020-09-02T00:00:00.000Z,10117,8956,77
168,2020-09-03T00:00:00.000Z,10205,9115,77
169,2020-09-04T00:00:00.000Z,10295,9225,81
170,2020-09-05T00:00:00.000Z,10387,9333,81
171,2020-09-06T00:00:00.000Z,10479,9388,81
172,2020-09-07T00:00:00.000Z,10570,9419,81
