date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-16T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-17T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-18T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-19T00:00:00.000Z,3,0,1.0,3,0.0
2020-03-20T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-21T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-22T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-23T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-24T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-25T00:00:00.000Z,5,0,2.0,5,0.0
2020-03-26T00:00:00.000Z,10,0,5.0,10,0.0
2020-03-27T00:00:00.000Z,10,0,0.0,10,0.0
2020-03-28T00:00:00.000Z,11,0,1.0,11,0.0
2020-03-29T00:00:00.000Z,11,0,0.0,11,0.0
2020-03-30T00:00:00.000Z,13,0,2.0,13,0.0
2020-03-31T00:00:00.000Z,13,1,0.0,13,1.0
2020-04-01T00:00:00.000Z,13,1,0.0,13,0.0
2020-04-02T00:00:00.000Z,20,2,7.0,19,1.0
2020-04-03T00:00:00.000Z,21,2,1.0,18,0.0
2020-04-04T00:00:00.000Z,21,2,0.0,18,0.0
2020-04-05T00:00:00.000Z,21,2,0.0,18,0.0
2020-04-06T00:00:00.000Z,21,2,0.0,18,0.0
2020-04-07T00:00:00.000Z,32,2,11.0,27,0.0
2020-04-08T00:00:00.000Z,32,2,0.0,26,0.0
2020-04-09T00:00:00.000Z,41,3,9.0,35,1.0
2020-04-10T00:00:00.000Z,45,3,4.0,39,0.0
2020-04-11T00:00:00.000Z,45,3,0.0,30,0.0
2020-04-12T00:00:00.000Z,60,3,15.0,45,0.0
2020-04-13T00:00:00.000Z,60,3,0.0,45,0.0
2020-04-14T00:00:00.000Z,87,3,27.0,71,0.0
2020-04-15T00:00:00.000Z,114,3,27.0,98,0.0
2020-04-16T00:00:00.000Z,132,3,18.0,113,0.0
2020-04-17T00:00:00.000Z,144,3,12.0,125,0.0
2020-04-18T00:00:00.000Z,170,3,26.0,149,0.0
2020-04-19T00:00:00.000Z,198,3,28.0,171,0.0
2020-04-20T00:00:00.000Z,215,3,17.0,185,0.0
2020-04-21T00:00:00.000Z,237,3,22.0,207,0.0
2020-04-22T00:00:00.000Z,266,3,29.0,229,0.0
2020-04-23T00:00:00.000Z,287,4,21.0,244,1.0
2020-04-24T00:00:00.000Z,318,4,31.0,270,0.0
2020-04-25T00:00:00.000Z,373,4,55.0,321,0.0
2020-04-26T00:00:00.000Z,434,4,61.0,382,0.0
2020-04-27T00:00:00.000Z,454,4,20.0,393,0.0
2020-04-28T00:00:00.000Z,471,4,17.0,404,0.0
2020-04-29T00:00:00.000Z,481,5,10.0,394,1.0
2020-04-30T00:00:00.000Z,500,7,19.0,409,2.0
2020-05-01T00:00:00.000Z,524,7,24.0,429,0.0
2020-05-02T00:00:00.000Z,556,9,32.0,395,2.0
2020-05-03T00:00:00.000Z,595,9,39.0,429,0.0
2020-05-04T00:00:00.000Z,630,9,35.0,423,0.0
2020-05-05T00:00:00.000Z,648,9,18.0,430,0.0
2020-05-06T00:00:00.000Z,673,9,25.0,455,0.0
2020-05-07T00:00:00.000Z,699,10,26.0,417,1.0
2020-05-08T00:00:00.000Z,719,10,20.0,386,0.0
2020-05-09T00:00:00.000Z,735,11,16.0,350,1.0
2020-05-10T00:00:00.000Z,743,11,8.0,352,0.0
2020-05-11T00:00:00.000Z,753,11,10.0,352,0.0
2020-05-12T00:00:00.000Z,781,12,28.0,368,1.0
2020-05-13T00:00:00.000Z,829,12,48.0,362,0.0
2020-05-14T00:00:00.000Z,871,12,42.0,367,0.0
2020-05-15T00:00:00.000Z,921,13,50.0,381,1.0
2020-05-16T00:00:00.000Z,973,13,52.0,384,0.0
2020-05-17T00:00:00.000Z,1024,13,51.0,435,0.0
2020-05-18T00:00:00.000Z,1073,13,49.0,484,0.0
2020-05-19T00:00:00.000Z,1125,13,52.0,525,0.0
2020-05-20T00:00:00.000Z,1178,13,53.0,578,0.0
2020-05-21T00:00:00.000Z,1226,13,48.0,607,0.0
2020-05-22T00:00:00.000Z,1277,13,51.0,600,0.0
2020-05-23T00:00:00.000Z,1324,14,47.0,618,1.0
2020-05-24T00:00:00.000Z,1367,14,43.0,611,0.0
2020-05-25T00:00:00.000Z,1410,14,43.0,618,0.0
2020-05-26T00:00:00.000Z,1451,16,41.0,625,2.0
2020-05-27T00:00:00.000Z,1495,19,44.0,603,3.0
2020-05-28T00:00:00.000Z,1539,19,44.0,596,0.0
2020-05-29T00:00:00.000Z,1586,20,47.0,582,1.0
2020-05-30T00:00:00.000Z,1656,20,70.0,614,0.0
2020-05-31T00:00:00.000Z,1713,20,57.0,660,0.0
2020-06-01T00:00:00.000Z,1782,20,69.0,719,0.0
2020-06-02T00:00:00.000Z,1839,22,57.0,692,2.0
2020-06-03T00:00:00.000Z,1911,22,72.0,690,0.0
2020-06-04T00:00:00.000Z,1962,26,51.0,696,4.0
2020-06-05T00:00:00.000Z,2011,27,49.0,690,1.0
2020-06-06T00:00:00.000Z,2067,28,56.0,707,1.0
2020-06-07T00:00:00.000Z,2135,28,68.0,765,0.0
2020-06-08T00:00:00.000Z,2202,28,67.0,808,0.0
2020-06-09T00:00:00.000Z,2267,28,65.0,793,0.0
2020-06-10T00:00:00.000Z,2360,30,93.0,827,2.0
2020-06-11T00:00:00.000Z,2434,32,74.0,800,2.0
2020-06-12T00:00:00.000Z,2506,38,72.0,817,6.0
2020-06-13T00:00:00.000Z,2580,38,74.0,875,0.0
2020-06-14T00:00:00.000Z,2687,38,107.0,938,0.0
2020-06-15T00:00:00.000Z,2755,39,68.0,992,1.0
2020-06-16T00:00:00.000Z,2805,49,50.0,993,10.0
2020-06-17T00:00:00.000Z,2872,51,67.0,978,2.0
2020-06-18T00:00:00.000Z,2937,54,65.0,1006,3.0
2020-06-19T00:00:00.000Z,3001,62,64.0,930,8.0
2020-06-20T00:00:00.000Z,3069,63,68.0,929,1.0
2020-06-21T00:00:00.000Z,3136,66,67.0,973,3.0
2020-06-22T00:00:00.000Z,3202,66,66.0,1029,0.0
2020-06-23T00:00:00.000Z,3266,66,64.0,941,0.0
2020-06-24T00:00:00.000Z,3355,72,89.0,907,6.0
2020-06-25T00:00:00.000Z,3416,76,61.0,883,4.0
2020-06-26T00:00:00.000Z,3474,78,58.0,880,2.0
2020-06-27T00:00:00.000Z,3529,78,55.0,868,0.0
2020-06-28T00:00:00.000Z,3581,78,52.0,910,0.0
2020-06-29T00:00:00.000Z,3637,78,56.0,958,0.0
2020-06-30T00:00:00.000Z,3691,78,54.0,990,0.0
2020-07-01T00:00:00.000Z,3743,78,52.0,1015,0.0
2020-07-02T00:00:00.000Z,3801,78,58.0,1001,0.0
2020-07-03T00:00:00.000Z,3857,80,56.0,929,2.0
2020-07-04T00:00:00.000Z,3911,80,54.0,980,0.0
2020-07-05T00:00:00.000Z,3964,80,53.0,1029,0.0
2020-07-06T00:00:00.000Z,4017,85,53.0,1072,5.0
2020-07-07T00:00:00.000Z,4069,86,52.0,1093,1.0
2020-07-08T00:00:00.000Z,4155,91,86.0,1075,5.0
2020-07-09T00:00:00.000Z,4225,91,70.0,1026,0.0
2020-07-10T00:00:00.000Z,4282,91,57.0,972,0.0
2020-07-11T00:00:00.000Z,4342,95,60.0,1016,4.0
2020-07-12T00:00:00.000Z,4403,96,61.0,1063,1.0
2020-07-13T00:00:00.000Z,4474,96,71.0,1108,0.0
2020-07-14T00:00:00.000Z,4543,97,69.0,1056,1.0
2020-07-15T00:00:00.000Z,4618,97,75.0,1000,0.0
2020-07-16T00:00:00.000Z,4705,100,87.0,986,3.0
2020-07-17T00:00:00.000Z,4803,103,98.0,995,3.0
2020-07-18T00:00:00.000Z,4893,107,90.0,976,4.0
2020-07-19T00:00:00.000Z,4982,107,89.0,1047,0.0
2020-07-20T00:00:00.000Z,5069,108,87.0,1113,1.0
2020-07-21T00:00:00.000Z,5142,109,73.0,1091,1.0
2020-07-22T00:00:00.000Z,5211,113,69.0,1138,4.0
2020-07-23T00:00:00.000Z,5283,123,72.0,1193,10.0
2020-07-24T00:00:00.000Z,5354,131,71.0,1253,8.0
2020-07-25T00:00:00.000Z,5429,137,75.0,1313,6.0
2020-07-26T00:00:00.000Z,5502,137,73.0,1372,0.0
2020-07-27T00:00:00.000Z,5578,139,76.0,1435,2.0
2020-07-28T00:00:00.000Z,5651,141,73.0,1493,2.0
2020-07-29T00:00:00.000Z,5722,150,71.0,1511,9.0
2020-07-30T00:00:00.000Z,5794,150,72.0,1568,0.0
2020-07-31T00:00:00.000Z,5864,166,70.0,1597,16.0
2020-08-01T00:00:00.000Z,5933,166,69.0,1624,0.0
2020-08-02T00:00:00.000Z,6018,166,85.0,1676,0.0
2020-08-03T00:00:00.000Z,6088,166,70.0,1716,0.0
2020-08-04T00:00:00.000Z,6159,167,71.0,1744,1.0
2020-08-05T00:00:00.000Z,6227,169,68.0,1769,2.0
2020-08-06T00:00:00.000Z,6296,173,69.0,1789,4.0
2020-08-07T00:00:00.000Z,6368,175,72.0,1803,2.0
2020-08-08T00:00:00.000Z,6436,175,68.0,1823,0.0
2020-08-09T00:00:00.000Z,6505,175,69.0,1858,0.0
2020-08-10T00:00:00.000Z,6572,175,67.0,1889,0.0
2020-08-11T00:00:00.000Z,6637,177,65.0,1915,2.0
2020-08-12T00:00:00.000Z,6705,179,68.0,1937,2.0
2020-08-13T00:00:00.000Z,6777,182,72.0,1967,3.0
2020-08-14T00:00:00.000Z,6847,182,70.0,1996,0.0
2020-08-15T00:00:00.000Z,6915,184,68.0,2015,2.0
2020-08-16T00:00:00.000Z,6982,186,67.0,2051,2.0
2020-08-17T00:00:00.000Z,7047,188,65.0,2059,2.0
2020-08-18T00:00:00.000Z,7111,190,64.0,2116,2.0
2020-08-19T00:00:00.000Z,7172,192,61.0,2134,2.0
2020-08-20T00:00:00.000Z,7234,194,62.0,2146,2.0
2020-08-21T00:00:00.000Z,7292,196,58.0,2163,2.0
2020-08-22T00:00:00.000Z,7349,197,57.0,2175,1.0
2020-08-23T00:00:00.000Z,7409,198,60.0,2204,1.0
2020-08-24T00:00:00.000Z,7468,199,59.0,2236,1.0
2020-08-25T00:00:00.000Z,7523,202,55.0,2249,3.0
2020-08-26T00:00:00.000Z,7580,203,57.0,2266,1.0
2020-08-27T00:00:00.000Z,7638,206,58.0,2283,3.0
2020-08-28T00:00:00.000Z,7697,209,59.0,2302,3.0
2020-08-29T00:00:00.000Z,7753,211,56.0,2314,2.0
2020-08-30T00:00:00.000Z,7811,213,58.0,2333,2.0
2020-08-31T00:00:00.000Z,7866,215,55.0,2388,2.0
2020-09-01T00:00:00.000Z,7923,215,57.0,2386,0.0
2020-09-02T00:00:00.000Z,7983,215,60.0,2403,0.0
2020-09-03T00:00:00.000Z,8042,215,59.0,2419,0.0
2020-09-04T00:00:00.000Z,8102,217,60.0,2437,2.0
2020-09-05T00:00:00.000Z,8160,220,58.0,2448,3.0
2020-09-06T00:00:00.000Z,8219,221,59.0,2495,1.0
2020-09-07T00:00:00.000Z,8275,221,56.0,2514,0.0
2020-09-08T00:00:00.000Z,8335,224,60.0,2518,3.0
2020-09-09T00:00:00.000Z,8394,227,59.0,2546,3.0
2020-09-10T00:00:00.000Z,8454,230,60.0,2555,3.0
2020-09-11T00:00:00.000Z,8511,232,57.0,2578,2.0
2020-09-12T00:00:00.000Z,8570,234,59.0,2626,2.0
2020-09-13T00:00:00.000Z,8627,236,57.0,2631,2.0
2020-09-14T00:00:00.000Z,8685,238,58.0,2658,2.0
2020-09-15T00:00:00.000Z,8746,240,61.0,2677,2.0
2020-09-16T00:00:00.000Z,8810,242,64.0,2698,2.0
2020-09-17T00:00:00.000Z,8877,244,67.0,2722,2.0
2020-09-18T00:00:00.000Z,8944,246,67.0,2745,2.0
2020-09-19T00:00:00.000Z,9012,248,68.0,2768,2.0
2020-09-20T00:00:00.000Z,9083,250,71.0,2797,2.0
2020-09-21T00:00:00.000Z,9153,253,70.0,2827,3.0
2020-09-22T00:00:00.000Z,9225,255,72.0,2854,2.0
2020-09-23T00:00:00.000Z,9299,258,74.0,2882,3.0
2020-09-24T00:00:00.000Z,9374,261,75.0,2911,3.0
2020-09-25T00:00:00.000Z,9448,264,74.0,2940,3.0
2020-09-26T00:00:00.000Z,9523,269,75.0,2967,5.0
2020-09-27T00:00:00.000Z,9596,272,73.0,3000,3.0
2020-09-28T00:00:00.000Z,9671,274,75.0,3032,2.0
2020-09-29T00:00:00.000Z,9747,277,76.0,3062,3.0
2020-09-30T00:00:00.000Z,9827,279,80.0,3094,2.0
2020-10-01T00:00:00.000Z,9908,282,81.0,3125,3.0
2020-10-02T00:00:00.000Z,9991,285,83.0,3155,3.0
2020-10-03T00:00:00.000Z,10077,288,86.0,3187,3.0
2020-10-04T00:00:00.000Z,10161,290,84.0,3228,2.0
2020-10-05T00:00:00.000Z,10248,292,87.0,3275,2.0
2020-10-06T00:00:00.000Z,10336,297,88.0,3308,5.0
2020-10-07T00:00:00.000Z,10430,301,94.0,3349,4.0
2020-10-08T00:00:00.000Z,10525,305,95.0,3392,4.0
2020-10-09T00:00:00.000Z,10621,309,96.0,3427,4.0
2020-10-10T00:00:00.000Z,10719,314,98.0,3455,5.0
2020-10-11T00:00:00.000Z,10818,317,99.0,3485,3.0
