,date,confirmed,cured,deaths
0,2020-03-25T00:00:00.000Z,4,0,0
1,2020-03-26T00:00:00.000Z,6,0,0
2,2020-03-27T00:00:00.000Z,6,0,0
3,2020-03-28T00:00:00.000Z,6,0,0
4,2020-03-29T00:00:00.000Z,6,0,1
5,2020-03-30T00:00:00.000Z,9,0,1
6,2020-03-31T00:00:00.000Z,9,0,2
7,2020-04-01T00:00:00.000Z,9,0,2
8,2020-04-02T00:00:00.000Z,9,0,2
9,2020-04-03T00:00:00.000Z,9,0,2
10,2020-04-04T00:00:00.000Z,9,2,2
11,2020-04-05T00:00:00.000Z,9,3,2
12,2020-04-06T00:00:00.000Z,10,3,2
13,2020-04-07T00:00:00.000Z,14,3,2
14,2020-04-08T00:00:00.000Z,14,3,2
15,2020-04-09T00:00:00.000Z,16,5,2
16,2020-04-10T00:00:00.000Z,16,5,2
17,2020-04-11T00:00:00.000Z,16,6,2
18,2020-04-12T00:00:00.000Z,16,6,2
19,2020-04-13T00:00:00.000Z,21,6,2
20,2020-04-14T00:00:00.000Z,21,6,2
21,2020-04-15T00:00:00.000Z,27,8,4
22,2020-04-16T00:00:00.000Z,32,8,4
23,2020-04-17T00:00:00.000Z,37,8,4
24,2020-04-18T00:00:00.000Z,42,8,6
25,2020-04-19T00:00:00.000Z,44,8,6
26,2020-04-20T00:00:00.000Z,52,9,6
27,2020-04-21T00:00:00.000Z,58,9,6
28,2020-04-22T00:00:00.000Z,62,9,6
29,2020-04-23T00:00:00.000Z,66,9,6
30,2020-04-24T00:00:00.000Z,81,9,6
31,2020-04-25T00:00:00.000Z,93,9,6
32,2020-04-26T00:00:00.000Z,110,9,7
33,2020-04-27T00:00:00.000Z,124,13,8
34,2020-04-28T00:00:00.000Z,128,14,8
35,2020-04-29T00:00:00.000Z,142,14,8
36,2020-04-30T00:00:00.000Z,149,17,8
37,2020-05-01T00:00:00.000Z,153,17,8
38,2020-05-02T00:00:00.000Z,177,19,8
39,2020-05-03T00:00:00.000Z,195,19,8
40,2020-05-04T00:00:00.000Z,196,19,8
41,2020-05-05T00:00:00.000Z,214,24,8
42,2020-05-06T00:00:00.000Z,226,35,8
43,2020-05-07T00:00:00.000Z,243,41,8
44,2020-05-08T00:00:00.000Z,270,51,8
45,2020-05-09T00:00:00.000Z,277,59,8
46,2020-05-10T00:00:00.000Z,293,66,8
47,2020-05-11T00:00:00.000Z,308,67,8
48,2020-05-12T00:00:00.000Z,328,67,8
49,2020-05-13T00:00:00.000Z,339,96,8
50,2020-05-14T00:00:00.000Z,351,102,8
51,2020-05-15T00:00:00.000Z,367,112,8
52,2020-05-16T00:00:00.000Z,386,132,9
53,2020-05-17T00:00:00.000Z,405,132,9
54,2020-05-18T00:00:00.000Z,424,132,9
55,2020-05-19T00:00:00.000Z,451,142,9
56,2020-05-20T00:00:00.000Z,461,161,9
57,2020-05-21T00:00:00.000Z,494,172,9
58,2020-05-22T00:00:00.000Z,513,183,9
59,2020-05-23T00:00:00.000Z,543,201,9
60,2020-05-24T00:00:00.000Z,566,201,9
61,2020-05-25T00:00:00.000Z,592,208,10
62,2020-05-26T00:00:00.000Z,608,238,10
63,2020-05-27T00:00:00.000Z,629,268,10
64,2020-05-28T00:00:00.000Z,671,293,10
65,2020-05-29T00:00:00.000Z,723,306,10
66,2020-05-30T00:00:00.000Z,765,332,10
67,2020-05-31T00:00:00.000Z,824,340,10
68,2020-06-01T00:00:00.000Z,887,340,10
69,2020-06-02T00:00:00.000Z,910,359,10
70,2020-06-03T00:00:00.000Z,954,368,10
71,2020-06-04T00:00:00.000Z,1066,403,10
72,2020-06-05T00:00:00.000Z,1131,420,11
73,2020-06-06T00:00:00.000Z,1163,437,12
74,2020-06-07T00:00:00.000Z,1232,437,12
75,2020-06-08T00:00:00.000Z,1269,440,12
76,2020-06-09T00:00:00.000Z,1306,454,12
77,2020-06-10T00:00:00.000Z,1366,475,12
78,2020-06-11T00:00:00.000Z,1425,486,12
79,2020-06-12T00:00:00.000Z,1535,506,16
80,2020-06-13T00:00:00.000Z,1635,507,19
81,2020-06-14T00:00:00.000Z,1740,517,19
82,2020-06-15T00:00:00.000Z,1838,522,19
83,2020-06-16T00:00:00.000Z,1901,525,19
84,2020-06-17T00:00:00.000Z,1996,534,19
85,2020-06-18T00:00:00.000Z,2047,571,19
86,2020-06-19T00:00:00.000Z,2088,611,19
87,2020-06-20T00:00:00.000Z,2183,665,19
88,2020-06-21T00:00:00.000Z,2278,669,19
89,2020-06-22T00:00:00.000Z,2353,669,19
90,2020-06-23T00:00:00.000Z,2414,736,19
91,2020-06-24T00:00:00.000Z,2458,785,19
92,2020-06-25T00:00:00.000Z,2527,797,19
93,2020-06-26T00:00:00.000Z,2564,838,19
94,2020-06-27T00:00:00.000Z,2609,911,21
95,2020-06-28T00:00:00.000Z,2667,912,21
96,2020-06-29T00:00:00.000Z,2722,918,21
97,2020-06-30T00:00:00.000Z,2757,984,22
98,2020-07-01T00:00:00.000Z,2830,1035,23
99,2020-07-02T00:00:00.000Z,2875,1091,23
100,2020-07-03T00:00:00.000Z,2932,1245,25
101,2020-07-04T00:00:00.000Z,2967,1342,26
102,2020-07-05T00:00:00.000Z,3018,1348,26
103,2020-07-06T00:00:00.000Z,3044,1400,28
104,2020-07-07T00:00:00.000Z,3082,1474,31
105,2020-07-08T00:00:00.000Z,3109,1599,31
106,2020-07-09T00:00:00.000Z,3137,1661,33
107,2020-07-10T00:00:00.000Z,3172,1769,34
108,2020-07-11T00:00:00.000Z,3198,1845,34
109,2020-07-12T00:00:00.000Z,3214,1885,36
110,2020-07-13T00:00:00.000Z,3245,1891,36
111,2020-07-14T00:00:00.000Z,3257,1954,38
112,2020-07-15T00:00:00.000Z,3291,2022,39
113,2020-07-16T00:00:00.000Z,3327,2093,41
114,2020-07-17T00:00:00.000Z,3354,2156,42
115,2020-07-18T00:00:00.000Z,3372,2207,43
116,2020-07-19T00:00:00.000Z,3402,2207,45
117,2020-07-20T00:00:00.000Z,3421,2221,45
118,2020-07-21T00:00:00.000Z,3437,2247,46
119,2020-07-22T00:00:00.000Z,3454,2299,46
120,2020-07-23T00:00:00.000Z,3486,2341,48
121,2020-07-24T00:00:00.000Z,3534,2358,49
122,2020-07-25T00:00:00.000Z,3554,2410,51
123,2020-07-26T00:00:00.000Z,3582,2410,51
124,2020-07-27T00:00:00.000Z,3618,2410,52
125,2020-07-28T00:00:00.000Z,3633,2444,52
126,2020-07-29T00:00:00.000Z,3646,2487,53
127,2020-07-30T00:00:00.000Z,3686,2529,53
128,2020-07-31T00:00:00.000Z,3728,2564,54
129,2020-08-01T00:00:00.000Z,3761,2599,54
130,2020-08-02T00:00:00.000Z,3797,2600,54
131,2020-08-03T00:00:00.000Z,3834,2600,54
132,2020-08-04T00:00:00.000Z,3835,2623,55
133,2020-08-05T00:00:00.000Z,3839,2649,55
134,2020-08-06T00:00:00.000Z,3869,2747,55
135,2020-08-07T00:00:00.000Z,3889,2772,55
136,2020-08-08T00:00:00.000Z,3908,2803,57
137,2020-08-09T00:00:00.000Z,3928,2803,57
138,2020-08-10T00:00:00.000Z,3961,2803,57
139,2020-08-11T00:00:00.000Z,3982,2820,58
140,2020-08-12T00:00:00.000Z,4001,2854,58
141,2020-08-13T00:00:00.000Z,4038,2900,58
142,2020-08-14T00:00:00.000Z,4070,2928,59
143,2020-08-15T00:00:00.000Z,4109,2971,59
144,2020-08-16T00:00:00.000Z,4143,2971,59
145,2020-08-17T00:00:00.000Z,4190,2971,59
146,2020-08-18T00:00:00.000Z,4215,3010,60
147,2020-08-19T00:00:00.000Z,4242,3053,60
148,2020-08-20T00:00:00.000Z,4279,3094,60
149,2020-08-21T00:00:00.000Z,4314,3131,61
150,2020-08-22T00:00:00.000Z,4350,3167,61
151,2020-08-23T00:00:00.000Z,4384,3169,61
152,2020-08-24T00:00:00.000Z,4434,3169,61
153,2020-08-25T00:00:00.000Z,4458,3193,61
154,2020-08-26T00:00:00.000Z,4499,3214,61
155,2020-08-27T00:00:00.000Z,4527,3241,62
156,2020-08-28T00:00:00.000Z,4557,3255,62
157,2020-08-29T00:00:00.000Z,4581,3288,62
158,2020-08-30T00:00:00.000Z,4603,3334,65
159,2020-08-31T00:00:00.000Z,4635,3343,65
160,2020-09-01T00:00:00.000Z,4638,3400,65
161,2020-09-02T00:00:00.000Z,4662,3430,65
162,2020-09-03T00:00:00.000Z,4685,3467,65
163,2020-09-04T00:00:00.000Z,4711,3490,65
164,2020-09-05T00:00:00.000Z,4745,3527,65
165,2020-09-06T00:00:00.000Z,4766,3527,65
166,2020-09-07T00:00:00.000Z,4791,3527,65
167,2020-09-08T00:00:00.000Z,4812,3568,65
168,2020-09-09T00:00:00.000Z,4832,3602,65
169,2020-09-10T00:00:00.000Z,4859,3619,65
170,2020-09-11T00:00:00.000Z,4877,3645,65
171,2020-09-12T00:00:00.000Z,4915,3686,65
172,2020-09-13T00:00:00.000Z,4947,3689,65
173,2020-09-14T00:00:00.000Z,4968,3691,65
174,2020-09-15T00:00:00.000Z,4982,3743,65
175,2020-09-16T00:00:00.000Z,5001,3774,65
176,2020-09-17T00:00:00.000Z,5030,3822,65
177,2020-09-18T00:00:00.000Z,5057,3849,65
178,2020-09-19T00:00:00.000Z,5091,3887,65
179,2020-09-20T00:00:00.000Z,5133,3889,65
180,2020-09-21T00:00:00.000Z,5172,3889,65
181,2020-09-22T00:00:00.000Z,5196,3932,65
182,2020-09-23T00:00:00.000Z,5219,3964,65
183,2020-09-24T00:00:00.000Z,5244,3986,65
184,2020-09-25T00:00:00.000Z,5276,4001,65
