date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-31T00:00:00.000Z,2,0,1.0,2,0.0
2020-04-01T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-02T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-03T00:00:00.000Z,7,0,5.0,7,0.0
2020-04-04T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-05T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-06T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-07T00:00:00.000Z,11,0,4.0,11,0.0
2020-04-08T00:00:00.000Z,15,0,4.0,13,0.0
2020-04-09T00:00:00.000Z,23,0,8.0,18,0.0
2020-04-10T00:00:00.000Z,23,0,0.0,18,0.0
2020-04-11T00:00:00.000Z,32,0,9.0,27,0.0
2020-04-12T00:00:00.000Z,32,0,0.0,27,0.0
2020-04-13T00:00:00.000Z,32,0,0.0,27,0.0
2020-04-14T00:00:00.000Z,32,0,0.0,23,0.0
2020-04-15T00:00:00.000Z,35,2,3.0,26,2.0
2020-04-16T00:00:00.000Z,36,2,1.0,27,0.0
2020-04-17T00:00:00.000Z,53,3,17.0,44,1.0
2020-04-18T00:00:00.000Z,67,3,14.0,58,0.0
2020-04-19T00:00:00.000Z,74,3,7.0,65,0.0
2020-04-20T00:00:00.000Z,77,3,3.0,68,0.0
2020-04-21T00:00:00.000Z,77,3,0.0,68,0.0
2020-04-22T00:00:00.000Z,88,3,11.0,76,0.0
2020-04-23T00:00:00.000Z,94,3,6.0,80,0.0
2020-04-24T00:00:00.000Z,104,3,10.0,88,0.0
2020-04-25T00:00:00.000Z,122,3,18.0,103,0.0
2020-04-26T00:00:00.000Z,146,3,24.0,127,0.0
2020-04-27T00:00:00.000Z,158,3,12.0,139,0.0
2020-04-28T00:00:00.000Z,167,3,9.0,143,0.0
2020-04-29T00:00:00.000Z,183,3,16.0,146,0.0
2020-04-30T00:00:00.000Z,192,3,9.0,154,0.0
2020-05-01T00:00:00.000Z,231,3,39.0,192,0.0
2020-05-02T00:00:00.000Z,254,4,23.0,213,1.0
2020-05-03T00:00:00.000Z,283,5,29.0,230,1.0
2020-05-04T00:00:00.000Z,321,5,38.0,268,0.0
2020-05-05T00:00:00.000Z,322,5,1.0,269,0.0
2020-05-06T00:00:00.000Z,351,5,29.0,297,0.0
2020-05-07T00:00:00.000Z,379,5,28.0,310,0.0
2020-05-08T00:00:00.000Z,405,5,26.0,311,0.0
2020-05-09T00:00:00.000Z,455,5,50.0,353,0.0
2020-05-10T00:00:00.000Z,473,6,18.0,368,1.0
2020-05-11T00:00:00.000Z,494,6,21.0,365,0.0
2020-05-12T00:00:00.000Z,497,6,3.0,351,0.0
2020-05-13T00:00:00.000Z,532,6,35.0,364,0.0
2020-05-14T00:00:00.000Z,567,6,35.0,384,0.0
2020-05-15T00:00:00.000Z,618,6,51.0,423,0.0
2020-05-16T00:00:00.000Z,655,8,37.0,444,2.0
2020-05-17T00:00:00.000Z,693,8,38.0,465,0.0
2020-05-18T00:00:00.000Z,721,8,28.0,471,0.0
2020-05-19T00:00:00.000Z,721,8,0.0,463,0.0
2020-05-20T00:00:00.000Z,744,10,23.0,482,2.0
2020-05-21T00:00:00.000Z,776,10,32.0,493,0.0
2020-05-22T00:00:00.000Z,810,11,34.0,488,1.0
2020-05-23T00:00:00.000Z,856,11,46.0,512,0.0
2020-05-24T00:00:00.000Z,879,11,23.0,529,0.0
2020-05-25T00:00:00.000Z,903,11,24.0,549,0.0
2020-05-26T00:00:00.000Z,903,12,0.0,520,1.0
2020-05-27T00:00:00.000Z,944,12,41.0,543,0.0
2020-05-28T00:00:00.000Z,973,12,29.0,542,0.0
2020-05-29T00:00:00.000Z,999,14,26.0,549,2.0
2020-05-30T00:00:00.000Z,1019,14,20.0,542,0.0
2020-05-31T00:00:00.000Z,1054,15,35.0,570,1.0
2020-06-01T00:00:00.000Z,1074,15,20.0,564,0.0
2020-06-02T00:00:00.000Z,1085,15,11.0,567,0.0
2020-06-03T00:00:00.000Z,1108,16,23.0,552,1.0
2020-06-04T00:00:00.000Z,1127,16,19.0,550,0.0
2020-06-05T00:00:00.000Z,1136,16,9.0,527,0.0
2020-06-06T00:00:00.000Z,1149,16,13.0,535,0.0
2020-06-07T00:00:00.000Z,1168,16,19.0,544,0.0
2020-06-08T00:00:00.000Z,1179,16,11.0,548,0.0
2020-06-09T00:00:00.000Z,1180,16,1.0,483,0.0
2020-06-10T00:00:00.000Z,1203,16,23.0,469,0.0
2020-06-11T00:00:00.000Z,1215,16,12.0,464,0.0
2020-06-12T00:00:00.000Z,1233,18,18.0,457,2.0
2020-06-13T00:00:00.000Z,1247,18,14.0,443,0.0
2020-06-14T00:00:00.000Z,1263,18,16.0,442,0.0
