date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-05T00:00:00.000Z,2,0,2.0,2,0.0
2020-04-06T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-07T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-08T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-09T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-10T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-11T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-12T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-13T00:00:00.000Z,3,0,1.0,3,0.0
2020-04-14T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-15T00:00:00.000Z,7,0,4.0,7,0.0
2020-04-16T00:00:00.000Z,8,0,1.0,8,0.0
2020-04-17T00:00:00.000Z,9,0,1.0,9,0.0
2020-04-18T00:00:00.000Z,15,0,6.0,15,0.0
2020-04-19T00:00:00.000Z,19,0,4.0,19,0.0
2020-04-20T00:00:00.000Z,27,0,8.0,27,0.0
2020-04-21T00:00:00.000Z,30,0,3.0,30,0.0
2020-04-22T00:00:00.000Z,30,0,0.0,30,0.0
2020-04-23T00:00:00.000Z,35,0,5.0,34,0.0
2020-04-24T00:00:00.000Z,37,0,2.0,34,0.0
2020-04-25T00:00:00.000Z,42,0,5.0,38,0.0
2020-04-26T00:00:00.000Z,44,0,2.0,39,0.0
2020-04-27T00:00:00.000Z,56,0,12.0,51,0.0
2020-04-28T00:00:00.000Z,62,0,6.0,57,0.0
2020-04-29T00:00:00.000Z,63,0,1.0,56,0.0
2020-04-30T00:00:00.000Z,66,0,3.0,56,0.0
2020-05-01T00:00:00.000Z,74,0,8.0,63,0.0
2020-05-02T00:00:00.000Z,81,0,7.0,70,0.0
2020-05-03T00:00:00.000Z,85,0,4.0,72,0.0
2020-05-04T00:00:00.000Z,89,0,4.0,76,0.0
2020-05-05T00:00:00.000Z,91,0,2.0,74,0.0
2020-05-06T00:00:00.000Z,103,0,12.0,86,0.0
2020-05-07T00:00:00.000Z,112,0,9.0,93,0.0
2020-05-08T00:00:00.000Z,125,0,13.0,95,0.0
2020-05-09T00:00:00.000Z,128,0,3.0,97,0.0
2020-05-10T00:00:00.000Z,148,0,20.0,116,0.0
2020-05-11T00:00:00.000Z,160,0,12.0,125,0.0
2020-05-12T00:00:00.000Z,171,0,11.0,131,0.0
2020-05-13T00:00:00.000Z,176,1,5.0,133,1.0
2020-05-14T00:00:00.000Z,188,1,12.0,139,0.0
2020-05-15T00:00:00.000Z,194,1,6.0,145,0.0
2020-05-16T00:00:00.000Z,202,1,8.0,150,0.0
2020-05-17T00:00:00.000Z,215,1,13.0,163,0.0
2020-05-18T00:00:00.000Z,225,1,10.0,173,0.0
2020-05-19T00:00:00.000Z,233,1,8.0,170,0.0
2020-05-20T00:00:00.000Z,241,1,8.0,177,0.0
2020-05-21T00:00:00.000Z,260,1,19.0,194,0.0
2020-05-22T00:00:00.000Z,268,1,8.0,197,0.0
2020-05-23T00:00:00.000Z,284,1,16.0,209,0.0
2020-05-24T00:00:00.000Z,300,1,16.0,203,0.0
