,date,confirmed,cured,deaths
0,2020-03-27T00:00:00.000Z,2,0,0
1,2020-03-28T00:00:00.000Z,2,0,0
2,2020-03-29T00:00:00.000Z,3,0,0
3,2020-03-30T00:00:00.000Z,3,0,0
4,2020-03-31T00:00:00.000Z,3,0,0
5,2020-04-01T00:00:00.000Z,4,0,0
6,2020-04-02T00:00:00.000Z,4,0,0
7,2020-04-03T00:00:00.000Z,4,0,0
8,2020-04-04T00:00:00.000Z,5,3,0
9,2020-04-05T00:00:00.000Z,5,3,0
10,2020-04-06T00:00:00.000Z,6,3,0
11,2020-04-07T00:00:00.000Z,6,3,0
12,2020-04-08T00:00:00.000Z,13,3,0
13,2020-04-09T00:00:00.000Z,17,3,0
14,2020-04-10T00:00:00.000Z,19,3,0
15,2020-04-11T00:00:00.000Z,19,4,0
16,2020-04-12T00:00:00.000Z,42,4,0
17,2020-04-13T00:00:00.000Z,58,4,0
18,2020-04-14T00:00:00.000Z,71,4,0
19,2020-04-15T00:00:00.000Z,71,5,0
20,2020-04-16T00:00:00.000Z,71,5,1
21,2020-04-17T00:00:00.000Z,136,5,1
22,2020-04-18T00:00:00.000Z,198,5,1
23,2020-04-19T00:00:00.000Z,258,5,1
24,2020-04-20T00:00:00.000Z,293,5,1
25,2020-04-21T00:00:00.000Z,327,11,1
26,2020-04-22T00:00:00.000Z,357,11,1
27,2020-04-23T00:00:00.000Z,385,13,1
28,2020-04-24T00:00:00.000Z,424,18,2
29,2020-04-25T00:00:00.000Z,469,36,2
30,2020-04-26T00:00:00.000Z,518,36,2
31,2020-04-27T00:00:00.000Z,560,36,2
32,2020-04-28T00:00:00.000Z,592,42,2
33,2020-04-29T00:00:00.000Z,659,49,3
34,2020-04-30T00:00:00.000Z,698,72,3
35,2020-05-01T00:00:00.000Z,728,86,3
36,2020-05-02T00:00:00.000Z,765,94,3
37,2020-05-03T00:00:00.000Z,808,97,3
38,2020-05-04T00:00:00.000Z,867,98,4
39,2020-05-05T00:00:00.000Z,923,121,5
40,2020-05-06T00:00:00.000Z,977,140,5
41,2020-05-07T00:00:00.000Z,1018,145,6
42,2020-05-08T00:00:00.000Z,1055,160,8
43,2020-05-09T00:00:00.000Z,1102,197,8
44,2020-05-10T00:00:00.000Z,1148,216,8
45,2020-05-11T00:00:00.000Z,1190,237,8
46,2020-05-12T00:00:00.000Z,1225,237,8
47,2020-05-13T00:00:00.000Z,1262,252,9
48,2020-05-14T00:00:00.000Z,1296,312,9
49,2020-05-15T00:00:00.000Z,1323,350,9
50,2020-05-16T00:00:00.000Z,1348,357,9
51,2020-05-17T00:00:00.000Z,1376,412,9
52,2020-05-18T00:00:00.000Z,1409,418,9
53,2020-05-19T00:00:00.000Z,1443,434,9
54,2020-05-20T00:00:00.000Z,1477,463,9
55,2020-05-21T00:00:00.000Z,1512,478,9
56,2020-05-22T00:00:00.000Z,1548,493,11
57,2020-05-23T00:00:00.000Z,1580,531,12
58,2020-05-24T00:00:00.000Z,1612,542,12
59,2020-05-25T00:00:00.000Z,1646,542,12
60,2020-05-26T00:00:00.000Z,1684,553,12
61,2020-05-27T00:00:00.000Z,1727,568,12
62,2020-05-28T00:00:00.000Z,1776,636,12
63,2020-05-29T00:00:00.000Z,1820,738,12
64,2020-05-30T00:00:00.000Z,1860,777,12
65,2020-05-31T00:00:00.000Z,1895,799,12
66,2020-06-01T00:00:00.000Z,1931,827,12
67,2020-06-02T00:00:00.000Z,1970,898,13
68,2020-06-03T00:00:00.000Z,2012,954,14
69,2020-06-04T00:00:00.000Z,2051,1016,14
70,2020-06-05T00:00:00.000Z,2098,1064,15
71,2020-06-06T00:00:00.000Z,2138,1111,18
72,2020-06-07T00:00:00.000Z,2185,1123,18
73,2020-06-08T00:00:00.000Z,2230,1155,18
74,2020-06-09T00:00:00.000Z,2296,1191,18
75,2020-06-10T00:00:00.000Z,2360,1225,18
76,2020-06-11T00:00:00.000Z,2418,1297,20
77,2020-06-12T00:00:00.000Z,2480,1327,20
78,2020-06-13T00:00:00.000Z,2538,1351,20
79,2020-06-14T00:00:00.000Z,2596,1470,21
80,2020-06-15T00:00:00.000Z,2652,1471,21
81,2020-06-16T00:00:00.000Z,2707,1680,22
82,2020-06-17T00:00:00.000Z,2762,1697,22
83,2020-06-18T00:00:00.000Z,2818,1755,22
84,2020-06-19T00:00:00.000Z,2874,1812,23
85,2020-06-20T00:00:00.000Z,2931,1817,23
86,2020-06-21T00:00:00.000Z,2986,1858,23
87,2020-06-22T00:00:00.000Z,3040,1862,23
88,2020-06-23T00:00:00.000Z,3094,1915,24
89,2020-06-24T00:00:00.000Z,3143,2007,24
90,2020-06-25T00:00:00.000Z,3192,2029,24
91,2020-06-26T00:00:00.000Z,3240,2083,25
92,2020-06-27T00:00:00.000Z,3284,2106,26
93,2020-06-28T00:00:00.000Z,3324,2119,26
94,2020-06-29T00:00:00.000Z,3359,2158,26
95,2020-06-30T00:00:00.000Z,3394,2200,26
96,2020-07-01T00:00:00.000Z,3431,2250,27
97,2020-07-02T00:00:00.000Z,3467,2303,27
98,2020-07-03T00:00:00.000Z,3505,2370,27
99,2020-07-04T00:00:00.000Z,3542,2397,27
100,2020-07-05T00:00:00.000Z,3577,2408,27
101,2020-07-06T00:00:00.000Z,3611,2437,27
102,2020-07-07T00:00:00.000Z,3646,2495,27
103,2020-07-08T00:00:00.000Z,3680,2559,27
104,2020-07-09T00:00:00.000Z,3717,2605,28
105,2020-07-10T00:00:00.000Z,3755,2660,28
106,2020-07-11T00:00:00.000Z,3792,2708,28
107,2020-07-12T00:00:00.000Z,3829,2741,29
108,2020-07-13T00:00:00.000Z,3865,2755,29
109,2020-07-14T00:00:00.000Z,3901,2799,29
110,2020-07-15T00:00:00.000Z,3938,2847,29
111,2020-07-16T00:00:00.000Z,3976,2887,30
112,2020-07-17T00:00:00.000Z,4014,2926,30
113,2020-07-18T00:00:00.000Z,4051,2950,32
114,2020-07-19T00:00:00.000Z,4086,2973,32
115,2020-07-20T00:00:00.000Z,4121,2990,32
116,2020-07-21T00:00:00.000Z,4157,3046,32
117,2020-07-22T00:00:00.000Z,4192,3087,32
118,2020-07-23T00:00:00.000Z,4227,3132,32
119,2020-07-24T00:00:00.000Z,4261,3173,32
120,2020-07-25T00:00:00.000Z,4295,3213,33
121,2020-07-26T00:00:00.000Z,4328,3237,33
122,2020-07-27T00:00:00.000Z,4360,3270,33
123,2020-07-28T00:00:00.000Z,4392,3309,34
124,2020-07-29T00:00:00.000Z,4424,3348,34
125,2020-07-30T00:00:00.000Z,4457,3389,34
126,2020-07-31T00:00:00.000Z,4490,3429,34
127,2020-08-01T00:00:00.000Z,4522,3474,38
128,2020-08-02T00:00:00.000Z,4553,3478,38
129,2020-08-03T00:00:00.000Z,4585,3502,38
130,2020-08-04T00:00:00.000Z,4616,3542,38
131,2020-08-05T00:00:00.000Z,4647,3574,38
132,2020-08-06T00:00:00.000Z,4679,3606,38
133,2020-08-07T00:00:00.000Z,4709,3627,38
134,2020-08-08T00:00:00.000Z,4739,3642,38
135,2020-08-09T00:00:00.000Z,4768,3671,38
136,2020-08-10T00:00:00.000Z,4798,3697,38
137,2020-08-11T00:00:00.000Z,4828,3713,38
138,2020-08-12T00:00:00.000Z,4857,3737,38
139,2020-08-13T00:00:00.000Z,4888,3768,38
140,2020-08-14T00:00:00.000Z,4920,3809,38
141,2020-08-15T00:00:00.000Z,4952,3827,38
142,2020-08-16T00:00:00.000Z,4983,3877,38
143,2020-08-17T00:00:00.000Z,5015,3901,38
144,2020-08-18T00:00:00.000Z,5047,3916,38
145,2020-08-19T00:00:00.000Z,5078,3952,38
146,2020-08-20T00:00:00.000Z,5109,3987,38
147,2020-08-21T00:00:00.000Z,5141,4028,38
148,2020-08-22T00:00:00.000Z,5174,4062,38
149,2020-08-23T00:00:00.000Z,5207,4093,38
150,2020-08-24T00:00:00.000Z,5238,4099,38
151,2020-08-25T00:00:00.000Z,5269,4139,38
152,2020-08-26T00:00:00.000Z,5301,4165,38
153,2020-08-27T00:00:00.000Z,5334,4192,38
154,2020-08-28T00:00:00.000Z,5367,4218,38
155,2020-08-29T00:00:00.000Z,5399,4239,38
156,2020-08-30T00:00:00.000Z,5430,4263,38
157,2020-08-31T00:00:00.000Z,5462,4287,38
158,2020-09-01T00:00:00.000Z,5493,4310,38
159,2020-09-02T00:00:00.000Z,5524,4330,38
160,2020-09-03T00:00:00.000Z,5556,4365,38
161,2020-09-04T00:00:00.000Z,5587,4403,38
162,2020-09-05T00:00:00.000Z,5620,4433,38
163,2020-09-06T00:00:00.000Z,5652,4476,38
164,2020-09-07T00:00:00.000Z,5683,4522,38
165,2020-09-08T00:00:00.000Z,5714,4562,38
166,2020-09-09T00:00:00.000Z,5745,4584,38
167,2020-09-10T00:00:00.000Z,5776,4600,38
168,2020-09-11T00:00:00.000Z,5808,4659,39
169,2020-09-12T00:00:00.000Z,5838,4671,39
170,2020-09-13T00:00:00.000Z,5870,4736,39
171,2020-09-14T00:00:00.000Z,5901,4795,39
172,2020-09-15T00:00:00.000Z,5931,4843,39
173,2020-09-16T00:00:00.000Z,5961,4892,39
174,2020-09-17T00:00:00.000Z,5992,4944,39
175,2020-09-18T00:00:00.000Z,6024,4998,40
176,2020-09-19T00:00:00.000Z,6057,5025,40
177,2020-09-20T00:00:00.000Z,6090,5049,40
178,2020-09-21T00:00:00.000Z,6122,5096,40
179,2020-09-22T00:00:00.000Z,6155,5136,40
180,2020-09-23T00:00:00.000Z,6188,5170,40
181,2020-09-24T00:00:00.000Z,6220,5199,40
182,2020-09-25T00:00:00.000Z,6254,5202,40
183,2020-09-26T00:00:00.000Z,6288,5242,40
184,2020-09-27T00:00:00.000Z,6324,5267,41
185,2020-09-28T00:00:00.000Z,6361,5285,41
186,2020-09-29T00:00:00.000Z,6400,5316,41
187,2020-09-30T00:00:00.000Z,6438,5349,41
188,2020-10-01T00:00:00.000Z,6477,5382,41
189,2020-10-02T00:00:00.000Z,6514,5430,41
190,2020-10-03T00:00:00.000Z,6553,5466,42
191,2020-10-04T00:00:00.000Z,6594,5510,42
192,2020-10-05T00:00:00.000Z,6636,5513,42
193,2020-10-06T00:00:00.000Z,6681,5555,42
194,2020-10-07T00:00:00.000Z,6728,5601,42
195,2020-10-08T00:00:00.000Z,6777,5642,43
196,2020-10-09T00:00:00.000Z,6827,5684,43
197,2020-10-10T00:00:00.000Z,6885,5724,44
198,2020-10-11T00:00:00.000Z,6946,5773,44
