date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15T00:00:00.000Z,6,0,6.0,6,0.0
2020-03-16T00:00:00.000Z,9,0,3.0,8,0.0
2020-03-17T00:00:00.000Z,9,0,0.0,8,0.0
2020-03-18T00:00:00.000Z,9,0,0.0,7,0.0
2020-03-19T00:00:00.000Z,10,0,1.0,8,0.0
2020-03-20T00:00:00.000Z,14,0,4.0,12,0.0
2020-03-21T00:00:00.000Z,16,0,2.0,14,0.0
2020-03-22T00:00:00.000Z,16,0,0.0,14,0.0
2020-03-23T00:00:00.000Z,16,0,0.0,14,0.0
2020-03-24T00:00:00.000Z,21,0,5.0,19,0.0
2020-03-25T00:00:00.000Z,21,0,0.0,19,0.0
2020-03-26T00:00:00.000Z,26,0,5.0,24,0.0
2020-03-27T00:00:00.000Z,26,0,0.0,21,0.0
2020-03-28T00:00:00.000Z,37,1,11.0,31,1.0
2020-03-29T00:00:00.000Z,42,1,5.0,37,0.0
2020-03-30T00:00:00.000Z,50,2,8.0,45,1.0
2020-03-31T00:00:00.000Z,98,2,48.0,91,0.0
2020-04-01T00:00:00.000Z,125,2,27.0,118,0.0
2020-04-02T00:00:00.000Z,147,2,22.0,140,0.0
2020-04-03T00:00:00.000Z,156,2,9.0,149,0.0
2020-04-04T00:00:00.000Z,171,2,15.0,164,0.0
2020-04-05T00:00:00.000Z,191,3,20.0,159,1.0
2020-04-06T00:00:00.000Z,226,3,35.0,194,0.0
2020-04-07T00:00:00.000Z,295,3,69.0,263,0.0
2020-04-08T00:00:00.000Z,329,3,34.0,286,0.0
2020-04-09T00:00:00.000Z,373,4,44.0,330,1.0
2020-04-10T00:00:00.000Z,408,4,35.0,365,0.0
2020-04-11T00:00:00.000Z,488,4,80.0,414,0.0
2020-04-12T00:00:00.000Z,557,4,69.0,483,0.0
2020-04-13T00:00:00.000Z,678,4,121.0,600,0.0
2020-04-14T00:00:00.000Z,799,4,121.0,721,0.0
2020-04-15T00:00:00.000Z,929,5,130.0,834,1.0
2020-04-16T00:00:00.000Z,1083,7,154.0,973,2.0
2020-04-17T00:00:00.000Z,1507,7,424.0,1376,0.0
2020-04-18T00:00:00.000Z,1646,8,139.0,1414,1.0
2020-04-19T00:00:00.000Z,1760,8,114.0,1521,0.0
2020-04-20T00:00:00.000Z,1846,8,86.0,1605,0.0
2020-04-21T00:00:00.000Z,1973,11,127.0,1693,3.0
2020-04-22T00:00:00.000Z,2267,14,294.0,1940,3.0
2020-04-23T00:00:00.000Z,2458,17,191.0,2090,3.0
2020-04-24T00:00:00.000Z,2711,20,253.0,2300,3.0
2020-04-25T00:00:00.000Z,2926,23,215.0,2466,3.0
2020-04-26T00:00:00.000Z,3077,27,151.0,2588,4.0
