date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-28T00:00:00.000Z,4,0,4.0,4,0.0
2020-03-29T00:00:00.000Z,4,0,0.0,4,0.0
2020-03-30T00:00:00.000Z,4,0,0.0,4,0.0
2020-03-31T00:00:00.000Z,4,0,0.0,4,0.0
2020-04-01T00:00:00.000Z,5,0,1.0,5,0.0
2020-04-02T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-03T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-04T00:00:00.000Z,6,0,1.0,6,0.0
2020-04-05T00:00:00.000Z,6,0,0.0,6,0.0
2020-04-06T00:00:00.000Z,6,0,0.0,6,0.0
2020-04-07T00:00:00.000Z,6,0,0.0,2,0.0
2020-04-08T00:00:00.000Z,11,0,5.0,7,0.0
2020-04-09T00:00:00.000Z,11,0,0.0,7,0.0
2020-04-10T00:00:00.000Z,11,0,0.0,7,0.0
2020-04-11T00:00:00.000Z,11,0,0.0,7,0.0
2020-04-12T00:00:00.000Z,11,0,0.0,7,0.0
2020-04-13T00:00:00.000Z,11,0,0.0,5,0.0
2020-04-14T00:00:00.000Z,11,0,0.0,5,0.0
2020-04-15T00:00:00.000Z,12,0,1.0,6,0.0
2020-04-16T00:00:00.000Z,12,0,0.0,6,0.0
2020-04-17T00:00:00.000Z,19,0,7.0,13,0.0
2020-04-18T00:00:00.000Z,19,0,0.0,13,0.0
2020-04-19T00:00:00.000Z,19,0,0.0,11,0.0
2020-04-20T00:00:00.000Z,19,0,0.0,11,0.0
2020-04-21T00:00:00.000Z,19,0,0.0,11,0.0
2020-04-22T00:00:00.000Z,19,0,0.0,11,0.0
2020-04-23T00:00:00.000Z,19,0,0.0,11,0.0
2020-04-24T00:00:00.000Z,20,0,1.0,12,0.0
2020-04-25T00:00:00.000Z,20,0,0.0,7,0.0
2020-04-26T00:00:00.000Z,20,0,0.0,7,0.0
2020-04-27T00:00:00.000Z,21,0,1.0,6,0.0
2020-04-28T00:00:00.000Z,22,0,1.0,5,0.0
2020-04-29T00:00:00.000Z,22,0,0.0,3,0.0
2020-04-30T00:00:00.000Z,23,0,1.0,4,0.0
2020-05-01T00:00:00.000Z,24,0,1.0,5,0.0
2020-05-02T00:00:00.000Z,24,0,0.0,5,0.0
2020-05-03T00:00:00.000Z,26,0,2.0,7,0.0
2020-05-04T00:00:00.000Z,28,0,2.0,9,0.0
2020-05-05T00:00:00.000Z,29,0,1.0,9,0.0
2020-05-06T00:00:00.000Z,29,0,0.0,9,0.0
2020-05-07T00:00:00.000Z,31,0,2.0,11,0.0
2020-05-08T00:00:00.000Z,31,0,0.0,11,0.0
2020-05-09T00:00:00.000Z,37,0,6.0,17,0.0
2020-05-10T00:00:00.000Z,37,0,0.0,17,0.0
2020-05-11T00:00:00.000Z,38,0,1.0,18,0.0
2020-05-12T00:00:00.000Z,41,0,3.0,21,0.0
2020-05-13T00:00:00.000Z,42,0,1.0,20,0.0
2020-05-14T00:00:00.000Z,44,0,2.0,19,0.0
2020-05-15T00:00:00.000Z,45,0,1.0,18,0.0
2020-05-16T00:00:00.000Z,48,0,3.0,20,0.0
2020-05-17T00:00:00.000Z,50,0,2.0,22,0.0
2020-05-18T00:00:00.000Z,50,0,0.0,21,0.0
2020-05-19T00:00:00.000Z,56,0,6.0,27,0.0
2020-05-20T00:00:00.000Z,57,0,1.0,28,0.0
2020-05-21T00:00:00.000Z,59,0,2.0,26,0.0
2020-05-22T00:00:00.000Z,63,0,4.0,28,0.0
2020-05-23T00:00:00.000Z,66,0,3.0,30,0.0
2020-05-24T00:00:00.000Z,68,0,2.0,32,0.0
2020-05-25T00:00:00.000Z,69,0,1.0,32,0.0
2020-05-26T00:00:00.000Z,74,0,5.0,27,0.0
2020-05-27T00:00:00.000Z,76,0,2.0,29,0.0
2020-05-28T00:00:00.000Z,80,0,4.0,31,0.0
2020-05-29T00:00:00.000Z,94,0,14.0,41,0.0
2020-05-30T00:00:00.000Z,101,0,7.0,48,0.0
2020-05-31T00:00:00.000Z,115,0,14.0,62,0.0
2020-06-01T00:00:00.000Z,118,0,3.0,65,0.0
2020-06-02T00:00:00.000Z,133,0,15.0,79,0.0
2020-06-03T00:00:00.000Z,143,0,10.0,81,0.0
2020-06-04T00:00:00.000Z,147,0,4.0,85,0.0
2020-06-05T00:00:00.000Z,160,0,13.0,97,0.0
2020-06-06T00:00:00.000Z,170,0,10.0,107,0.0
2020-06-07T00:00:00.000Z,188,0,18.0,117,0.0
