,date,confirmed,cured,deaths
0,2020-03-18T00:00:00.000Z,5,0,0
1,2020-03-19T00:00:00.000Z,5,0,0
2,2020-03-20T00:00:00.000Z,9,0,0
3,2020-03-21T00:00:00.000Z,9,0,0
4,2020-03-22T00:00:00.000Z,9,0,0
5,2020-03-23T00:00:00.000Z,9,0,0
6,2020-03-24T00:00:00.000Z,10,0,0
7,2020-03-25T00:00:00.000Z,10,0,0
8,2020-03-26T00:00:00.000Z,12,0,0
9,2020-03-27T00:00:00.000Z,14,0,0
10,2020-03-28T00:00:00.000Z,14,1,0
11,2020-03-29T00:00:00.000Z,14,1,0
12,2020-03-30T00:00:00.000Z,14,1,0
13,2020-03-31T00:00:00.000Z,15,1,0
14,2020-04-01T00:00:00.000Z,15,2,0
15,2020-04-02T00:00:00.000Z,17,7,0
16,2020-04-03T00:00:00.000Z,17,7,0
17,2020-04-04T00:00:00.000Z,17,7,0
18,2020-04-05T00:00:00.000Z,17,8,0
19,2020-04-06T00:00:00.000Z,17,9,0
20,2020-04-07T00:00:00.000Z,17,9,0
21,2020-04-08T00:00:00.000Z,18,9,0
22,2020-04-09T00:00:00.000Z,18,10,0
23,2020-04-10T00:00:00.000Z,20,11,0
24,2020-04-11T00:00:00.000Z,21,14,0
25,2020-04-12T00:00:00.000Z,24,14,0
26,2020-04-13T00:00:00.000Z,29,14,0
27,2020-04-14T00:00:00.000Z,40,14,0
28,2020-04-15T00:00:00.000Z,40,14,0
29,2020-04-16T00:00:00.000Z,50,14,0
30,2020-04-17T00:00:00.000Z,63,14,0
31,2020-04-18T00:00:00.000Z,64,15,0
32,2020-04-19T00:00:00.000Z,79,15,0
33,2020-04-20T00:00:00.000Z,95,15,0
34,2020-04-21T00:00:00.000Z,103,15,0
35,2020-04-22T00:00:00.000Z,115,15,0
36,2020-04-23T00:00:00.000Z,141,15,0
37,2020-04-24T00:00:00.000Z,185,19,0
38,2020-04-25T00:00:00.000Z,209,22,0
39,2020-04-26T00:00:00.000Z,229,26,2
40,2020-04-27T00:00:00.000Z,264,26,2
41,2020-04-28T00:00:00.000Z,272,27,5
42,2020-04-29T00:00:00.000Z,327,33,5
43,2020-04-30T00:00:00.000Z,367,36,5
44,2020-05-01T00:00:00.000Z,392,52,5
45,2020-05-02T00:00:00.000Z,433,53,5
46,2020-05-03T00:00:00.000Z,518,58,5
47,2020-05-04T00:00:00.000Z,578,59,5
48,2020-05-05T00:00:00.000Z,595,64,6
49,2020-05-06T00:00:00.000Z,676,72,6
50,2020-05-07T00:00:00.000Z,743,75,8
51,2020-05-08T00:00:00.000Z,802,82,8
52,2020-05-09T00:00:00.000Z,877,102,9
53,2020-05-10T00:00:00.000Z,951,126,9
54,2020-05-11T00:00:00.000Z,1017,135,9
55,2020-05-12T00:00:00.000Z,1083,148,9
56,2020-05-13T00:00:00.000Z,1162,174,9
57,2020-05-14T00:00:00.000Z,1246,194,9
58,2020-05-15T00:00:00.000Z,1302,233,9
59,2020-05-16T00:00:00.000Z,1372,275,9
60,2020-05-17T00:00:00.000Z,1437,295,9
61,2020-05-18T00:00:00.000Z,1503,322,10
62,2020-05-19T00:00:00.000Z,1568,365,11
63,2020-05-20T00:00:00.000Z,1666,419,11
64,2020-05-21T00:00:00.000Z,1740,485,13
65,2020-05-22T00:00:00.000Z,1814,539,14
66,2020-05-23T00:00:00.000Z,1900,578,15
67,2020-05-24T00:00:00.000Z,2021,636,16
68,2020-05-25T00:00:00.000Z,2118,642,16
69,2020-05-26T00:00:00.000Z,2205,669,17
70,2020-05-27T00:00:00.000Z,2340,761,17
71,2020-05-28T00:00:00.000Z,2437,829,18
72,2020-05-29T00:00:00.000Z,2485,892,20
73,2020-05-30T00:00:00.000Z,2527,948,20
74,2020-05-31T00:00:00.000Z,2612,1025,20
75,2020-06-01T00:00:00.000Z,2648,1060,20
76,2020-06-02T00:00:00.000Z,2724,1072,22
77,2020-06-03T00:00:00.000Z,2770,1138,23
78,2020-06-04T00:00:00.000Z,2833,1212,23
79,2020-06-05T00:00:00.000Z,2922,1282,23
80,2020-06-06T00:00:00.000Z,3026,1348,25
81,2020-06-07T00:00:00.000Z,3114,1425,27
82,2020-06-08T00:00:00.000Z,3200,1449,29
83,2020-06-09T00:00:00.000Z,3246,1485,32
84,2020-06-10T00:00:00.000Z,3359,1570,34
85,2020-06-11T00:00:00.000Z,3470,1651,37
86,2020-06-12T00:00:00.000Z,3548,1741,40
87,2020-06-13T00:00:00.000Z,3694,1847,43
88,2020-06-14T00:00:00.000Z,3804,1889,46
89,2020-06-15T00:00:00.000Z,3910,1931,49
