date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-28T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-29T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-30T00:00:00.000Z,4,0,2.0,4,0.0
2020-03-31T00:00:00.000Z,4,0,0.0,4,0.0
2020-04-01T00:00:00.000Z,15,0,11.0,14,0.0
2020-04-02T00:00:00.000Z,15,0,0.0,14,0.0
2020-04-03T00:00:00.000Z,19,0,4.0,18,0.0
2020-04-04T00:00:00.000Z,19,0,0.0,18,0.0
2020-04-05T00:00:00.000Z,19,0,0.0,18,0.0
2020-04-06T00:00:00.000Z,19,0,0.0,18,0.0
2020-04-07T00:00:00.000Z,25,0,6.0,24,0.0
2020-04-08T00:00:00.000Z,26,0,1.0,25,0.0
2020-04-09T00:00:00.000Z,30,0,4.0,29,0.0
2020-04-10T00:00:00.000Z,34,0,4.0,32,0.0
2020-04-11T00:00:00.000Z,35,0,1.0,33,0.0
2020-04-12T00:00:00.000Z,42,0,7.0,40,0.0
2020-04-13T00:00:00.000Z,44,0,2.0,40,0.0
2020-04-14T00:00:00.000Z,49,0,5.0,43,0.0
2020-04-15T00:00:00.000Z,56,0,7.0,48,0.0
2020-04-16T00:00:00.000Z,70,0,14.0,62,0.0
2020-04-17T00:00:00.000Z,87,0,17.0,74,0.0
2020-04-18T00:00:00.000Z,98,0,11.0,85,0.0
2020-04-19T00:00:00.000Z,114,0,16.0,101,0.0
2020-04-20T00:00:00.000Z,142,0,28.0,129,0.0
2020-04-21T00:00:00.000Z,168,0,26.0,155,0.0
2020-04-22T00:00:00.000Z,190,0,22.0,171,0.0
2020-04-23T00:00:00.000Z,229,0,39.0,210,0.0
2020-04-24T00:00:00.000Z,245,0,16.0,215,0.0
2020-04-25T00:00:00.000Z,265,2,20.0,231,2.0
2020-04-26T00:00:00.000Z,305,2,40.0,267,0.0
2020-04-27T00:00:00.000Z,327,2,22.0,288,0.0
2020-04-28T00:00:00.000Z,359,2,32.0,320,0.0
2020-04-29T00:00:00.000Z,392,2,33.0,343,0.0
2020-04-30T00:00:00.000Z,438,2,46.0,389,0.0
2020-05-01T00:00:00.000Z,487,2,49.0,435,0.0
2020-05-02T00:00:00.000Z,535,3,48.0,462,1.0
2020-05-03T00:00:00.000Z,585,3,50.0,490,0.0
2020-05-04T00:00:00.000Z,659,3,74.0,560,0.0
2020-05-05T00:00:00.000Z,737,3,78.0,631,0.0
2020-05-06T00:00:00.000Z,835,3,98.0,702,0.0
2020-05-07T00:00:00.000Z,876,4,41.0,741,1.0
2020-05-08T00:00:00.000Z,950,4,74.0,793,0.0
2020-05-09T00:00:00.000Z,1007,4,57.0,811,0.0
2020-05-10T00:00:00.000Z,1076,4,69.0,843,0.0
2020-05-11T00:00:00.000Z,1168,5,92.0,931,1.0
2020-05-12T00:00:00.000Z,1232,5,64.0,990,0.0
2020-05-13T00:00:00.000Z,1317,6,85.0,1073,1.0
2020-05-14T00:00:00.000Z,1413,6,96.0,1136,0.0
2020-05-15T00:00:00.000Z,1526,7,113.0,1205,1.0
2020-05-16T00:00:00.000Z,1633,7,107.0,1274,0.0
2020-05-17T00:00:00.000Z,1754,8,121.0,1368,1.0
2020-05-18T00:00:00.000Z,1871,8,117.0,1450,0.0
2020-05-19T00:00:00.000Z,1980,11,109.0,1542,3.0
2020-05-20T00:00:00.000Z,2072,12,92.0,1586,1.0
2020-05-21T00:00:00.000Z,2139,15,67.0,1571,3.0
2020-05-22T00:00:00.000Z,2223,16,84.0,1584,1.0
2020-05-23T00:00:00.000Z,2321,18,98.0,1622,2.0
2020-05-24T00:00:00.000Z,2418,20,97.0,1657,2.0
2020-05-25T00:00:00.000Z,2516,22,98.0,1731,2.0
2020-05-26T00:00:00.000Z,2581,25,65.0,1769,3.0
2020-05-27T00:00:00.000Z,2649,30,68.0,1788,5.0
2020-05-28T00:00:00.000Z,2746,32,97.0,1804,2.0
2020-05-29T00:00:00.000Z,2840,34,94.0,1807,2.0
2020-05-30T00:00:00.000Z,2936,34,96.0,1818,0.0
2020-05-31T00:00:00.000Z,3078,34,142.0,1925,0.0
2020-06-01T00:00:00.000Z,3174,34,96.0,2016,0.0
2020-06-02T00:00:00.000Z,3269,34,95.0,2063,0.0
2020-06-03T00:00:00.000Z,3363,34,94.0,2075,0.0
2020-06-04T00:00:00.000Z,3457,35,94.0,2096,1.0
2020-06-05T00:00:00.000Z,3553,35,96.0,2149,0.0
2020-06-06T00:00:00.000Z,3651,36,98.0,2189,1.0
2020-06-07T00:00:00.000Z,3763,36,112.0,2216,0.0
2020-06-08T00:00:00.000Z,3900,37,137.0,2327,1.0
2020-06-09T00:00:00.000Z,4015,37,115.0,2419,0.0
2020-06-10T00:00:00.000Z,4132,37,117.0,2433,0.0
2020-06-11T00:00:00.000Z,4246,37,114.0,2435,0.0
2020-06-12T00:00:00.000Z,4362,37,116.0,2382,0.0
2020-06-13T00:00:00.000Z,4480,38,118.0,2466,1.0
2020-06-14T00:00:00.000Z,4606,38,126.0,2554,0.0
2020-06-15T00:00:00.000Z,4734,38,128.0,2663,0.0
2020-06-16T00:00:00.000Z,4857,39,123.0,2653,1.0
2020-06-17T00:00:00.000Z,4982,39,125.0,2665,0.0
2020-06-18T00:00:00.000Z,5101,40,119.0,2705,1.0
2020-06-19T00:00:00.000Z,5217,40,116.0,2710,0.0
2020-06-20T00:00:00.000Z,5335,41,118.0,2740,1.0
2020-06-21T00:00:00.000Z,5450,41,115.0,2832,0.0
2020-06-22T00:00:00.000Z,5562,41,112.0,2922,0.0
2020-06-23T00:00:00.000Z,5671,42,109.0,2882,1.0
2020-06-24T00:00:00.000Z,5782,42,111.0,2887,0.0
2020-06-25T00:00:00.000Z,5892,42,110.0,2970,0.0
2020-06-26T00:00:00.000Z,6003,42,111.0,2969,0.0
2020-06-27T00:00:00.000Z,6115,42,112.0,2957,0.0
2020-06-28T00:00:00.000Z,6225,43,110.0,3031,1.0
2020-06-29T00:00:00.000Z,6334,43,109.0,3128,0.0
2020-06-30T00:00:00.000Z,6444,43,110.0,3100,0.0
2020-07-01T00:00:00.000Z,6546,44,102.0,2996,1.0
2020-07-02T00:00:00.000Z,6645,44,99.0,3076,0.0
