date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-21T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-28T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-29T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-30T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-31T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-01T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-02T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-03T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-04T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-05T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-06T00:00:00.000Z,2,0,1.0,1,0.0
2020-04-07T00:00:00.000Z,4,0,2.0,3,0.0
2020-04-08T00:00:00.000Z,4,0,0.0,3,0.0
2020-04-09T00:00:00.000Z,6,0,2.0,5,0.0
2020-04-10T00:00:00.000Z,40,0,34.0,38,0.0
2020-04-11T00:00:00.000Z,62,0,22.0,60,0.0
2020-04-12T00:00:00.000Z,70,0,8.0,68,0.0
2020-04-13T00:00:00.000Z,86,0,16.0,84,0.0
2020-04-14T00:00:00.000Z,86,1,0.0,84,1.0
2020-04-15T00:00:00.000Z,104,1,18.0,102,0.0
2020-04-16T00:00:00.000Z,123,1,19.0,121,0.0
2020-04-17T00:00:00.000Z,138,2,15.0,136,1.0
2020-04-18T00:00:00.000Z,157,2,19.0,155,0.0
2020-04-19T00:00:00.000Z,168,2,11.0,165,0.0
2020-04-20T00:00:00.000Z,187,2,19.0,184,0.0
2020-04-21T00:00:00.000Z,196,2,9.0,191,0.0
2020-04-22T00:00:00.000Z,228,2,32.0,223,0.0
2020-04-23T00:00:00.000Z,253,2,25.0,248,0.0
2020-04-24T00:00:00.000Z,280,3,27.0,275,1.0
2020-04-25T00:00:00.000Z,307,3,27.0,302,0.0
2020-04-26T00:00:00.000Z,331,3,24.0,326,0.0
2020-04-27T00:00:00.000Z,360,4,29.0,355,1.0
2020-04-28T00:00:00.000Z,379,4,19.0,364,0.0
2020-04-29T00:00:00.000Z,406,4,27.0,384,0.0
2020-04-30T00:00:00.000Z,429,4,23.0,381,0.0
2020-05-01T00:00:00.000Z,461,4,32.0,396,0.0
2020-05-02T00:00:00.000Z,499,4,38.0,421,0.0
2020-05-03T00:00:00.000Z,528,4,29.0,445,0.0
2020-05-04T00:00:00.000Z,528,4,0.0,444,0.0
2020-05-05T00:00:00.000Z,573,4,45.0,484,0.0
2020-05-06T00:00:00.000Z,573,4,0.0,484,0.0
2020-05-07T00:00:00.000Z,605,4,32.0,493,0.0
2020-05-08T00:00:00.000Z,681,4,76.0,561,0.0
2020-05-09T00:00:00.000Z,765,4,84.0,621,0.0
2020-05-10T00:00:00.000Z,848,4,83.0,703,0.0
2020-05-11T00:00:00.000Z,886,4,38.0,734,0.0
2020-05-12T00:00:00.000Z,886,4,0.0,734,0.0
2020-05-13T00:00:00.000Z,932,5,46.0,750,1.0
2020-05-14T00:00:00.000Z,1012,5,80.0,790,0.0
2020-05-15T00:00:00.000Z,1081,5,69.0,835,0.0
2020-05-16T00:00:00.000Z,1159,5,78.0,896,0.0
2020-05-17T00:00:00.000Z,1260,5,101.0,984,0.0
2020-05-18T00:00:00.000Z,1366,5,106.0,1086,0.0
2020-05-19T00:00:00.000Z,1462,5,96.0,1092,0.0
2020-05-20T00:00:00.000Z,1526,6,64.0,1154,1.0
2020-05-21T00:00:00.000Z,1596,6,70.0,1193,0.0
2020-05-22T00:00:00.000Z,1666,6,70.0,1230,0.0
2020-05-23T00:00:00.000Z,1764,6,98.0,1302,0.0
2020-05-24T00:00:00.000Z,1861,6,97.0,1363,0.0
2020-05-25T00:00:00.000Z,1959,6,98.0,1453,0.0
2020-05-26T00:00:00.000Z,2051,7,92.0,1500,1.0
2020-05-27T00:00:00.000Z,2121,7,70.0,1535,0.0
2020-05-28T00:00:00.000Z,2196,7,75.0,1582,0.0
2020-05-29T00:00:00.000Z,2271,8,75.0,1637,1.0
2020-05-30T00:00:00.000Z,2369,8,98.0,1669,0.0
2020-05-31T00:00:00.000Z,2466,8,97.0,1753,0.0
2020-06-01T00:00:00.000Z,2567,8,101.0,1854,0.0
2020-06-02T00:00:00.000Z,2672,10,105.0,1929,2.0
2020-06-03T00:00:00.000Z,2770,12,98.0,1938,2.0
2020-06-04T00:00:00.000Z,2870,12,100.0,2009,0.0
2020-06-05T00:00:00.000Z,2965,12,95.0,2068,0.0
2020-06-06T00:00:00.000Z,3074,13,109.0,2137,1.0
2020-06-07T00:00:00.000Z,3168,14,94.0,2214,1.0
2020-06-08T00:00:00.000Z,3265,16,97.0,2311,2.0
2020-06-09T00:00:00.000Z,3359,16,94.0,2346,0.0
2020-06-10T00:00:00.000Z,3450,18,91.0,2355,2.0
2020-06-11T00:00:00.000Z,3538,18,88.0,2337,0.0
2020-06-12T00:00:00.000Z,3633,18,95.0,2378,0.0
2020-06-13T00:00:00.000Z,3783,18,150.0,2516,0.0
2020-06-14T00:00:00.000Z,3902,20,119.0,2615,2.0
2020-06-15T00:00:00.000Z,4048,21,146.0,2761,1.0
2020-06-16T00:00:00.000Z,4195,24,147.0,2786,3.0
2020-06-17T00:00:00.000Z,4344,24,149.0,2821,0.0
2020-06-18T00:00:00.000Z,4467,25,123.0,2841,1.0
2020-06-19T00:00:00.000Z,4589,30,122.0,2806,5.0
2020-06-20T00:00:00.000Z,4700,34,111.0,2762,4.0
2020-06-21T00:00:00.000Z,4810,34,110.0,2758,0.0
2020-06-22T00:00:00.000Z,4920,35,110.0,2808,1.0
2020-06-23T00:00:00.000Z,5026,35,106.0,2620,0.0
2020-06-24T00:00:00.000Z,5133,35,107.0,2527,0.0
2020-06-25T00:00:00.000Z,5242,35,109.0,2583,0.0
2020-06-26T00:00:00.000Z,5352,35,110.0,2642,0.0
2020-06-27T00:00:00.000Z,5461,36,109.0,2621,1.0
2020-06-28T00:00:00.000Z,5567,36,106.0,2676,0.0
2020-06-29T00:00:00.000Z,5674,36,107.0,2765,0.0
2020-06-30T00:00:00.000Z,5780,39,106.0,2777,3.0
2020-07-01T00:00:00.000Z,5888,43,108.0,2733,4.0
2020-07-02T00:00:00.000Z,5993,43,105.0,2785,0.0
2020-07-03T00:00:00.000Z,6096,43,103.0,2765,0.0
2020-07-04T00:00:00.000Z,6203,48,107.0,2762,5.0
2020-07-05T00:00:00.000Z,6308,48,105.0,2807,0.0
2020-07-06T00:00:00.000Z,6415,48,107.0,2874,0.0
2020-07-07T00:00:00.000Z,6520,49,105.0,2840,1.0
2020-07-08T00:00:00.000Z,6628,49,108.0,2830,0.0
2020-07-09T00:00:00.000Z,6733,52,105.0,2768,3.0
2020-07-10T00:00:00.000Z,6836,52,103.0,2711,0.0
2020-07-11T00:00:00.000Z,6944,52,108.0,2692,0.0
2020-07-12T00:00:00.000Z,7051,53,107.0,2797,1.0
