date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-31T00:00:00.000Z,2,1,0.0,2,1.0
2020-04-01T00:00:00.000Z,3,1,1.0,3,0.0
2020-04-02T00:00:00.000Z,3,1,0.0,3,0.0
2020-04-03T00:00:00.000Z,3,1,0.0,3,0.0
2020-04-04T00:00:00.000Z,3,1,0.0,3,0.0
2020-04-05T00:00:00.000Z,3,1,0.0,3,0.0
2020-04-06T00:00:00.000Z,5,1,2.0,5,0.0
2020-04-07T00:00:00.000Z,12,1,7.0,12,0.0
2020-04-08T00:00:00.000Z,14,1,2.0,14,0.0
2020-04-09T00:00:00.000Z,38,1,24.0,38,0.0
2020-04-10T00:00:00.000Z,42,1,4.0,42,0.0
2020-04-11T00:00:00.000Z,48,1,6.0,47,0.0
2020-04-12T00:00:00.000Z,71,1,23.0,70,0.0
2020-04-13T00:00:00.000Z,84,1,13.0,83,0.0
2020-04-14T00:00:00.000Z,100,2,16.0,99,1.0
2020-04-15T00:00:00.000Z,145,2,45.0,144,0.0
2020-04-16T00:00:00.000Z,159,5,14.0,158,3.0
2020-04-17T00:00:00.000Z,183,5,24.0,182,0.0
2020-04-18T00:00:00.000Z,198,5,15.0,187,0.0
2020-04-19T00:00:00.000Z,225,5,27.0,214,0.0
2020-04-20T00:00:00.000Z,259,5,34.0,248,0.0
2020-04-21T00:00:00.000Z,280,5,21.0,269,0.0
2020-04-22T00:00:00.000Z,293,5,13.0,282,0.0
2020-04-23T00:00:00.000Z,339,5,46.0,328,0.0
2020-04-24T00:00:00.000Z,381,5,42.0,370,0.0
2020-04-25T00:00:00.000Z,426,5,45.0,415,0.0
2020-04-26T00:00:00.000Z,475,5,49.0,464,0.0
2020-04-27T00:00:00.000Z,518,5,43.0,507,0.0
2020-04-28T00:00:00.000Z,597,5,79.0,586,0.0
2020-04-29T00:00:00.000Z,634,5,37.0,602,0.0
2020-04-30T00:00:00.000Z,669,5,35.0,637,0.0
2020-05-01T00:00:00.000Z,715,7,46.0,678,2.0
2020-05-02T00:00:00.000Z,775,7,60.0,738,0.0
