date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-31T00:00:00.000Z,2,0,0.0,2,0.0
2020-04-01T00:00:00.000Z,9,0,7.0,9,0.0
2020-04-02T00:00:00.000Z,12,0,3.0,12,0.0
2020-04-03T00:00:00.000Z,12,0,0.0,12,0.0
2020-04-04T00:00:00.000Z,13,0,1.0,13,0.0
2020-04-05T00:00:00.000Z,13,0,0.0,13,0.0
2020-04-06T00:00:00.000Z,23,0,10.0,23,0.0
2020-04-07T00:00:00.000Z,23,0,0.0,23,0.0
2020-04-08T00:00:00.000Z,27,0,4.0,27,0.0
2020-04-09T00:00:00.000Z,35,0,8.0,35,0.0
2020-04-10T00:00:00.000Z,38,0,3.0,38,0.0
2020-04-11T00:00:00.000Z,39,0,1.0,39,0.0
2020-04-12T00:00:00.000Z,42,0,3.0,42,0.0
2020-04-13T00:00:00.000Z,43,0,1.0,43,0.0
2020-04-14T00:00:00.000Z,50,0,7.0,50,0.0
2020-04-15T00:00:00.000Z,52,0,2.0,52,0.0
2020-04-16T00:00:00.000Z,67,0,15.0,59,0.0
2020-04-17T00:00:00.000Z,77,0,10.0,68,0.0
2020-04-18T00:00:00.000Z,86,0,9.0,73,0.0
2020-04-19T00:00:00.000Z,93,0,7.0,80,0.0
2020-04-20T00:00:00.000Z,100,0,7.0,87,0.0
2020-04-21T00:00:00.000Z,107,0,7.0,94,0.0
2020-04-22T00:00:00.000Z,114,0,7.0,91,0.0
2020-04-23T00:00:00.000Z,120,0,6.0,97,0.0
2020-04-24T00:00:00.000Z,129,0,9.0,103,0.0
2020-04-25T00:00:00.000Z,138,0,9.0,109,0.0
2020-04-26T00:00:00.000Z,145,0,7.0,112,0.0
2020-04-27T00:00:00.000Z,155,0,10.0,122,0.0
2020-04-28T00:00:00.000Z,160,0,5.0,119,0.0
2020-04-29T00:00:00.000Z,166,0,6.0,121,0.0
2020-04-30T00:00:00.000Z,173,0,7.0,128,0.0
2020-05-01T00:00:00.000Z,184,0,11.0,134,0.0
2020-05-02T00:00:00.000Z,199,0,15.0,134,0.0
2020-05-03T00:00:00.000Z,219,0,20.0,151,0.0
2020-05-04T00:00:00.000Z,223,0,4.0,148,0.0
2020-05-05T00:00:00.000Z,230,0,7.0,153,0.0
2020-05-06T00:00:00.000Z,236,1,6.0,154,1.0
2020-05-07T00:00:00.000Z,241,1,5.0,157,0.0
2020-05-08T00:00:00.000Z,253,1,12.0,165,0.0
2020-05-09T00:00:00.000Z,267,1,14.0,177,0.0
2020-05-10T00:00:00.000Z,286,1,19.0,188,0.0
2020-05-11T00:00:00.000Z,298,1,12.0,194,0.0
2020-05-12T00:00:00.000Z,317,1,19.0,211,0.0
2020-05-13T00:00:00.000Z,334,1,17.0,221,0.0
2020-05-14T00:00:00.000Z,346,2,12.0,181,1.0
2020-05-15T00:00:00.000Z,361,2,15.0,189,0.0
2020-05-16T00:00:00.000Z,398,3,37.0,222,1.0
2020-05-17T00:00:00.000Z,431,3,33.0,251,0.0
2020-05-18T00:00:00.000Z,454,3,23.0,259,0.0
2020-05-19T00:00:00.000Z,477,3,23.0,281,0.0
2020-05-20T00:00:00.000Z,502,3,25.0,298,0.0
2020-05-21T00:00:00.000Z,528,3,26.0,306,0.0
2020-05-22T00:00:00.000Z,562,3,34.0,331,0.0
2020-05-23T00:00:00.000Z,603,4,41.0,359,1.0
2020-05-24T00:00:00.000Z,643,4,40.0,392,0.0
2020-05-25T00:00:00.000Z,665,4,22.0,404,0.0
2020-05-26T00:00:00.000Z,699,4,34.0,432,0.0
2020-05-27T00:00:00.000Z,774,5,75.0,498,1.0
2020-05-28T00:00:00.000Z,833,5,59.0,530,0.0
2020-05-29T00:00:00.000Z,860,7,27.0,540,2.0
2020-05-30T00:00:00.000Z,882,7,22.0,550,0.0
2020-05-31T00:00:00.000Z,929,7,47.0,581,0.0
2020-06-01T00:00:00.000Z,952,7,23.0,595,0.0
2020-06-02T00:00:00.000Z,979,7,27.0,599,0.0
2020-06-03T00:00:00.000Z,998,11,19.0,559,4.0
2020-06-04T00:00:00.000Z,1018,11,20.0,552,0.0
2020-06-05T00:00:00.000Z,1035,11,17.0,546,0.0
2020-06-06T00:00:00.000Z,1056,11,21.0,548,0.0
2020-06-07T00:00:00.000Z,1084,11,28.0,552,0.0
2020-06-08T00:00:00.000Z,1111,11,27.0,569,0.0
2020-06-09T00:00:00.000Z,1137,11,26.0,570,0.0
2020-06-10T00:00:00.000Z,1159,13,22.0,542,2.0
2020-06-11T00:00:00.000Z,1189,13,30.0,528,0.0
2020-06-12T00:00:00.000Z,1221,13,32.0,528,0.0
2020-06-13T00:00:00.000Z,1254,13,33.0,506,0.0
2020-06-14T00:00:00.000Z,1284,13,30.0,524,0.0
2020-06-15T00:00:00.000Z,1302,13,18.0,521,0.0
2020-06-16T00:00:00.000Z,1317,14,15.0,518,1.0
2020-06-17T00:00:00.000Z,1335,14,18.0,510,0.0
2020-06-18T00:00:00.000Z,1359,15,24.0,496,1.0
2020-06-19T00:00:00.000Z,1386,16,27.0,456,1.0
2020-06-20T00:00:00.000Z,1408,16,22.0,442,0.0
2020-06-21T00:00:00.000Z,1428,16,20.0,431,0.0
2020-06-22T00:00:00.000Z,1445,16,17.0,425,0.0
2020-06-23T00:00:00.000Z,1466,17,21.0,424,1.0
2020-06-24T00:00:00.000Z,1487,17,21.0,409,0.0
2020-06-25T00:00:00.000Z,1508,17,21.0,421,0.0
2020-06-26T00:00:00.000Z,1526,17,18.0,416,0.0
2020-06-27T00:00:00.000Z,1546,17,20.0,409,0.0
2020-06-28T00:00:00.000Z,1565,17,19.0,419,0.0
2020-06-29T00:00:00.000Z,1586,17,21.0,432,0.0
2020-06-30T00:00:00.000Z,1607,17,21.0,426,0.0
2020-07-01T00:00:00.000Z,1628,17,21.0,408,0.0
2020-07-02T00:00:00.000Z,1646,17,18.0,422,0.0
2020-07-03T00:00:00.000Z,1666,17,20.0,418,0.0
2020-07-04T00:00:00.000Z,1688,17,22.0,418,0.0
2020-07-05T00:00:00.000Z,1709,17,21.0,408,0.0
2020-07-06T00:00:00.000Z,1730,17,21.0,417,0.0
2020-07-07T00:00:00.000Z,1749,17,19.0,383,0.0
2020-07-08T00:00:00.000Z,1770,17,21.0,361,0.0
2020-07-09T00:00:00.000Z,1790,17,20.0,363,0.0
2020-07-10T00:00:00.000Z,1818,19,28.0,371,2.0
2020-07-11T00:00:00.000Z,1856,19,38.0,379,0.0
2020-07-12T00:00:00.000Z,1888,19,32.0,404,0.0
2020-07-13T00:00:00.000Z,1915,19,27.0,429,0.0
2020-07-14T00:00:00.000Z,1944,19,29.0,422,0.0
2020-07-15T00:00:00.000Z,1972,19,28.0,437,0.0
2020-07-16T00:00:00.000Z,2002,19,30.0,454,0.0
2020-07-17T00:00:00.000Z,2032,19,30.0,455,0.0
2020-07-18T00:00:00.000Z,2061,19,29.0,447,0.0
2020-07-19T00:00:00.000Z,2088,19,27.0,467,0.0
2020-07-20T00:00:00.000Z,2114,19,26.0,485,0.0
2020-07-21T00:00:00.000Z,2140,19,26.0,171,0.0
2020-07-22T00:00:00.000Z,2165,19,25.0,196,0.0
2020-07-23T00:00:00.000Z,2192,19,27.0,223,0.0
2020-07-24T00:00:00.000Z,2218,20,26.0,249,1.0
2020-07-25T00:00:00.000Z,2245,20,27.0,276,0.0
2020-07-26T00:00:00.000Z,2271,20,26.0,302,0.0
2020-07-27T00:00:00.000Z,2297,21,26.0,328,1.0
2020-07-28T00:00:00.000Z,2324,21,27.0,355,0.0
2020-07-29T00:00:00.000Z,2351,24,27.0,382,3.0
2020-07-30T00:00:00.000Z,2378,24,27.0,409,0.0
2020-07-31T00:00:00.000Z,2406,25,28.0,437,1.0
2020-08-01T00:00:00.000Z,2434,25,28.0,453,0.0
2020-08-02T00:00:00.000Z,2461,25,27.0,477,0.0
2020-08-03T00:00:00.000Z,2488,25,27.0,496,0.0
2020-08-04T00:00:00.000Z,2516,26,28.0,512,1.0
2020-08-05T00:00:00.000Z,2544,26,28.0,526,0.0
2020-08-06T00:00:00.000Z,2571,26,27.0,546,0.0
2020-08-07T00:00:00.000Z,2600,26,29.0,568,0.0
2020-08-08T00:00:00.000Z,2628,26,28.0,537,0.0
2020-08-09T00:00:00.000Z,2657,26,29.0,505,0.0
2020-08-10T00:00:00.000Z,2684,27,27.0,475,1.0
2020-08-11T00:00:00.000Z,2712,28,28.0,459,1.0
2020-08-12T00:00:00.000Z,2743,29,31.0,423,1.0
2020-08-13T00:00:00.000Z,2772,29,29.0,433,0.0
2020-08-14T00:00:00.000Z,2801,29,29.0,431,0.0
2020-08-15T00:00:00.000Z,2844,30,43.0,459,1.0
2020-08-16T00:00:00.000Z,2881,30,37.0,496,0.0
2020-08-17T00:00:00.000Z,2917,30,36.0,525,0.0
2020-08-18T00:00:00.000Z,2952,30,35.0,515,0.0
2020-08-19T00:00:00.000Z,2985,30,33.0,518,0.0
2020-08-20T00:00:00.000Z,3018,30,33.0,499,0.0
2020-08-21T00:00:00.000Z,3050,32,32.0,498,2.0
2020-08-22T00:00:00.000Z,3083,34,33.0,476,2.0
2020-08-23T00:00:00.000Z,3115,34,32.0,506,0.0
2020-08-24T00:00:00.000Z,3148,34,33.0,539,0.0
2020-08-25T00:00:00.000Z,3179,34,31.0,489,0.0
2020-08-26T00:00:00.000Z,3212,34,33.0,466,0.0
2020-08-27T00:00:00.000Z,3244,34,32.0,448,0.0
2020-08-28T00:00:00.000Z,3278,34,34.0,455,0.0
2020-08-29T00:00:00.000Z,3310,35,32.0,447,1.0
2020-08-30T00:00:00.000Z,3346,36,36.0,483,1.0
2020-08-31T00:00:00.000Z,3379,36,33.0,513,0.0
2020-09-01T00:00:00.000Z,3416,37,37.0,504,1.0
2020-09-02T00:00:00.000Z,3450,38,34.0,483,1.0
2020-09-03T00:00:00.000Z,3486,38,36.0,475,0.0
2020-09-04T00:00:00.000Z,3519,39,33.0,458,1.0
2020-09-05T00:00:00.000Z,3557,43,38.0,443,4.0
2020-09-06T00:00:00.000Z,3593,43,36.0,475,0.0
2020-09-07T00:00:00.000Z,3632,43,39.0,513,0.0
2020-09-08T00:00:00.000Z,3666,43,34.0,482,0.0
2020-09-09T00:00:00.000Z,3707,43,41.0,467,0.0
2020-09-10T00:00:00.000Z,3744,44,37.0,485,1.0
2020-09-11T00:00:00.000Z,3784,44,40.0,495,0.0
2020-09-12T00:00:00.000Z,3823,44,39.0,502,0.0
2020-09-13T00:00:00.000Z,3865,44,42.0,541,0.0
2020-09-14T00:00:00.000Z,3906,44,41.0,579,0.0
2020-09-15T00:00:00.000Z,3950,44,44.0,573,0.0
2020-09-16T00:00:00.000Z,3992,44,42.0,590,0.0
2020-09-17T00:00:00.000Z,4037,45,45.0,577,1.0
2020-09-18T00:00:00.000Z,4080,45,43.0,581,0.0
2020-09-19T00:00:00.000Z,4124,45,44.0,601,0.0
2020-09-20T00:00:00.000Z,4168,45,44.0,639,0.0
2020-09-21T00:00:00.000Z,4211,45,43.0,679,0.0
2020-09-22T00:00:00.000Z,4256,45,45.0,691,0.0
2020-09-23T00:00:00.000Z,4300,45,44.0,716,0.0
2020-09-24T00:00:00.000Z,4343,45,43.0,736,0.0
2020-09-25T00:00:00.000Z,4388,45,45.0,776,0.0
2020-09-26T00:00:00.000Z,4435,46,47.0,788,1.0
2020-09-27T00:00:00.000Z,4483,46,48.0,829,0.0
2020-09-28T00:00:00.000Z,4530,46,47.0,871,0.0
2020-09-29T00:00:00.000Z,4576,47,46.0,852,1.0
2020-09-30T00:00:00.000Z,4624,47,48.0,881,0.0
2020-10-01T00:00:00.000Z,4673,47,49.0,884,0.0
2020-10-02T00:00:00.000Z,4723,47,50.0,915,0.0
2020-10-03T00:00:00.000Z,4780,49,57.0,949,2.0
2020-10-04T00:00:00.000Z,4836,49,56.0,997,0.0
2020-10-05T00:00:00.000Z,4893,49,57.0,1043,0.0
2020-10-06T00:00:00.000Z,4949,49,56.0,1054,0.0
2020-10-07T00:00:00.000Z,5009,50,60.0,1088,1.0
2020-10-08T00:00:00.000Z,5071,50,62.0,1087,0.0
2020-10-09T00:00:00.000Z,5136,54,65.0,1140,4.0
2020-10-10T00:00:00.000Z,5205,54,69.0,1189,0.0
2020-10-11T00:00:00.000Z,5273,54,68.0,1242,0.0
