,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,7,0,0
2,2020-03-21T00:00:00.000Z,7,0,0
3,2020-03-22T00:00:00.000Z,7,0,0
4,2020-03-23T00:00:00.000Z,7,0,0
5,2020-03-24T00:00:00.000Z,7,0,0
6,2020-03-25T00:00:00.000Z,10,0,0
7,2020-03-26T00:00:00.000Z,14,0,0
8,2020-03-27T00:00:00.000Z,14,0,0
9,2020-03-28T00:00:00.000Z,14,0,0
10,2020-03-29T00:00:00.000Z,15,0,0
11,2020-03-30T00:00:00.000Z,15,0,0
12,2020-03-31T00:00:00.000Z,15,0,0
13,2020-04-01T00:00:00.000Z,15,1,0
14,2020-04-02T00:00:00.000Z,15,4,0
15,2020-04-03T00:00:00.000Z,15,4,0
16,2020-04-04T00:00:00.000Z,15,4,0
17,2020-04-05T00:00:00.000Z,15,4,0
18,2020-04-06T00:00:00.000Z,15,4,0
19,2020-04-07T00:00:00.000Z,15,7,0
20,2020-04-08T00:00:00.000Z,16,7,0
21,2020-04-09T00:00:00.000Z,16,8,0
22,2020-04-10T00:00:00.000Z,16,10,0
23,2020-04-11T00:00:00.000Z,19,13,0
24,2020-04-12T00:00:00.000Z,22,13,0
25,2020-04-13T00:00:00.000Z,25,13,0
26,2020-04-14T00:00:00.000Z,26,13,0
27,2020-04-15T00:00:00.000Z,33,15,0
28,2020-04-16T00:00:00.000Z,35,15,0
29,2020-04-17T00:00:00.000Z,47,15,0
30,2020-04-18T00:00:00.000Z,47,16,0
31,2020-04-19T00:00:00.000Z,88,16,0
32,2020-04-20T00:00:00.000Z,107,16,0
33,2020-04-21T00:00:00.000Z,111,16,0
34,2020-04-22T00:00:00.000Z,126,16,0
35,2020-04-23T00:00:00.000Z,130,17,0
36,2020-04-24T00:00:00.000Z,137,18,0
37,2020-04-25T00:00:00.000Z,145,18,0
38,2020-04-26T00:00:00.000Z,157,18,1
39,2020-04-27T00:00:00.000Z,159,18,1
40,2020-04-28T00:00:00.000Z,170,22,1
41,2020-04-29T00:00:00.000Z,183,25,2
42,2020-04-30T00:00:00.000Z,212,33,3
43,2020-05-01T00:00:00.000Z,229,33,3
44,2020-05-02T00:00:00.000Z,263,35,3
45,2020-05-03T00:00:00.000Z,282,39,4
46,2020-05-04T00:00:00.000Z,311,43,4
47,2020-05-05T00:00:00.000Z,331,44,4
48,2020-05-06T00:00:00.000Z,348,46,4
49,2020-05-07T00:00:00.000Z,385,66,4
50,2020-05-08T00:00:00.000Z,437,66,4
51,2020-05-09T00:00:00.000Z,477,83,4
52,2020-05-10T00:00:00.000Z,510,106,4
53,2020-05-11T00:00:00.000Z,551,120,4
54,2020-05-12T00:00:00.000Z,606,139,4
55,2020-05-13T00:00:00.000Z,652,189,4
56,2020-05-14T00:00:00.000Z,687,211,4
57,2020-05-15T00:00:00.000Z,722,246,4
58,2020-05-16T00:00:00.000Z,785,278,4
59,2020-05-17T00:00:00.000Z,828,313,4
60,2020-05-18T00:00:00.000Z,869,320,4
61,2020-05-19T00:00:00.000Z,914,355,4
62,2020-05-20T00:00:00.000Z,960,372,5
63,2020-05-21T00:00:00.000Z,997,449,6
64,2020-05-22T00:00:00.000Z,1077,496,6
65,2020-05-23T00:00:00.000Z,1177,541,6
66,2020-05-24T00:00:00.000Z,1276,577,7
67,2020-05-25T00:00:00.000Z,1357,587,7
68,2020-05-26T00:00:00.000Z,1445,633,7
69,2020-05-27T00:00:00.000Z,1529,658,7
70,2020-05-28T00:00:00.000Z,1623,704,7
71,2020-05-29T00:00:00.000Z,1705,770,8
72,2020-05-30T00:00:00.000Z,1819,824,8
73,2020-05-31T00:00:00.000Z,1930,857,8
74,2020-06-01T00:00:00.000Z,2042,903,8
75,2020-06-02T00:00:00.000Z,2116,943,8
76,2020-06-03T00:00:00.000Z,2214,1015,9
77,2020-06-04T00:00:00.000Z,2308,1071,11
78,2020-06-05T00:00:00.000Z,2380,1177,14
79,2020-06-06T00:00:00.000Z,2453,1242,15
80,2020-06-07T00:00:00.000Z,2531,1311,15
81,2020-06-08T00:00:00.000Z,2611,1343,15
82,2020-06-09T00:00:00.000Z,2686,1428,15
83,2020-06-10T00:00:00.000Z,2753,1560,19
84,2020-06-11T00:00:00.000Z,2822,1634,20
85,2020-06-12T00:00:00.000Z,2898,1751,20
86,2020-06-13T00:00:00.000Z,2968,1826,20
87,2020-06-14T00:00:00.000Z,3037,1862,20
88,2020-06-15T00:00:00.000Z,3122,1899,23
89,2020-06-16T00:00:00.000Z,3199,2028,23
90,2020-06-17T00:00:00.000Z,3290,2148,23
91,2020-06-18T00:00:00.000Z,3389,2252,23
92,2020-06-19T00:00:00.000Z,3486,2328,23
93,2020-06-20T00:00:00.000Z,3570,2416,23
94,2020-06-21T00:00:00.000Z,3657,2452,23
95,2020-06-22T00:00:00.000Z,3742,2526,24
96,2020-06-23T00:00:00.000Z,3817,2587,24
97,2020-06-24T00:00:00.000Z,3891,2689,24
98,2020-06-25T00:00:00.000Z,3963,2757,25
99,2020-06-26T00:00:00.000Z,4013,2802,27
100,2020-06-27T00:00:00.000Z,4075,2844,28
101,2020-06-28T00:00:00.000Z,4128,2861,28
102,2020-06-29T00:00:00.000Z,4178,2866,29
103,2020-06-30T00:00:00.000Z,4223,2961,30
104,2020-07-01T00:00:00.000Z,4267,3033,32
105,2020-07-02T00:00:00.000Z,4315,3084,32
106,2020-07-03T00:00:00.000Z,4365,3247,32
107,2020-07-04T00:00:00.000Z,4422,3333,32
108,2020-07-05T00:00:00.000Z,4467,3393,32
109,2020-07-06T00:00:00.000Z,4504,3473,32
110,2020-07-07T00:00:00.000Z,4550,3626,34
111,2020-07-08T00:00:00.000Z,4598,3730,34
112,2020-07-09T00:00:00.000Z,4656,3883,34
113,2020-07-10T00:00:00.000Z,4710,3999,35
114,2020-07-11T00:00:00.000Z,4757,4069,35
115,2020-07-12T00:00:00.000Z,4799,4115,35
116,2020-07-13T00:00:00.000Z,4844,4205,35
117,2020-07-14T00:00:00.000Z,4904,4320,35
118,2020-07-15T00:00:00.000Z,4976,4428,37
119,2020-07-16T00:00:00.000Z,5034,4525,38
120,2020-07-17T00:00:00.000Z,5089,4623,39
121,2020-07-18T00:00:00.000Z,5142,4702,39
122,2020-07-19T00:00:00.000Z,5193,4735,40
123,2020-07-20T00:00:00.000Z,5239,4779,40
124,2020-07-21T00:00:00.000Z,5283,4884,40
125,2020-07-22T00:00:00.000Z,5324,4964,40
126,2020-07-23T00:00:00.000Z,5375,5022,44
127,2020-07-24T00:00:00.000Z,5424,5105,47
128,2020-07-25T00:00:00.000Z,5474,5172,48
129,2020-07-26T00:00:00.000Z,5521,5232,50
130,2020-07-27T00:00:00.000Z,5565,5253,50
131,2020-07-28T00:00:00.000Z,5614,5276,50
132,2020-07-29T00:00:00.000Z,5671,5294,54
133,2020-07-30T00:00:00.000Z,5727,5317,57
134,2020-07-31T00:00:00.000Z,5787,5348,58
135,2020-08-01T00:00:00.000Z,5845,5381,58
136,2020-08-02T00:00:00.000Z,5899,5389,59
137,2020-08-03T00:00:00.000Z,5950,5392,59
138,2020-08-04T00:00:00.000Z,6003,5413,60
139,2020-08-05T00:00:00.000Z,6058,5424,60
140,2020-08-06T00:00:00.000Z,6116,5438,61
141,2020-08-07T00:00:00.000Z,6172,5461,62
142,2020-08-08T00:00:00.000Z,6229,5479,63
143,2020-08-09T00:00:00.000Z,6294,5502,63
144,2020-08-10T00:00:00.000Z,6358,5518,63
145,2020-08-11T00:00:00.000Z,6413,5544,64
146,2020-08-12T00:00:00.000Z,6469,5567,66
147,2020-08-13T00:00:00.000Z,6531,5596,66
148,2020-08-14T00:00:00.000Z,6596,5622,66
149,2020-08-15T00:00:00.000Z,6651,5645,66
150,2020-08-16T00:00:00.000Z,6703,5657,66
151,2020-08-17T00:00:00.000Z,6752,5663,66
152,2020-08-18T00:00:00.000Z,6799,5679,68
153,2020-08-19T00:00:00.000Z,6847,5705,69
154,2020-08-20T00:00:00.000Z,6893,5726,69
155,2020-08-21T00:00:00.000Z,6938,5744,69
156,2020-08-22T00:00:00.000Z,6985,5766,74
157,2020-08-23T00:00:00.000Z,7031,5781,74
158,2020-08-24T00:00:00.000Z,7075,5788,74
159,2020-08-25T00:00:00.000Z,7120,5816,79
160,2020-08-26T00:00:00.000Z,7166,5839,79
161,2020-08-27T00:00:00.000Z,7210,5870,79
162,2020-08-28T00:00:00.000Z,7253,5908,81
163,2020-08-29T00:00:00.000Z,7295,5939,81
164,2020-08-30T00:00:00.000Z,7338,5951,81
165,2020-08-31T00:00:00.000Z,7379,5955,83
166,2020-09-01T00:00:00.000Z,7425,5987,83
167,2020-09-02T00:00:00.000Z,7473,6008,83
168,2020-09-03T00:00:00.000Z,7520,6046,89
169,2020-09-04T00:00:00.000Z,7572,6087,90
170,2020-09-05T00:00:00.000Z,7622,6126,90
171,2020-09-06T00:00:00.000Z,7681,6155,90
172,2020-09-07T00:00:00.000Z,7739,6163,90
173,2020-09-08T00:00:00.000Z,7797,6204,90
174,2020-09-09T00:00:00.000Z,7860,6249,90
175,2020-09-10T00:00:00.000Z,7925,6296,90
176,2020-09-11T00:00:00.000Z,7992,6341,90
177,2020-09-12T00:00:00.000Z,8061,6384,90
178,2020-09-13T00:00:00.000Z,8129,6404,90
179,2020-09-14T00:00:00.000Z,8198,6418,90
180,2020-09-15T00:00:00.000Z,8263,6458,90
181,2020-09-16T00:00:00.000Z,8331,6503,90
182,2020-09-17T00:00:00.000Z,8400,6549,90
183,2020-09-18T00:00:00.000Z,8467,6592,90
184,2020-09-19T00:00:00.000Z,8536,6632,93
185,2020-09-20T00:00:00.000Z,8604,6646,93
186,2020-09-21T00:00:00.000Z,8671,6658,93
187,2020-09-22T00:00:00.000Z,8737,6702,93
188,2020-09-23T00:00:00.000Z,8807,6748,95
189,2020-09-24T00:00:00.000Z,8882,6791,95
190,2020-09-25T00:00:00.000Z,8961,6832,95
191,2020-09-26T00:00:00.000Z,9044,6872,95
192,2020-09-27T00:00:00.000Z,9128,6875,95
193,2020-09-28T00:00:00.000Z,9215,6899,95
194,2020-09-29T00:00:00.000Z,9295,6957,95
195,2020-09-30T00:00:00.000Z,9380,7005,95
196,2020-10-01T00:00:00.000Z,9467,7052,96
197,2020-10-02T00:00:00.000Z,9557,7101,97
198,2020-10-03T00:00:00.000Z,9650,7151,97
199,2020-10-04T00:00:00.000Z,9745,7153,97
200,2020-10-05T00:00:00.000Z,9839,7178,97
201,2020-10-06T00:00:00.000Z,9936,7226,99
202,2020-10-07T00:00:00.000Z,10036,7276,103
203,2020-10-08T00:00:00.000Z,10142,7328,105
204,2020-10-09T00:00:00.000Z,10249,7381,105
205,2020-10-10T00:00:00.000Z,10359,7433,105
206,2020-10-11T00:00:00.000Z,10487,7436,105
