,date,confirmed,cured,deaths
0,2020-04-02T00:00:00.000Z,2,0,0
1,2020-04-03T00:00:00.000Z,12,0,0
2,2020-04-04T00:00:00.000Z,12,0,0
3,2020-04-05T00:00:00.000Z,12,0,0
4,2020-04-06T00:00:00.000Z,12,0,0
5,2020-04-07T00:00:00.000Z,30,0,0
6,2020-04-08T00:00:00.000Z,41,0,0
7,2020-04-09T00:00:00.000Z,41,0,0
8,2020-04-10T00:00:00.000Z,41,0,1
9,2020-04-11T00:00:00.000Z,50,0,1
10,2020-04-12T00:00:00.000Z,62,0,1
11,2020-04-13T00:00:00.000Z,66,0,1
12,2020-04-14T00:00:00.000Z,66,0,1
13,2020-04-15T00:00:00.000Z,73,0,1
14,2020-04-16T00:00:00.000Z,95,0,1
15,2020-04-17T00:00:00.000Z,101,5,1
16,2020-04-18T00:00:00.000Z,106,7,1
17,2020-04-19T00:00:00.000Z,116,7,1
18,2020-04-20T00:00:00.000Z,140,7,1
19,2020-04-21T00:00:00.000Z,146,7,1
20,2020-04-22T00:00:00.000Z,149,22,1
21,2020-04-23T00:00:00.000Z,243,22,1
22,2020-04-24T00:00:00.000Z,266,35,1
23,2020-04-25T00:00:00.000Z,303,35,1
24,2020-04-26T00:00:00.000Z,348,35,1
25,2020-04-27T00:00:00.000Z,375,35,1
26,2020-04-28T00:00:00.000Z,387,39,1
27,2020-04-29T00:00:00.000Z,409,101,1
28,2020-04-30T00:00:00.000Z,463,105,1
29,2020-05-01T00:00:00.000Z,514,116,1
30,2020-05-02T00:00:00.000Z,557,118,1
31,2020-05-03T00:00:00.000Z,608,129,3
32,2020-05-04T00:00:00.000Z,712,129,3
33,2020-05-05T00:00:00.000Z,820,131,3
34,2020-05-06T00:00:00.000Z,925,137,3
35,2020-05-07T00:00:00.000Z,1018,144,3
36,2020-05-08T00:00:00.000Z,1054,158,3
37,2020-05-09T00:00:00.000Z,1105,158,3
38,2020-05-10T00:00:00.000Z,1177,166,3
39,2020-05-11T00:00:00.000Z,1239,178,3
40,2020-05-12T00:00:00.000Z,1311,179,3
41,2020-05-13T00:00:00.000Z,1360,194,3
42,2020-05-14T00:00:00.000Z,1433,198,3
43,2020-05-15T00:00:00.000Z,1548,220,3
44,2020-05-16T00:00:00.000Z,1598,234,3
45,2020-05-17T00:00:00.000Z,1689,235,3
46,2020-05-18T00:00:00.000Z,1748,246,3
47,2020-05-19T00:00:00.000Z,1806,251,3
48,2020-05-20T00:00:00.000Z,1838,281,5
49,2020-05-21T00:00:00.000Z,1902,324,5
50,2020-05-22T00:00:00.000Z,1989,398,5
51,2020-05-23T00:00:00.000Z,2025,686,5
52,2020-05-24T00:00:00.000Z,2054,720,6
53,2020-05-25T00:00:00.000Z,2092,724,6
54,2020-05-26T00:00:00.000Z,2151,758,6
55,2020-05-27T00:00:00.000Z,2202,788,6
56,2020-05-28T00:00:00.000Z,2249,856,7
57,2020-05-29T00:00:00.000Z,2280,898,9
58,2020-05-30T00:00:00.000Z,2310,953,9
59,2020-05-31T00:00:00.000Z,2375,975,9
60,2020-06-01T00:00:00.000Z,2415,984,10
61,2020-06-02T00:00:00.000Z,2466,1163,10
62,2020-06-03T00:00:00.000Z,2479,1207,11
63,2020-06-04T00:00:00.000Z,2534,1307,11
64,2020-06-05T00:00:00.000Z,2579,1340,11
65,2020-06-06T00:00:00.000Z,2621,1376,11
66,2020-06-07T00:00:00.000Z,2694,1429,11
67,2020-06-08T00:00:00.000Z,2777,1475,11
68,2020-06-09T00:00:00.000Z,2833,1475,13
69,2020-06-10T00:00:00.000Z,2887,1482,13
70,2020-06-11T00:00:00.000Z,2964,1485,13
71,2020-06-12T00:00:00.000Z,3086,1487,15
72,2020-06-13T00:00:00.000Z,3211,1491,15
73,2020-06-14T00:00:00.000Z,3325,1496,16
74,2020-06-15T00:00:00.000Z,3412,1499,17
75,2020-06-16T00:00:00.000Z,3505,1559,18
76,2020-06-17T00:00:00.000Z,3586,1643,21
77,2020-06-18T00:00:00.000Z,3713,1695,21
78,2020-06-19T00:00:00.000Z,3834,1733,22
79,2020-06-20T00:00:00.000Z,3966,1791,25
80,2020-06-21T00:00:00.000Z,4131,1818,25
81,2020-06-22T00:00:00.000Z,4271,1862,27
82,2020-06-23T00:00:00.000Z,4416,1904,30
83,2020-06-24T00:00:00.000Z,4553,1967,33
84,2020-06-25T00:00:00.000Z,4709,2006,34
85,2020-06-26T00:00:00.000Z,4858,2058,34
86,2020-06-27T00:00:00.000Z,5005,2153,34
87,2020-06-28T00:00:00.000Z,5159,2248,37
88,2020-06-29T00:00:00.000Z,5332,2282,37
89,2020-06-30T00:00:00.000Z,5580,2378,37
90,2020-07-01T00:00:00.000Z,5783,2434,39
91,2020-07-02T00:00:00.000Z,5980,2462,40
92,2020-07-03T00:00:00.000Z,6171,2513,42
93,2020-07-04T00:00:00.000Z,6368,2597,43
94,2020-07-05T00:00:00.000Z,6555,2635,44
95,2020-07-06T00:00:00.000Z,6752,2654,45
96,2020-07-07T00:00:00.000Z,6941,2689,47
97,2020-07-08T00:00:00.000Z,7143,2757,47
98,2020-07-09T00:00:00.000Z,7339,2840,51
99,2020-07-10T00:00:00.000Z,7547,2930,52
100,2020-07-11T00:00:00.000Z,7742,2968,56
101,2020-07-12T00:00:00.000Z,7954,3028,56
102,2020-07-13T00:00:00.000Z,8159,3053,56
103,2020-07-14T00:00:00.000Z,8370,3276,57
104,2020-07-15T00:00:00.000Z,8572,3535,57
105,2020-07-16T00:00:00.000Z,8759,3705,59
106,2020-07-17T00:00:00.000Z,8965,3978,59
107,2020-07-18T00:00:00.000Z,9147,4097,60
108,2020-07-19T00:00:00.000Z,9323,4154,60
109,2020-07-20T00:00:00.000Z,9478,4376,60
110,2020-07-21T00:00:00.000Z,9656,4589,64
111,2020-07-22T00:00:00.000Z,9831,4931,68
112,2020-07-23T00:00:00.000Z,10001,5205,70
