date,total_cases,cured,total_deaths
2020-03-17T00:00:00.000Z,1,0,0
2020-03-18T00:00:00.000Z,1,0,0
2020-03-19T00:00:00.000Z,1,0,0
2020-03-20T00:00:00.000Z,1,0,0
2020-03-21T00:00:00.000Z,1,0,0
2020-03-22T00:00:00.000Z,1,0,0
2020-03-23T00:00:00.000Z,1,0,0
2020-03-24T00:00:00.000Z,1,0,0
2020-03-25T00:00:00.000Z,1,0,0
2020-03-26T00:00:00.000Z,1,0,0
2020-03-27T00:00:00.000Z,2,0,0
2020-03-28T00:00:00.000Z,2,0,0
2020-03-29T00:00:00.000Z,3,0,0
2020-03-30T00:00:00.000Z,3,1,0
2020-03-31T00:00:00.000Z,3,1,0
2020-04-01T00:00:00.000Z,3,1,0
2020-04-02T00:00:00.000Z,3,1,0
2020-04-03T00:00:00.000Z,3,1,0
2020-04-04T00:00:00.000Z,5,1,0
2020-04-05T00:00:00.000Z,6,1,0
2020-04-06T00:00:00.000Z,6,1,0
2020-04-07T00:00:00.000Z,11,1,0
2020-04-08T00:00:00.000Z,11,1,0
2020-04-09T00:00:00.000Z,13,2,0
2020-04-10T00:00:00.000Z,13,2,0
2020-04-11T00:00:00.000Z,13,2,0
2020-04-12T00:00:00.000Z,27,3,0
2020-04-13T00:00:00.000Z,27,3,0
2020-04-14T00:00:00.000Z,27,6,0
2020-04-15T00:00:00.000Z,39,7,0
2020-04-16T00:00:00.000Z,62,7,0
2020-04-17T00:00:00.000Z,81,7,0
2020-04-18T00:00:00.000Z,105,12,0
2020-04-19T00:00:00.000Z,117,12,0
2020-04-20T00:00:00.000Z,144,12,0
2020-04-21T00:00:00.000Z,187,12,0
2020-04-22T00:00:00.000Z,228,18,1
2020-04-23T00:00:00.000Z,263,18,1
2020-04-24T00:00:00.000Z,305,19,2
2020-04-25T00:00:00.000Z,342,23,2
2020-04-26T00:00:00.000Z,384,23,2
2020-04-27T00:00:00.000Z,409,26,3
2020-04-28T00:00:00.000Z,456,26,3
2020-04-29T00:00:00.000Z,483,43,4
