,date,confirmed,cured,deaths
0,2020-03-22T00:00:00.000Z,1,0,0
1,2020-03-23T00:00:00.000Z,1,0,0
2,2020-03-24T00:00:00.000Z,1,0,0
3,2020-03-25T00:00:00.000Z,2,0,0
4,2020-03-26T00:00:00.000Z,2,0,0
5,2020-03-27T00:00:00.000Z,2,0,0
6,2020-03-28T00:00:00.000Z,3,0,0
7,2020-03-29T00:00:00.000Z,3,0,0
8,2020-03-30T00:00:00.000Z,3,0,0
9,2020-03-31T00:00:00.000Z,3,0,0
10,2020-04-01T00:00:00.000Z,5,0,0
11,2020-04-02T00:00:00.000Z,5,0,0
12,2020-04-03T00:00:00.000Z,7,0,0
13,2020-04-04T00:00:00.000Z,19,0,0
14,2020-04-05T00:00:00.000Z,19,0,0
15,2020-04-06T00:00:00.000Z,24,0,0
16,2020-04-07T00:00:00.000Z,56,0,0
17,2020-04-08T00:00:00.000Z,57,0,0
18,2020-04-09T00:00:00.000Z,97,3,0
19,2020-04-10T00:00:00.000Z,97,3,0
20,2020-04-11T00:00:00.000Z,123,3,0
21,2020-04-12T00:00:00.000Z,141,3,0
22,2020-04-13T00:00:00.000Z,142,3,0
23,2020-04-14T00:00:00.000Z,142,7,0
24,2020-04-15T00:00:00.000Z,164,12,0
25,2020-04-16T00:00:00.000Z,201,23,0
26,2020-04-17T00:00:00.000Z,228,23,1
27,2020-04-18T00:00:00.000Z,256,29,1
28,2020-04-19T00:00:00.000Z,279,30,1
29,2020-04-20T00:00:00.000Z,321,30,1
30,2020-04-21T00:00:00.000Z,350,58,1
31,2020-04-22T00:00:00.000Z,399,62,1
32,2020-04-23T00:00:00.000Z,459,68,2
33,2020-04-24T00:00:00.000Z,494,82,2
34,2020-04-25T00:00:00.000Z,521,84,2
35,2020-04-26T00:00:00.000Z,599,102,4
36,2020-04-27T00:00:00.000Z,642,102,4
37,2020-04-28T00:00:00.000Z,668,102,4
38,2020-04-29T00:00:00.000Z,783,163,4
39,2020-04-30T00:00:00.000Z,901,222,8
40,2020-05-01T00:00:00.000Z,989,240,9
41,2020-05-02T00:00:00.000Z,1062,261,9
42,2020-05-03T00:00:00.000Z,1148,276,9
43,2020-05-04T00:00:00.000Z,1250,294,12
44,2020-05-05T00:00:00.000Z,1287,313,12
45,2020-05-06T00:00:00.000Z,1367,369,12
46,2020-05-07T00:00:00.000Z,1442,379,12
47,2020-05-08T00:00:00.000Z,1514,417,17
48,2020-05-09T00:00:00.000Z,1537,450,17
49,2020-05-10T00:00:00.000Z,1605,500,17
50,2020-05-11T00:00:00.000Z,1678,536,22
51,2020-05-12T00:00:00.000Z,1753,592,29
52,2020-05-13T00:00:00.000Z,1826,670,30
53,2020-05-14T00:00:00.000Z,1908,748,30
54,2020-05-15T00:00:00.000Z,1995,834,30
55,2020-05-16T00:00:00.000Z,2080,909,30
56,2020-05-17T00:00:00.000Z,2178,1001,30
57,2020-05-18T00:00:00.000Z,2293,1017,30
58,2020-05-19T00:00:00.000Z,2405,1042,30
59,2020-05-20T00:00:00.000Z,2515,1129,31
60,2020-05-21T00:00:00.000Z,2632,1211,31
61,2020-05-22T00:00:00.000Z,2737,1289,31
62,2020-05-23T00:00:00.000Z,2840,1416,31
63,2020-05-24T00:00:00.000Z,2951,1474,31
64,2020-05-25T00:00:00.000Z,3057,1581,31
65,2020-05-26T00:00:00.000Z,3156,1681,31
66,2020-05-27T00:00:00.000Z,3254,1784,31
67,2020-05-28T00:00:00.000Z,3363,1893,31
68,2020-05-29T00:00:00.000Z,3473,2006,31
69,2020-05-30T00:00:00.000Z,3578,2109,31
70,2020-05-31T00:00:00.000Z,3685,2217,31
71,2020-06-01T00:00:00.000Z,3787,2321,31
72,2020-06-02T00:00:00.000Z,3885,2422,31
73,2020-06-03T00:00:00.000Z,3982,2522,31
74,2020-06-04T00:00:00.000Z,4078,2623,31
75,2020-06-05T00:00:00.000Z,4174,2720,31
76,2020-06-06T00:00:00.000Z,4269,2818,31
77,2020-06-07T00:00:00.000Z,4364,2917,31
78,2020-06-08T00:00:00.000Z,4458,3021,31
79,2020-06-09T00:00:00.000Z,4551,3120,31
80,2020-06-10T00:00:00.000Z,4641,3217,31
81,2020-06-11T00:00:00.000Z,4732,3316,32
82,2020-06-12T00:00:00.000Z,4825,3431,32
83,2020-06-13T00:00:00.000Z,4920,3519,32
84,2020-06-14T00:00:00.000Z,5011,3609,32
85,2020-06-15T00:00:00.000Z,5098,3688,32
86,2020-06-16T00:00:00.000Z,5183,3761,32
87,2020-06-17T00:00:00.000Z,5270,3839,32
88,2020-06-18T00:00:00.000Z,5345,3904,32
89,2020-06-19T00:00:00.000Z,5421,3969,32
90,2020-06-20T00:00:00.000Z,5498,4034,32
91,2020-06-21T00:00:00.000Z,5579,4065,32
92,2020-06-22T00:00:00.000Z,5655,4138,34
93,2020-06-23T00:00:00.000Z,5729,4170,34
94,2020-06-24T00:00:00.000Z,5801,4216,34
95,2020-06-25T00:00:00.000Z,5870,4272,34
96,2020-06-26T00:00:00.000Z,5941,4292,34
97,2020-06-27T00:00:00.000Z,6011,4357,34
98,2020-06-28T00:00:00.000Z,6079,4405,34
99,2020-06-29T00:00:00.000Z,6147,4415,34
