,date,confirmed,cured,deaths
0,2020-03-24T00:00:00.000Z,2,0,0
1,2020-03-25T00:00:00.000Z,2,0,0
2,2020-03-26T00:00:00.000Z,2,0,0
3,2020-03-27T00:00:00.000Z,2,0,0
4,2020-03-28T00:00:00.000Z,2,0,0
5,2020-03-29T00:00:00.000Z,2,0,0
6,2020-03-30T00:00:00.000Z,2,0,0
7,2020-03-31T00:00:00.000Z,4,1,0
8,2020-04-01T00:00:00.000Z,5,1,0
9,2020-04-02T00:00:00.000Z,5,2,0
10,2020-04-03T00:00:00.000Z,7,2,1
11,2020-04-04T00:00:00.000Z,7,2,1
12,2020-04-05T00:00:00.000Z,7,2,1
13,2020-04-06T00:00:00.000Z,8,2,1
14,2020-04-07T00:00:00.000Z,8,2,2
15,2020-04-08T00:00:00.000Z,15,2,2
16,2020-04-09T00:00:00.000Z,20,2,2
17,2020-04-10T00:00:00.000Z,20,2,2
18,2020-04-11T00:00:00.000Z,23,2,2
19,2020-04-12T00:00:00.000Z,24,2,2
20,2020-04-13T00:00:00.000Z,28,2,2
21,2020-04-14T00:00:00.000Z,32,3,2
22,2020-04-15T00:00:00.000Z,36,3,2
23,2020-04-16T00:00:00.000Z,40,3,2
24,2020-04-17T00:00:00.000Z,49,3,2
25,2020-04-18T00:00:00.000Z,67,4,2
26,2020-04-19T00:00:00.000Z,80,4,2
27,2020-04-20T00:00:00.000Z,97,4,2
28,2020-04-21T00:00:00.000Z,104,7,2
29,2020-04-22T00:00:00.000Z,178,11,2
30,2020-04-23T00:00:00.000Z,185,13,2
31,2020-04-24T00:00:00.000Z,220,23,2
32,2020-04-25T00:00:00.000Z,254,32,2
33,2020-04-26T00:00:00.000Z,278,33,3
34,2020-04-27T00:00:00.000Z,302,33,3
35,2020-04-28T00:00:00.000Z,347,33,3
36,2020-04-29T00:00:00.000Z,367,33,3
37,2020-04-30T00:00:00.000Z,403,33,3
38,2020-05-01T00:00:00.000Z,430,59,4
39,2020-05-02T00:00:00.000Z,455,61,4
40,2020-05-03T00:00:00.000Z,494,66,4
41,2020-05-04T00:00:00.000Z,547,73,4
42,2020-05-05T00:00:00.000Z,635,105,7
43,2020-05-06T00:00:00.000Z,684,112,8
44,2020-05-07T00:00:00.000Z,727,130,10
45,2020-05-08T00:00:00.000Z,763,150,10
46,2020-05-09T00:00:00.000Z,808,181,10
47,2020-05-10T00:00:00.000Z,856,193,10
48,2020-05-11T00:00:00.000Z,907,213,10
49,2020-05-12T00:00:00.000Z,955,240,12
50,2020-05-13T00:00:00.000Z,1008,268,12
51,2020-05-14T00:00:00.000Z,1057,307,12
52,2020-05-15T00:00:00.000Z,1110,340,12
53,2020-05-16T00:00:00.000Z,1197,389,12
54,2020-05-17T00:00:00.000Z,1268,399,12
55,2020-05-18T00:00:00.000Z,1339,410,14
56,2020-05-19T00:00:00.000Z,1402,459,14
57,2020-05-20T00:00:00.000Z,1446,487,14
58,2020-05-21T00:00:00.000Z,1495,514,14
59,2020-05-22T00:00:00.000Z,1542,551,14
60,2020-05-23T00:00:00.000Z,1595,584,15
61,2020-05-24T00:00:00.000Z,1646,610,15
62,2020-05-25T00:00:00.000Z,1695,617,15
63,2020-05-26T00:00:00.000Z,1735,706,17
64,2020-05-27T00:00:00.000Z,1779,798,17
65,2020-05-28T00:00:00.000Z,1836,885,17
66,2020-05-29T00:00:00.000Z,1893,945,18
67,2020-05-30T00:00:00.000Z,1943,1047,19
68,2020-05-31T00:00:00.000Z,1995,1075,19
69,2020-06-01T00:00:00.000Z,2049,1078,19
70,2020-06-02T00:00:00.000Z,2103,1160,19
71,2020-06-03T00:00:00.000Z,2155,1223,19
72,2020-06-04T00:00:00.000Z,2211,1290,21
73,2020-06-05T00:00:00.000Z,2262,1356,22
74,2020-06-06T00:00:00.000Z,2313,1402,22
75,2020-06-07T00:00:00.000Z,2375,1444,23
76,2020-06-08T00:00:00.000Z,2442,1464,23
77,2020-06-09T00:00:00.000Z,2500,1529,24
78,2020-06-10T00:00:00.000Z,2552,1614,25
79,2020-06-11T00:00:00.000Z,2609,1614,25
80,2020-06-12T00:00:00.000Z,2702,1634,26
81,2020-06-13T00:00:00.000Z,2787,1662,26
82,2020-06-14T00:00:00.000Z,2886,1684,26
83,2020-06-15T00:00:00.000Z,2977,1720,26
