,date,confirmed,cured,deaths
0,2020-04-17T00:00:00.000Z,2,0,0
1,2020-04-18T00:00:00.000Z,2,0,0
2,2020-04-19T00:00:00.000Z,2,0,0
3,2020-04-20T00:00:00.000Z,4,0,0
4,2020-04-21T00:00:00.000Z,8,0,0
5,2020-04-22T00:00:00.000Z,8,0,0
6,2020-04-23T00:00:00.000Z,9,0,0
7,2020-04-24T00:00:00.000Z,9,0,0
8,2020-04-25T00:00:00.000Z,14,0,0
9,2020-04-26T00:00:00.000Z,15,0,0
10,2020-04-27T00:00:00.000Z,27,0,0
11,2020-04-28T00:00:00.000Z,27,0,0
12,2020-04-29T00:00:00.000Z,30,0,0
13,2020-04-30T00:00:00.000Z,32,0,0
14,2020-05-01T00:00:00.000Z,33,0,0
15,2020-05-02T00:00:00.000Z,35,1,0
16,2020-05-03T00:00:00.000Z,36,1,0
17,2020-05-04T00:00:00.000Z,36,2,0
18,2020-05-05T00:00:00.000Z,37,2,0
19,2020-05-06T00:00:00.000Z,38,3,0
20,2020-05-07T00:00:00.000Z,40,5,0
21,2020-05-08T00:00:00.000Z,41,5,0
22,2020-05-09T00:00:00.000Z,51,12,0
23,2020-05-10T00:00:00.000Z,52,17,0
24,2020-05-11T00:00:00.000Z,54,18,0
25,2020-05-12T00:00:00.000Z,56,25,0
26,2020-05-13T00:00:00.000Z,60,26,0
27,2020-05-14T00:00:00.000Z,63,30,0
28,2020-05-15T00:00:00.000Z,65,30,0
29,2020-05-16T00:00:00.000Z,69,33,0
30,2020-05-17T00:00:00.000Z,75,34,0
31,2020-05-18T00:00:00.000Z,78,34,0
32,2020-05-19T00:00:00.000Z,81,36,0
33,2020-05-20T00:00:00.000Z,82,37,0
34,2020-05-21T00:00:00.000Z,88,37,0
35,2020-05-22T00:00:00.000Z,92,41,0
36,2020-05-23T00:00:00.000Z,92,46,0
37,2020-05-24T00:00:00.000Z,95,47,0
38,2020-05-25T00:00:00.000Z,102,49,0
39,2020-05-26T00:00:00.000Z,104,52,0
40,2020-05-27T00:00:00.000Z,105,53,0
41,2020-05-28T00:00:00.000Z,109,59,0
42,2020-05-29T00:00:00.000Z,110,61,0
43,2020-05-30T00:00:00.000Z,116,71,0
44,2020-05-31T00:00:00.000Z,122,71,0
45,2020-06-01T00:00:00.000Z,132,74,0
46,2020-06-02T00:00:00.000Z,133,80,0
47,2020-06-03T00:00:00.000Z,138,84,0
48,2020-06-04T00:00:00.000Z,154,88,0
49,2020-06-05T00:00:00.000Z,156,91,0
50,2020-06-06T00:00:00.000Z,163,95,0
51,2020-06-07T00:00:00.000Z,172,100,0
52,2020-06-08T00:00:00.000Z,180,101,0
53,2020-06-09T00:00:00.000Z,190,104,0
54,2020-06-10T00:00:00.000Z,204,109,0
55,2020-06-11T00:00:00.000Z,212,111,0
56,2020-06-12T00:00:00.000Z,220,124,0
57,2020-06-13T00:00:00.000Z,243,126,0
58,2020-06-14T00:00:00.000Z,256,128,0
59,2020-06-15T00:00:00.000Z,275,135,0
60,2020-06-16T00:00:00.000Z,279,144,0
61,2020-06-17T00:00:00.000Z,300,145,0
62,2020-06-18T00:00:00.000Z,334,151,0
63,2020-06-19T00:00:00.000Z,336,162,0
64,2020-06-20T00:00:00.000Z,396,171,0
65,2020-06-21T00:00:00.000Z,421,178,0
66,2020-06-22T00:00:00.000Z,436,184,0
67,2020-06-23T00:00:00.000Z,466,190,0
68,2020-06-24T00:00:00.000Z,483,207,0
69,2020-06-25T00:00:00.000Z,511,215,0
70,2020-06-26T00:00:00.000Z,522,230,0
71,2020-06-27T00:00:00.000Z,561,247,0
72,2020-06-28T00:00:00.000Z,597,256,0
73,2020-06-29T00:00:00.000Z,617,279,0
74,2020-06-30T00:00:00.000Z,650,285,0
75,2020-07-01T00:00:00.000Z,681,306,1
76,2020-07-02T00:00:00.000Z,745,314,1
77,2020-07-03T00:00:00.000Z,777,328,1
78,2020-07-04T00:00:00.000Z,808,347,1
79,2020-07-05T00:00:00.000Z,849,367,1
80,2020-07-06T00:00:00.000Z,869,397,1
81,2020-07-07T00:00:00.000Z,891,417,1
82,2020-07-08T00:00:00.000Z,936,449,1
83,2020-07-09T00:00:00.000Z,962,462,1
84,2020-07-10T00:00:00.000Z,993,496,1
85,2020-07-11T00:00:00.000Z,1036,515,1
86,2020-07-12T00:00:00.000Z,1053,548,1
87,2020-07-13T00:00:00.000Z,1099,567,1
88,2020-07-14T00:00:00.000Z,1111,613,1
89,2020-07-15T00:00:00.000Z,1139,650,1
90,2020-07-16T00:00:00.000Z,1154,672,1
91,2020-07-17T00:00:00.000Z,1197,706,1
92,2020-07-18T00:00:00.000Z,1217,741,1
93,2020-07-19T00:00:00.000Z,1239,764,1
94,2020-07-20T00:00:00.000Z,1276,774,1
95,2020-07-21T00:00:00.000Z,1304,805,1
96,2020-07-22T00:00:00.000Z,1331,854,1
97,2020-07-23T00:00:00.000Z,1351,884,1
98,2020-07-24T00:00:00.000Z,1387,916,1
99,2020-07-25T00:00:00.000Z,1419,937,1
100,2020-07-26T00:00:00.000Z,1437,968,1
101,2020-07-27T00:00:00.000Z,1462,985,1
102,2020-07-28T00:00:00.000Z,1476,1009,1
103,2020-07-29T00:00:00.000Z,1498,1049,2
104,2020-07-30T00:00:00.000Z,1529,1079,3
105,2020-07-31T00:00:00.000Z,1551,1127,5
106,2020-08-01T00:00:00.000Z,1579,1159,7
107,2020-08-02T00:00:00.000Z,1606,1171,7
108,2020-08-03T00:00:00.000Z,1631,1191,7
109,2020-08-04T00:00:00.000Z,1636,1224,7
