,date,confirmed,cured,deaths
0,2020-03-20T00:00:00.000Z,1,0,0
1,2020-03-21T00:00:00.000Z,1,0,0
2,2020-03-22T00:00:00.000Z,1,0,0
3,2020-03-23T00:00:00.000Z,1,0,0
4,2020-03-24T00:00:00.000Z,1,0,0
5,2020-03-25T00:00:00.000Z,2,0,0
6,2020-03-26T00:00:00.000Z,5,0,0
7,2020-03-27T00:00:00.000Z,5,0,0
8,2020-03-28T00:00:00.000Z,5,0,0
9,2020-03-29T00:00:00.000Z,5,0,0
10,2020-03-30T00:00:00.000Z,6,0,0
11,2020-03-31T00:00:00.000Z,6,0,0
12,2020-04-01T00:00:00.000Z,10,1,0
13,2020-04-02T00:00:00.000Z,11,1,0
14,2020-04-03T00:00:00.000Z,11,4,0
15,2020-04-04T00:00:00.000Z,11,4,0
16,2020-04-05T00:00:00.000Z,11,4,0
17,2020-04-06T00:00:00.000Z,20,5,0
18,2020-04-07T00:00:00.000Z,39,5,0
19,2020-04-08T00:00:00.000Z,39,6,1
20,2020-04-09T00:00:00.000Z,42,6,1
21,2020-04-10T00:00:00.000Z,52,6,1
22,2020-04-11T00:00:00.000Z,66,9,2
23,2020-04-12T00:00:00.000Z,74,10,2
24,2020-04-13T00:00:00.000Z,86,10,2
25,2020-04-14T00:00:00.000Z,95,10,2
26,2020-04-15T00:00:00.000Z,115,11,2
27,2020-04-16T00:00:00.000Z,143,11,2
28,2020-04-17T00:00:00.000Z,155,19,2
29,2020-04-18T00:00:00.000Z,209,24,2
30,2020-04-19T00:00:00.000Z,232,26,3
31,2020-04-20T00:00:00.000Z,244,26,3
32,2020-04-21T00:00:00.000Z,266,27,4
33,2020-04-22T00:00:00.000Z,277,37,5
34,2020-04-23T00:00:00.000Z,332,38,5
35,2020-04-24T00:00:00.000Z,358,44,5
36,2020-04-25T00:00:00.000Z,385,50,5
37,2020-04-26T00:00:00.000Z,421,58,6
38,2020-04-27T00:00:00.000Z,454,73,6
39,2020-04-28T00:00:00.000Z,491,73,6
40,2020-04-29T00:00:00.000Z,519,81,10
41,2020-04-30T00:00:00.000Z,562,81,14
42,2020-05-01T00:00:00.000Z,651,101,14
43,2020-05-02T00:00:00.000Z,676,116,14
44,2020-05-03T00:00:00.000Z,731,135,15
45,2020-05-04T00:00:00.000Z,788,164,17
46,2020-05-05T00:00:00.000Z,824,188,18
47,2020-05-06T00:00:00.000Z,864,200,20
48,2020-05-07T00:00:00.000Z,887,224,20
49,2020-05-08T00:00:00.000Z,943,249,20
50,2020-05-09T00:00:00.000Z,1012,279,20
51,2020-05-10T00:00:00.000Z,1050,289,20
