Entity,Date,Stringency Index (OxBSG)
Afghanistan,2020-01-01,0.0
Afghanistan,2020-01-02,0.0
Afghanistan,2020-01-03,0.0
Afghanistan,2020-01-04,0.0
Afghanistan,2020-01-05,0.0
Afghanistan,2020-01-06,0.0
Afghanistan,2020-01-07,0.0
Afghanistan,2020-01-08,0.0
Afghanistan,2020-01-09,0.0
Afghanistan,2020-01-10,0.0
Afghanistan,2020-01-11,0.0
Afghanistan,2020-01-12,0.0
Afghanistan,2020-01-13,0.0
Afghanistan,2020-01-14,0.0
Afghanistan,2020-01-15,0.0
Afghanistan,2020-01-16,0.0
Afghanistan,2020-01-17,0.0
Afghanistan,2020-01-18,0.0
Afghanistan,2020-01-19,0.0
Afghanistan,2020-01-20,0.0
Afghanistan,2020-01-21,0.0
Afghanistan,2020-01-22,0.0
Afghanistan,2020-01-23,0.0
Afghanistan,2020-01-24,0.0
Afghanistan,2020-01-25,0.0
Afghanistan,2020-01-26,0.0
Afghanistan,2020-01-27,0.0
Afghanistan,2020-01-28,0.0
Afghanistan,2020-01-29,0.0
Afghanistan,2020-01-30,0.0
Afghanistan,2020-01-31,0.0
Afghanistan,2020-02-01,0.0
Afghanistan,2020-02-02,0.0
Afghanistan,2020-02-03,0.0
Afghanistan,2020-02-04,0.0
Afghanistan,2020-02-05,0.0
Afghanistan,2020-02-06,0.0
Afghanistan,2020-02-07,0.0
Afghanistan,2020-02-08,0.0
Afghanistan,2020-02-09,0.0
Afghanistan,2020-02-10,0.0
Afghanistan,2020-02-11,0.0
Afghanistan,2020-02-12,0.0
Afghanistan,2020-02-13,0.0
Afghanistan,2020-02-14,0.0
Afghanistan,2020-02-15,0.0
Afghanistan,2020-02-16,0.0
Afghanistan,2020-02-17,0.0
Afghanistan,2020-02-18,0.0
Afghanistan,2020-02-19,0.0
Afghanistan,2020-02-20,0.0
Afghanistan,2020-02-21,0.0
Afghanistan,2020-02-22,0.0
Afghanistan,2020-02-23,8.33
Afghanistan,2020-02-24,8.33
Afghanistan,2020-02-25,8.33
Afghanistan,2020-02-26,8.33
Afghanistan,2020-02-27,8.33
Afghanistan,2020-02-28,8.33
Afghanistan,2020-02-29,8.33
Afghanistan,2020-03-01,27.78
Afghanistan,2020-03-02,27.78
Afghanistan,2020-03-03,27.78
Afghanistan,2020-03-04,27.78
Afghanistan,2020-03-05,27.78
Afghanistan,2020-03-06,27.78
Afghanistan,2020-03-07,27.78
Afghanistan,2020-03-08,27.78
Afghanistan,2020-03-09,27.78
Afghanistan,2020-03-10,27.78
Afghanistan,2020-03-11,27.78
Afghanistan,2020-03-12,27.78
Afghanistan,2020-03-13,27.78
Afghanistan,2020-03-14,38.89
Afghanistan,2020-03-15,38.89
Afghanistan,2020-03-16,38.89
Afghanistan,2020-03-17,38.89
Afghanistan,2020-03-18,41.67
Afghanistan,2020-03-19,41.67
Afghanistan,2020-03-20,41.67
Afghanistan,2020-03-21,41.67
Afghanistan,2020-03-22,41.67
Afghanistan,2020-03-23,41.67
Afghanistan,2020-03-24,50.93
Afghanistan,2020-03-25,59.26
Afghanistan,2020-03-26,59.26
Afghanistan,2020-03-27,59.26
Afghanistan,2020-03-28,67.59
Afghanistan,2020-03-29,67.59
Afghanistan,2020-03-30,67.59
Afghanistan,2020-03-31,67.59
Afghanistan,2020-04-01,67.59
Afghanistan,2020-04-02,67.59
Afghanistan,2020-04-03,67.59
Afghanistan,2020-04-04,67.59
Afghanistan,2020-04-05,78.7
