Entity,Date,Stringency Index (OxBSG)
Anguilla,2020-01-01,0.0
Anguilla,2020-01-02,0.0
Anguilla,2020-01-03,0.0
Anguilla,2020-01-04,0.0
Anguilla,2020-01-05,0.0
Anguilla,2020-01-06,0.0
Anguilla,2020-01-07,0.0
Anguilla,2020-01-08,0.0
Anguilla,2020-01-09,0.0
Anguilla,2020-01-10,0.0
Anguilla,2020-01-11,0.0
Anguilla,2020-01-12,0.0
Anguilla,2020-01-13,0.0
Anguilla,2020-01-14,0.0
Anguilla,2020-01-15,0.0
Anguilla,2020-01-16,0.0
Anguilla,2020-01-17,0.0
Anguilla,2020-01-18,0.0
Anguilla,2020-01-19,0.0
Anguilla,2020-01-20,0.0
Anguilla,2020-01-21,0.0
Anguilla,2020-01-22,0.0
Anguilla,2020-01-23,0.0
Anguilla,2020-01-24,0.0
Anguilla,2020-01-25,0.0
Anguilla,2020-01-26,0.0
Anguilla,2020-01-27,0.0
Anguilla,2020-01-28,0.0
Anguilla,2020-01-29,5.56
Anguilla,2020-01-30,5.56
Anguilla,2020-01-31,5.56
Anguilla,2020-02-01,5.56
Anguilla,2020-02-02,5.56
Anguilla,2020-02-03,8.33
Anguilla,2020-02-04,8.33
Anguilla,2020-02-05,8.33
Anguilla,2020-02-06,8.33
Anguilla,2020-02-07,8.33
Anguilla,2020-02-08,8.33
Anguilla,2020-02-09,8.33
Anguilla,2020-02-10,8.33
Anguilla,2020-02-11,8.33
Anguilla,2020-02-12,8.33
Anguilla,2020-02-13,8.33
Anguilla,2020-02-14,8.33
Anguilla,2020-02-15,8.33
Anguilla,2020-02-16,8.33
Anguilla,2020-02-17,8.33
Anguilla,2020-02-18,8.33
Anguilla,2020-02-19,8.33
Anguilla,2020-02-20,8.33
Anguilla,2020-02-21,8.33
Anguilla,2020-02-22,8.33
Anguilla,2020-02-23,8.33
Anguilla,2020-02-24,8.33
Anguilla,2020-02-25,8.33
Anguilla,2020-02-26,8.33
Anguilla,2020-02-27,8.33
Anguilla,2020-02-28,8.33
Anguilla,2020-02-29,8.33
Anguilla,2020-03-01,8.33
Anguilla,2020-03-02,8.33
Anguilla,2020-03-03,8.33
Anguilla,2020-03-04,8.33
Anguilla,2020-03-05,8.33
Anguilla,2020-03-06,8.33
Anguilla,2020-03-07,8.33
Anguilla,2020-03-08,8.33
Anguilla,2020-03-09,8.33
Anguilla,2020-03-10,8.33
Anguilla,2020-03-11,8.33
Anguilla,2020-03-12,8.33
Anguilla,2020-03-13,13.89
Anguilla,2020-03-14,13.89
Anguilla,2020-03-15,16.67
Anguilla,2020-03-16,27.78
Anguilla,2020-03-17,36.11
Anguilla,2020-03-18,36.11
Anguilla,2020-03-19,36.11
Anguilla,2020-03-20,36.11
Anguilla,2020-03-21,36.11
Anguilla,2020-03-22,36.11
Anguilla,2020-03-23,36.11
Anguilla,2020-03-24,36.11
Anguilla,2020-03-25,36.11
Anguilla,2020-03-26,36.11
Anguilla,2020-03-27,71.3
Anguilla,2020-03-28,71.3
Anguilla,2020-03-29,71.3
Anguilla,2020-03-30,74.07
Anguilla,2020-03-31,74.07
Anguilla,2020-04-01,74.07
Anguilla,2020-04-02,74.07
Anguilla,2020-04-03,74.07
Anguilla,2020-04-04,74.07
Anguilla,2020-04-05,74.07
Anguilla,2020-04-06,74.07
Anguilla,2020-04-07,74.07
Anguilla,2020-04-08,82.41
Anguilla,2020-04-09,82.41
Anguilla,2020-04-10,82.41
Anguilla,2020-04-11,82.41
Anguilla,2020-04-12,82.41
Anguilla,2020-04-13,82.41
Anguilla,2020-04-14,82.41
