Entity,Date,Stringency Index (OxBSG)
Bangladesh,2020-01-01,0.0
Bangladesh,2020-01-02,0.0
Bangladesh,2020-01-03,0.0
Bangladesh,2020-01-04,0.0
Bangladesh,2020-01-05,0.0
Bangladesh,2020-01-06,0.0
Bangladesh,2020-01-07,0.0
Bangladesh,2020-01-08,0.0
Bangladesh,2020-01-09,0.0
Bangladesh,2020-01-10,0.0
Bangladesh,2020-01-11,0.0
Bangladesh,2020-01-12,0.0
Bangladesh,2020-01-13,0.0
Bangladesh,2020-01-14,0.0
Bangladesh,2020-01-15,0.0
Bangladesh,2020-01-16,0.0
Bangladesh,2020-01-17,0.0
Bangladesh,2020-01-18,0.0
Bangladesh,2020-01-19,0.0
Bangladesh,2020-01-20,0.0
Bangladesh,2020-01-21,5.56
Bangladesh,2020-01-22,8.33
Bangladesh,2020-01-23,8.33
Bangladesh,2020-01-24,8.33
Bangladesh,2020-01-25,8.33
Bangladesh,2020-01-26,8.33
Bangladesh,2020-01-27,8.33
Bangladesh,2020-01-28,13.89
Bangladesh,2020-01-29,13.89
Bangladesh,2020-01-30,13.89
Bangladesh,2020-01-31,13.89
Bangladesh,2020-02-01,13.89
Bangladesh,2020-02-02,13.89
Bangladesh,2020-02-03,13.89
Bangladesh,2020-02-04,13.89
Bangladesh,2020-02-05,13.89
Bangladesh,2020-02-06,13.89
Bangladesh,2020-02-07,13.89
Bangladesh,2020-02-08,13.89
Bangladesh,2020-02-09,13.89
Bangladesh,2020-02-10,13.89
Bangladesh,2020-02-11,13.89
Bangladesh,2020-02-12,13.89
Bangladesh,2020-02-13,13.89
Bangladesh,2020-02-14,13.89
Bangladesh,2020-02-15,13.89
Bangladesh,2020-02-16,13.89
Bangladesh,2020-02-17,13.89
Bangladesh,2020-02-18,13.89
Bangladesh,2020-02-19,13.89
Bangladesh,2020-02-20,13.89
Bangladesh,2020-02-21,13.89
Bangladesh,2020-02-22,13.89
Bangladesh,2020-02-23,13.89
Bangladesh,2020-02-24,13.89
Bangladesh,2020-02-25,13.89
Bangladesh,2020-02-26,13.89
Bangladesh,2020-02-27,13.89
Bangladesh,2020-02-28,13.89
Bangladesh,2020-02-29,13.89
Bangladesh,2020-03-01,13.89
Bangladesh,2020-03-02,13.89
Bangladesh,2020-03-03,13.89
Bangladesh,2020-03-04,13.89
Bangladesh,2020-03-05,13.89
Bangladesh,2020-03-06,13.89
Bangladesh,2020-03-07,13.89
Bangladesh,2020-03-08,13.89
Bangladesh,2020-03-09,13.89
Bangladesh,2020-03-10,13.89
Bangladesh,2020-03-11,13.89
Bangladesh,2020-03-12,13.89
Bangladesh,2020-03-13,13.89
Bangladesh,2020-03-14,13.89
Bangladesh,2020-03-15,13.89
Bangladesh,2020-03-16,33.33
Bangladesh,2020-03-17,33.33
Bangladesh,2020-03-18,33.33
Bangladesh,2020-03-19,75.93
Bangladesh,2020-03-20,75.93
Bangladesh,2020-03-21,81.48
Bangladesh,2020-03-22,81.48
Bangladesh,2020-03-23,81.48
Bangladesh,2020-03-24,81.48
Bangladesh,2020-03-25,82.41
Bangladesh,2020-03-26,84.26
Bangladesh,2020-03-27,84.26
Bangladesh,2020-03-28,84.26
Bangladesh,2020-03-29,84.26
Bangladesh,2020-03-30,84.26
Bangladesh,2020-03-31,87.04
Bangladesh,2020-04-01,87.04
Bangladesh,2020-04-02,87.04
Bangladesh,2020-04-03,87.04
Bangladesh,2020-04-04,87.04
Bangladesh,2020-04-05,87.04
Bangladesh,2020-04-06,87.04
Bangladesh,2020-04-07,87.04
Bangladesh,2020-04-08,87.04
Bangladesh,2020-04-09,87.04
Bangladesh,2020-04-10,90.74
Bangladesh,2020-04-11,93.52
Bangladesh,2020-04-12,93.52
Bangladesh,2020-04-13,93.52
Bangladesh,2020-04-14,93.52
Bangladesh,2020-04-15,93.52
Bangladesh,2020-04-16,93.52
Bangladesh,2020-04-17,93.52
Bangladesh,2020-04-18,93.52
Bangladesh,2020-04-19,93.52
Bangladesh,2020-04-20,93.52
Bangladesh,2020-04-21,93.52
Bangladesh,2020-04-22,93.52
Bangladesh,2020-04-23,93.52
Bangladesh,2020-04-24,93.52
Bangladesh,2020-04-25,93.52
Bangladesh,2020-04-26,93.52
Bangladesh,2020-04-27,93.52
Bangladesh,2020-04-28,93.52
Bangladesh,2020-04-29,93.52
Bangladesh,2020-04-30,93.52
Bangladesh,2020-05-01,89.81
Bangladesh,2020-05-02,89.81
Bangladesh,2020-05-03,89.81
Bangladesh,2020-05-04,89.81
Bangladesh,2020-05-05,89.81
Bangladesh,2020-05-06,89.81
Bangladesh,2020-05-07,89.81
Bangladesh,2020-05-08,89.81
Bangladesh,2020-05-09,89.81
Bangladesh,2020-05-10,89.81
Bangladesh,2020-05-11,89.81
Bangladesh,2020-05-12,89.81
Bangladesh,2020-05-13,89.81
Bangladesh,2020-05-14,89.81
Bangladesh,2020-05-15,89.81
Bangladesh,2020-05-16,89.81
Bangladesh,2020-05-17,93.52
Bangladesh,2020-05-18,93.52
Bangladesh,2020-05-19,93.52
Bangladesh,2020-05-20,93.52
Bangladesh,2020-05-21,93.52
Bangladesh,2020-05-22,93.52
Bangladesh,2020-05-23,93.52
Bangladesh,2020-05-24,93.52
Bangladesh,2020-05-25,93.52
Bangladesh,2020-05-26,93.52
Bangladesh,2020-05-27,93.52
Bangladesh,2020-05-28,93.52
Bangladesh,2020-05-29,93.52
Bangladesh,2020-05-30,93.52
Bangladesh,2020-05-31,62.96
Bangladesh,2020-06-01,62.96
Bangladesh,2020-06-02,62.96
Bangladesh,2020-06-03,62.96
Bangladesh,2020-06-04,62.96
Bangladesh,2020-06-05,62.96
Bangladesh,2020-06-06,62.96
Bangladesh,2020-06-07,62.96
Bangladesh,2020-06-08,62.96
Bangladesh,2020-06-09,62.96
Bangladesh,2020-06-10,62.96
Bangladesh,2020-06-11,62.96
Bangladesh,2020-06-12,62.96
Bangladesh,2020-06-13,62.96
Bangladesh,2020-06-14,62.96
Bangladesh,2020-06-15,62.96
Bangladesh,2020-06-16,74.54
Bangladesh,2020-06-17,74.54
Bangladesh,2020-06-18,74.54
Bangladesh,2020-06-19,74.54
Bangladesh,2020-06-20,74.54
Bangladesh,2020-06-21,74.54
Bangladesh,2020-06-22,74.54
Bangladesh,2020-06-23,74.54
Bangladesh,2020-06-24,74.54
Bangladesh,2020-06-25,74.54
Bangladesh,2020-06-26,74.54
Bangladesh,2020-06-27,74.54
Bangladesh,2020-06-28,74.54
Bangladesh,2020-06-29,74.54
Bangladesh,2020-06-30,74.54
Bangladesh,2020-07-01,74.54
Bangladesh,2020-07-02,74.54
Bangladesh,2020-07-03,74.54
Bangladesh,2020-07-04,74.54
Bangladesh,2020-07-05,74.54
Bangladesh,2020-07-06,74.54
Bangladesh,2020-07-07,74.54
Bangladesh,2020-07-08,74.54
Bangladesh,2020-07-09,74.54
Bangladesh,2020-07-10,74.54
Bangladesh,2020-07-11,74.54
Bangladesh,2020-07-12,74.54
Bangladesh,2020-07-13,74.54
Bangladesh,2020-07-14,74.54
Bangladesh,2020-07-15,74.54
Bangladesh,2020-07-16,80.09
Bangladesh,2020-07-17,80.09
Bangladesh,2020-07-18,80.09
Bangladesh,2020-07-19,80.09
Bangladesh,2020-07-20,80.09
Bangladesh,2020-07-21,80.09
Bangladesh,2020-07-22,80.09
Bangladesh,2020-07-23,80.09
Bangladesh,2020-07-24,80.09
Bangladesh,2020-07-25,80.09
Bangladesh,2020-07-26,80.09
Bangladesh,2020-07-27,80.09
Bangladesh,2020-07-28,80.09
Bangladesh,2020-07-29,80.09
Bangladesh,2020-07-30,80.09
Bangladesh,2020-07-31,80.09
Bangladesh,2020-08-01,80.09
Bangladesh,2020-08-02,80.09
Bangladesh,2020-08-03,80.09
Bangladesh,2020-08-04,80.09
Bangladesh,2020-08-05,80.09
Bangladesh,2020-08-06,80.09
Bangladesh,2020-08-07,80.09
Bangladesh,2020-08-08,80.09
Bangladesh,2020-08-09,80.09
Bangladesh,2020-08-10,80.09
Bangladesh,2020-08-11,80.09
Bangladesh,2020-08-12,80.09
Bangladesh,2020-08-13,80.09
Bangladesh,2020-08-14,80.09
Bangladesh,2020-08-15,80.09
Bangladesh,2020-08-16,80.09
Bangladesh,2020-08-17,80.09
Bangladesh,2020-08-18,80.09
Bangladesh,2020-08-19,80.09
Bangladesh,2020-08-20,80.09
Bangladesh,2020-08-21,80.09
Bangladesh,2020-08-22,80.09
