Entity,Date,Stringency Index (OxBSG)
Belize,2020-01-01,0.0
Belize,2020-01-02,0.0
Belize,2020-01-03,0.0
Belize,2020-01-04,0.0
Belize,2020-01-05,0.0
Belize,2020-01-06,0.0
Belize,2020-01-07,0.0
Belize,2020-01-08,0.0
Belize,2020-01-09,0.0
Belize,2020-01-10,0.0
Belize,2020-01-11,0.0
Belize,2020-01-12,0.0
Belize,2020-01-13,0.0
Belize,2020-01-14,0.0
Belize,2020-01-15,0.0
Belize,2020-01-16,0.0
Belize,2020-01-17,0.0
Belize,2020-01-18,0.0
Belize,2020-01-19,0.0
Belize,2020-01-20,0.0
Belize,2020-01-21,0.0
Belize,2020-01-22,0.0
Belize,2020-01-23,0.0
Belize,2020-01-24,0.0
Belize,2020-01-25,0.0
Belize,2020-01-26,0.0
Belize,2020-01-27,0.0
Belize,2020-01-28,0.0
Belize,2020-01-29,0.0
Belize,2020-01-30,0.0
Belize,2020-01-31,0.0
Belize,2020-02-01,0.0
Belize,2020-02-02,0.0
Belize,2020-02-03,0.0
Belize,2020-02-04,0.0
Belize,2020-02-05,0.0
Belize,2020-02-06,0.0
Belize,2020-02-07,0.0
Belize,2020-02-08,0.0
Belize,2020-02-09,0.0
Belize,2020-02-10,0.0
Belize,2020-02-11,0.0
Belize,2020-02-12,0.0
Belize,2020-02-13,0.0
Belize,2020-02-14,0.0
Belize,2020-02-15,0.0
Belize,2020-02-16,0.0
Belize,2020-02-17,0.0
Belize,2020-02-18,5.56
Belize,2020-02-19,5.56
Belize,2020-02-20,5.56
Belize,2020-02-21,5.56
Belize,2020-02-22,5.56
Belize,2020-02-23,5.56
Belize,2020-02-24,5.56
Belize,2020-02-25,5.56
Belize,2020-02-26,5.56
Belize,2020-02-27,5.56
Belize,2020-02-28,11.11
Belize,2020-02-29,11.11
Belize,2020-03-01,11.11
Belize,2020-03-02,11.11
Belize,2020-03-03,11.11
Belize,2020-03-04,11.11
Belize,2020-03-05,11.11
Belize,2020-03-06,11.11
Belize,2020-03-07,11.11
Belize,2020-03-08,11.11
Belize,2020-03-09,11.11
Belize,2020-03-10,11.11
Belize,2020-03-11,13.89
Belize,2020-03-12,13.89
Belize,2020-03-13,16.67
Belize,2020-03-14,16.67
Belize,2020-03-15,19.44
Belize,2020-03-16,38.89
Belize,2020-03-17,38.89
Belize,2020-03-18,38.89
Belize,2020-03-19,38.89
Belize,2020-03-20,54.63
Belize,2020-03-21,54.63
Belize,2020-03-22,54.63
Belize,2020-03-23,54.63
Belize,2020-03-24,54.63
Belize,2020-03-25,54.63
Belize,2020-03-26,54.63
Belize,2020-03-27,54.63
Belize,2020-03-28,54.63
Belize,2020-03-29,54.63
Belize,2020-03-30,54.63
Belize,2020-03-31,54.63
Belize,2020-04-01,75.0
Belize,2020-04-02,75.0
Belize,2020-04-03,75.0
Belize,2020-04-04,75.0
Belize,2020-04-05,75.0
Belize,2020-04-06,75.0
Belize,2020-04-07,75.0
Belize,2020-04-08,75.0
Belize,2020-04-09,75.0
Belize,2020-04-10,75.0
Belize,2020-04-11,75.0
Belize,2020-04-12,75.0
Belize,2020-04-13,75.0
Belize,2020-04-14,75.0
Belize,2020-04-15,75.0
Belize,2020-04-16,75.0
Belize,2020-04-17,75.0
Belize,2020-04-18,75.0
Belize,2020-04-19,75.0
Belize,2020-04-20,75.0
Belize,2020-04-21,75.0
Belize,2020-04-22,75.0
Belize,2020-04-23,75.0
Belize,2020-04-24,75.0
Belize,2020-04-25,75.0
Belize,2020-04-26,75.0
Belize,2020-04-27,76.85
Belize,2020-04-28,76.85
Belize,2020-04-29,76.85
Belize,2020-04-30,76.85
Belize,2020-05-01,76.85
Belize,2020-05-02,76.85
Belize,2020-05-03,76.85
Belize,2020-05-04,76.85
Belize,2020-05-05,76.85
Belize,2020-05-06,76.85
Belize,2020-05-07,76.85
Belize,2020-05-08,76.85
Belize,2020-05-09,76.85
Belize,2020-05-10,76.85
Belize,2020-05-11,76.85
Belize,2020-05-12,76.85
Belize,2020-05-13,76.85
Belize,2020-05-14,76.85
Belize,2020-05-15,85.19
Belize,2020-05-16,85.19
Belize,2020-05-17,85.19
Belize,2020-05-18,85.19
Belize,2020-05-19,85.19
Belize,2020-05-20,85.19
Belize,2020-05-21,85.19
Belize,2020-05-22,85.19
Belize,2020-05-23,85.19
Belize,2020-05-24,85.19
Belize,2020-05-25,85.19
Belize,2020-05-26,85.19
Belize,2020-05-27,85.19
Belize,2020-05-28,85.19
Belize,2020-05-29,85.19
Belize,2020-05-30,85.19
Belize,2020-05-31,85.19
Belize,2020-06-01,75.93
Belize,2020-06-02,75.93
Belize,2020-06-03,75.93
Belize,2020-06-04,75.93
Belize,2020-06-05,75.93
Belize,2020-06-06,75.93
Belize,2020-06-07,75.93
Belize,2020-06-08,75.93
Belize,2020-06-09,75.93
Belize,2020-06-10,75.93
Belize,2020-06-11,73.15
Belize,2020-06-12,73.15
Belize,2020-06-13,73.15
Belize,2020-06-14,73.15
Belize,2020-06-15,71.3
Belize,2020-06-16,71.3
Belize,2020-06-17,71.3
Belize,2020-06-18,71.3
Belize,2020-06-19,71.3
Belize,2020-06-20,71.3
Belize,2020-06-21,71.3
Belize,2020-06-22,71.3
Belize,2020-06-23,71.3
Belize,2020-06-24,71.3
Belize,2020-06-25,71.3
Belize,2020-06-26,71.3
Belize,2020-06-27,71.3
Belize,2020-06-28,71.3
Belize,2020-06-29,71.3
Belize,2020-06-30,71.3
Belize,2020-07-01,67.59
Belize,2020-07-02,67.59
Belize,2020-07-03,67.59
Belize,2020-07-04,67.59
Belize,2020-07-05,67.59
Belize,2020-07-06,67.59
Belize,2020-07-07,67.59
Belize,2020-07-08,67.59
Belize,2020-07-09,67.59
Belize,2020-07-10,67.59
Belize,2020-07-11,67.59
Belize,2020-07-12,67.59
Belize,2020-07-13,67.59
Belize,2020-07-14,67.59
Belize,2020-07-15,67.59
Belize,2020-07-16,67.59
Belize,2020-07-17,67.59
