Entity,Date,Stringency Index (OxBSG)
Botswana,2020-01-01,5.56
Botswana,2020-01-02,5.56
Botswana,2020-01-03,5.56
Botswana,2020-01-04,5.56
Botswana,2020-01-05,5.56
Botswana,2020-01-06,5.56
Botswana,2020-01-07,5.56
Botswana,2020-01-08,5.56
Botswana,2020-01-09,5.56
Botswana,2020-01-10,5.56
Botswana,2020-01-11,5.56
Botswana,2020-01-12,5.56
Botswana,2020-01-13,5.56
Botswana,2020-01-14,5.56
Botswana,2020-01-15,5.56
Botswana,2020-01-16,5.56
Botswana,2020-01-17,5.56
Botswana,2020-01-18,5.56
Botswana,2020-01-19,5.56
Botswana,2020-01-20,5.56
Botswana,2020-01-21,5.56
Botswana,2020-01-22,5.56
Botswana,2020-01-23,5.56
Botswana,2020-01-24,11.11
Botswana,2020-01-25,11.11
Botswana,2020-01-26,11.11
Botswana,2020-01-27,11.11
Botswana,2020-01-28,13.89
Botswana,2020-01-29,13.89
Botswana,2020-01-30,13.89
Botswana,2020-01-31,13.89
Botswana,2020-02-01,13.89
Botswana,2020-02-02,13.89
Botswana,2020-02-03,13.89
Botswana,2020-02-04,13.89
Botswana,2020-02-05,13.89
Botswana,2020-02-06,13.89
Botswana,2020-02-07,13.89
Botswana,2020-02-08,13.89
Botswana,2020-02-09,13.89
Botswana,2020-02-10,13.89
Botswana,2020-02-11,13.89
Botswana,2020-02-12,13.89
Botswana,2020-02-13,13.89
Botswana,2020-02-14,13.89
Botswana,2020-02-15,13.89
Botswana,2020-02-16,13.89
Botswana,2020-02-17,13.89
Botswana,2020-02-18,13.89
Botswana,2020-02-19,13.89
Botswana,2020-02-20,13.89
Botswana,2020-02-21,13.89
Botswana,2020-02-22,13.89
Botswana,2020-02-23,13.89
Botswana,2020-02-24,13.89
Botswana,2020-02-25,13.89
Botswana,2020-02-26,13.89
Botswana,2020-02-27,13.89
Botswana,2020-02-28,13.89
Botswana,2020-02-29,13.89
Botswana,2020-03-01,13.89
Botswana,2020-03-02,13.89
Botswana,2020-03-03,13.89
Botswana,2020-03-04,13.89
Botswana,2020-03-05,13.89
Botswana,2020-03-06,13.89
Botswana,2020-03-07,13.89
Botswana,2020-03-08,13.89
Botswana,2020-03-09,13.89
Botswana,2020-03-10,13.89
Botswana,2020-03-11,13.89
Botswana,2020-03-12,13.89
Botswana,2020-03-13,13.89
Botswana,2020-03-14,13.89
Botswana,2020-03-15,13.89
Botswana,2020-03-16,44.44
Botswana,2020-03-17,44.44
Botswana,2020-03-18,44.44
Botswana,2020-03-19,58.33
Botswana,2020-03-20,58.33
Botswana,2020-03-21,58.33
Botswana,2020-03-22,58.33
Botswana,2020-03-23,58.33
Botswana,2020-03-24,58.33
Botswana,2020-03-25,61.11
Botswana,2020-03-26,61.11
Botswana,2020-03-27,61.11
Botswana,2020-03-28,61.11
Botswana,2020-03-29,61.11
Botswana,2020-03-30,61.11
Botswana,2020-03-31,61.11
Botswana,2020-04-01,61.11
Botswana,2020-04-02,86.11
Botswana,2020-04-03,86.11
Botswana,2020-04-04,86.11
Botswana,2020-04-05,86.11
Botswana,2020-04-06,86.11
Botswana,2020-04-07,86.11
Botswana,2020-04-08,86.11
Botswana,2020-04-09,86.11
Botswana,2020-04-10,86.11
Botswana,2020-04-11,86.11
Botswana,2020-04-12,86.11
Botswana,2020-04-13,86.11
Botswana,2020-04-14,86.11
Botswana,2020-04-15,86.11
Botswana,2020-04-16,86.11
Botswana,2020-04-17,86.11
Botswana,2020-04-18,86.11
Botswana,2020-04-19,86.11
Botswana,2020-04-20,86.11
Botswana,2020-04-21,86.11
Botswana,2020-04-22,86.11
Botswana,2020-04-23,86.11
Botswana,2020-04-24,86.11
Botswana,2020-04-25,86.11
Botswana,2020-04-26,86.11
Botswana,2020-04-27,86.11
Botswana,2020-04-28,86.11
Botswana,2020-04-29,86.11
Botswana,2020-04-30,86.11
Botswana,2020-05-01,86.11
Botswana,2020-05-02,86.11
Botswana,2020-05-03,86.11
Botswana,2020-05-04,86.11
Botswana,2020-05-05,86.11
Botswana,2020-05-06,86.11
Botswana,2020-05-07,86.11
Botswana,2020-05-08,80.56
Botswana,2020-05-09,80.56
Botswana,2020-05-10,80.56
Botswana,2020-05-11,78.7
Botswana,2020-05-12,78.7
Botswana,2020-05-13,78.7
Botswana,2020-05-14,78.7
Botswana,2020-05-15,78.7
Botswana,2020-05-16,78.7
Botswana,2020-05-17,78.7
Botswana,2020-05-18,78.7
Botswana,2020-05-19,78.7
Botswana,2020-05-20,66.67
Botswana,2020-05-21,66.67
Botswana,2020-05-22,61.11
Botswana,2020-05-23,61.11
Botswana,2020-05-24,61.11
Botswana,2020-05-25,61.11
Botswana,2020-05-26,61.11
Botswana,2020-05-27,61.11
Botswana,2020-05-28,61.11
Botswana,2020-05-29,61.11
Botswana,2020-05-30,61.11
Botswana,2020-05-31,61.11
Botswana,2020-06-01,61.11
Botswana,2020-06-02,57.41
Botswana,2020-06-03,57.41
Botswana,2020-06-04,57.41
Botswana,2020-06-05,57.41
Botswana,2020-06-06,57.41
Botswana,2020-06-07,57.41
Botswana,2020-06-08,57.41
Botswana,2020-06-09,57.41
Botswana,2020-06-10,57.41
Botswana,2020-06-11,57.41
Botswana,2020-06-12,57.41
Botswana,2020-06-13,77.78
Botswana,2020-06-14,77.78
Botswana,2020-06-15,77.78
Botswana,2020-06-16,57.41
Botswana,2020-06-17,57.41
Botswana,2020-06-18,57.41
Botswana,2020-06-19,57.41
Botswana,2020-06-20,57.41
Botswana,2020-06-21,57.41
Botswana,2020-06-22,57.41
Botswana,2020-06-23,57.41
Botswana,2020-06-24,57.41
Botswana,2020-06-25,57.41
Botswana,2020-06-26,57.41
Botswana,2020-06-27,57.41
Botswana,2020-06-28,57.41
Botswana,2020-06-29,57.41
Botswana,2020-06-30,57.41
Botswana,2020-07-01,57.41
Botswana,2020-07-02,57.41
Botswana,2020-07-03,57.41
Botswana,2020-07-04,57.41
Botswana,2020-07-05,57.41
Botswana,2020-07-06,57.41
Botswana,2020-07-07,57.41
Botswana,2020-07-08,57.41
Botswana,2020-07-09,57.41
Botswana,2020-07-10,57.41
Botswana,2020-07-11,57.41
Botswana,2020-07-12,57.41
Botswana,2020-07-13,57.41
Botswana,2020-07-14,57.41
Botswana,2020-07-15,57.41
Botswana,2020-07-16,57.41
Botswana,2020-07-17,57.41
Botswana,2020-07-18,57.41
Botswana,2020-07-19,57.41
Botswana,2020-07-20,57.41
Botswana,2020-07-21,57.41
Botswana,2020-07-22,57.41
Botswana,2020-07-23,57.41
Botswana,2020-07-24,57.41
Botswana,2020-07-25,57.41
Botswana,2020-07-26,54.17
Botswana,2020-07-27,54.17
Botswana,2020-07-28,54.17
Botswana,2020-07-29,54.17
Botswana,2020-07-30,54.17
Botswana,2020-07-31,64.35
Botswana,2020-08-01,64.35
Botswana,2020-08-02,64.35
Botswana,2020-08-03,58.8
Botswana,2020-08-04,58.8
Botswana,2020-08-05,58.8
Botswana,2020-08-06,58.8
Botswana,2020-08-07,56.94
Botswana,2020-08-08,56.94
Botswana,2020-08-09,56.94
Botswana,2020-08-10,56.94
Botswana,2020-08-11,56.94
Botswana,2020-08-12,56.94
Botswana,2020-08-13,56.94
Botswana,2020-08-14,47.22
Botswana,2020-08-15,47.22
Botswana,2020-08-16,47.22
Botswana,2020-08-17,47.22
Botswana,2020-08-18,47.22
Botswana,2020-08-19,47.22
Botswana,2020-08-20,47.22
Botswana,2020-08-21,47.22
Botswana,2020-08-22,47.22
Botswana,2020-08-23,47.22
Botswana,2020-08-24,47.22
Botswana,2020-08-25,52.78
Botswana,2020-08-26,52.78
Botswana,2020-08-27,52.78
Botswana,2020-08-28,52.78
Botswana,2020-08-29,52.78
Botswana,2020-08-30,52.78
Botswana,2020-08-31,52.78
Botswana,2020-09-01,52.78
Botswana,2020-09-02,52.78
Botswana,2020-09-03,52.78
Botswana,2020-09-04,52.78
Botswana,2020-09-05,52.78
Botswana,2020-09-06,52.78
Botswana,2020-09-07,52.78
Botswana,2020-09-08,52.78
Botswana,2020-09-09,52.78
Botswana,2020-09-10,52.78
Botswana,2020-09-11,52.78
Botswana,2020-09-12,52.78
Botswana,2020-09-13,52.78
Botswana,2020-09-14,58.33
Botswana,2020-09-15,58.33
Botswana,2020-09-16,58.33
Botswana,2020-09-17,58.33
Botswana,2020-09-18,58.33
Botswana,2020-09-19,58.33
Botswana,2020-09-20,58.33
Botswana,2020-09-21,58.33
Botswana,2020-09-22,58.33
Botswana,2020-09-23,58.33
Botswana,2020-09-24,58.33
Botswana,2020-09-25,63.89
Botswana,2020-09-26,63.89
Botswana,2020-09-27,63.89
Botswana,2020-09-28,63.89
Botswana,2020-09-29,63.89
Botswana,2020-09-30,63.89
Botswana,2020-10-01,63.89
Botswana,2020-10-02,63.89
Botswana,2020-10-03,63.89
Botswana,2020-10-04,63.89
Botswana,2020-10-05,63.89
Botswana,2020-10-06,63.89
Botswana,2020-10-07,63.89
Botswana,2020-10-08,63.89
Botswana,2020-10-09,63.89
Botswana,2020-10-10,63.89
Botswana,2020-10-11,63.89
Botswana,2020-10-12,63.89
Botswana,2020-10-13,63.89
Botswana,2020-10-14,63.89
Botswana,2020-10-15,63.89
Botswana,2020-10-16,63.89
Botswana,2020-10-17,63.89
Botswana,2020-10-18,63.89
Botswana,2020-10-19,63.89
Botswana,2020-10-20,63.89
Botswana,2020-10-21,63.89
Botswana,2020-10-22,63.89
Botswana,2020-10-23,63.89
Botswana,2020-10-24,63.89
Botswana,2020-10-25,63.89
Botswana,2020-10-26,63.89
Botswana,2020-10-27,63.89
Botswana,2020-10-28,63.89
