Entity,Date,Stringency Index (OxBSG)
Brunei,2020-01-01,0.0
Brunei,2020-01-02,0.0
Brunei,2020-01-03,0.0
Brunei,2020-01-04,0.0
Brunei,2020-01-05,0.0
Brunei,2020-01-06,11.11
Brunei,2020-01-07,11.11
Brunei,2020-01-08,11.11
Brunei,2020-01-09,11.11
Brunei,2020-01-10,11.11
Brunei,2020-01-11,11.11
Brunei,2020-01-12,11.11
Brunei,2020-01-13,11.11
Brunei,2020-01-14,11.11
Brunei,2020-01-15,11.11
Brunei,2020-01-16,11.11
Brunei,2020-01-17,11.11
Brunei,2020-01-18,11.11
Brunei,2020-01-19,11.11
Brunei,2020-01-20,11.11
Brunei,2020-01-21,11.11
Brunei,2020-01-22,11.11
Brunei,2020-01-23,11.11
Brunei,2020-01-24,11.11
Brunei,2020-01-25,11.11
Brunei,2020-01-26,11.11
Brunei,2020-01-27,11.11
Brunei,2020-01-28,11.11
Brunei,2020-01-29,11.11
Brunei,2020-01-30,19.44
Brunei,2020-01-31,19.44
Brunei,2020-02-01,19.44
Brunei,2020-02-02,19.44
Brunei,2020-02-03,19.44
Brunei,2020-02-04,19.44
Brunei,2020-02-05,19.44
Brunei,2020-02-06,19.44
Brunei,2020-02-07,19.44
Brunei,2020-02-08,19.44
Brunei,2020-02-09,19.44
Brunei,2020-02-10,19.44
Brunei,2020-02-11,19.44
Brunei,2020-02-12,19.44
Brunei,2020-02-13,19.44
Brunei,2020-02-14,19.44
Brunei,2020-02-15,19.44
Brunei,2020-02-16,19.44
Brunei,2020-02-17,19.44
Brunei,2020-02-18,19.44
Brunei,2020-02-19,19.44
Brunei,2020-02-20,19.44
Brunei,2020-02-21,19.44
Brunei,2020-02-22,19.44
Brunei,2020-02-23,19.44
Brunei,2020-02-24,19.44
Brunei,2020-02-25,19.44
Brunei,2020-02-26,19.44
Brunei,2020-02-27,19.44
Brunei,2020-02-28,19.44
Brunei,2020-02-29,19.44
Brunei,2020-03-01,19.44
Brunei,2020-03-02,19.44
Brunei,2020-03-03,19.44
Brunei,2020-03-04,19.44
Brunei,2020-03-05,19.44
Brunei,2020-03-06,19.44
Brunei,2020-03-07,19.44
Brunei,2020-03-08,19.44
Brunei,2020-03-09,19.44
Brunei,2020-03-10,19.44
Brunei,2020-03-11,30.56
Brunei,2020-03-12,30.56
Brunei,2020-03-13,50.0
Brunei,2020-03-14,50.0
Brunei,2020-03-15,50.0
Brunei,2020-03-16,50.0
Brunei,2020-03-17,50.0
Brunei,2020-03-18,50.0
Brunei,2020-03-19,50.0
Brunei,2020-03-20,50.0
Brunei,2020-03-21,50.0
Brunei,2020-03-22,50.0
Brunei,2020-03-23,50.0
Brunei,2020-03-24,52.78
Brunei,2020-03-25,52.78
Brunei,2020-03-26,52.78
Brunei,2020-03-27,52.78
Brunei,2020-03-28,52.78
Brunei,2020-03-29,52.78
Brunei,2020-03-30,52.78
Brunei,2020-03-31,52.78
Brunei,2020-04-01,52.78
Brunei,2020-04-02,52.78
Brunei,2020-04-03,52.78
Brunei,2020-04-04,52.78
Brunei,2020-04-05,52.78
Brunei,2020-04-06,52.78
Brunei,2020-04-07,52.78
Brunei,2020-04-08,52.78
Brunei,2020-04-09,52.78
Brunei,2020-04-10,52.78
Brunei,2020-04-11,58.33
Brunei,2020-04-12,58.33
Brunei,2020-04-13,58.33
Brunei,2020-04-14,58.33
Brunei,2020-04-15,58.33
Brunei,2020-04-16,58.33
Brunei,2020-04-17,58.33
Brunei,2020-04-18,58.33
Brunei,2020-04-19,58.33
Brunei,2020-04-20,58.33
Brunei,2020-04-21,58.33
Brunei,2020-04-22,58.33
Brunei,2020-04-23,58.33
Brunei,2020-04-24,58.33
Brunei,2020-04-25,58.33
Brunei,2020-04-26,58.33
Brunei,2020-04-27,58.33
Brunei,2020-04-28,58.33
Brunei,2020-04-29,58.33
Brunei,2020-04-30,58.33
Brunei,2020-05-01,58.33
Brunei,2020-05-02,58.33
Brunei,2020-05-03,58.33
Brunei,2020-05-04,58.33
Brunei,2020-05-05,58.33
Brunei,2020-05-06,58.33
Brunei,2020-05-07,58.33
Brunei,2020-05-08,58.33
Brunei,2020-05-09,58.33
Brunei,2020-05-10,58.33
Brunei,2020-05-11,58.33
Brunei,2020-05-12,58.33
Brunei,2020-05-13,58.33
Brunei,2020-05-14,58.33
Brunei,2020-05-15,52.78
Brunei,2020-05-16,52.78
Brunei,2020-05-17,52.78
Brunei,2020-05-18,52.78
Brunei,2020-05-19,52.78
Brunei,2020-05-20,52.78
Brunei,2020-05-21,52.78
Brunei,2020-05-22,52.78
Brunei,2020-05-23,52.78
Brunei,2020-05-24,52.78
Brunei,2020-05-25,52.78
Brunei,2020-05-26,52.78
Brunei,2020-05-27,52.78
Brunei,2020-05-28,52.78
Brunei,2020-05-29,52.78
Brunei,2020-05-30,52.78
Brunei,2020-05-31,52.78
Brunei,2020-06-01,52.78
Brunei,2020-06-02,49.07
Brunei,2020-06-03,49.07
Brunei,2020-06-04,49.07
Brunei,2020-06-05,49.07
Brunei,2020-06-06,49.07
Brunei,2020-06-07,49.07
Brunei,2020-06-08,49.07
Brunei,2020-06-09,49.07
Brunei,2020-06-10,49.07
Brunei,2020-06-11,49.07
Brunei,2020-06-12,49.07
Brunei,2020-06-13,49.07
Brunei,2020-06-14,49.07
Brunei,2020-06-15,49.07
Brunei,2020-06-16,49.07
Brunei,2020-06-17,49.07
Brunei,2020-06-18,49.07
Brunei,2020-06-19,49.07
Brunei,2020-06-20,49.07
Brunei,2020-06-21,49.07
Brunei,2020-06-22,49.07
Brunei,2020-06-23,49.07
Brunei,2020-06-24,49.07
Brunei,2020-06-25,49.07
Brunei,2020-06-26,49.07
Brunei,2020-06-27,49.07
Brunei,2020-06-28,49.07
Brunei,2020-06-29,49.07
Brunei,2020-06-30,49.07
Brunei,2020-07-01,49.07
Brunei,2020-07-02,49.07
Brunei,2020-07-03,49.07
Brunei,2020-07-04,49.07
Brunei,2020-07-05,49.07
Brunei,2020-07-06,49.07
Brunei,2020-07-07,49.07
Brunei,2020-07-08,49.07
Brunei,2020-07-09,49.07
Brunei,2020-07-10,49.07
Brunei,2020-07-11,49.07
Brunei,2020-07-12,49.07
Brunei,2020-07-13,49.07
Brunei,2020-07-14,49.07
Brunei,2020-07-15,49.07
Brunei,2020-07-16,49.07
Brunei,2020-07-17,49.07
Brunei,2020-07-18,49.07
Brunei,2020-07-19,49.07
Brunei,2020-07-20,49.07
Brunei,2020-07-21,49.07
Brunei,2020-07-22,49.07
Brunei,2020-07-23,49.07
Brunei,2020-07-24,49.07
Brunei,2020-07-25,49.07
Brunei,2020-07-26,49.07
Brunei,2020-07-27,39.81
Brunei,2020-07-28,39.81
Brunei,2020-07-29,39.81
Brunei,2020-07-30,39.81
Brunei,2020-07-31,39.81
Brunei,2020-08-01,39.81
Brunei,2020-08-02,39.81
Brunei,2020-08-03,39.81
Brunei,2020-08-04,39.81
Brunei,2020-08-05,39.81
Brunei,2020-08-06,39.81
Brunei,2020-08-07,39.81
Brunei,2020-08-08,39.81
Brunei,2020-08-09,39.81
Brunei,2020-08-10,39.81
Brunei,2020-08-11,39.81
Brunei,2020-08-12,39.81
Brunei,2020-08-13,37.04
Brunei,2020-08-14,37.04
Brunei,2020-08-15,37.04
Brunei,2020-08-16,37.04
Brunei,2020-08-17,40.74
Brunei,2020-08-18,40.74
Brunei,2020-08-19,40.74
Brunei,2020-08-20,40.74
Brunei,2020-08-21,40.74
Brunei,2020-08-22,40.74
Brunei,2020-08-23,40.74
Brunei,2020-08-24,40.74
Brunei,2020-08-25,40.74
Brunei,2020-08-26,40.74
Brunei,2020-08-27,40.74
Brunei,2020-08-28,40.74
Brunei,2020-08-29,40.74
Brunei,2020-08-30,40.74
Brunei,2020-08-31,40.74
Brunei,2020-09-01,37.96
Brunei,2020-09-02,37.96
Brunei,2020-09-03,37.96
Brunei,2020-09-04,37.96
Brunei,2020-09-05,37.96
Brunei,2020-09-06,37.96
Brunei,2020-09-07,37.96
Brunei,2020-09-08,37.96
Brunei,2020-09-09,37.96
Brunei,2020-09-10,37.96
Brunei,2020-09-11,37.96
Brunei,2020-09-12,37.96
Brunei,2020-09-13,37.96
Brunei,2020-09-14,37.96
Brunei,2020-09-15,35.19
Brunei,2020-09-16,35.19
Brunei,2020-09-17,35.19
Brunei,2020-09-18,35.19
Brunei,2020-09-19,35.19
Brunei,2020-09-20,35.19
Brunei,2020-09-21,35.19
Brunei,2020-09-22,35.19
Brunei,2020-09-23,35.19
Brunei,2020-09-24,35.19
Brunei,2020-09-25,35.19
Brunei,2020-09-26,35.19
Brunei,2020-09-27,35.19
Brunei,2020-09-28,35.19
Brunei,2020-09-29,35.19
Brunei,2020-09-30,35.19
Brunei,2020-10-01,35.19
Brunei,2020-10-02,35.19
Brunei,2020-10-03,35.19
Brunei,2020-10-04,35.19
Brunei,2020-10-05,35.19
Brunei,2020-10-06,35.19
Brunei,2020-10-07,35.19
Brunei,2020-10-08,35.19
Brunei,2020-10-09,35.19
Brunei,2020-10-10,35.19
Brunei,2020-10-11,35.19
Brunei,2020-10-12,35.19
Brunei,2020-10-13,35.19
Brunei,2020-10-14,35.19
Brunei,2020-10-15,35.19
Brunei,2020-10-16,35.19
Brunei,2020-10-17,35.19
Brunei,2020-10-18,35.19
Brunei,2020-10-19,35.19
Brunei,2020-10-20,35.19
Brunei,2020-10-21,35.19
Brunei,2020-10-22,35.19
Brunei,2020-10-23,35.19
Brunei,2020-10-24,35.19
Brunei,2020-10-25,35.19
