Entity,Date,Stringency Index (OxBSG)
Cayman Islands,2020-01-01,0.0
Cayman Islands,2020-01-02,0.0
Cayman Islands,2020-01-03,0.0
Cayman Islands,2020-01-04,0.0
Cayman Islands,2020-01-05,0.0
Cayman Islands,2020-01-06,0.0
Cayman Islands,2020-01-07,0.0
Cayman Islands,2020-01-08,0.0
Cayman Islands,2020-01-09,0.0
Cayman Islands,2020-01-10,0.0
Cayman Islands,2020-01-11,0.0
Cayman Islands,2020-01-12,0.0
Cayman Islands,2020-01-13,0.0
Cayman Islands,2020-01-14,0.0
Cayman Islands,2020-01-15,0.0
Cayman Islands,2020-01-16,0.0
Cayman Islands,2020-01-17,0.0
Cayman Islands,2020-01-18,0.0
Cayman Islands,2020-01-19,0.0
Cayman Islands,2020-01-20,0.0
Cayman Islands,2020-01-21,0.0
Cayman Islands,2020-01-22,0.0
Cayman Islands,2020-01-23,0.0
Cayman Islands,2020-01-24,5.56
Cayman Islands,2020-01-25,5.56
Cayman Islands,2020-01-26,5.56
Cayman Islands,2020-01-27,5.56
Cayman Islands,2020-01-28,5.56
Cayman Islands,2020-01-29,5.56
Cayman Islands,2020-01-30,5.56
Cayman Islands,2020-01-31,8.33
Cayman Islands,2020-02-01,8.33
Cayman Islands,2020-02-02,8.33
Cayman Islands,2020-02-03,8.33
Cayman Islands,2020-02-04,8.33
Cayman Islands,2020-02-05,8.33
Cayman Islands,2020-02-06,8.33
Cayman Islands,2020-02-07,8.33
Cayman Islands,2020-02-08,8.33
Cayman Islands,2020-02-09,8.33
Cayman Islands,2020-02-10,11.11
Cayman Islands,2020-02-11,11.11
Cayman Islands,2020-02-12,11.11
Cayman Islands,2020-02-13,11.11
Cayman Islands,2020-02-14,11.11
Cayman Islands,2020-02-15,11.11
Cayman Islands,2020-02-16,11.11
Cayman Islands,2020-02-17,11.11
Cayman Islands,2020-02-18,11.11
Cayman Islands,2020-02-19,11.11
Cayman Islands,2020-02-20,11.11
Cayman Islands,2020-02-21,11.11
Cayman Islands,2020-02-22,11.11
Cayman Islands,2020-02-23,11.11
Cayman Islands,2020-02-24,11.11
Cayman Islands,2020-02-25,11.11
Cayman Islands,2020-02-26,11.11
Cayman Islands,2020-02-27,11.11
Cayman Islands,2020-02-28,13.89
Cayman Islands,2020-02-29,13.89
Cayman Islands,2020-03-01,13.89
Cayman Islands,2020-03-02,13.89
Cayman Islands,2020-03-03,13.89
Cayman Islands,2020-03-04,13.89
Cayman Islands,2020-03-05,13.89
Cayman Islands,2020-03-06,13.89
Cayman Islands,2020-03-07,13.89
Cayman Islands,2020-03-08,13.89
Cayman Islands,2020-03-09,13.89
Cayman Islands,2020-03-10,13.89
Cayman Islands,2020-03-11,13.89
Cayman Islands,2020-03-12,13.89
Cayman Islands,2020-03-13,33.33
Cayman Islands,2020-03-14,33.33
Cayman Islands,2020-03-15,33.33
Cayman Islands,2020-03-16,47.22
Cayman Islands,2020-03-17,47.22
Cayman Islands,2020-03-18,47.22
Cayman Islands,2020-03-19,47.22
Cayman Islands,2020-03-20,47.22
Cayman Islands,2020-03-21,47.22
Cayman Islands,2020-03-22,47.22
Cayman Islands,2020-03-23,54.63
Cayman Islands,2020-03-24,62.04
Cayman Islands,2020-03-25,76.85
Cayman Islands,2020-03-26,76.85
Cayman Islands,2020-03-27,76.85
Cayman Islands,2020-03-28,90.74
Cayman Islands,2020-03-29,90.74
Cayman Islands,2020-03-30,90.74
Cayman Islands,2020-03-31,90.74
Cayman Islands,2020-04-01,90.74
Cayman Islands,2020-04-02,90.74
Cayman Islands,2020-04-03,90.74
Cayman Islands,2020-04-04,90.74
Cayman Islands,2020-04-05,90.74
Cayman Islands,2020-04-06,90.74
Cayman Islands,2020-04-07,90.74
Cayman Islands,2020-04-08,90.74
Cayman Islands,2020-04-09,90.74
Cayman Islands,2020-04-10,90.74
Cayman Islands,2020-04-11,90.74
Cayman Islands,2020-04-12,90.74
Cayman Islands,2020-04-13,90.74
Cayman Islands,2020-04-14,90.74
Cayman Islands,2020-04-15,90.74
Cayman Islands,2020-04-16,94.44
Cayman Islands,2020-04-17,94.44
Cayman Islands,2020-04-18,94.44
Cayman Islands,2020-04-19,94.44
Cayman Islands,2020-04-20,94.44
Cayman Islands,2020-04-21,94.44
Cayman Islands,2020-04-22,94.44
Cayman Islands,2020-04-23,94.44
Cayman Islands,2020-04-24,94.44
Cayman Islands,2020-04-25,94.44
Cayman Islands,2020-04-26,94.44
Cayman Islands,2020-04-27,94.44
Cayman Islands,2020-04-28,94.44
Cayman Islands,2020-04-29,94.44
Cayman Islands,2020-04-30,94.44
Cayman Islands,2020-05-01,94.44
Cayman Islands,2020-05-02,94.44
Cayman Islands,2020-05-03,94.44
Cayman Islands,2020-05-04,94.44
Cayman Islands,2020-05-05,80.09
Cayman Islands,2020-05-06,77.31
Cayman Islands,2020-05-07,77.31
Cayman Islands,2020-05-08,77.31
Cayman Islands,2020-05-09,77.31
Cayman Islands,2020-05-10,77.31
Cayman Islands,2020-05-11,77.31
Cayman Islands,2020-05-12,77.31
Cayman Islands,2020-05-13,77.31
Cayman Islands,2020-05-14,77.31
Cayman Islands,2020-05-15,77.31
Cayman Islands,2020-05-16,77.31
Cayman Islands,2020-05-17,77.31
Cayman Islands,2020-05-18,77.31
Cayman Islands,2020-05-19,77.31
Cayman Islands,2020-05-20,77.31
Cayman Islands,2020-05-21,77.31
Cayman Islands,2020-05-22,77.31
Cayman Islands,2020-05-23,77.31
Cayman Islands,2020-05-24,77.31
Cayman Islands,2020-05-25,77.31
Cayman Islands,2020-05-26,77.31
Cayman Islands,2020-05-27,77.31
Cayman Islands,2020-05-28,77.31
Cayman Islands,2020-05-29,77.31
Cayman Islands,2020-05-30,77.31
Cayman Islands,2020-05-31,77.31
Cayman Islands,2020-06-01,77.31
Cayman Islands,2020-06-02,77.31
Cayman Islands,2020-06-03,77.31
Cayman Islands,2020-06-04,77.31
Cayman Islands,2020-06-05,77.31
Cayman Islands,2020-06-06,77.31
Cayman Islands,2020-06-07,77.31
Cayman Islands,2020-06-08,77.31
Cayman Islands,2020-06-09,77.31
Cayman Islands,2020-06-10,77.31
Cayman Islands,2020-06-11,77.31
Cayman Islands,2020-06-12,77.31
Cayman Islands,2020-06-13,77.31
Cayman Islands,2020-06-14,77.31
Cayman Islands,2020-06-15,77.31
Cayman Islands,2020-06-16,77.31
Cayman Islands,2020-06-17,77.31
Cayman Islands,2020-06-18,77.31
Cayman Islands,2020-06-19,66.2
Cayman Islands,2020-06-20,66.2
Cayman Islands,2020-06-21,66.2
Cayman Islands,2020-06-22,51.39
Cayman Islands,2020-06-23,51.39
Cayman Islands,2020-06-24,51.39
Cayman Islands,2020-06-25,51.39
Cayman Islands,2020-06-26,51.39
Cayman Islands,2020-06-27,51.39
Cayman Islands,2020-06-28,51.39
Cayman Islands,2020-06-29,51.39
Cayman Islands,2020-06-30,51.39
Cayman Islands,2020-07-01,51.39
