Entity,Date,Stringency Index (OxBSG)
Chad,2020-01-01,0.0
Chad,2020-01-02,0.0
Chad,2020-01-03,0.0
Chad,2020-01-04,0.0
Chad,2020-01-05,0.0
Chad,2020-01-06,0.0
Chad,2020-01-07,0.0
Chad,2020-01-08,0.0
Chad,2020-01-09,0.0
Chad,2020-01-10,0.0
Chad,2020-01-11,0.0
Chad,2020-01-12,0.0
Chad,2020-01-13,0.0
Chad,2020-01-14,0.0
Chad,2020-01-15,0.0
Chad,2020-01-16,0.0
Chad,2020-01-17,0.0
Chad,2020-01-18,0.0
Chad,2020-01-19,0.0
Chad,2020-01-20,0.0
Chad,2020-01-21,0.0
Chad,2020-01-22,0.0
Chad,2020-01-23,0.0
Chad,2020-01-24,0.0
Chad,2020-01-25,0.0
Chad,2020-01-26,0.0
Chad,2020-01-27,0.0
Chad,2020-01-28,0.0
Chad,2020-01-29,0.0
Chad,2020-01-30,0.0
Chad,2020-01-31,0.0
Chad,2020-02-01,0.0
Chad,2020-02-02,0.0
Chad,2020-02-03,0.0
Chad,2020-02-04,0.0
Chad,2020-02-05,0.0
Chad,2020-02-06,0.0
Chad,2020-02-07,0.0
Chad,2020-02-08,0.0
Chad,2020-02-09,0.0
Chad,2020-02-10,0.0
Chad,2020-02-11,0.0
Chad,2020-02-12,0.0
Chad,2020-02-13,0.0
Chad,2020-02-14,0.0
Chad,2020-02-15,0.0
Chad,2020-02-16,0.0
Chad,2020-02-17,0.0
Chad,2020-02-18,0.0
Chad,2020-02-19,0.0
Chad,2020-02-20,0.0
Chad,2020-02-21,0.0
Chad,2020-02-22,0.0
Chad,2020-02-23,0.0
Chad,2020-02-24,0.0
Chad,2020-02-25,0.0
Chad,2020-02-26,0.0
Chad,2020-02-27,0.0
Chad,2020-02-28,0.0
Chad,2020-02-29,0.0
Chad,2020-03-01,0.0
Chad,2020-03-02,0.0
Chad,2020-03-03,0.0
Chad,2020-03-04,0.0
Chad,2020-03-05,0.0
Chad,2020-03-06,0.0
Chad,2020-03-07,11.11
Chad,2020-03-08,16.67
Chad,2020-03-09,16.67
Chad,2020-03-10,16.67
Chad,2020-03-11,16.67
Chad,2020-03-12,16.67
Chad,2020-03-13,16.67
Chad,2020-03-14,16.67
Chad,2020-03-15,16.67
Chad,2020-03-16,16.67
Chad,2020-03-17,16.67
Chad,2020-03-18,19.44
Chad,2020-03-19,27.78
Chad,2020-03-20,27.78
Chad,2020-03-21,27.78
Chad,2020-03-22,27.78
Chad,2020-03-23,27.78
Chad,2020-03-24,27.78
Chad,2020-03-25,27.78
Chad,2020-03-26,27.78
Chad,2020-03-27,27.78
Chad,2020-03-28,27.78
Chad,2020-03-29,27.78
Chad,2020-03-30,27.78
Chad,2020-03-31,27.78
Chad,2020-04-01,27.78
Chad,2020-04-02,33.33
Chad,2020-04-03,33.33
Chad,2020-04-04,33.33
Chad,2020-04-05,33.33
Chad,2020-04-06,33.33
Chad,2020-04-07,33.33
Chad,2020-04-08,33.33
Chad,2020-04-09,33.33
Chad,2020-04-10,33.33
Chad,2020-04-11,33.33
Chad,2020-04-12,33.33
Chad,2020-04-13,88.89
Chad,2020-04-14,88.89
Chad,2020-04-15,88.89
Chad,2020-04-16,88.89
Chad,2020-04-17,88.89
Chad,2020-04-18,88.89
Chad,2020-04-19,88.89
Chad,2020-04-20,88.89
Chad,2020-04-21,88.89
Chad,2020-04-22,88.89
Chad,2020-04-23,88.89
Chad,2020-04-24,88.89
Chad,2020-04-25,88.89
Chad,2020-04-26,88.89
Chad,2020-04-27,88.89
Chad,2020-04-28,88.89
Chad,2020-04-29,88.89
Chad,2020-04-30,88.89
Chad,2020-05-01,88.89
Chad,2020-05-02,88.89
Chad,2020-05-03,88.89
Chad,2020-05-04,88.89
Chad,2020-05-05,88.89
Chad,2020-05-06,88.89
Chad,2020-05-07,88.89
Chad,2020-05-08,88.89
Chad,2020-05-09,88.89
Chad,2020-05-10,88.89
Chad,2020-05-11,88.89
Chad,2020-05-12,87.04
Chad,2020-05-13,87.04
Chad,2020-05-14,87.04
Chad,2020-05-15,87.04
Chad,2020-05-16,87.04
Chad,2020-05-17,87.04
Chad,2020-05-18,74.07
Chad,2020-05-19,74.07
Chad,2020-05-20,74.07
Chad,2020-05-21,74.07
