Entity,Date,Stringency Index (OxBSG)
Chile,2020-01-01,0.0
Chile,2020-01-02,0.0
Chile,2020-01-03,0.0
Chile,2020-01-04,0.0
Chile,2020-01-05,0.0
Chile,2020-01-06,0.0
Chile,2020-01-07,0.0
Chile,2020-01-08,0.0
Chile,2020-01-09,0.0
Chile,2020-01-10,0.0
Chile,2020-01-11,0.0
Chile,2020-01-12,0.0
Chile,2020-01-13,0.0
Chile,2020-01-14,0.0
Chile,2020-01-15,0.0
Chile,2020-01-16,0.0
Chile,2020-01-17,0.0
Chile,2020-01-18,0.0
Chile,2020-01-19,0.0
Chile,2020-01-20,0.0
Chile,2020-01-21,0.0
Chile,2020-01-22,0.0
Chile,2020-01-23,0.0
Chile,2020-01-24,0.0
Chile,2020-01-25,0.0
Chile,2020-01-26,0.0
Chile,2020-01-27,0.0
Chile,2020-01-28,0.0
Chile,2020-01-29,0.0
Chile,2020-01-30,0.0
Chile,2020-01-31,0.0
Chile,2020-02-01,0.0
Chile,2020-02-02,0.0
Chile,2020-02-03,0.0
Chile,2020-02-04,0.0
Chile,2020-02-05,0.0
Chile,2020-02-06,0.0
Chile,2020-02-07,0.0
Chile,2020-02-08,0.0
Chile,2020-02-09,0.0
Chile,2020-02-10,0.0
Chile,2020-02-11,0.0
Chile,2020-02-12,0.0
Chile,2020-02-13,0.0
Chile,2020-02-14,0.0
Chile,2020-02-15,0.0
Chile,2020-02-16,0.0
Chile,2020-02-17,0.0
Chile,2020-02-18,0.0
Chile,2020-02-19,0.0
Chile,2020-02-20,0.0
Chile,2020-02-21,0.0
Chile,2020-02-22,0.0
Chile,2020-02-23,0.0
Chile,2020-02-24,0.0
Chile,2020-02-25,0.0
Chile,2020-02-26,0.0
Chile,2020-02-27,0.0
Chile,2020-02-28,0.0
Chile,2020-02-29,0.0
Chile,2020-03-01,0.0
Chile,2020-03-02,0.0
Chile,2020-03-03,0.0
Chile,2020-03-04,0.0
Chile,2020-03-05,0.0
Chile,2020-03-06,0.0
Chile,2020-03-07,0.0
Chile,2020-03-08,0.0
Chile,2020-03-09,0.0
Chile,2020-03-10,0.0
Chile,2020-03-11,0.0
Chile,2020-03-12,0.0
Chile,2020-03-13,0.0
Chile,2020-03-14,11.11
Chile,2020-03-15,22.22
Chile,2020-03-16,47.22
Chile,2020-03-17,47.22
Chile,2020-03-18,55.56
Chile,2020-03-19,55.56
Chile,2020-03-20,55.56
Chile,2020-03-21,51.85
Chile,2020-03-22,51.85
Chile,2020-03-23,51.85
Chile,2020-03-24,51.85
Chile,2020-03-25,73.15
Chile,2020-03-26,73.15
Chile,2020-03-27,73.15
Chile,2020-03-28,73.15
Chile,2020-03-29,73.15
Chile,2020-03-30,73.15
Chile,2020-03-31,73.15
Chile,2020-04-01,73.15
Chile,2020-04-02,73.15
Chile,2020-04-03,73.15
Chile,2020-04-04,73.15
Chile,2020-04-05,73.15
Chile,2020-04-06,73.15
Chile,2020-04-07,73.15
Chile,2020-04-08,73.15
Chile,2020-04-09,73.15
Chile,2020-04-10,73.15
Chile,2020-04-11,73.15
Chile,2020-04-12,73.15
Chile,2020-04-13,73.15
Chile,2020-04-14,73.15
Chile,2020-04-15,73.15
Chile,2020-04-16,73.15
Chile,2020-04-17,73.15
Chile,2020-04-18,73.15
Chile,2020-04-19,73.15
Chile,2020-04-20,73.15
Chile,2020-04-21,73.15
Chile,2020-04-22,73.15
Chile,2020-04-23,73.15
Chile,2020-04-24,73.15
Chile,2020-04-25,73.15
Chile,2020-04-26,73.15
Chile,2020-04-27,73.15
Chile,2020-04-28,73.15
Chile,2020-04-29,73.15
Chile,2020-04-30,73.15
Chile,2020-05-01,73.15
Chile,2020-05-02,73.15
Chile,2020-05-03,73.15
Chile,2020-05-04,73.15
Chile,2020-05-05,73.15
Chile,2020-05-06,73.15
Chile,2020-05-07,73.15
Chile,2020-05-08,75.93
Chile,2020-05-09,75.93
Chile,2020-05-10,75.93
Chile,2020-05-11,75.93
Chile,2020-05-12,75.93
Chile,2020-05-13,75.93
Chile,2020-05-14,75.93
Chile,2020-05-15,78.24
Chile,2020-05-16,78.24
Chile,2020-05-17,78.24
Chile,2020-05-18,78.24
Chile,2020-05-19,78.24
Chile,2020-05-20,78.24
Chile,2020-05-21,78.24
Chile,2020-05-22,78.24
Chile,2020-05-23,78.24
Chile,2020-05-24,78.24
Chile,2020-05-25,78.24
Chile,2020-05-26,78.24
Chile,2020-05-27,78.24
Chile,2020-05-28,78.24
Chile,2020-05-29,78.24
Chile,2020-05-30,78.24
Chile,2020-05-31,78.24
Chile,2020-06-01,78.24
Chile,2020-06-02,78.24
Chile,2020-06-03,78.24
Chile,2020-06-04,78.24
Chile,2020-06-05,78.24
Chile,2020-06-06,78.24
Chile,2020-06-07,78.24
Chile,2020-06-08,78.24
Chile,2020-06-09,78.24
Chile,2020-06-10,78.24
Chile,2020-06-11,78.24
Chile,2020-06-12,78.24
Chile,2020-06-13,78.24
Chile,2020-06-14,78.24
Chile,2020-06-15,78.24
Chile,2020-06-16,78.24
Chile,2020-06-17,78.24
Chile,2020-06-18,78.24
Chile,2020-06-19,78.24
Chile,2020-06-20,78.24
Chile,2020-06-21,78.24
Chile,2020-06-22,78.24
Chile,2020-06-23,78.24
Chile,2020-06-24,78.24
Chile,2020-06-25,78.24
Chile,2020-06-26,78.24
Chile,2020-06-27,78.24
Chile,2020-06-28,78.24
Chile,2020-06-29,78.24
Chile,2020-06-30,78.24
Chile,2020-07-01,78.24
Chile,2020-07-02,78.24
Chile,2020-07-03,89.35
Chile,2020-07-04,89.35
Chile,2020-07-05,89.35
Chile,2020-07-06,89.35
Chile,2020-07-07,89.35
Chile,2020-07-08,89.35
Chile,2020-07-09,89.35
Chile,2020-07-10,89.35
Chile,2020-07-11,89.35
Chile,2020-07-12,89.35
Chile,2020-07-13,89.35
Chile,2020-07-14,89.35
Chile,2020-07-15,89.35
Chile,2020-07-16,89.35
Chile,2020-07-17,86.57
Chile,2020-07-18,86.57
Chile,2020-07-19,86.57
Chile,2020-07-20,86.57
Chile,2020-07-21,86.57
Chile,2020-07-22,86.57
Chile,2020-07-23,86.57
Chile,2020-07-24,86.57
Chile,2020-07-25,86.57
Chile,2020-07-26,86.57
Chile,2020-07-27,86.57
Chile,2020-07-28,86.57
Chile,2020-07-29,86.57
Chile,2020-07-30,86.57
Chile,2020-07-31,86.57
Chile,2020-08-01,89.35
Chile,2020-08-02,89.35
Chile,2020-08-03,89.35
Chile,2020-08-04,89.35
Chile,2020-08-05,89.35
Chile,2020-08-06,89.35
Chile,2020-08-07,89.35
Chile,2020-08-08,89.35
Chile,2020-08-09,89.35
Chile,2020-08-10,83.8
Chile,2020-08-11,83.8
Chile,2020-08-12,83.8
Chile,2020-08-13,83.8
Chile,2020-08-14,83.8
Chile,2020-08-15,83.8
Chile,2020-08-16,83.8
Chile,2020-08-17,83.8
Chile,2020-08-18,83.8
Chile,2020-08-19,83.8
Chile,2020-08-20,83.8
Chile,2020-08-21,83.8
Chile,2020-08-22,83.8
Chile,2020-08-23,83.8
Chile,2020-08-24,83.8
Chile,2020-08-25,83.8
Chile,2020-08-26,83.8
Chile,2020-08-27,83.8
Chile,2020-08-28,83.8
Chile,2020-08-29,83.8
Chile,2020-08-30,83.8
Chile,2020-08-31,83.8
Chile,2020-09-01,83.8
Chile,2020-09-02,83.8
Chile,2020-09-03,83.8
Chile,2020-09-04,83.8
Chile,2020-09-05,83.8
Chile,2020-09-06,83.8
Chile,2020-09-07,83.8
Chile,2020-09-08,83.8
Chile,2020-09-09,83.8
Chile,2020-09-10,83.8
Chile,2020-09-11,83.8
Chile,2020-09-12,83.8
Chile,2020-09-13,83.8
Chile,2020-09-14,83.8
Chile,2020-09-15,83.8
Chile,2020-09-16,83.8
Chile,2020-09-17,83.8
Chile,2020-09-18,83.8
Chile,2020-09-19,83.8
Chile,2020-09-20,83.8
Chile,2020-09-21,83.8
Chile,2020-09-22,83.8
Chile,2020-09-23,83.8
Chile,2020-09-24,83.8
Chile,2020-09-25,83.8
Chile,2020-09-26,83.8
Chile,2020-09-27,83.8
Chile,2020-09-28,83.8
Chile,2020-09-29,83.8
Chile,2020-09-30,83.8
Chile,2020-10-01,83.8
Chile,2020-10-02,83.8
Chile,2020-10-03,83.8
Chile,2020-10-04,83.8
Chile,2020-10-05,76.39
Chile,2020-10-06,76.39
Chile,2020-10-07,76.39
Chile,2020-10-08,76.39
Chile,2020-10-09,76.39
Chile,2020-10-10,76.39
Chile,2020-10-11,76.39
Chile,2020-10-12,76.39
Chile,2020-10-13,76.39
Chile,2020-10-14,76.39
Chile,2020-10-15,76.39
Chile,2020-10-16,76.39
Chile,2020-10-17,76.39
Chile,2020-10-18,76.39
Chile,2020-10-19,76.39
Chile,2020-10-20,76.39
Chile,2020-10-21,76.39
Chile,2020-10-22,76.39
Chile,2020-10-23,76.39
Chile,2020-10-24,76.39
Chile,2020-10-25,76.39
Chile,2020-10-26,76.39
Chile,2020-10-27,76.39
Chile,2020-10-28,76.39
Chile,2020-10-29,76.39
Chile,2020-10-30,76.39
Chile,2020-10-31,76.39
Chile,2020-11-01,76.39
