Entity,Date,Stringency Index (OxBSG)
Cote d'Ivoire,2020-01-01,0.0
Cote d'Ivoire,2020-01-02,0.0
Cote d'Ivoire,2020-01-03,0.0
Cote d'Ivoire,2020-01-04,0.0
Cote d'Ivoire,2020-01-05,0.0
Cote d'Ivoire,2020-01-06,0.0
Cote d'Ivoire,2020-01-07,0.0
Cote d'Ivoire,2020-01-08,0.0
Cote d'Ivoire,2020-01-09,0.0
Cote d'Ivoire,2020-01-10,0.0
Cote d'Ivoire,2020-01-11,0.0
Cote d'Ivoire,2020-01-12,0.0
Cote d'Ivoire,2020-01-13,0.0
Cote d'Ivoire,2020-01-14,0.0
Cote d'Ivoire,2020-01-15,0.0
Cote d'Ivoire,2020-01-16,0.0
Cote d'Ivoire,2020-01-17,0.0
Cote d'Ivoire,2020-01-18,0.0
Cote d'Ivoire,2020-01-19,0.0
Cote d'Ivoire,2020-01-20,0.0
Cote d'Ivoire,2020-01-21,0.0
Cote d'Ivoire,2020-01-22,0.0
Cote d'Ivoire,2020-01-23,0.0
Cote d'Ivoire,2020-01-24,0.0
Cote d'Ivoire,2020-01-25,0.0
Cote d'Ivoire,2020-01-26,0.0
Cote d'Ivoire,2020-01-27,0.0
Cote d'Ivoire,2020-01-28,0.0
Cote d'Ivoire,2020-01-29,0.0
Cote d'Ivoire,2020-01-30,0.0
Cote d'Ivoire,2020-01-31,0.0
Cote d'Ivoire,2020-02-01,0.0
Cote d'Ivoire,2020-02-02,0.0
Cote d'Ivoire,2020-02-03,0.0
Cote d'Ivoire,2020-02-04,0.0
Cote d'Ivoire,2020-02-05,0.0
Cote d'Ivoire,2020-02-06,0.0
Cote d'Ivoire,2020-02-07,0.0
Cote d'Ivoire,2020-02-08,0.0
Cote d'Ivoire,2020-02-09,0.0
Cote d'Ivoire,2020-02-10,0.0
Cote d'Ivoire,2020-02-11,0.0
Cote d'Ivoire,2020-02-12,0.0
Cote d'Ivoire,2020-02-13,0.0
Cote d'Ivoire,2020-02-14,0.0
Cote d'Ivoire,2020-02-15,0.0
Cote d'Ivoire,2020-02-16,0.0
Cote d'Ivoire,2020-02-17,0.0
Cote d'Ivoire,2020-02-18,0.0
Cote d'Ivoire,2020-02-19,0.0
Cote d'Ivoire,2020-02-20,0.0
Cote d'Ivoire,2020-02-21,0.0
Cote d'Ivoire,2020-02-22,0.0
Cote d'Ivoire,2020-02-23,0.0
Cote d'Ivoire,2020-02-24,0.0
Cote d'Ivoire,2020-02-25,0.0
Cote d'Ivoire,2020-02-26,0.0
Cote d'Ivoire,2020-02-27,0.0
Cote d'Ivoire,2020-02-28,0.0
Cote d'Ivoire,2020-02-29,0.0
Cote d'Ivoire,2020-03-01,0.0
Cote d'Ivoire,2020-03-02,0.0
Cote d'Ivoire,2020-03-03,0.0
Cote d'Ivoire,2020-03-04,0.0
Cote d'Ivoire,2020-03-05,0.0
Cote d'Ivoire,2020-03-06,0.0
Cote d'Ivoire,2020-03-07,0.0
Cote d'Ivoire,2020-03-08,0.0
Cote d'Ivoire,2020-03-09,0.0
Cote d'Ivoire,2020-03-10,0.0
Cote d'Ivoire,2020-03-11,0.0
Cote d'Ivoire,2020-03-12,11.11
Cote d'Ivoire,2020-03-13,11.11
Cote d'Ivoire,2020-03-14,11.11
Cote d'Ivoire,2020-03-15,11.11
Cote d'Ivoire,2020-03-16,30.56
Cote d'Ivoire,2020-03-17,30.56
Cote d'Ivoire,2020-03-18,30.56
Cote d'Ivoire,2020-03-19,57.41
Cote d'Ivoire,2020-03-20,57.41
Cote d'Ivoire,2020-03-21,57.41
Cote d'Ivoire,2020-03-22,60.19
Cote d'Ivoire,2020-03-23,63.89
Cote d'Ivoire,2020-03-24,80.56
Cote d'Ivoire,2020-03-25,80.56
Cote d'Ivoire,2020-03-26,80.56
Cote d'Ivoire,2020-03-27,80.56
Cote d'Ivoire,2020-03-28,80.56
Cote d'Ivoire,2020-03-29,80.56
Cote d'Ivoire,2020-03-30,80.56
Cote d'Ivoire,2020-03-31,80.56
Cote d'Ivoire,2020-04-01,80.56
Cote d'Ivoire,2020-04-02,80.56
Cote d'Ivoire,2020-04-03,80.56
Cote d'Ivoire,2020-04-04,80.56
Cote d'Ivoire,2020-04-05,80.56
Cote d'Ivoire,2020-04-06,80.56
Cote d'Ivoire,2020-04-07,80.56
Cote d'Ivoire,2020-04-08,80.56
Cote d'Ivoire,2020-04-09,80.56
Cote d'Ivoire,2020-04-10,80.56
Cote d'Ivoire,2020-04-11,80.56
Cote d'Ivoire,2020-04-12,80.56
Cote d'Ivoire,2020-04-13,80.56
Cote d'Ivoire,2020-04-14,80.56
Cote d'Ivoire,2020-04-15,80.56
Cote d'Ivoire,2020-04-16,80.56
Cote d'Ivoire,2020-04-17,80.56
Cote d'Ivoire,2020-04-18,80.56
Cote d'Ivoire,2020-04-19,80.56
Cote d'Ivoire,2020-04-20,80.56
Cote d'Ivoire,2020-04-21,80.56
Cote d'Ivoire,2020-04-22,80.56
Cote d'Ivoire,2020-04-23,80.56
Cote d'Ivoire,2020-04-24,80.56
Cote d'Ivoire,2020-04-25,80.56
Cote d'Ivoire,2020-04-26,80.56
Cote d'Ivoire,2020-04-27,80.56
Cote d'Ivoire,2020-04-28,80.56
Cote d'Ivoire,2020-04-29,80.56
Cote d'Ivoire,2020-04-30,80.56
Cote d'Ivoire,2020-05-01,80.56
Cote d'Ivoire,2020-05-02,80.56
Cote d'Ivoire,2020-05-03,80.56
Cote d'Ivoire,2020-05-04,80.56
Cote d'Ivoire,2020-05-05,80.56
Cote d'Ivoire,2020-05-06,80.56
Cote d'Ivoire,2020-05-07,80.56
Cote d'Ivoire,2020-05-08,69.91
Cote d'Ivoire,2020-05-09,69.91
Cote d'Ivoire,2020-05-10,69.91
Cote d'Ivoire,2020-05-11,69.91
Cote d'Ivoire,2020-05-12,69.91
Cote d'Ivoire,2020-05-13,69.91
Cote d'Ivoire,2020-05-14,69.91
Cote d'Ivoire,2020-05-15,69.91
Cote d'Ivoire,2020-05-16,64.81
Cote d'Ivoire,2020-05-17,64.81
Cote d'Ivoire,2020-05-18,64.81
Cote d'Ivoire,2020-05-19,64.81
Cote d'Ivoire,2020-05-20,64.81
Cote d'Ivoire,2020-05-21,64.81
Cote d'Ivoire,2020-05-22,64.81
Cote d'Ivoire,2020-05-23,64.81
Cote d'Ivoire,2020-05-24,64.81
Cote d'Ivoire,2020-05-25,59.26
Cote d'Ivoire,2020-05-26,59.26
Cote d'Ivoire,2020-05-27,59.26
Cote d'Ivoire,2020-05-28,59.26
Cote d'Ivoire,2020-05-29,59.26
Cote d'Ivoire,2020-05-30,59.26
Cote d'Ivoire,2020-05-31,59.26
Cote d'Ivoire,2020-06-01,59.26
Cote d'Ivoire,2020-06-02,59.26
Cote d'Ivoire,2020-06-03,59.26
Cote d'Ivoire,2020-06-04,59.26
