Entity,Date,Stringency Index (OxBSG)
El Salvador,2020-01-01,0.0
El Salvador,2020-01-02,0.0
El Salvador,2020-01-03,0.0
El Salvador,2020-01-04,0.0
El Salvador,2020-01-05,0.0
El Salvador,2020-01-06,0.0
El Salvador,2020-01-07,0.0
El Salvador,2020-01-08,0.0
El Salvador,2020-01-09,0.0
El Salvador,2020-01-10,0.0
El Salvador,2020-01-11,0.0
El Salvador,2020-01-12,0.0
El Salvador,2020-01-13,0.0
El Salvador,2020-01-14,0.0
El Salvador,2020-01-15,0.0
El Salvador,2020-01-16,0.0
El Salvador,2020-01-17,0.0
El Salvador,2020-01-18,0.0
El Salvador,2020-01-19,0.0
El Salvador,2020-01-20,0.0
El Salvador,2020-01-21,0.0
El Salvador,2020-01-22,0.0
El Salvador,2020-01-23,11.11
El Salvador,2020-01-24,11.11
El Salvador,2020-01-25,11.11
El Salvador,2020-01-26,11.11
El Salvador,2020-01-27,11.11
El Salvador,2020-01-28,11.11
El Salvador,2020-01-29,11.11
El Salvador,2020-01-30,11.11
El Salvador,2020-01-31,19.44
El Salvador,2020-02-01,19.44
El Salvador,2020-02-02,19.44
El Salvador,2020-02-03,19.44
El Salvador,2020-02-04,19.44
El Salvador,2020-02-05,19.44
El Salvador,2020-02-06,19.44
El Salvador,2020-02-07,19.44
El Salvador,2020-02-08,19.44
El Salvador,2020-02-09,19.44
El Salvador,2020-02-10,19.44
El Salvador,2020-02-11,19.44
El Salvador,2020-02-12,19.44
El Salvador,2020-02-13,19.44
El Salvador,2020-02-14,19.44
El Salvador,2020-02-15,19.44
El Salvador,2020-02-16,19.44
El Salvador,2020-02-17,19.44
El Salvador,2020-02-18,19.44
El Salvador,2020-02-19,19.44
El Salvador,2020-02-20,19.44
El Salvador,2020-02-21,19.44
El Salvador,2020-02-22,19.44
El Salvador,2020-02-23,19.44
El Salvador,2020-02-24,19.44
El Salvador,2020-02-25,19.44
El Salvador,2020-02-26,19.44
El Salvador,2020-02-27,19.44
El Salvador,2020-02-28,19.44
El Salvador,2020-02-29,19.44
El Salvador,2020-03-01,19.44
El Salvador,2020-03-02,19.44
El Salvador,2020-03-03,19.44
El Salvador,2020-03-04,19.44
El Salvador,2020-03-05,19.44
El Salvador,2020-03-06,19.44
El Salvador,2020-03-07,19.44
El Salvador,2020-03-08,19.44
El Salvador,2020-03-09,19.44
El Salvador,2020-03-10,19.44
El Salvador,2020-03-11,41.67
El Salvador,2020-03-12,44.44
El Salvador,2020-03-13,44.44
El Salvador,2020-03-14,44.44
El Salvador,2020-03-15,44.44
El Salvador,2020-03-16,51.85
El Salvador,2020-03-17,51.85
El Salvador,2020-03-18,65.74
El Salvador,2020-03-19,65.74
El Salvador,2020-03-20,65.74
El Salvador,2020-03-21,88.89
El Salvador,2020-03-22,88.89
El Salvador,2020-03-23,88.89
El Salvador,2020-03-24,88.89
El Salvador,2020-03-25,88.89
El Salvador,2020-03-26,88.89
El Salvador,2020-03-27,88.89
El Salvador,2020-03-28,88.89
El Salvador,2020-03-29,88.89
El Salvador,2020-03-30,88.89
El Salvador,2020-03-31,88.89
El Salvador,2020-04-01,88.89
El Salvador,2020-04-02,88.89
El Salvador,2020-04-03,88.89
El Salvador,2020-04-04,88.89
El Salvador,2020-04-05,88.89
El Salvador,2020-04-06,88.89
El Salvador,2020-04-07,88.89
El Salvador,2020-04-08,88.89
El Salvador,2020-04-09,88.89
