Entity,Date,Stringency Index (OxBSG)
Finland,2020-01-01,0.0
Finland,2020-01-02,0.0
Finland,2020-01-03,0.0
Finland,2020-01-04,0.0
Finland,2020-01-05,0.0
Finland,2020-01-06,0.0
Finland,2020-01-07,0.0
Finland,2020-01-08,0.0
Finland,2020-01-09,0.0
Finland,2020-01-10,0.0
Finland,2020-01-11,0.0
Finland,2020-01-12,0.0
Finland,2020-01-13,0.0
Finland,2020-01-14,0.0
Finland,2020-01-15,0.0
Finland,2020-01-16,0.0
Finland,2020-01-17,0.0
Finland,2020-01-18,0.0
Finland,2020-01-19,0.0
Finland,2020-01-20,0.0
Finland,2020-01-21,0.0
Finland,2020-01-22,0.0
Finland,2020-01-23,0.0
Finland,2020-01-24,0.0
Finland,2020-01-25,0.0
Finland,2020-01-26,0.0
Finland,2020-01-27,5.56
Finland,2020-01-28,5.56
Finland,2020-01-29,5.56
Finland,2020-01-30,5.56
Finland,2020-01-31,5.56
Finland,2020-02-01,5.56
Finland,2020-02-02,5.56
Finland,2020-02-03,5.56
Finland,2020-02-04,5.56
Finland,2020-02-05,5.56
Finland,2020-02-06,13.89
Finland,2020-02-07,13.89
Finland,2020-02-08,13.89
Finland,2020-02-09,13.89
Finland,2020-02-10,13.89
Finland,2020-02-11,13.89
Finland,2020-02-12,13.89
Finland,2020-02-13,13.89
Finland,2020-02-14,13.89
Finland,2020-02-15,13.89
Finland,2020-02-16,13.89
Finland,2020-02-17,13.89
Finland,2020-02-18,13.89
Finland,2020-02-19,13.89
Finland,2020-02-20,13.89
Finland,2020-02-21,13.89
Finland,2020-02-22,13.89
Finland,2020-02-23,13.89
Finland,2020-02-24,13.89
Finland,2020-02-25,13.89
Finland,2020-02-26,13.89
Finland,2020-02-27,19.44
Finland,2020-02-28,19.44
Finland,2020-02-29,19.44
Finland,2020-03-01,19.44
Finland,2020-03-02,19.44
Finland,2020-03-03,19.44
Finland,2020-03-04,19.44
Finland,2020-03-05,19.44
Finland,2020-03-06,19.44
Finland,2020-03-07,19.44
Finland,2020-03-08,19.44
Finland,2020-03-09,19.44
Finland,2020-03-10,19.44
Finland,2020-03-11,19.44
Finland,2020-03-12,37.04
Finland,2020-03-13,37.04
Finland,2020-03-14,37.04
Finland,2020-03-15,37.04
Finland,2020-03-16,64.81
Finland,2020-03-17,64.81
Finland,2020-03-18,64.81
Finland,2020-03-19,64.81
Finland,2020-03-20,64.81
Finland,2020-03-21,64.81
Finland,2020-03-22,64.81
Finland,2020-03-23,64.81
Finland,2020-03-24,64.81
Finland,2020-03-25,64.81
Finland,2020-03-26,64.81
Finland,2020-03-27,67.59
Finland,2020-03-28,67.59
Finland,2020-03-29,67.59
Finland,2020-03-30,67.59
Finland,2020-03-31,67.59
Finland,2020-04-01,67.59
Finland,2020-04-02,67.59
Finland,2020-04-03,67.59
Finland,2020-04-04,67.59
Finland,2020-04-05,67.59
Finland,2020-04-06,67.59
Finland,2020-04-07,67.59
Finland,2020-04-08,67.59
Finland,2020-04-09,67.59
