Entity,Date,Stringency Index (OxBSG)
Gabon,2020-01-01,0.0
Gabon,2020-01-02,0.0
Gabon,2020-01-03,0.0
Gabon,2020-01-04,0.0
Gabon,2020-01-05,0.0
Gabon,2020-01-06,0.0
Gabon,2020-01-07,0.0
Gabon,2020-01-08,0.0
Gabon,2020-01-09,0.0
Gabon,2020-01-10,0.0
Gabon,2020-01-11,0.0
Gabon,2020-01-12,0.0
Gabon,2020-01-13,0.0
Gabon,2020-01-14,0.0
Gabon,2020-01-15,0.0
Gabon,2020-01-16,0.0
Gabon,2020-01-17,0.0
Gabon,2020-01-18,0.0
Gabon,2020-01-19,0.0
Gabon,2020-01-20,0.0
Gabon,2020-01-21,0.0
Gabon,2020-01-22,5.56
Gabon,2020-01-23,5.56
Gabon,2020-01-24,5.56
Gabon,2020-01-25,5.56
Gabon,2020-01-26,5.56
Gabon,2020-01-27,5.56
Gabon,2020-01-28,5.56
Gabon,2020-01-29,5.56
Gabon,2020-01-30,5.56
Gabon,2020-01-31,5.56
Gabon,2020-02-01,5.56
Gabon,2020-02-02,5.56
Gabon,2020-02-03,5.56
Gabon,2020-02-04,5.56
Gabon,2020-02-05,5.56
Gabon,2020-02-06,5.56
Gabon,2020-02-07,13.89
Gabon,2020-02-08,13.89
Gabon,2020-02-09,13.89
Gabon,2020-02-10,13.89
Gabon,2020-02-11,13.89
Gabon,2020-02-12,13.89
Gabon,2020-02-13,13.89
Gabon,2020-02-14,13.89
Gabon,2020-02-15,13.89
Gabon,2020-02-16,13.89
Gabon,2020-02-17,13.89
Gabon,2020-02-18,13.89
Gabon,2020-02-19,13.89
Gabon,2020-02-20,13.89
Gabon,2020-02-21,13.89
Gabon,2020-02-22,13.89
Gabon,2020-02-23,13.89
Gabon,2020-02-24,13.89
Gabon,2020-02-25,13.89
Gabon,2020-02-26,13.89
Gabon,2020-02-27,13.89
Gabon,2020-02-28,13.89
Gabon,2020-02-29,13.89
Gabon,2020-03-01,13.89
Gabon,2020-03-02,13.89
Gabon,2020-03-03,13.89
Gabon,2020-03-04,13.89
Gabon,2020-03-05,13.89
Gabon,2020-03-06,13.89
Gabon,2020-03-07,13.89
Gabon,2020-03-08,13.89
Gabon,2020-03-09,13.89
Gabon,2020-03-10,13.89
Gabon,2020-03-11,13.89
Gabon,2020-03-12,13.89
Gabon,2020-03-13,33.33
Gabon,2020-03-14,33.33
Gabon,2020-03-15,33.33
Gabon,2020-03-16,44.44
Gabon,2020-03-17,44.44
Gabon,2020-03-18,44.44
Gabon,2020-03-19,44.44
Gabon,2020-03-20,62.96
Gabon,2020-03-21,66.67
Gabon,2020-03-22,66.67
Gabon,2020-03-23,66.67
Gabon,2020-03-24,66.67
Gabon,2020-03-25,66.67
Gabon,2020-03-26,66.67
Gabon,2020-03-27,66.67
Gabon,2020-03-28,66.67
Gabon,2020-03-29,66.67
Gabon,2020-03-30,66.67
Gabon,2020-03-31,66.67
Gabon,2020-04-01,66.67
Gabon,2020-04-02,66.67
Gabon,2020-04-03,66.67
Gabon,2020-04-04,66.67
Gabon,2020-04-05,66.67
Gabon,2020-04-06,66.67
Gabon,2020-04-07,66.67
Gabon,2020-04-08,66.67
Gabon,2020-04-09,66.67
Gabon,2020-04-10,76.85
Gabon,2020-04-11,76.85
Gabon,2020-04-12,78.7
Gabon,2020-04-13,78.7
Gabon,2020-04-14,81.48
Gabon,2020-04-15,81.48
Gabon,2020-04-16,81.48
Gabon,2020-04-17,81.48
Gabon,2020-04-18,81.48
Gabon,2020-04-19,81.48
Gabon,2020-04-20,81.48
Gabon,2020-04-21,81.48
Gabon,2020-04-22,81.48
Gabon,2020-04-23,81.48
Gabon,2020-04-24,81.48
Gabon,2020-04-25,81.48
Gabon,2020-04-26,81.48
Gabon,2020-04-27,79.63
Gabon,2020-04-28,79.63
Gabon,2020-04-29,79.63
Gabon,2020-04-30,79.63
Gabon,2020-05-01,79.63
Gabon,2020-05-02,79.63
Gabon,2020-05-03,79.63
Gabon,2020-05-04,79.63
Gabon,2020-05-05,79.63
Gabon,2020-05-06,79.63
Gabon,2020-05-07,79.63
Gabon,2020-05-08,79.63
Gabon,2020-05-09,79.63
Gabon,2020-05-10,79.63
Gabon,2020-05-11,75.0
Gabon,2020-05-12,75.0
Gabon,2020-05-13,75.0
Gabon,2020-05-14,80.56
Gabon,2020-05-15,80.56
Gabon,2020-05-16,80.56
Gabon,2020-05-17,80.56
Gabon,2020-05-18,80.56
Gabon,2020-05-19,80.56
Gabon,2020-05-20,80.56
Gabon,2020-05-21,80.56
Gabon,2020-05-22,80.56
Gabon,2020-05-23,80.56
Gabon,2020-05-24,80.56
Gabon,2020-05-25,80.56
Gabon,2020-05-26,80.56
Gabon,2020-05-27,80.56
Gabon,2020-05-28,80.56
Gabon,2020-05-29,80.56
Gabon,2020-05-30,80.56
Gabon,2020-05-31,80.56
Gabon,2020-06-01,80.56
Gabon,2020-06-02,80.56
Gabon,2020-06-03,80.56
Gabon,2020-06-04,80.56
Gabon,2020-06-05,80.56
Gabon,2020-06-06,80.56
Gabon,2020-06-07,80.56
Gabon,2020-06-08,80.56
Gabon,2020-06-09,80.56
Gabon,2020-06-10,80.56
Gabon,2020-06-11,80.56
Gabon,2020-06-12,80.56
Gabon,2020-06-13,80.56
Gabon,2020-06-14,80.56
Gabon,2020-06-15,69.44
Gabon,2020-06-16,69.44
Gabon,2020-06-17,69.44
Gabon,2020-06-18,69.44
Gabon,2020-06-19,69.44
Gabon,2020-06-20,69.44
Gabon,2020-06-21,69.44
Gabon,2020-06-22,69.44
Gabon,2020-06-23,69.44
Gabon,2020-06-24,69.44
Gabon,2020-06-25,69.44
Gabon,2020-06-26,69.44
Gabon,2020-06-27,69.44
Gabon,2020-06-28,69.44
Gabon,2020-06-29,69.44
Gabon,2020-06-30,69.44
Gabon,2020-07-01,66.67
Gabon,2020-07-02,66.67
Gabon,2020-07-03,66.67
Gabon,2020-07-04,66.67
Gabon,2020-07-05,66.67
Gabon,2020-07-06,66.67
Gabon,2020-07-07,66.67
Gabon,2020-07-08,66.67
Gabon,2020-07-09,66.67
Gabon,2020-07-10,66.67
Gabon,2020-07-11,66.67
Gabon,2020-07-12,66.67
Gabon,2020-07-13,66.67
Gabon,2020-07-14,66.67
Gabon,2020-07-15,66.67
Gabon,2020-07-16,66.67
Gabon,2020-07-17,66.67
Gabon,2020-07-18,66.67
Gabon,2020-07-19,66.67
Gabon,2020-07-20,66.67
Gabon,2020-07-21,66.67
Gabon,2020-07-22,66.67
Gabon,2020-07-23,66.67
Gabon,2020-07-24,66.67
Gabon,2020-07-25,66.67
Gabon,2020-07-26,66.67
Gabon,2020-07-27,66.67
Gabon,2020-07-28,66.67
Gabon,2020-07-29,66.67
Gabon,2020-07-30,66.67
Gabon,2020-07-31,66.67
Gabon,2020-08-01,66.67
Gabon,2020-08-02,66.67
Gabon,2020-08-03,66.67
Gabon,2020-08-04,66.67
Gabon,2020-08-05,66.67
Gabon,2020-08-06,66.67
Gabon,2020-08-07,66.67
Gabon,2020-08-08,66.67
Gabon,2020-08-09,66.67
Gabon,2020-08-10,66.67
Gabon,2020-08-11,66.67
Gabon,2020-08-12,66.67
Gabon,2020-08-13,66.67
Gabon,2020-08-14,66.67
Gabon,2020-08-15,66.67
Gabon,2020-08-16,66.67
Gabon,2020-08-17,66.67
Gabon,2020-08-18,66.67
Gabon,2020-08-19,66.67
Gabon,2020-08-20,66.67
Gabon,2020-08-21,66.67
Gabon,2020-08-22,66.67
Gabon,2020-08-23,66.67
Gabon,2020-08-24,66.67
Gabon,2020-08-25,66.67
Gabon,2020-08-26,66.67
Gabon,2020-08-27,66.67
Gabon,2020-08-28,66.67
Gabon,2020-08-29,66.67
Gabon,2020-08-30,66.67
Gabon,2020-08-31,66.67
Gabon,2020-09-01,66.67
Gabon,2020-09-02,66.67
Gabon,2020-09-03,66.67
Gabon,2020-09-04,66.67
Gabon,2020-09-05,66.67
Gabon,2020-09-06,66.67
Gabon,2020-09-07,66.67
Gabon,2020-09-08,66.67
Gabon,2020-09-09,66.67
Gabon,2020-09-10,66.67
Gabon,2020-09-11,66.67
Gabon,2020-09-12,66.67
Gabon,2020-09-13,66.67
Gabon,2020-09-14,66.67
Gabon,2020-09-15,66.67
Gabon,2020-09-16,66.67
Gabon,2020-09-17,66.67
Gabon,2020-09-18,66.67
Gabon,2020-09-19,66.67
Gabon,2020-09-20,66.67
Gabon,2020-09-21,66.67
Gabon,2020-09-22,66.67
Gabon,2020-09-23,66.67
Gabon,2020-09-24,66.67
Gabon,2020-09-25,66.67
Gabon,2020-09-26,66.67
Gabon,2020-09-27,66.67
Gabon,2020-09-28,66.67
Gabon,2020-09-29,66.67
Gabon,2020-09-30,66.67
Gabon,2020-10-01,66.67
Gabon,2020-10-02,66.67
Gabon,2020-10-03,66.67
Gabon,2020-10-04,66.67
Gabon,2020-10-05,66.67
Gabon,2020-10-06,74.07
Gabon,2020-10-07,74.07
Gabon,2020-10-08,74.07
Gabon,2020-10-09,74.07
Gabon,2020-10-10,74.07
Gabon,2020-10-11,74.07
Gabon,2020-10-12,74.07
Gabon,2020-10-13,74.07
Gabon,2020-10-14,74.07
Gabon,2020-10-15,74.07
Gabon,2020-10-16,72.22
Gabon,2020-10-17,72.22
Gabon,2020-10-18,72.22
