Entity,Date,Stringency Index (OxBSG)
Gibraltar,2020-01-01,0.0
Gibraltar,2020-01-02,0.0
Gibraltar,2020-01-03,0.0
Gibraltar,2020-01-04,0.0
Gibraltar,2020-01-05,0.0
Gibraltar,2020-01-06,0.0
Gibraltar,2020-01-07,0.0
Gibraltar,2020-01-08,0.0
Gibraltar,2020-01-09,0.0
Gibraltar,2020-01-10,0.0
Gibraltar,2020-01-11,0.0
Gibraltar,2020-01-12,0.0
Gibraltar,2020-01-13,0.0
Gibraltar,2020-01-14,0.0
Gibraltar,2020-01-15,0.0
Gibraltar,2020-01-16,0.0
Gibraltar,2020-01-17,0.0
Gibraltar,2020-01-18,0.0
Gibraltar,2020-01-19,0.0
Gibraltar,2020-01-20,0.0
Gibraltar,2020-01-21,0.0
Gibraltar,2020-01-22,0.0
Gibraltar,2020-01-23,0.0
Gibraltar,2020-01-24,0.0
Gibraltar,2020-01-25,0.0
Gibraltar,2020-01-26,0.0
Gibraltar,2020-01-27,0.0
Gibraltar,2020-01-28,0.0
Gibraltar,2020-01-29,0.0
Gibraltar,2020-01-30,0.0
Gibraltar,2020-01-31,5.56
Gibraltar,2020-02-01,5.56
Gibraltar,2020-02-02,5.56
Gibraltar,2020-02-03,5.56
Gibraltar,2020-02-04,5.56
Gibraltar,2020-02-05,5.56
Gibraltar,2020-02-06,5.56
Gibraltar,2020-02-07,5.56
Gibraltar,2020-02-08,5.56
Gibraltar,2020-02-09,5.56
Gibraltar,2020-02-10,5.56
Gibraltar,2020-02-11,5.56
Gibraltar,2020-02-12,11.11
Gibraltar,2020-02-13,11.11
Gibraltar,2020-02-14,11.11
Gibraltar,2020-02-15,11.11
Gibraltar,2020-02-16,11.11
Gibraltar,2020-02-17,11.11
Gibraltar,2020-02-18,11.11
Gibraltar,2020-02-19,11.11
Gibraltar,2020-02-20,11.11
Gibraltar,2020-02-21,11.11
Gibraltar,2020-02-22,11.11
Gibraltar,2020-02-23,11.11
Gibraltar,2020-02-24,11.11
Gibraltar,2020-02-25,11.11
Gibraltar,2020-02-26,11.11
Gibraltar,2020-02-27,11.11
Gibraltar,2020-02-28,11.11
Gibraltar,2020-02-29,11.11
Gibraltar,2020-03-01,11.11
Gibraltar,2020-03-02,11.11
Gibraltar,2020-03-03,11.11
Gibraltar,2020-03-04,11.11
Gibraltar,2020-03-05,11.11
Gibraltar,2020-03-06,11.11
Gibraltar,2020-03-07,11.11
Gibraltar,2020-03-08,11.11
Gibraltar,2020-03-09,11.11
Gibraltar,2020-03-10,11.11
Gibraltar,2020-03-11,11.11
Gibraltar,2020-03-12,16.67
Gibraltar,2020-03-13,43.52
Gibraltar,2020-03-14,43.52
Gibraltar,2020-03-15,43.52
Gibraltar,2020-03-16,43.52
Gibraltar,2020-03-17,62.04
Gibraltar,2020-03-18,73.15
Gibraltar,2020-03-19,73.15
Gibraltar,2020-03-20,73.15
Gibraltar,2020-03-21,73.15
Gibraltar,2020-03-22,73.15
Gibraltar,2020-03-23,73.15
Gibraltar,2020-03-24,79.63
Gibraltar,2020-03-25,79.63
Gibraltar,2020-03-26,79.63
Gibraltar,2020-03-27,79.63
Gibraltar,2020-03-28,79.63
Gibraltar,2020-03-29,79.63
Gibraltar,2020-03-30,79.63
Gibraltar,2020-03-31,79.63
Gibraltar,2020-04-01,79.63
Gibraltar,2020-04-02,79.63
Gibraltar,2020-04-03,79.63
Gibraltar,2020-04-04,79.63
Gibraltar,2020-04-05,79.63
Gibraltar,2020-04-06,79.63
Gibraltar,2020-04-07,79.63
Gibraltar,2020-04-08,79.63
Gibraltar,2020-04-09,79.63
Gibraltar,2020-04-10,79.63
Gibraltar,2020-04-11,79.63
Gibraltar,2020-04-12,79.63
Gibraltar,2020-04-13,79.63
Gibraltar,2020-04-14,79.63
Gibraltar,2020-04-15,79.63
Gibraltar,2020-04-16,79.63
Gibraltar,2020-04-17,79.63
Gibraltar,2020-04-18,79.63
Gibraltar,2020-04-19,79.63
Gibraltar,2020-04-20,79.63
Gibraltar,2020-04-21,79.63
Gibraltar,2020-04-22,79.63
Gibraltar,2020-04-23,79.63
Gibraltar,2020-04-24,79.63
Gibraltar,2020-04-25,79.63
Gibraltar,2020-04-26,79.63
Gibraltar,2020-04-27,79.63
Gibraltar,2020-04-28,79.63
Gibraltar,2020-04-29,79.63
Gibraltar,2020-04-30,79.63
Gibraltar,2020-05-01,79.63
Gibraltar,2020-05-02,75.93
Gibraltar,2020-05-03,75.93
Gibraltar,2020-05-04,75.93
Gibraltar,2020-05-05,75.93
Gibraltar,2020-05-06,75.93
Gibraltar,2020-05-07,75.93
Gibraltar,2020-05-08,75.93
Gibraltar,2020-05-09,75.93
Gibraltar,2020-05-10,75.93
Gibraltar,2020-05-11,75.93
Gibraltar,2020-05-12,75.93
Gibraltar,2020-05-13,75.93
Gibraltar,2020-05-14,78.7
Gibraltar,2020-05-15,78.7
Gibraltar,2020-05-16,78.7
Gibraltar,2020-05-17,78.7
Gibraltar,2020-05-18,78.7
Gibraltar,2020-05-19,78.7
Gibraltar,2020-05-20,78.7
Gibraltar,2020-05-21,75.93
Gibraltar,2020-05-22,68.52
Gibraltar,2020-05-23,68.52
Gibraltar,2020-05-24,68.52
Gibraltar,2020-05-25,68.52
Gibraltar,2020-05-26,64.81
Gibraltar,2020-05-27,64.81
Gibraltar,2020-05-28,64.81
Gibraltar,2020-05-29,64.81
Gibraltar,2020-05-30,64.81
Gibraltar,2020-05-31,64.81
Gibraltar,2020-06-01,53.7
Gibraltar,2020-06-02,53.7
Gibraltar,2020-06-03,53.7
Gibraltar,2020-06-04,53.7
Gibraltar,2020-06-05,53.7
Gibraltar,2020-06-06,53.7
Gibraltar,2020-06-07,53.7
Gibraltar,2020-06-08,53.7
Gibraltar,2020-06-09,53.7
Gibraltar,2020-06-10,53.7
Gibraltar,2020-06-11,53.7
Gibraltar,2020-06-12,53.7
Gibraltar,2020-06-13,53.7
Gibraltar,2020-06-14,53.7
Gibraltar,2020-06-15,53.7
Gibraltar,2020-06-16,53.7
Gibraltar,2020-06-17,53.7
Gibraltar,2020-06-18,53.7
Gibraltar,2020-06-19,53.7
Gibraltar,2020-06-20,53.7
Gibraltar,2020-06-21,45.37
Gibraltar,2020-06-22,41.67
Gibraltar,2020-06-23,41.67
Gibraltar,2020-06-24,41.67
Gibraltar,2020-06-25,41.67
Gibraltar,2020-06-26,41.67
Gibraltar,2020-06-27,41.67
Gibraltar,2020-06-28,41.67
Gibraltar,2020-06-29,41.67
Gibraltar,2020-06-30,41.67
Gibraltar,2020-07-01,41.67
Gibraltar,2020-07-02,41.67
Gibraltar,2020-07-03,41.67
Gibraltar,2020-07-04,41.67
Gibraltar,2020-07-05,41.67
Gibraltar,2020-07-06,41.67
Gibraltar,2020-07-07,41.67
Gibraltar,2020-07-08,41.67
Gibraltar,2020-07-09,41.67
Gibraltar,2020-07-10,41.67
Gibraltar,2020-07-11,41.67
Gibraltar,2020-07-12,41.67
Gibraltar,2020-07-13,41.67
Gibraltar,2020-07-14,41.67
Gibraltar,2020-07-15,41.67
Gibraltar,2020-07-16,41.67
Gibraltar,2020-07-17,41.67
Gibraltar,2020-07-18,41.67
Gibraltar,2020-07-19,41.67
Gibraltar,2020-07-20,41.67
Gibraltar,2020-07-21,41.67
Gibraltar,2020-07-22,41.67
Gibraltar,2020-07-23,41.67
Gibraltar,2020-07-24,41.67
Gibraltar,2020-07-25,41.67
Gibraltar,2020-07-26,41.67
Gibraltar,2020-07-27,41.67
Gibraltar,2020-07-28,41.67
Gibraltar,2020-07-29,41.67
Gibraltar,2020-07-30,41.67
Gibraltar,2020-07-31,41.67
Gibraltar,2020-08-01,41.67
Gibraltar,2020-08-02,41.67
Gibraltar,2020-08-03,41.67
Gibraltar,2020-08-04,41.67
Gibraltar,2020-08-05,41.67
Gibraltar,2020-08-06,41.67
Gibraltar,2020-08-07,41.67
Gibraltar,2020-08-08,41.67
Gibraltar,2020-08-09,41.67
Gibraltar,2020-08-10,41.67
Gibraltar,2020-08-11,41.67
Gibraltar,2020-08-12,41.67
Gibraltar,2020-08-13,41.67
Gibraltar,2020-08-14,44.44
Gibraltar,2020-08-15,44.44
Gibraltar,2020-08-16,44.44
Gibraltar,2020-08-17,44.44
Gibraltar,2020-08-18,44.44
Gibraltar,2020-08-19,44.44
Gibraltar,2020-08-20,44.44
Gibraltar,2020-08-21,44.44
Gibraltar,2020-08-22,44.44
Gibraltar,2020-08-23,44.44
Gibraltar,2020-08-24,44.44
Gibraltar,2020-08-25,44.44
Gibraltar,2020-08-26,44.44
Gibraltar,2020-08-27,44.44
Gibraltar,2020-08-28,44.44
Gibraltar,2020-08-29,44.44
Gibraltar,2020-08-30,44.44
Gibraltar,2020-08-31,44.44
Gibraltar,2020-09-01,44.44
