Entity,Date,Stringency Index (OxBSG)
Greece,2020-01-01,0.0
Greece,2020-01-02,0.0
Greece,2020-01-03,0.0
Greece,2020-01-04,0.0
Greece,2020-01-05,0.0
Greece,2020-01-06,0.0
Greece,2020-01-07,0.0
Greece,2020-01-08,0.0
Greece,2020-01-09,0.0
Greece,2020-01-10,0.0
Greece,2020-01-11,0.0
Greece,2020-01-12,0.0
Greece,2020-01-13,0.0
Greece,2020-01-14,0.0
Greece,2020-01-15,0.0
Greece,2020-01-16,0.0
Greece,2020-01-17,0.0
Greece,2020-01-18,0.0
Greece,2020-01-19,0.0
Greece,2020-01-20,0.0
Greece,2020-01-21,0.0
Greece,2020-01-22,0.0
Greece,2020-01-23,0.0
Greece,2020-01-24,0.0
Greece,2020-01-25,0.0
Greece,2020-01-26,0.0
Greece,2020-01-27,0.0
Greece,2020-01-28,0.0
Greece,2020-01-29,0.0
Greece,2020-01-30,0.0
Greece,2020-01-31,0.0
Greece,2020-02-01,0.0
Greece,2020-02-02,0.0
Greece,2020-02-03,0.0
Greece,2020-02-04,0.0
Greece,2020-02-05,0.0
Greece,2020-02-06,0.0
Greece,2020-02-07,0.0
Greece,2020-02-08,0.0
Greece,2020-02-09,0.0
Greece,2020-02-10,0.0
Greece,2020-02-11,0.0
Greece,2020-02-12,0.0
Greece,2020-02-13,0.0
Greece,2020-02-14,0.0
Greece,2020-02-15,0.0
Greece,2020-02-16,0.0
Greece,2020-02-17,0.0
Greece,2020-02-18,0.0
Greece,2020-02-19,0.0
Greece,2020-02-20,0.0
Greece,2020-02-21,0.0
Greece,2020-02-22,0.0
Greece,2020-02-23,0.0
Greece,2020-02-24,0.0
Greece,2020-02-25,11.11
Greece,2020-02-26,11.11
Greece,2020-02-27,11.11
Greece,2020-02-28,11.11
Greece,2020-02-29,19.44
Greece,2020-03-01,19.44
Greece,2020-03-02,19.44
Greece,2020-03-03,19.44
Greece,2020-03-04,19.44
Greece,2020-03-05,28.7
Greece,2020-03-06,28.7
Greece,2020-03-07,28.7
Greece,2020-03-08,28.7
Greece,2020-03-09,31.48
Greece,2020-03-10,33.33
Greece,2020-03-11,33.33
Greece,2020-03-12,40.74
Greece,2020-03-13,40.74
Greece,2020-03-14,54.63
Greece,2020-03-15,54.63
Greece,2020-03-16,54.63
Greece,2020-03-17,54.63
Greece,2020-03-18,65.74
Greece,2020-03-19,65.74
Greece,2020-03-20,65.74
Greece,2020-03-21,74.07
Greece,2020-03-22,74.07
Greece,2020-03-23,84.26
Greece,2020-03-24,84.26
Greece,2020-03-25,84.26
Greece,2020-03-26,84.26
Greece,2020-03-27,84.26
Greece,2020-03-28,84.26
Greece,2020-03-29,84.26
Greece,2020-03-30,84.26
Greece,2020-03-31,84.26
Greece,2020-04-01,84.26
Greece,2020-04-02,84.26
Greece,2020-04-03,84.26
Greece,2020-04-04,84.26
Greece,2020-04-05,84.26
Greece,2020-04-06,84.26
Greece,2020-04-07,84.26
Greece,2020-04-08,84.26
Greece,2020-04-09,84.26
Greece,2020-04-10,84.26
Greece,2020-04-11,84.26
Greece,2020-04-12,84.26
Greece,2020-04-13,84.26
Greece,2020-04-14,84.26
Greece,2020-04-15,84.26
Greece,2020-04-16,84.26
Greece,2020-04-17,84.26
Greece,2020-04-18,84.26
Greece,2020-04-19,84.26
Greece,2020-04-20,84.26
Greece,2020-04-21,84.26
Greece,2020-04-22,84.26
Greece,2020-04-23,84.26
Greece,2020-04-24,84.26
Greece,2020-04-25,84.26
Greece,2020-04-26,84.26
Greece,2020-04-27,84.26
Greece,2020-04-28,84.26
Greece,2020-04-29,84.26
Greece,2020-04-30,84.26
Greece,2020-05-01,84.26
Greece,2020-05-02,84.26
Greece,2020-05-03,84.26
Greece,2020-05-04,81.48
Greece,2020-05-05,72.22
Greece,2020-05-06,72.22
Greece,2020-05-07,72.22
Greece,2020-05-08,72.22
Greece,2020-05-09,72.22
Greece,2020-05-10,72.22
Greece,2020-05-11,68.52
Greece,2020-05-12,68.52
Greece,2020-05-13,68.52
Greece,2020-05-14,68.52
Greece,2020-05-15,68.52
Greece,2020-05-16,68.52
Greece,2020-05-17,68.52
Greece,2020-05-18,68.52
Greece,2020-05-19,68.52
Greece,2020-05-20,68.52
Greece,2020-05-21,68.52
Greece,2020-05-22,68.52
Greece,2020-05-23,68.52
Greece,2020-05-24,68.52
Greece,2020-05-25,68.52
Greece,2020-05-26,68.52
Greece,2020-05-27,68.52
Greece,2020-05-28,68.52
Greece,2020-05-29,68.52
Greece,2020-05-30,62.04
Greece,2020-05-31,62.04
Greece,2020-06-01,54.63
Greece,2020-06-02,54.63
Greece,2020-06-03,54.63
Greece,2020-06-04,54.63
Greece,2020-06-05,54.63
Greece,2020-06-06,54.63
Greece,2020-06-07,54.63
Greece,2020-06-08,54.63
Greece,2020-06-09,54.63
Greece,2020-06-10,54.63
Greece,2020-06-11,54.63
Greece,2020-06-12,54.63
Greece,2020-06-13,54.63
Greece,2020-06-14,54.63
Greece,2020-06-15,40.74
Greece,2020-06-16,40.74
Greece,2020-06-17,40.74
Greece,2020-06-18,40.74
Greece,2020-06-19,40.74
Greece,2020-06-20,40.74
Greece,2020-06-21,40.74
Greece,2020-06-22,46.3
Greece,2020-06-23,46.3
Greece,2020-06-24,46.3
Greece,2020-06-25,46.3
Greece,2020-06-26,46.3
Greece,2020-06-27,40.74
Greece,2020-06-28,40.74
Greece,2020-06-29,40.74
Greece,2020-06-30,40.74
Greece,2020-07-01,40.74
Greece,2020-07-02,46.3
Greece,2020-07-03,46.3
Greece,2020-07-04,46.3
Greece,2020-07-05,46.3
Greece,2020-07-06,46.3
Greece,2020-07-07,46.3
Greece,2020-07-08,46.3
Greece,2020-07-09,46.3
Greece,2020-07-10,46.3
Greece,2020-07-11,46.3
Greece,2020-07-12,46.3
Greece,2020-07-13,57.41
Greece,2020-07-14,57.41
Greece,2020-07-15,57.41
Greece,2020-07-16,57.41
Greece,2020-07-17,57.41
Greece,2020-07-18,57.41
Greece,2020-07-19,57.41
Greece,2020-07-20,57.41
Greece,2020-07-21,57.41
Greece,2020-07-22,57.41
Greece,2020-07-23,57.41
Greece,2020-07-24,57.41
Greece,2020-07-25,57.41
Greece,2020-07-26,57.41
Greece,2020-07-27,57.41
Greece,2020-07-28,57.41
Greece,2020-07-29,57.41
Greece,2020-07-30,57.41
Greece,2020-07-31,57.41
Greece,2020-08-01,46.3
Greece,2020-08-02,46.3
Greece,2020-08-03,46.3
Greece,2020-08-04,46.3
Greece,2020-08-05,46.3
Greece,2020-08-06,46.3
Greece,2020-08-07,46.3
Greece,2020-08-08,46.3
Greece,2020-08-09,46.3
Greece,2020-08-10,46.3
Greece,2020-08-11,46.3
Greece,2020-08-12,46.3
Greece,2020-08-13,57.41
Greece,2020-08-14,57.41
Greece,2020-08-15,57.41
Greece,2020-08-16,57.41
Greece,2020-08-17,56.02
Greece,2020-08-18,56.02
Greece,2020-08-19,56.02
Greece,2020-08-20,56.02
Greece,2020-08-21,56.02
Greece,2020-08-22,56.02
Greece,2020-08-23,56.02
Greece,2020-08-24,56.02
Greece,2020-08-25,56.02
Greece,2020-08-26,56.02
Greece,2020-08-27,56.02
Greece,2020-08-28,56.02
Greece,2020-08-29,56.02
Greece,2020-08-30,56.02
Greece,2020-08-31,56.02
Greece,2020-09-01,56.02
Greece,2020-09-02,56.02
Greece,2020-09-03,56.02
Greece,2020-09-04,56.02
Greece,2020-09-05,56.02
Greece,2020-09-06,56.02
Greece,2020-09-07,56.02
Greece,2020-09-08,64.81
Greece,2020-09-09,64.81
Greece,2020-09-10,64.81
Greece,2020-09-11,64.81
Greece,2020-09-12,64.81
Greece,2020-09-13,64.81
Greece,2020-09-14,57.41
Greece,2020-09-15,57.41
Greece,2020-09-16,57.41
Greece,2020-09-17,57.41
Greece,2020-09-18,54.63
Greece,2020-09-19,54.63
Greece,2020-09-20,54.63
Greece,2020-09-21,54.63
Greece,2020-09-22,54.63
Greece,2020-09-23,54.63
Greece,2020-09-24,54.63
Greece,2020-09-25,54.63
Greece,2020-09-26,54.63
Greece,2020-09-27,54.63
