Entity,Date,Stringency Index (OxBSG)
Greenland,2020-01-01,0.0
Greenland,2020-01-02,0.0
Greenland,2020-01-03,0.0
Greenland,2020-01-04,0.0
Greenland,2020-01-05,0.0
Greenland,2020-01-06,0.0
Greenland,2020-01-07,0.0
Greenland,2020-01-08,0.0
Greenland,2020-01-09,0.0
Greenland,2020-01-10,0.0
Greenland,2020-01-11,0.0
Greenland,2020-01-12,0.0
Greenland,2020-01-13,0.0
Greenland,2020-01-14,0.0
Greenland,2020-01-15,0.0
Greenland,2020-01-16,0.0
Greenland,2020-01-17,0.0
Greenland,2020-01-18,0.0
Greenland,2020-01-19,0.0
Greenland,2020-01-20,0.0
Greenland,2020-01-21,0.0
Greenland,2020-01-22,0.0
Greenland,2020-01-23,0.0
Greenland,2020-01-24,0.0
Greenland,2020-01-25,0.0
Greenland,2020-01-26,0.0
Greenland,2020-01-27,0.0
Greenland,2020-01-28,0.0
Greenland,2020-01-29,0.0
Greenland,2020-01-30,0.0
Greenland,2020-01-31,0.0
Greenland,2020-02-01,0.0
Greenland,2020-02-02,0.0
Greenland,2020-02-03,0.0
Greenland,2020-02-04,0.0
Greenland,2020-02-05,0.0
Greenland,2020-02-06,0.0
Greenland,2020-02-07,0.0
Greenland,2020-02-08,0.0
Greenland,2020-02-09,0.0
Greenland,2020-02-10,0.0
Greenland,2020-02-11,0.0
Greenland,2020-02-12,0.0
Greenland,2020-02-13,0.0
Greenland,2020-02-14,0.0
Greenland,2020-02-15,0.0
Greenland,2020-02-16,0.0
Greenland,2020-02-17,0.0
Greenland,2020-02-18,0.0
Greenland,2020-02-19,0.0
Greenland,2020-02-20,0.0
Greenland,2020-02-21,0.0
Greenland,2020-02-22,0.0
Greenland,2020-02-23,0.0
Greenland,2020-02-24,0.0
Greenland,2020-02-25,0.0
Greenland,2020-02-26,0.0
Greenland,2020-02-27,0.0
Greenland,2020-02-28,0.0
Greenland,2020-02-29,0.0
Greenland,2020-03-01,0.0
Greenland,2020-03-02,5.56
Greenland,2020-03-03,5.56
Greenland,2020-03-04,5.56
Greenland,2020-03-05,5.56
Greenland,2020-03-06,5.56
Greenland,2020-03-07,5.56
Greenland,2020-03-08,5.56
Greenland,2020-03-09,5.56
Greenland,2020-03-10,5.56
Greenland,2020-03-11,5.56
Greenland,2020-03-12,5.56
Greenland,2020-03-13,33.33
Greenland,2020-03-14,33.33
Greenland,2020-03-15,33.33
Greenland,2020-03-16,33.33
Greenland,2020-03-17,33.33
Greenland,2020-03-18,61.11
Greenland,2020-03-19,72.22
Greenland,2020-03-20,72.22
Greenland,2020-03-21,72.22
Greenland,2020-03-22,72.22
Greenland,2020-03-23,72.22
Greenland,2020-03-24,72.22
Greenland,2020-03-25,72.22
Greenland,2020-03-26,77.78
Greenland,2020-03-27,77.78
Greenland,2020-03-28,77.78
Greenland,2020-03-29,77.78
Greenland,2020-03-30,77.78
Greenland,2020-03-31,77.78
Greenland,2020-04-01,77.78
Greenland,2020-04-02,77.78
Greenland,2020-04-03,77.78
Greenland,2020-04-04,77.78
Greenland,2020-04-05,77.78
Greenland,2020-04-06,77.78
Greenland,2020-04-07,77.78
Greenland,2020-04-08,77.78
Greenland,2020-04-09,77.78
Greenland,2020-04-10,77.78
Greenland,2020-04-11,77.78
Greenland,2020-04-12,77.78
Greenland,2020-04-13,77.78
Greenland,2020-04-14,75.93
Greenland,2020-04-15,75.93
Greenland,2020-04-16,75.93
Greenland,2020-04-17,75.93
Greenland,2020-04-18,75.93
Greenland,2020-04-19,75.93
Greenland,2020-04-20,74.07
Greenland,2020-04-21,74.07
Greenland,2020-04-22,71.3
Greenland,2020-04-23,71.3
Greenland,2020-04-24,71.3
Greenland,2020-04-25,68.52
Greenland,2020-04-26,68.52
Greenland,2020-04-27,61.11
Greenland,2020-04-28,61.11
Greenland,2020-04-29,61.11
Greenland,2020-04-30,55.56
Greenland,2020-05-01,55.56
Greenland,2020-05-02,55.56
Greenland,2020-05-03,55.56
Greenland,2020-05-04,55.56
Greenland,2020-05-05,55.56
Greenland,2020-05-06,55.56
Greenland,2020-05-07,55.56
Greenland,2020-05-08,55.56
Greenland,2020-05-09,55.56
Greenland,2020-05-10,55.56
Greenland,2020-05-11,55.56
Greenland,2020-05-12,55.56
Greenland,2020-05-13,55.56
Greenland,2020-05-14,55.56
Greenland,2020-05-15,55.56
Greenland,2020-05-16,55.56
Greenland,2020-05-17,55.56
Greenland,2020-05-18,55.56
Greenland,2020-05-19,55.56
Greenland,2020-05-20,55.56
Greenland,2020-05-21,55.56
Greenland,2020-05-22,55.56
Greenland,2020-05-23,55.56
Greenland,2020-05-24,55.56
Greenland,2020-05-25,55.56
Greenland,2020-05-26,55.56
Greenland,2020-05-27,55.56
Greenland,2020-05-28,55.56
Greenland,2020-05-29,51.85
Greenland,2020-05-30,51.85
Greenland,2020-05-31,51.85
Greenland,2020-06-01,51.85
Greenland,2020-06-02,51.85
Greenland,2020-06-03,51.85
Greenland,2020-06-04,51.85
Greenland,2020-06-05,51.85
Greenland,2020-06-06,51.85
Greenland,2020-06-07,51.85
Greenland,2020-06-08,51.85
Greenland,2020-06-09,51.85
Greenland,2020-06-10,51.85
Greenland,2020-06-11,51.85
Greenland,2020-06-12,51.85
Greenland,2020-06-13,51.85
Greenland,2020-06-14,51.85
Greenland,2020-06-15,42.59
Greenland,2020-06-16,42.59
Greenland,2020-06-17,42.59
Greenland,2020-06-18,42.59
Greenland,2020-06-19,42.59
Greenland,2020-06-20,42.59
Greenland,2020-06-21,42.59
Greenland,2020-06-22,42.59
Greenland,2020-06-23,42.59
Greenland,2020-06-24,37.04
