Entity,Date,Stringency Index (OxBSG)
Guinea,2020-01-01,0.0
Guinea,2020-01-02,0.0
Guinea,2020-01-03,0.0
Guinea,2020-01-04,0.0
Guinea,2020-01-05,0.0
Guinea,2020-01-06,0.0
Guinea,2020-01-07,0.0
Guinea,2020-01-08,0.0
Guinea,2020-01-09,0.0
Guinea,2020-01-10,0.0
Guinea,2020-01-11,0.0
Guinea,2020-01-12,0.0
Guinea,2020-01-13,0.0
Guinea,2020-01-14,0.0
Guinea,2020-01-15,0.0
Guinea,2020-01-16,0.0
Guinea,2020-01-17,0.0
Guinea,2020-01-18,0.0
Guinea,2020-01-19,0.0
Guinea,2020-01-20,0.0
Guinea,2020-01-21,0.0
Guinea,2020-01-22,0.0
Guinea,2020-01-23,0.0
Guinea,2020-01-24,0.0
Guinea,2020-01-25,0.0
Guinea,2020-01-26,0.0
Guinea,2020-01-27,5.56
Guinea,2020-01-28,5.56
Guinea,2020-01-29,11.11
Guinea,2020-01-30,11.11
Guinea,2020-01-31,11.11
Guinea,2020-02-01,11.11
Guinea,2020-02-02,11.11
Guinea,2020-02-03,11.11
Guinea,2020-02-04,11.11
Guinea,2020-02-05,11.11
Guinea,2020-02-06,11.11
Guinea,2020-02-07,11.11
Guinea,2020-02-08,11.11
Guinea,2020-02-09,11.11
Guinea,2020-02-10,11.11
Guinea,2020-02-11,11.11
Guinea,2020-02-12,11.11
Guinea,2020-02-13,11.11
Guinea,2020-02-14,11.11
Guinea,2020-02-15,11.11
Guinea,2020-02-16,11.11
Guinea,2020-02-17,11.11
Guinea,2020-02-18,11.11
Guinea,2020-02-19,11.11
Guinea,2020-02-20,11.11
Guinea,2020-02-21,11.11
Guinea,2020-02-22,11.11
Guinea,2020-02-23,11.11
Guinea,2020-02-24,11.11
Guinea,2020-02-25,11.11
Guinea,2020-02-26,11.11
Guinea,2020-02-27,11.11
Guinea,2020-02-28,11.11
Guinea,2020-02-29,11.11
Guinea,2020-03-01,11.11
Guinea,2020-03-02,11.11
Guinea,2020-03-03,11.11
Guinea,2020-03-04,11.11
Guinea,2020-03-05,11.11
Guinea,2020-03-06,11.11
Guinea,2020-03-07,13.89
Guinea,2020-03-08,13.89
Guinea,2020-03-09,13.89
Guinea,2020-03-10,13.89
Guinea,2020-03-11,13.89
Guinea,2020-03-12,13.89
Guinea,2020-03-13,13.89
Guinea,2020-03-14,13.89
Guinea,2020-03-15,13.89
Guinea,2020-03-16,13.89
Guinea,2020-03-17,13.89
Guinea,2020-03-18,13.89
Guinea,2020-03-19,13.89
Guinea,2020-03-20,13.89
Guinea,2020-03-21,25.0
Guinea,2020-03-22,25.0
Guinea,2020-03-23,25.0
Guinea,2020-03-24,25.0
Guinea,2020-03-25,25.0
Guinea,2020-03-26,25.0
Guinea,2020-03-27,71.3
Guinea,2020-03-28,71.3
Guinea,2020-03-29,71.3
Guinea,2020-03-30,78.7
Guinea,2020-03-31,78.7
Guinea,2020-04-01,78.7
Guinea,2020-04-02,78.7
Guinea,2020-04-03,78.7
Guinea,2020-04-04,78.7
Guinea,2020-04-05,78.7
Guinea,2020-04-06,78.7
Guinea,2020-04-07,78.7
Guinea,2020-04-08,78.7
Guinea,2020-04-09,78.7
Guinea,2020-04-10,78.7
Guinea,2020-04-11,78.7
Guinea,2020-04-12,78.7
Guinea,2020-04-13,78.7
Guinea,2020-04-14,78.7
Guinea,2020-04-15,78.7
Guinea,2020-04-16,78.7
Guinea,2020-04-17,78.7
Guinea,2020-04-18,78.7
Guinea,2020-04-19,78.7
Guinea,2020-04-20,78.7
Guinea,2020-04-21,78.7
Guinea,2020-04-22,78.7
Guinea,2020-04-23,78.7
Guinea,2020-04-24,78.7
Guinea,2020-04-25,78.7
Guinea,2020-04-26,78.7
Guinea,2020-04-27,78.7
Guinea,2020-04-28,78.7
Guinea,2020-04-29,78.7
Guinea,2020-04-30,78.7
Guinea,2020-05-01,78.7
Guinea,2020-05-02,78.7
Guinea,2020-05-03,78.7
Guinea,2020-05-04,78.7
Guinea,2020-05-05,78.7
Guinea,2020-05-06,78.7
