Entity,Date,Stringency Index (OxBSG)
Guyana,2020-01-01,0.0
Guyana,2020-01-02,0.0
Guyana,2020-01-03,0.0
Guyana,2020-01-04,0.0
Guyana,2020-01-05,0.0
Guyana,2020-01-06,0.0
Guyana,2020-01-07,0.0
Guyana,2020-01-08,0.0
Guyana,2020-01-09,0.0
Guyana,2020-01-10,0.0
Guyana,2020-01-11,0.0
Guyana,2020-01-12,0.0
Guyana,2020-01-13,0.0
Guyana,2020-01-14,0.0
Guyana,2020-01-15,0.0
Guyana,2020-01-16,0.0
Guyana,2020-01-17,0.0
Guyana,2020-01-18,2.78
Guyana,2020-01-19,2.78
Guyana,2020-01-20,2.78
Guyana,2020-01-21,2.78
Guyana,2020-01-22,2.78
Guyana,2020-01-23,2.78
Guyana,2020-01-24,2.78
Guyana,2020-01-25,2.78
Guyana,2020-01-26,2.78
Guyana,2020-01-27,2.78
Guyana,2020-01-28,2.78
Guyana,2020-01-29,2.78
Guyana,2020-01-30,2.78
Guyana,2020-01-31,2.78
Guyana,2020-02-01,2.78
Guyana,2020-02-02,2.78
Guyana,2020-02-03,2.78
Guyana,2020-02-04,2.78
Guyana,2020-02-05,8.33
Guyana,2020-02-06,8.33
Guyana,2020-02-07,13.89
Guyana,2020-02-08,13.89
Guyana,2020-02-09,13.89
Guyana,2020-02-10,13.89
Guyana,2020-02-11,13.89
Guyana,2020-02-12,13.89
Guyana,2020-02-13,13.89
Guyana,2020-02-14,13.89
Guyana,2020-02-15,13.89
Guyana,2020-02-16,13.89
Guyana,2020-02-17,13.89
Guyana,2020-02-18,13.89
Guyana,2020-02-19,13.89
Guyana,2020-02-20,13.89
Guyana,2020-02-21,13.89
Guyana,2020-02-22,13.89
Guyana,2020-02-23,13.89
Guyana,2020-02-24,13.89
Guyana,2020-02-25,13.89
Guyana,2020-02-26,13.89
Guyana,2020-02-27,13.89
Guyana,2020-02-28,13.89
Guyana,2020-02-29,13.89
Guyana,2020-03-01,13.89
Guyana,2020-03-02,13.89
Guyana,2020-03-03,13.89
Guyana,2020-03-04,13.89
Guyana,2020-03-05,13.89
Guyana,2020-03-06,13.89
Guyana,2020-03-07,13.89
Guyana,2020-03-08,13.89
Guyana,2020-03-09,13.89
Guyana,2020-03-10,13.89
Guyana,2020-03-11,25.0
Guyana,2020-03-12,25.0
Guyana,2020-03-13,25.0
Guyana,2020-03-14,25.0
Guyana,2020-03-15,25.0
Guyana,2020-03-16,36.11
Guyana,2020-03-17,36.11
Guyana,2020-03-18,41.67
Guyana,2020-03-19,41.67
Guyana,2020-03-20,41.67
Guyana,2020-03-21,41.67
Guyana,2020-03-22,41.67
Guyana,2020-03-23,41.67
Guyana,2020-03-24,41.67
Guyana,2020-03-25,41.67
Guyana,2020-03-26,45.37
Guyana,2020-03-27,48.15
Guyana,2020-03-28,57.41
Guyana,2020-03-29,57.41
Guyana,2020-03-30,57.41
Guyana,2020-03-31,57.41
Guyana,2020-04-01,57.41
Guyana,2020-04-02,57.41
Guyana,2020-04-03,85.19
Guyana,2020-04-04,85.19
Guyana,2020-04-05,85.19
Guyana,2020-04-06,85.19
Guyana,2020-04-07,85.19
Guyana,2020-04-08,85.19
Guyana,2020-04-09,87.04
Guyana,2020-04-10,87.04
Guyana,2020-04-11,87.04
Guyana,2020-04-12,87.04
Guyana,2020-04-13,87.04
Guyana,2020-04-14,87.04
Guyana,2020-04-15,87.04
Guyana,2020-04-16,87.04
Guyana,2020-04-17,87.04
Guyana,2020-04-18,87.04
Guyana,2020-04-19,87.04
Guyana,2020-04-20,87.04
Guyana,2020-04-21,87.04
Guyana,2020-04-22,87.04
Guyana,2020-04-23,87.04
Guyana,2020-04-24,87.04
Guyana,2020-04-25,87.04
Guyana,2020-04-26,87.04
Guyana,2020-04-27,87.04
Guyana,2020-04-28,87.04
Guyana,2020-04-29,87.04
Guyana,2020-04-30,87.04
Guyana,2020-05-01,87.04
Guyana,2020-05-02,87.04
Guyana,2020-05-03,87.04
Guyana,2020-05-04,87.04
