Entity,Date,Stringency Index (OxBSG)
Indonesia,2020-01-01,0.0
Indonesia,2020-01-02,0.0
Indonesia,2020-01-03,5.56
Indonesia,2020-01-04,5.56
Indonesia,2020-01-05,5.56
Indonesia,2020-01-06,5.56
Indonesia,2020-01-07,5.56
Indonesia,2020-01-08,5.56
Indonesia,2020-01-09,5.56
Indonesia,2020-01-10,5.56
Indonesia,2020-01-11,5.56
Indonesia,2020-01-12,5.56
Indonesia,2020-01-13,5.56
Indonesia,2020-01-14,5.56
Indonesia,2020-01-15,5.56
Indonesia,2020-01-16,5.56
Indonesia,2020-01-17,5.56
Indonesia,2020-01-18,8.33
Indonesia,2020-01-19,8.33
Indonesia,2020-01-20,8.33
Indonesia,2020-01-21,8.33
Indonesia,2020-01-22,8.33
Indonesia,2020-01-23,8.33
Indonesia,2020-01-24,8.33
Indonesia,2020-01-25,8.33
Indonesia,2020-01-26,8.33
Indonesia,2020-01-27,8.33
Indonesia,2020-01-28,8.33
Indonesia,2020-01-29,13.89
Indonesia,2020-01-30,13.89
Indonesia,2020-01-31,13.89
Indonesia,2020-02-01,13.89
Indonesia,2020-02-02,13.89
Indonesia,2020-02-03,23.15
Indonesia,2020-02-04,23.15
Indonesia,2020-02-05,28.7
Indonesia,2020-02-06,28.7
Indonesia,2020-02-07,28.7
Indonesia,2020-02-08,28.7
Indonesia,2020-02-09,28.7
Indonesia,2020-02-10,28.7
Indonesia,2020-02-11,28.7
Indonesia,2020-02-12,28.7
Indonesia,2020-02-13,28.7
Indonesia,2020-02-14,28.7
Indonesia,2020-02-15,28.7
Indonesia,2020-02-16,28.7
Indonesia,2020-02-17,28.7
Indonesia,2020-02-18,28.7
Indonesia,2020-02-19,28.7
Indonesia,2020-02-20,28.7
Indonesia,2020-02-21,28.7
Indonesia,2020-02-22,28.7
Indonesia,2020-02-23,28.7
Indonesia,2020-02-24,28.7
Indonesia,2020-02-25,28.7
Indonesia,2020-02-26,28.7
Indonesia,2020-02-27,28.7
Indonesia,2020-02-28,28.7
Indonesia,2020-02-29,28.7
Indonesia,2020-03-01,28.7
Indonesia,2020-03-02,28.7
Indonesia,2020-03-03,37.04
Indonesia,2020-03-04,37.04
Indonesia,2020-03-05,37.04
Indonesia,2020-03-06,37.04
Indonesia,2020-03-07,37.04
Indonesia,2020-03-08,37.04
Indonesia,2020-03-09,37.04
Indonesia,2020-03-10,37.04
Indonesia,2020-03-11,37.04
Indonesia,2020-03-12,37.04
Indonesia,2020-03-13,37.04
Indonesia,2020-03-14,37.04
Indonesia,2020-03-15,40.74
Indonesia,2020-03-16,43.52
Indonesia,2020-03-17,40.74
Indonesia,2020-03-18,40.74
Indonesia,2020-03-19,43.52
Indonesia,2020-03-20,43.52
Indonesia,2020-03-21,43.52
Indonesia,2020-03-22,43.52
Indonesia,2020-03-23,46.3
Indonesia,2020-03-24,46.3
Indonesia,2020-03-25,46.3
Indonesia,2020-03-26,48.15
Indonesia,2020-03-27,48.15
Indonesia,2020-03-28,48.15
Indonesia,2020-03-29,50.93
Indonesia,2020-03-30,50.93
Indonesia,2020-03-31,50.93
Indonesia,2020-04-01,50.93
Indonesia,2020-04-02,50.93
Indonesia,2020-04-03,50.93
Indonesia,2020-04-04,50.93
Indonesia,2020-04-05,50.93
Indonesia,2020-04-06,50.93
Indonesia,2020-04-07,60.65
Indonesia,2020-04-08,60.65
Indonesia,2020-04-09,60.65
Indonesia,2020-04-10,71.76
Indonesia,2020-04-11,71.76
Indonesia,2020-04-12,71.76
Indonesia,2020-04-13,71.76
Indonesia,2020-04-14,71.76
Indonesia,2020-04-15,71.76
Indonesia,2020-04-16,71.76
Indonesia,2020-04-17,71.76
Indonesia,2020-04-18,71.76
Indonesia,2020-04-19,71.76
Indonesia,2020-04-20,71.76
Indonesia,2020-04-21,71.76
Indonesia,2020-04-22,71.76
Indonesia,2020-04-23,71.76
Indonesia,2020-04-24,80.09
Indonesia,2020-04-25,80.09
Indonesia,2020-04-26,80.09
Indonesia,2020-04-27,80.09
Indonesia,2020-04-28,80.09
Indonesia,2020-04-29,80.09
Indonesia,2020-04-30,80.09
Indonesia,2020-05-01,80.09
Indonesia,2020-05-02,80.09
Indonesia,2020-05-03,74.54
Indonesia,2020-05-04,74.54
Indonesia,2020-05-05,74.54
Indonesia,2020-05-06,74.54
Indonesia,2020-05-07,74.54
Indonesia,2020-05-08,74.54
Indonesia,2020-05-09,74.54
Indonesia,2020-05-10,74.54
Indonesia,2020-05-11,74.54
Indonesia,2020-05-12,74.54
Indonesia,2020-05-13,74.54
Indonesia,2020-05-14,74.54
Indonesia,2020-05-15,74.54
Indonesia,2020-05-16,74.54
Indonesia,2020-05-17,74.54
Indonesia,2020-05-18,74.54
Indonesia,2020-05-19,74.54
Indonesia,2020-05-20,71.76
Indonesia,2020-05-21,71.76
Indonesia,2020-05-22,71.76
Indonesia,2020-05-23,71.76
Indonesia,2020-05-24,71.76
Indonesia,2020-05-25,71.76
Indonesia,2020-05-26,71.76
Indonesia,2020-05-27,71.76
Indonesia,2020-05-28,71.76
Indonesia,2020-05-29,71.76
Indonesia,2020-05-30,71.76
Indonesia,2020-05-31,71.76
Indonesia,2020-06-01,71.76
Indonesia,2020-06-02,71.76
Indonesia,2020-06-03,71.76
Indonesia,2020-06-04,71.76
Indonesia,2020-06-05,71.76
Indonesia,2020-06-06,71.76
Indonesia,2020-06-07,71.76
Indonesia,2020-06-08,68.06
Indonesia,2020-06-09,68.06
Indonesia,2020-06-10,68.06
Indonesia,2020-06-11,68.06
Indonesia,2020-06-12,68.06
Indonesia,2020-06-13,68.06
Indonesia,2020-06-14,68.06
Indonesia,2020-06-15,68.06
Indonesia,2020-06-16,68.06
Indonesia,2020-06-17,68.06
Indonesia,2020-06-18,68.06
Indonesia,2020-06-19,68.06
Indonesia,2020-06-20,68.06
Indonesia,2020-06-21,68.06
Indonesia,2020-06-22,68.06
Indonesia,2020-06-23,59.72
Indonesia,2020-06-24,59.72
Indonesia,2020-06-25,59.72
Indonesia,2020-06-26,59.72
Indonesia,2020-06-27,59.72
Indonesia,2020-06-28,59.72
Indonesia,2020-06-29,59.72
Indonesia,2020-06-30,54.17
Indonesia,2020-07-01,54.17
Indonesia,2020-07-02,54.17
Indonesia,2020-07-03,54.17
Indonesia,2020-07-04,54.17
Indonesia,2020-07-05,54.17
Indonesia,2020-07-06,54.17
Indonesia,2020-07-07,54.17
Indonesia,2020-07-08,54.17
Indonesia,2020-07-09,54.17
Indonesia,2020-07-10,54.17
Indonesia,2020-07-11,62.5
Indonesia,2020-07-12,62.5
Indonesia,2020-07-13,62.5
Indonesia,2020-07-14,62.5
Indonesia,2020-07-15,62.5
Indonesia,2020-07-16,62.5
Indonesia,2020-07-17,62.5
Indonesia,2020-07-18,62.5
Indonesia,2020-07-19,62.5
Indonesia,2020-07-20,62.5
Indonesia,2020-07-21,62.5
Indonesia,2020-07-22,62.5
Indonesia,2020-07-23,62.5
Indonesia,2020-07-24,62.5
Indonesia,2020-07-25,62.5
Indonesia,2020-07-26,62.5
Indonesia,2020-07-27,62.5
Indonesia,2020-07-28,62.5
Indonesia,2020-07-29,62.5
Indonesia,2020-07-30,62.5
Indonesia,2020-07-31,62.5
Indonesia,2020-08-01,62.5
Indonesia,2020-08-02,62.5
Indonesia,2020-08-03,62.5
Indonesia,2020-08-04,62.5
Indonesia,2020-08-05,62.5
Indonesia,2020-08-06,62.5
Indonesia,2020-08-07,62.5
Indonesia,2020-08-08,62.5
Indonesia,2020-08-09,62.5
Indonesia,2020-08-10,62.5
Indonesia,2020-08-11,59.72
Indonesia,2020-08-12,59.72
Indonesia,2020-08-13,59.72
Indonesia,2020-08-14,59.72
Indonesia,2020-08-15,59.72
Indonesia,2020-08-16,59.72
Indonesia,2020-08-17,59.72
Indonesia,2020-08-18,59.72
Indonesia,2020-08-19,59.72
Indonesia,2020-08-20,59.72
Indonesia,2020-08-21,59.72
Indonesia,2020-08-22,59.72
Indonesia,2020-08-23,59.72
Indonesia,2020-08-24,59.72
Indonesia,2020-08-25,59.72
Indonesia,2020-08-26,59.72
Indonesia,2020-08-27,59.72
Indonesia,2020-08-28,59.72
Indonesia,2020-08-29,59.72
Indonesia,2020-08-30,59.72
Indonesia,2020-08-31,59.72
Indonesia,2020-09-01,59.72
Indonesia,2020-09-02,59.72
Indonesia,2020-09-03,59.72
Indonesia,2020-09-04,59.72
Indonesia,2020-09-05,59.72
Indonesia,2020-09-06,59.72
Indonesia,2020-09-07,59.72
Indonesia,2020-09-08,59.72
Indonesia,2020-09-09,59.72
Indonesia,2020-09-10,59.72
Indonesia,2020-09-11,59.72
Indonesia,2020-09-12,59.72
Indonesia,2020-09-13,59.72
Indonesia,2020-09-14,68.98
Indonesia,2020-09-15,68.98
Indonesia,2020-09-16,68.98
Indonesia,2020-09-17,68.98
Indonesia,2020-09-18,68.98
Indonesia,2020-09-19,68.98
Indonesia,2020-09-20,68.98
Indonesia,2020-09-21,68.98
Indonesia,2020-09-22,68.98
Indonesia,2020-09-23,68.98
Indonesia,2020-09-24,68.98
Indonesia,2020-09-25,68.98
Indonesia,2020-09-26,68.98
Indonesia,2020-09-27,68.98
Indonesia,2020-09-28,68.98
Indonesia,2020-09-29,68.98
Indonesia,2020-09-30,68.98
Indonesia,2020-10-01,68.98
Indonesia,2020-10-02,68.98
Indonesia,2020-10-03,68.98
Indonesia,2020-10-04,68.98
Indonesia,2020-10-05,68.98
Indonesia,2020-10-06,68.98
Indonesia,2020-10-07,68.98
Indonesia,2020-10-08,68.98
Indonesia,2020-10-09,68.98
Indonesia,2020-10-10,68.98
Indonesia,2020-10-11,68.98
Indonesia,2020-10-12,50.46
Indonesia,2020-10-13,50.46
Indonesia,2020-10-14,50.46
