Entity,Date,Stringency Index (OxBSG)
Iraq,2020-01-01,0.0
Iraq,2020-01-02,0.0
Iraq,2020-01-03,0.0
Iraq,2020-01-04,0.0
Iraq,2020-01-05,0.0
Iraq,2020-01-06,0.0
Iraq,2020-01-07,0.0
Iraq,2020-01-08,0.0
Iraq,2020-01-09,0.0
Iraq,2020-01-10,0.0
Iraq,2020-01-11,0.0
Iraq,2020-01-12,0.0
Iraq,2020-01-13,0.0
Iraq,2020-01-14,0.0
Iraq,2020-01-15,0.0
Iraq,2020-01-16,0.0
Iraq,2020-01-17,0.0
Iraq,2020-01-18,0.0
Iraq,2020-01-19,0.0
Iraq,2020-01-20,0.0
Iraq,2020-01-21,0.0
Iraq,2020-01-22,0.0
Iraq,2020-01-23,0.0
Iraq,2020-01-24,0.0
Iraq,2020-01-25,0.0
Iraq,2020-01-26,0.0
Iraq,2020-01-27,0.0
Iraq,2020-01-28,0.0
Iraq,2020-01-29,0.0
Iraq,2020-01-30,0.0
Iraq,2020-01-31,0.0
Iraq,2020-02-01,0.0
Iraq,2020-02-02,0.0
Iraq,2020-02-03,0.0
Iraq,2020-02-04,0.0
Iraq,2020-02-05,0.0
Iraq,2020-02-06,0.0
Iraq,2020-02-07,0.0
Iraq,2020-02-08,0.0
Iraq,2020-02-09,0.0
Iraq,2020-02-10,0.0
Iraq,2020-02-11,0.0
Iraq,2020-02-12,0.0
Iraq,2020-02-13,0.0
Iraq,2020-02-14,0.0
Iraq,2020-02-15,0.0
Iraq,2020-02-16,0.0
Iraq,2020-02-17,0.0
Iraq,2020-02-18,0.0
Iraq,2020-02-19,2.78
Iraq,2020-02-20,11.11
Iraq,2020-02-21,11.11
Iraq,2020-02-22,11.11
Iraq,2020-02-23,19.44
Iraq,2020-02-24,19.44
Iraq,2020-02-25,50.93
Iraq,2020-02-26,50.93
Iraq,2020-02-27,52.78
Iraq,2020-02-28,52.78
Iraq,2020-02-29,52.78
Iraq,2020-03-01,52.78
Iraq,2020-03-02,52.78
Iraq,2020-03-03,52.78
Iraq,2020-03-04,52.78
Iraq,2020-03-05,52.78
Iraq,2020-03-06,52.78
Iraq,2020-03-07,52.78
Iraq,2020-03-08,52.78
Iraq,2020-03-09,52.78
Iraq,2020-03-10,52.78
Iraq,2020-03-11,61.11
Iraq,2020-03-12,61.11
Iraq,2020-03-13,75.0
Iraq,2020-03-14,75.0
Iraq,2020-03-15,75.0
Iraq,2020-03-16,77.78
Iraq,2020-03-17,89.81
Iraq,2020-03-18,89.81
Iraq,2020-03-19,89.81
Iraq,2020-03-20,89.81
Iraq,2020-03-21,89.81
Iraq,2020-03-22,94.44
Iraq,2020-03-23,94.44
Iraq,2020-03-24,94.44
Iraq,2020-03-25,94.44
Iraq,2020-03-26,96.3
Iraq,2020-03-27,96.3
Iraq,2020-03-28,96.3
Iraq,2020-03-29,96.3
Iraq,2020-03-30,96.3
Iraq,2020-03-31,96.3
Iraq,2020-04-01,96.3
Iraq,2020-04-02,96.3
Iraq,2020-04-03,96.3
Iraq,2020-04-04,96.3
Iraq,2020-04-05,96.3
Iraq,2020-04-06,96.3
Iraq,2020-04-07,96.3
Iraq,2020-04-08,96.3
Iraq,2020-04-09,96.3
Iraq,2020-04-10,96.3
