Entity,Date,Stringency Index (OxBSG)
Jamaica,2020-01-01,0.0
Jamaica,2020-01-02,0.0
Jamaica,2020-01-03,0.0
Jamaica,2020-01-04,0.0
Jamaica,2020-01-05,0.0
Jamaica,2020-01-06,0.0
Jamaica,2020-01-07,0.0
Jamaica,2020-01-08,0.0
Jamaica,2020-01-09,0.0
Jamaica,2020-01-10,0.0
Jamaica,2020-01-11,0.0
Jamaica,2020-01-12,0.0
Jamaica,2020-01-13,0.0
Jamaica,2020-01-14,0.0
Jamaica,2020-01-15,0.0
Jamaica,2020-01-16,0.0
Jamaica,2020-01-17,0.0
Jamaica,2020-01-18,0.0
Jamaica,2020-01-19,0.0
Jamaica,2020-01-20,0.0
Jamaica,2020-01-21,0.0
Jamaica,2020-01-22,0.0
Jamaica,2020-01-23,0.0
Jamaica,2020-01-24,0.0
Jamaica,2020-01-25,0.0
Jamaica,2020-01-26,0.0
Jamaica,2020-01-27,0.0
Jamaica,2020-01-28,0.0
Jamaica,2020-01-29,0.0
Jamaica,2020-01-30,0.0
Jamaica,2020-01-31,8.33
Jamaica,2020-02-01,8.33
Jamaica,2020-02-02,8.33
Jamaica,2020-02-03,8.33
Jamaica,2020-02-04,8.33
Jamaica,2020-02-05,19.44
Jamaica,2020-02-06,19.44
Jamaica,2020-02-07,19.44
Jamaica,2020-02-08,19.44
Jamaica,2020-02-09,19.44
Jamaica,2020-02-10,19.44
Jamaica,2020-02-11,19.44
Jamaica,2020-02-12,19.44
Jamaica,2020-02-13,19.44
Jamaica,2020-02-14,19.44
Jamaica,2020-02-15,19.44
Jamaica,2020-02-16,19.44
Jamaica,2020-02-17,19.44
Jamaica,2020-02-18,19.44
Jamaica,2020-02-19,19.44
Jamaica,2020-02-20,19.44
Jamaica,2020-02-21,19.44
Jamaica,2020-02-22,19.44
Jamaica,2020-02-23,19.44
Jamaica,2020-02-24,19.44
Jamaica,2020-02-25,19.44
Jamaica,2020-02-26,19.44
Jamaica,2020-02-27,19.44
Jamaica,2020-02-28,19.44
Jamaica,2020-02-29,19.44
Jamaica,2020-03-01,19.44
Jamaica,2020-03-02,19.44
Jamaica,2020-03-03,19.44
Jamaica,2020-03-04,19.44
Jamaica,2020-03-05,19.44
Jamaica,2020-03-06,19.44
Jamaica,2020-03-07,19.44
Jamaica,2020-03-08,19.44
Jamaica,2020-03-09,19.44
Jamaica,2020-03-10,25.0
Jamaica,2020-03-11,30.56
Jamaica,2020-03-12,30.56
Jamaica,2020-03-13,59.26
Jamaica,2020-03-14,59.26
Jamaica,2020-03-15,59.26
Jamaica,2020-03-16,59.26
Jamaica,2020-03-17,59.26
Jamaica,2020-03-18,71.3
Jamaica,2020-03-19,71.3
Jamaica,2020-03-20,71.3
Jamaica,2020-03-21,74.07
Jamaica,2020-03-22,74.07
Jamaica,2020-03-23,74.07
Jamaica,2020-03-24,74.07
Jamaica,2020-03-25,75.0
Jamaica,2020-03-26,75.0
Jamaica,2020-03-27,75.0
Jamaica,2020-03-28,75.0
Jamaica,2020-03-29,75.0
Jamaica,2020-03-30,75.0
Jamaica,2020-03-31,75.0
Jamaica,2020-04-01,78.7
Jamaica,2020-04-02,78.7
Jamaica,2020-04-03,78.7
Jamaica,2020-04-04,78.7
Jamaica,2020-04-05,78.7
Jamaica,2020-04-06,78.7
Jamaica,2020-04-07,78.7
Jamaica,2020-04-08,78.7
Jamaica,2020-04-09,78.7
Jamaica,2020-04-10,78.7
Jamaica,2020-04-11,78.7
Jamaica,2020-04-12,78.7
Jamaica,2020-04-13,78.7
Jamaica,2020-04-14,78.7
Jamaica,2020-04-15,80.56
Jamaica,2020-04-16,80.56
Jamaica,2020-04-17,80.56
Jamaica,2020-04-18,80.56
Jamaica,2020-04-19,80.56
Jamaica,2020-04-20,80.56
Jamaica,2020-04-21,80.56
Jamaica,2020-04-22,87.04
Jamaica,2020-04-23,87.04
Jamaica,2020-04-24,87.04
Jamaica,2020-04-25,87.04
Jamaica,2020-04-26,87.04
Jamaica,2020-04-27,87.04
Jamaica,2020-04-28,87.04
Jamaica,2020-04-29,87.04
Jamaica,2020-04-30,87.04
Jamaica,2020-05-01,87.04
Jamaica,2020-05-02,87.04
Jamaica,2020-05-03,87.04
Jamaica,2020-05-04,87.04
Jamaica,2020-05-05,87.04
Jamaica,2020-05-06,87.04
Jamaica,2020-05-07,87.04
Jamaica,2020-05-08,87.04
Jamaica,2020-05-09,87.04
Jamaica,2020-05-10,87.04
Jamaica,2020-05-11,87.04
Jamaica,2020-05-12,87.04
Jamaica,2020-05-13,87.04
Jamaica,2020-05-14,87.04
Jamaica,2020-05-15,87.04
Jamaica,2020-05-16,87.04
Jamaica,2020-05-17,87.04
Jamaica,2020-05-18,87.04
Jamaica,2020-05-19,87.04
Jamaica,2020-05-20,87.04
Jamaica,2020-05-21,87.04
Jamaica,2020-05-22,87.04
Jamaica,2020-05-23,87.04
Jamaica,2020-05-24,87.04
Jamaica,2020-05-25,87.04
Jamaica,2020-05-26,87.04
Jamaica,2020-05-27,87.04
Jamaica,2020-05-28,87.04
Jamaica,2020-05-29,87.04
Jamaica,2020-05-30,87.04
Jamaica,2020-05-31,84.26
Jamaica,2020-06-01,80.56
Jamaica,2020-06-02,76.85
Jamaica,2020-06-03,76.85
Jamaica,2020-06-04,76.85
Jamaica,2020-06-05,76.85
Jamaica,2020-06-06,76.85
Jamaica,2020-06-07,76.85
Jamaica,2020-06-08,73.15
Jamaica,2020-06-09,73.15
Jamaica,2020-06-10,73.15
Jamaica,2020-06-11,73.15
Jamaica,2020-06-12,73.15
Jamaica,2020-06-13,73.15
Jamaica,2020-06-14,73.15
Jamaica,2020-06-15,64.81
Jamaica,2020-06-16,64.81
Jamaica,2020-06-17,64.81
Jamaica,2020-06-18,64.81
Jamaica,2020-06-19,64.81
Jamaica,2020-06-20,64.81
Jamaica,2020-06-21,64.81
Jamaica,2020-06-22,64.81
Jamaica,2020-06-23,64.81
Jamaica,2020-06-24,64.81
Jamaica,2020-06-25,64.81
Jamaica,2020-06-26,64.81
Jamaica,2020-06-27,64.81
Jamaica,2020-06-28,64.81
Jamaica,2020-06-29,64.81
Jamaica,2020-06-30,64.81
Jamaica,2020-07-01,64.81
