Entity,Date,Stringency Index (OxBSG)
Kenya,2020-01-01,0.0
Kenya,2020-01-02,0.0
Kenya,2020-01-03,0.0
Kenya,2020-01-04,0.0
Kenya,2020-01-05,0.0
Kenya,2020-01-06,0.0
Kenya,2020-01-07,0.0
Kenya,2020-01-08,0.0
Kenya,2020-01-09,0.0
Kenya,2020-01-10,0.0
Kenya,2020-01-11,0.0
Kenya,2020-01-12,0.0
Kenya,2020-01-13,0.0
Kenya,2020-01-14,0.0
Kenya,2020-01-15,0.0
Kenya,2020-01-16,0.0
Kenya,2020-01-17,0.0
Kenya,2020-01-18,0.0
Kenya,2020-01-19,0.0
Kenya,2020-01-20,2.78
Kenya,2020-01-21,2.78
Kenya,2020-01-22,2.78
Kenya,2020-01-23,2.78
Kenya,2020-01-24,2.78
Kenya,2020-01-25,2.78
Kenya,2020-01-26,2.78
Kenya,2020-01-27,2.78
Kenya,2020-01-28,2.78
Kenya,2020-01-29,2.78
Kenya,2020-01-30,2.78
Kenya,2020-01-31,2.78
Kenya,2020-02-01,2.78
Kenya,2020-02-02,2.78
Kenya,2020-02-03,2.78
Kenya,2020-02-04,2.78
Kenya,2020-02-05,2.78
Kenya,2020-02-06,2.78
Kenya,2020-02-07,2.78
Kenya,2020-02-08,2.78
Kenya,2020-02-09,2.78
Kenya,2020-02-10,2.78
Kenya,2020-02-11,2.78
Kenya,2020-02-12,2.78
Kenya,2020-02-13,2.78
Kenya,2020-02-14,2.78
Kenya,2020-02-15,2.78
Kenya,2020-02-16,2.78
Kenya,2020-02-17,2.78
Kenya,2020-02-18,2.78
Kenya,2020-02-19,2.78
Kenya,2020-02-20,2.78
Kenya,2020-02-21,2.78
Kenya,2020-02-22,2.78
Kenya,2020-02-23,2.78
Kenya,2020-02-24,2.78
Kenya,2020-02-25,13.89
Kenya,2020-02-26,13.89
Kenya,2020-02-27,13.89
Kenya,2020-02-28,13.89
Kenya,2020-02-29,13.89
Kenya,2020-03-01,13.89
Kenya,2020-03-02,13.89
Kenya,2020-03-03,13.89
Kenya,2020-03-04,13.89
Kenya,2020-03-05,13.89
Kenya,2020-03-06,13.89
Kenya,2020-03-07,13.89
Kenya,2020-03-08,13.89
Kenya,2020-03-09,13.89
Kenya,2020-03-10,13.89
Kenya,2020-03-11,13.89
Kenya,2020-03-12,13.89
Kenya,2020-03-13,36.11
Kenya,2020-03-14,36.11
Kenya,2020-03-15,50.93
Kenya,2020-03-16,50.93
Kenya,2020-03-17,59.26
Kenya,2020-03-18,59.26
Kenya,2020-03-19,59.26
Kenya,2020-03-20,64.81
Kenya,2020-03-21,64.81
Kenya,2020-03-22,64.81
Kenya,2020-03-23,64.81
Kenya,2020-03-24,68.52
Kenya,2020-03-25,68.52
Kenya,2020-03-26,68.52
Kenya,2020-03-27,87.04
Kenya,2020-03-28,87.04
Kenya,2020-03-29,87.04
Kenya,2020-03-30,87.04
Kenya,2020-03-31,87.04
Kenya,2020-04-01,87.04
Kenya,2020-04-02,87.04
Kenya,2020-04-03,87.04
Kenya,2020-04-04,87.04
Kenya,2020-04-05,87.04
Kenya,2020-04-06,88.89
Kenya,2020-04-07,88.89
Kenya,2020-04-08,88.89
Kenya,2020-04-09,88.89
Kenya,2020-04-10,88.89
Kenya,2020-04-11,88.89
Kenya,2020-04-12,88.89
Kenya,2020-04-13,88.89
Kenya,2020-04-14,88.89
Kenya,2020-04-15,88.89
Kenya,2020-04-16,88.89
Kenya,2020-04-17,88.89
Kenya,2020-04-18,88.89
Kenya,2020-04-19,88.89
Kenya,2020-04-20,88.89
Kenya,2020-04-21,88.89
Kenya,2020-04-22,88.89
Kenya,2020-04-23,88.89
Kenya,2020-04-24,88.89
Kenya,2020-04-25,88.89
Kenya,2020-04-26,88.89
Kenya,2020-04-27,88.89
Kenya,2020-04-28,88.89
Kenya,2020-04-29,88.89
Kenya,2020-04-30,88.89
Kenya,2020-05-01,88.89
Kenya,2020-05-02,88.89
Kenya,2020-05-03,88.89
Kenya,2020-05-04,88.89
Kenya,2020-05-05,88.89
Kenya,2020-05-06,88.89
Kenya,2020-05-07,88.89
Kenya,2020-05-08,88.89
Kenya,2020-05-09,88.89
Kenya,2020-05-10,88.89
Kenya,2020-05-11,88.89
Kenya,2020-05-12,88.89
Kenya,2020-05-13,88.89
Kenya,2020-05-14,88.89
Kenya,2020-05-15,88.89
Kenya,2020-05-16,88.89
Kenya,2020-05-17,88.89
Kenya,2020-05-18,88.89
Kenya,2020-05-19,88.89
Kenya,2020-05-20,88.89
Kenya,2020-05-21,88.89
Kenya,2020-05-22,88.89
Kenya,2020-05-23,88.89
Kenya,2020-05-24,88.89
Kenya,2020-05-25,88.89
Kenya,2020-05-26,88.89
Kenya,2020-05-27,88.89
Kenya,2020-05-28,88.89
Kenya,2020-05-29,88.89
Kenya,2020-05-30,88.89
Kenya,2020-05-31,88.89
Kenya,2020-06-01,88.89
Kenya,2020-06-02,88.89
Kenya,2020-06-03,88.89
Kenya,2020-06-04,88.89
Kenya,2020-06-05,88.89
Kenya,2020-06-06,88.89
Kenya,2020-06-07,88.89
Kenya,2020-06-08,88.89
Kenya,2020-06-09,88.89
Kenya,2020-06-10,88.89
Kenya,2020-06-11,88.89
Kenya,2020-06-12,88.89
Kenya,2020-06-13,88.89
Kenya,2020-06-14,88.89
Kenya,2020-06-15,88.89
Kenya,2020-06-16,88.89
Kenya,2020-06-17,88.89
Kenya,2020-06-18,88.89
Kenya,2020-06-19,88.89
Kenya,2020-06-20,88.89
Kenya,2020-06-21,88.89
Kenya,2020-06-22,88.89
Kenya,2020-06-23,84.26
Kenya,2020-06-24,84.26
Kenya,2020-06-25,84.26
Kenya,2020-06-26,84.26
Kenya,2020-06-27,84.26
Kenya,2020-06-28,84.26
Kenya,2020-06-29,84.26
Kenya,2020-06-30,84.26
Kenya,2020-07-01,84.26
Kenya,2020-07-02,84.26
Kenya,2020-07-03,84.26
Kenya,2020-07-04,84.26
Kenya,2020-07-05,84.26
Kenya,2020-07-06,84.26
Kenya,2020-07-07,81.48
Kenya,2020-07-08,81.48
Kenya,2020-07-09,81.48
Kenya,2020-07-10,81.48
Kenya,2020-07-11,81.48
Kenya,2020-07-12,81.48
Kenya,2020-07-13,81.48
Kenya,2020-07-14,81.48
Kenya,2020-07-15,81.48
Kenya,2020-07-16,81.48
Kenya,2020-07-17,81.48
Kenya,2020-07-18,81.48
Kenya,2020-07-19,81.48
Kenya,2020-07-20,81.48
Kenya,2020-07-21,81.48
Kenya,2020-07-22,81.48
Kenya,2020-07-23,81.48
Kenya,2020-07-24,78.7
Kenya,2020-07-25,78.7
Kenya,2020-07-26,78.7
Kenya,2020-07-27,78.7
Kenya,2020-07-28,78.7
Kenya,2020-07-29,78.7
Kenya,2020-07-30,78.7
Kenya,2020-07-31,78.7
Kenya,2020-08-01,73.15
Kenya,2020-08-02,73.15
Kenya,2020-08-03,73.15
Kenya,2020-08-04,73.15
Kenya,2020-08-05,73.15
Kenya,2020-08-06,73.15
Kenya,2020-08-07,73.15
Kenya,2020-08-08,73.15
Kenya,2020-08-09,73.15
Kenya,2020-08-10,73.15
Kenya,2020-08-11,73.15
Kenya,2020-08-12,73.15
Kenya,2020-08-13,70.37
Kenya,2020-08-14,70.37
Kenya,2020-08-15,70.37
Kenya,2020-08-16,70.37
Kenya,2020-08-17,70.37
Kenya,2020-08-18,70.37
Kenya,2020-08-19,70.37
Kenya,2020-08-20,70.37
Kenya,2020-08-21,70.37
