Entity,Date,Stringency Index (OxBSG)
Kuwait,2020-01-01,0.0
Kuwait,2020-01-02,0.0
Kuwait,2020-01-03,0.0
Kuwait,2020-01-04,0.0
Kuwait,2020-01-05,0.0
Kuwait,2020-01-06,0.0
Kuwait,2020-01-07,0.0
Kuwait,2020-01-08,0.0
Kuwait,2020-01-09,0.0
Kuwait,2020-01-10,0.0
Kuwait,2020-01-11,0.0
Kuwait,2020-01-12,0.0
Kuwait,2020-01-13,0.0
Kuwait,2020-01-14,0.0
Kuwait,2020-01-15,0.0
Kuwait,2020-01-16,0.0
Kuwait,2020-01-17,0.0
Kuwait,2020-01-18,0.0
Kuwait,2020-01-19,0.0
Kuwait,2020-01-20,0.0
Kuwait,2020-01-21,0.0
Kuwait,2020-01-22,0.0
Kuwait,2020-01-23,5.56
Kuwait,2020-01-24,5.56
Kuwait,2020-01-25,5.56
Kuwait,2020-01-26,5.56
Kuwait,2020-01-27,5.56
Kuwait,2020-01-28,5.56
Kuwait,2020-01-29,5.56
Kuwait,2020-01-30,5.56
Kuwait,2020-01-31,5.56
Kuwait,2020-02-01,5.56
Kuwait,2020-02-02,5.56
Kuwait,2020-02-03,5.56
Kuwait,2020-02-04,5.56
Kuwait,2020-02-05,5.56
Kuwait,2020-02-06,5.56
Kuwait,2020-02-07,5.56
Kuwait,2020-02-08,5.56
Kuwait,2020-02-09,5.56
Kuwait,2020-02-10,5.56
Kuwait,2020-02-11,5.56
Kuwait,2020-02-12,5.56
Kuwait,2020-02-13,5.56
Kuwait,2020-02-14,5.56
Kuwait,2020-02-15,5.56
Kuwait,2020-02-16,5.56
Kuwait,2020-02-17,5.56
Kuwait,2020-02-18,11.11
Kuwait,2020-02-19,11.11
Kuwait,2020-02-20,11.11
Kuwait,2020-02-21,13.89
Kuwait,2020-02-22,13.89
Kuwait,2020-02-23,13.89
Kuwait,2020-02-24,13.89
Kuwait,2020-02-25,13.89
Kuwait,2020-02-26,13.89
Kuwait,2020-02-27,13.89
Kuwait,2020-02-28,13.89
Kuwait,2020-02-29,13.89
Kuwait,2020-03-01,27.78
Kuwait,2020-03-02,27.78
Kuwait,2020-03-03,27.78
Kuwait,2020-03-04,27.78
Kuwait,2020-03-05,27.78
Kuwait,2020-03-06,27.78
Kuwait,2020-03-07,36.11
Kuwait,2020-03-08,36.11
Kuwait,2020-03-09,36.11
Kuwait,2020-03-10,41.67
Kuwait,2020-03-11,60.19
Kuwait,2020-03-12,71.3
Kuwait,2020-03-13,74.07
Kuwait,2020-03-14,74.07
Kuwait,2020-03-15,74.07
Kuwait,2020-03-16,74.07
Kuwait,2020-03-17,74.07
Kuwait,2020-03-18,74.07
Kuwait,2020-03-19,74.07
Kuwait,2020-03-20,74.07
Kuwait,2020-03-21,74.07
Kuwait,2020-03-22,81.48
Kuwait,2020-03-23,81.48
Kuwait,2020-03-24,81.48
Kuwait,2020-03-25,81.48
Kuwait,2020-03-26,81.48
Kuwait,2020-03-27,81.48
Kuwait,2020-03-28,81.48
Kuwait,2020-03-29,81.48
Kuwait,2020-03-30,81.48
Kuwait,2020-03-31,81.48
Kuwait,2020-04-01,81.48
Kuwait,2020-04-02,81.48
Kuwait,2020-04-03,81.48
Kuwait,2020-04-04,81.48
Kuwait,2020-04-05,81.48
Kuwait,2020-04-06,93.52
Kuwait,2020-04-07,93.52
Kuwait,2020-04-08,93.52
Kuwait,2020-04-09,93.52
Kuwait,2020-04-10,93.52
Kuwait,2020-04-11,93.52
Kuwait,2020-04-12,93.52
Kuwait,2020-04-13,93.52
Kuwait,2020-04-14,93.52
Kuwait,2020-04-15,93.52
Kuwait,2020-04-16,93.52
Kuwait,2020-04-17,93.52
Kuwait,2020-04-18,93.52
Kuwait,2020-04-19,93.52
Kuwait,2020-04-20,93.52
Kuwait,2020-04-21,88.89
Kuwait,2020-04-22,88.89
Kuwait,2020-04-23,88.89
Kuwait,2020-04-24,88.89
Kuwait,2020-04-25,88.89
Kuwait,2020-04-26,88.89
Kuwait,2020-04-27,88.89
Kuwait,2020-04-28,88.89
Kuwait,2020-04-29,88.89
Kuwait,2020-04-30,88.89
Kuwait,2020-05-01,88.89
Kuwait,2020-05-02,88.89
Kuwait,2020-05-03,88.89
Kuwait,2020-05-04,88.89
Kuwait,2020-05-05,88.89
Kuwait,2020-05-06,88.89
Kuwait,2020-05-07,88.89
Kuwait,2020-05-08,88.89
Kuwait,2020-05-09,88.89
Kuwait,2020-05-10,100.0
Kuwait,2020-05-11,100.0
Kuwait,2020-05-12,100.0
Kuwait,2020-05-13,100.0
Kuwait,2020-05-14,100.0
Kuwait,2020-05-15,100.0
Kuwait,2020-05-16,100.0
Kuwait,2020-05-17,100.0
Kuwait,2020-05-18,100.0
Kuwait,2020-05-19,100.0
Kuwait,2020-05-20,100.0
Kuwait,2020-05-21,100.0
Kuwait,2020-05-22,100.0
Kuwait,2020-05-23,100.0
Kuwait,2020-05-24,100.0
Kuwait,2020-05-25,100.0
Kuwait,2020-05-26,100.0
Kuwait,2020-05-27,100.0
Kuwait,2020-05-28,100.0
Kuwait,2020-05-29,100.0
Kuwait,2020-05-30,100.0
Kuwait,2020-05-31,84.26
Kuwait,2020-06-01,84.26
Kuwait,2020-06-02,84.26
Kuwait,2020-06-03,84.26
Kuwait,2020-06-04,84.26
Kuwait,2020-06-05,84.26
Kuwait,2020-06-06,84.26
Kuwait,2020-06-07,84.26
Kuwait,2020-06-08,84.26
Kuwait,2020-06-09,85.19
Kuwait,2020-06-10,85.19
Kuwait,2020-06-11,85.19
Kuwait,2020-06-12,85.19
Kuwait,2020-06-13,85.19
Kuwait,2020-06-14,85.19
Kuwait,2020-06-15,85.19
Kuwait,2020-06-16,85.19
Kuwait,2020-06-17,85.19
Kuwait,2020-06-18,85.19
Kuwait,2020-06-19,85.19
Kuwait,2020-06-20,85.19
Kuwait,2020-06-21,85.19
Kuwait,2020-06-22,85.19
Kuwait,2020-06-23,85.19
Kuwait,2020-06-24,85.19
Kuwait,2020-06-25,85.19
Kuwait,2020-06-26,85.19
Kuwait,2020-06-27,85.19
Kuwait,2020-06-28,85.19
Kuwait,2020-06-29,85.19
Kuwait,2020-06-30,85.19
Kuwait,2020-07-01,83.33
Kuwait,2020-07-02,83.33
Kuwait,2020-07-03,83.33
Kuwait,2020-07-04,83.33
Kuwait,2020-07-05,83.33
Kuwait,2020-07-06,83.33
Kuwait,2020-07-07,83.33
Kuwait,2020-07-08,83.33
Kuwait,2020-07-09,83.33
Kuwait,2020-07-10,83.33
Kuwait,2020-07-11,83.33
Kuwait,2020-07-12,83.33
Kuwait,2020-07-13,83.33
Kuwait,2020-07-14,83.33
Kuwait,2020-07-15,83.33
Kuwait,2020-07-16,83.33
Kuwait,2020-07-17,77.78
Kuwait,2020-07-18,77.78
Kuwait,2020-07-19,77.78
Kuwait,2020-07-20,77.78
Kuwait,2020-07-21,77.78
Kuwait,2020-07-22,77.78
Kuwait,2020-07-23,77.78
Kuwait,2020-07-24,77.78
Kuwait,2020-07-25,77.78
Kuwait,2020-07-26,77.78
Kuwait,2020-07-27,77.78
Kuwait,2020-07-28,71.3
Kuwait,2020-07-29,71.3
Kuwait,2020-07-30,71.3
Kuwait,2020-07-31,71.3
Kuwait,2020-08-01,65.74
Kuwait,2020-08-02,65.74
Kuwait,2020-08-03,65.74
Kuwait,2020-08-04,65.74
Kuwait,2020-08-05,65.74
Kuwait,2020-08-06,65.74
Kuwait,2020-08-07,65.74
Kuwait,2020-08-08,65.74
Kuwait,2020-08-09,65.74
Kuwait,2020-08-10,65.74
Kuwait,2020-08-11,65.74
Kuwait,2020-08-12,65.74
Kuwait,2020-08-13,65.74
Kuwait,2020-08-14,65.74
Kuwait,2020-08-15,65.74
Kuwait,2020-08-16,65.74
Kuwait,2020-08-17,65.74
Kuwait,2020-08-18,65.74
Kuwait,2020-08-19,65.74
Kuwait,2020-08-20,65.74
Kuwait,2020-08-21,65.74
Kuwait,2020-08-22,65.74
Kuwait,2020-08-23,65.74
Kuwait,2020-08-24,65.74
Kuwait,2020-08-25,65.74
Kuwait,2020-08-26,65.74
Kuwait,2020-08-27,65.74
Kuwait,2020-08-28,65.74
Kuwait,2020-08-29,65.74
Kuwait,2020-08-30,65.74
Kuwait,2020-08-31,65.74
Kuwait,2020-09-01,65.74
Kuwait,2020-09-02,65.74
Kuwait,2020-09-03,65.74
Kuwait,2020-09-04,65.74
Kuwait,2020-09-05,65.74
Kuwait,2020-09-06,65.74
Kuwait,2020-09-07,65.74
Kuwait,2020-09-08,65.74
Kuwait,2020-09-09,65.74
Kuwait,2020-09-10,65.74
Kuwait,2020-09-11,65.74
Kuwait,2020-09-12,65.74
Kuwait,2020-09-13,65.74
Kuwait,2020-09-14,65.74
Kuwait,2020-09-15,65.74
Kuwait,2020-09-16,65.74
Kuwait,2020-09-17,65.74
Kuwait,2020-09-18,65.74
Kuwait,2020-09-19,65.74
Kuwait,2020-09-20,65.74
Kuwait,2020-09-21,65.74
Kuwait,2020-09-22,65.74
Kuwait,2020-09-23,65.74
Kuwait,2020-09-24,65.74
Kuwait,2020-09-25,65.74
Kuwait,2020-09-26,65.74
Kuwait,2020-09-27,65.74
Kuwait,2020-09-28,65.74
Kuwait,2020-09-29,65.74
Kuwait,2020-09-30,65.74
Kuwait,2020-10-01,65.74
Kuwait,2020-10-02,65.74
Kuwait,2020-10-03,62.96
Kuwait,2020-10-04,62.96
Kuwait,2020-10-05,62.96
Kuwait,2020-10-06,62.96
Kuwait,2020-10-07,62.96
Kuwait,2020-10-08,62.96
Kuwait,2020-10-09,62.96
Kuwait,2020-10-10,62.96
Kuwait,2020-10-11,62.96
Kuwait,2020-10-12,62.96
Kuwait,2020-10-13,62.96
Kuwait,2020-10-14,62.96
Kuwait,2020-10-15,62.96
Kuwait,2020-10-16,62.96
Kuwait,2020-10-17,62.96
Kuwait,2020-10-18,62.96
Kuwait,2020-10-19,62.96
Kuwait,2020-10-20,62.96
Kuwait,2020-10-21,62.96
Kuwait,2020-10-22,62.96
Kuwait,2020-10-23,62.96
Kuwait,2020-10-24,62.96
Kuwait,2020-10-25,62.96
Kuwait,2020-10-26,62.96
Kuwait,2020-10-27,62.96
Kuwait,2020-10-28,62.96
Kuwait,2020-10-29,62.96
