Entity,Date,Stringency Index (OxBSG)
Kyrgyzstan,2020-01-01,0.0
Kyrgyzstan,2020-01-02,0.0
Kyrgyzstan,2020-01-03,0.0
Kyrgyzstan,2020-01-04,0.0
Kyrgyzstan,2020-01-05,0.0
Kyrgyzstan,2020-01-06,0.0
Kyrgyzstan,2020-01-07,0.0
Kyrgyzstan,2020-01-08,0.0
Kyrgyzstan,2020-01-09,0.0
Kyrgyzstan,2020-01-10,0.0
Kyrgyzstan,2020-01-11,0.0
Kyrgyzstan,2020-01-12,0.0
Kyrgyzstan,2020-01-13,0.0
Kyrgyzstan,2020-01-14,0.0
Kyrgyzstan,2020-01-15,0.0
Kyrgyzstan,2020-01-16,0.0
Kyrgyzstan,2020-01-17,0.0
Kyrgyzstan,2020-01-18,0.0
Kyrgyzstan,2020-01-19,0.0
Kyrgyzstan,2020-01-20,0.0
Kyrgyzstan,2020-01-21,0.0
Kyrgyzstan,2020-01-22,2.78
Kyrgyzstan,2020-01-23,2.78
Kyrgyzstan,2020-01-24,2.78
Kyrgyzstan,2020-01-25,2.78
Kyrgyzstan,2020-01-26,2.78
Kyrgyzstan,2020-01-27,2.78
Kyrgyzstan,2020-01-28,11.11
Kyrgyzstan,2020-01-29,11.11
Kyrgyzstan,2020-01-30,11.11
Kyrgyzstan,2020-01-31,11.11
Kyrgyzstan,2020-02-01,13.89
Kyrgyzstan,2020-02-02,13.89
Kyrgyzstan,2020-02-03,13.89
Kyrgyzstan,2020-02-04,13.89
Kyrgyzstan,2020-02-05,13.89
Kyrgyzstan,2020-02-06,13.89
Kyrgyzstan,2020-02-07,13.89
Kyrgyzstan,2020-02-08,13.89
Kyrgyzstan,2020-02-09,13.89
Kyrgyzstan,2020-02-10,13.89
Kyrgyzstan,2020-02-11,13.89
Kyrgyzstan,2020-02-12,13.89
Kyrgyzstan,2020-02-13,13.89
Kyrgyzstan,2020-02-14,13.89
Kyrgyzstan,2020-02-15,13.89
Kyrgyzstan,2020-02-16,13.89
Kyrgyzstan,2020-02-17,13.89
Kyrgyzstan,2020-02-18,13.89
Kyrgyzstan,2020-02-19,13.89
Kyrgyzstan,2020-02-20,13.89
Kyrgyzstan,2020-02-21,13.89
Kyrgyzstan,2020-02-22,13.89
Kyrgyzstan,2020-02-23,13.89
Kyrgyzstan,2020-02-24,13.89
Kyrgyzstan,2020-02-25,13.89
Kyrgyzstan,2020-02-26,13.89
Kyrgyzstan,2020-02-27,19.44
Kyrgyzstan,2020-02-28,19.44
Kyrgyzstan,2020-02-29,19.44
Kyrgyzstan,2020-03-01,22.22
Kyrgyzstan,2020-03-02,22.22
Kyrgyzstan,2020-03-03,22.22
Kyrgyzstan,2020-03-04,22.22
Kyrgyzstan,2020-03-05,22.22
Kyrgyzstan,2020-03-06,22.22
Kyrgyzstan,2020-03-07,22.22
Kyrgyzstan,2020-03-08,22.22
Kyrgyzstan,2020-03-09,22.22
Kyrgyzstan,2020-03-10,22.22
Kyrgyzstan,2020-03-11,22.22
Kyrgyzstan,2020-03-12,27.78
Kyrgyzstan,2020-03-13,27.78
Kyrgyzstan,2020-03-14,34.26
Kyrgyzstan,2020-03-15,34.26
Kyrgyzstan,2020-03-16,45.37
Kyrgyzstan,2020-03-17,63.89
Kyrgyzstan,2020-03-18,63.89
Kyrgyzstan,2020-03-19,63.89
Kyrgyzstan,2020-03-20,63.89
Kyrgyzstan,2020-03-21,63.89
Kyrgyzstan,2020-03-22,69.44
Kyrgyzstan,2020-03-23,69.44
Kyrgyzstan,2020-03-24,69.44
Kyrgyzstan,2020-03-25,92.13
Kyrgyzstan,2020-03-26,92.13
Kyrgyzstan,2020-03-27,92.13
Kyrgyzstan,2020-03-28,92.13
Kyrgyzstan,2020-03-29,92.13
Kyrgyzstan,2020-03-30,92.13
Kyrgyzstan,2020-03-31,92.13
Kyrgyzstan,2020-04-01,92.13
Kyrgyzstan,2020-04-02,92.13
Kyrgyzstan,2020-04-03,92.13
Kyrgyzstan,2020-04-04,92.13
Kyrgyzstan,2020-04-05,92.13
Kyrgyzstan,2020-04-06,92.13
Kyrgyzstan,2020-04-07,92.13
Kyrgyzstan,2020-04-08,92.13
Kyrgyzstan,2020-04-09,92.13
Kyrgyzstan,2020-04-10,92.13
Kyrgyzstan,2020-04-11,92.13
Kyrgyzstan,2020-04-12,92.13
Kyrgyzstan,2020-04-13,92.13
Kyrgyzstan,2020-04-14,92.13
Kyrgyzstan,2020-04-15,92.13
Kyrgyzstan,2020-04-16,92.13
Kyrgyzstan,2020-04-17,92.13
Kyrgyzstan,2020-04-18,92.13
Kyrgyzstan,2020-04-19,92.13
Kyrgyzstan,2020-04-20,92.13
Kyrgyzstan,2020-04-21,92.13
Kyrgyzstan,2020-04-22,92.13
Kyrgyzstan,2020-04-23,92.13
Kyrgyzstan,2020-04-24,92.13
Kyrgyzstan,2020-04-25,92.13
Kyrgyzstan,2020-04-26,92.13
Kyrgyzstan,2020-04-27,92.13
Kyrgyzstan,2020-04-28,92.13
Kyrgyzstan,2020-04-29,92.13
Kyrgyzstan,2020-04-30,88.43
Kyrgyzstan,2020-05-01,88.43
Kyrgyzstan,2020-05-02,88.43
Kyrgyzstan,2020-05-03,88.43
Kyrgyzstan,2020-05-04,85.65
Kyrgyzstan,2020-05-05,85.65
Kyrgyzstan,2020-05-06,85.65
Kyrgyzstan,2020-05-07,85.65
Kyrgyzstan,2020-05-08,85.65
Kyrgyzstan,2020-05-09,85.65
Kyrgyzstan,2020-05-10,85.65
Kyrgyzstan,2020-05-11,81.94
Kyrgyzstan,2020-05-12,81.94
Kyrgyzstan,2020-05-13,81.94
Kyrgyzstan,2020-05-14,81.94
Kyrgyzstan,2020-05-15,81.94
