Entity,Date,Stringency Index (OxBSG)
Libya,2020-01-01,0.0
Libya,2020-01-02,0.0
Libya,2020-01-03,0.0
Libya,2020-01-04,0.0
Libya,2020-01-05,0.0
Libya,2020-01-06,0.0
Libya,2020-01-07,0.0
Libya,2020-01-08,0.0
Libya,2020-01-09,0.0
Libya,2020-01-10,0.0
Libya,2020-01-11,0.0
Libya,2020-01-12,0.0
Libya,2020-01-13,0.0
Libya,2020-01-14,0.0
Libya,2020-01-15,0.0
Libya,2020-01-16,0.0
Libya,2020-01-17,0.0
Libya,2020-01-18,0.0
Libya,2020-01-19,0.0
Libya,2020-01-20,0.0
Libya,2020-01-21,0.0
Libya,2020-01-22,0.0
Libya,2020-01-23,0.0
Libya,2020-01-24,0.0
Libya,2020-01-25,0.0
Libya,2020-01-26,0.0
Libya,2020-01-27,0.0
Libya,2020-01-28,0.0
Libya,2020-01-29,0.0
Libya,2020-01-30,0.0
Libya,2020-01-31,0.0
Libya,2020-02-01,0.0
Libya,2020-02-02,0.0
Libya,2020-02-03,0.0
Libya,2020-02-04,0.0
Libya,2020-02-05,0.0
Libya,2020-02-06,0.0
Libya,2020-02-07,0.0
Libya,2020-02-08,0.0
Libya,2020-02-09,0.0
Libya,2020-02-10,5.56
Libya,2020-02-11,5.56
Libya,2020-02-12,5.56
Libya,2020-02-13,5.56
Libya,2020-02-14,5.56
Libya,2020-02-15,5.56
Libya,2020-02-16,5.56
Libya,2020-02-17,5.56
Libya,2020-02-18,5.56
Libya,2020-02-19,5.56
Libya,2020-02-20,5.56
Libya,2020-02-21,5.56
Libya,2020-02-22,5.56
Libya,2020-02-23,5.56
Libya,2020-02-24,5.56
Libya,2020-02-25,5.56
Libya,2020-02-26,5.56
Libya,2020-02-27,5.56
Libya,2020-02-28,5.56
Libya,2020-02-29,5.56
Libya,2020-03-01,5.56
Libya,2020-03-02,5.56
Libya,2020-03-03,5.56
Libya,2020-03-04,5.56
Libya,2020-03-05,5.56
Libya,2020-03-06,5.56
Libya,2020-03-07,5.56
Libya,2020-03-08,5.56
Libya,2020-03-09,5.56
Libya,2020-03-10,5.56
Libya,2020-03-11,5.56
Libya,2020-03-12,5.56
Libya,2020-03-13,5.56
Libya,2020-03-14,23.15
Libya,2020-03-15,34.26
Libya,2020-03-16,39.81
Libya,2020-03-17,39.81
Libya,2020-03-18,39.81
Libya,2020-03-19,39.81
Libya,2020-03-20,39.81
Libya,2020-03-21,39.81
Libya,2020-03-22,77.78
Libya,2020-03-23,77.78
Libya,2020-03-24,90.74
Libya,2020-03-25,90.74
Libya,2020-03-26,90.74
Libya,2020-03-27,90.74
Libya,2020-03-28,90.74
Libya,2020-03-29,90.74
Libya,2020-03-30,90.74
Libya,2020-03-31,90.74
Libya,2020-04-01,90.74
Libya,2020-04-02,90.74
Libya,2020-04-03,90.74
Libya,2020-04-04,90.74
Libya,2020-04-05,90.74
Libya,2020-04-06,90.74
Libya,2020-04-07,90.74
Libya,2020-04-08,88.89
Libya,2020-04-09,88.89
Libya,2020-04-10,88.89
Libya,2020-04-11,88.89
Libya,2020-04-12,88.89
Libya,2020-04-13,88.89
Libya,2020-04-14,88.89
Libya,2020-04-15,88.89
Libya,2020-04-16,96.3
Libya,2020-04-17,100.0
Libya,2020-04-18,100.0
Libya,2020-04-19,100.0
Libya,2020-04-20,100.0
Libya,2020-04-21,100.0
Libya,2020-04-22,100.0
Libya,2020-04-23,100.0
Libya,2020-04-24,100.0
Libya,2020-04-25,100.0
Libya,2020-04-26,100.0
Libya,2020-04-27,100.0
Libya,2020-04-28,100.0
Libya,2020-04-29,100.0
Libya,2020-04-30,100.0
Libya,2020-05-01,100.0
Libya,2020-05-02,100.0
Libya,2020-05-03,100.0
Libya,2020-05-04,100.0
Libya,2020-05-05,100.0
Libya,2020-05-06,100.0
Libya,2020-05-07,100.0
Libya,2020-05-08,100.0
Libya,2020-05-09,100.0
Libya,2020-05-10,100.0
Libya,2020-05-11,100.0
Libya,2020-05-12,100.0
Libya,2020-05-13,100.0
Libya,2020-05-14,100.0
Libya,2020-05-15,100.0
Libya,2020-05-16,100.0
Libya,2020-05-17,100.0
Libya,2020-05-18,100.0
Libya,2020-05-19,100.0
Libya,2020-05-20,100.0
Libya,2020-05-21,100.0
Libya,2020-05-22,100.0
Libya,2020-05-23,100.0
Libya,2020-05-24,100.0
Libya,2020-05-25,100.0
Libya,2020-05-26,100.0
Libya,2020-05-27,100.0
Libya,2020-05-28,96.3
Libya,2020-05-29,96.3
Libya,2020-05-30,96.3
Libya,2020-05-31,96.3
Libya,2020-06-01,96.3
Libya,2020-06-02,96.3
Libya,2020-06-03,96.3
Libya,2020-06-04,96.3
Libya,2020-06-05,96.3
Libya,2020-06-06,96.3
Libya,2020-06-07,96.3
Libya,2020-06-08,96.3
Libya,2020-06-09,96.3
Libya,2020-06-10,96.3
Libya,2020-06-11,96.3
Libya,2020-06-12,96.3
Libya,2020-06-13,96.3
Libya,2020-06-14,96.3
Libya,2020-06-15,96.3
Libya,2020-06-16,96.3
Libya,2020-06-17,96.3
Libya,2020-06-18,96.3
Libya,2020-06-19,96.3
Libya,2020-06-20,96.3
Libya,2020-06-21,96.3
Libya,2020-06-22,96.3
Libya,2020-06-23,96.3
Libya,2020-06-24,96.3
Libya,2020-06-25,96.3
Libya,2020-06-26,96.3
Libya,2020-06-27,94.44
Libya,2020-06-28,94.44
Libya,2020-06-29,94.44
Libya,2020-06-30,94.44
Libya,2020-07-01,94.44
Libya,2020-07-02,94.44
Libya,2020-07-03,94.44
Libya,2020-07-04,94.44
Libya,2020-07-05,94.44
Libya,2020-07-06,94.44
Libya,2020-07-07,90.74
Libya,2020-07-08,90.74
Libya,2020-07-09,90.74
Libya,2020-07-10,90.74
Libya,2020-07-11,90.74
Libya,2020-07-12,90.74
Libya,2020-07-13,90.74
Libya,2020-07-14,90.74
Libya,2020-07-15,90.74
Libya,2020-07-16,90.74
Libya,2020-07-17,90.74
Libya,2020-07-18,90.74
Libya,2020-07-19,90.74
Libya,2020-07-20,90.74
Libya,2020-07-21,90.74
Libya,2020-07-22,90.74
Libya,2020-07-23,90.74
Libya,2020-07-24,90.74
Libya,2020-07-25,90.74
Libya,2020-07-26,90.74
Libya,2020-07-27,87.96
Libya,2020-07-28,87.96
Libya,2020-07-29,87.96
Libya,2020-07-30,87.96
Libya,2020-07-31,87.96
Libya,2020-08-01,87.96
Libya,2020-08-02,87.96
Libya,2020-08-03,87.96
Libya,2020-08-04,87.96
Libya,2020-08-05,87.96
Libya,2020-08-06,87.96
Libya,2020-08-07,87.96
Libya,2020-08-08,87.96
Libya,2020-08-09,87.96
Libya,2020-08-10,87.96
Libya,2020-08-11,87.96
Libya,2020-08-12,87.96
Libya,2020-08-13,87.96
Libya,2020-08-14,87.96
Libya,2020-08-15,87.96
Libya,2020-08-16,87.96
Libya,2020-08-17,87.96
Libya,2020-08-18,87.96
Libya,2020-08-19,87.96
Libya,2020-08-20,87.96
Libya,2020-08-21,87.96
Libya,2020-08-22,87.96
Libya,2020-08-23,87.96
Libya,2020-08-24,87.96
Libya,2020-08-25,87.96
Libya,2020-08-26,89.81
Libya,2020-08-27,89.81
Libya,2020-08-28,89.81
Libya,2020-08-29,89.81
Libya,2020-08-30,89.81
Libya,2020-08-31,89.81
Libya,2020-09-01,86.11
Libya,2020-09-02,86.11
Libya,2020-09-03,86.11
Libya,2020-09-04,86.11
Libya,2020-09-05,86.11
Libya,2020-09-06,86.11
Libya,2020-09-07,86.11
Libya,2020-09-08,86.11
Libya,2020-09-09,86.11
Libya,2020-09-10,86.11
Libya,2020-09-11,86.11
Libya,2020-09-12,86.11
Libya,2020-09-13,86.11
Libya,2020-09-14,86.11
Libya,2020-09-15,86.11
Libya,2020-09-16,86.11
Libya,2020-09-17,86.11
Libya,2020-09-18,86.11
Libya,2020-09-19,86.11
Libya,2020-09-20,86.11
Libya,2020-09-21,86.11
Libya,2020-09-22,86.11
Libya,2020-09-23,86.11
Libya,2020-09-24,86.11
