Entity,Date,Stringency Index (OxBSG)
Madagascar,2020-01-01,0.0
Madagascar,2020-01-02,0.0
Madagascar,2020-01-03,0.0
Madagascar,2020-01-04,0.0
Madagascar,2020-01-05,0.0
Madagascar,2020-01-06,0.0
Madagascar,2020-01-07,0.0
Madagascar,2020-01-08,0.0
Madagascar,2020-01-09,0.0
Madagascar,2020-01-10,0.0
Madagascar,2020-01-11,0.0
Madagascar,2020-01-12,0.0
Madagascar,2020-01-13,0.0
Madagascar,2020-01-14,0.0
Madagascar,2020-01-15,0.0
Madagascar,2020-01-16,0.0
Madagascar,2020-01-17,0.0
Madagascar,2020-01-18,0.0
Madagascar,2020-01-19,0.0
Madagascar,2020-01-20,0.0
Madagascar,2020-01-21,0.0
Madagascar,2020-01-22,0.0
Madagascar,2020-01-23,0.0
Madagascar,2020-01-24,0.0
Madagascar,2020-01-25,0.0
Madagascar,2020-01-26,0.0
Madagascar,2020-01-27,0.0
Madagascar,2020-01-28,0.0
Madagascar,2020-01-29,0.0
Madagascar,2020-01-30,0.0
Madagascar,2020-01-31,0.0
Madagascar,2020-02-01,0.0
Madagascar,2020-02-02,0.0
Madagascar,2020-02-03,0.0
Madagascar,2020-02-04,0.0
Madagascar,2020-02-05,0.0
Madagascar,2020-02-06,0.0
Madagascar,2020-02-07,0.0
Madagascar,2020-02-08,0.0
Madagascar,2020-02-09,0.0
Madagascar,2020-02-10,0.0
Madagascar,2020-02-11,0.0
Madagascar,2020-02-12,0.0
Madagascar,2020-02-13,0.0
Madagascar,2020-02-14,0.0
Madagascar,2020-02-15,0.0
Madagascar,2020-02-16,0.0
Madagascar,2020-02-17,0.0
Madagascar,2020-02-18,0.0
Madagascar,2020-02-19,0.0
Madagascar,2020-02-20,0.0
Madagascar,2020-02-21,0.0
Madagascar,2020-02-22,0.0
Madagascar,2020-02-23,0.0
Madagascar,2020-02-24,0.0
Madagascar,2020-02-25,0.0
Madagascar,2020-02-26,0.0
Madagascar,2020-02-27,0.0
Madagascar,2020-02-28,0.0
Madagascar,2020-02-29,0.0
Madagascar,2020-03-01,0.0
Madagascar,2020-03-02,0.0
Madagascar,2020-03-03,0.0
Madagascar,2020-03-04,0.0
Madagascar,2020-03-05,0.0
Madagascar,2020-03-06,0.0
Madagascar,2020-03-07,0.0
Madagascar,2020-03-08,0.0
Madagascar,2020-03-09,0.0
Madagascar,2020-03-10,0.0
Madagascar,2020-03-11,0.0
Madagascar,2020-03-12,0.0
Madagascar,2020-03-13,0.0
Madagascar,2020-03-14,0.0
Madagascar,2020-03-15,8.33
Madagascar,2020-03-16,8.33
Madagascar,2020-03-17,8.33
Madagascar,2020-03-18,19.44
Madagascar,2020-03-19,19.44
Madagascar,2020-03-20,22.22
Madagascar,2020-03-21,82.41
Madagascar,2020-03-22,82.41
Madagascar,2020-03-23,91.67
Madagascar,2020-03-24,91.67
Madagascar,2020-03-25,91.67
Madagascar,2020-03-26,91.67
Madagascar,2020-03-27,91.67
Madagascar,2020-03-28,91.67
Madagascar,2020-03-29,91.67
Madagascar,2020-03-30,91.67
Madagascar,2020-03-31,91.67
Madagascar,2020-04-01,91.67
Madagascar,2020-04-02,91.67
Madagascar,2020-04-03,91.67
Madagascar,2020-04-04,91.67
Madagascar,2020-04-05,95.37
Madagascar,2020-04-06,95.37
Madagascar,2020-04-07,95.37
Madagascar,2020-04-08,95.37
Madagascar,2020-04-09,95.37
Madagascar,2020-04-10,95.37
Madagascar,2020-04-11,95.37
Madagascar,2020-04-12,95.37
Madagascar,2020-04-13,95.37
Madagascar,2020-04-14,95.37
Madagascar,2020-04-15,95.37
Madagascar,2020-04-16,95.37
Madagascar,2020-04-17,95.37
Madagascar,2020-04-18,95.37
Madagascar,2020-04-19,95.37
Madagascar,2020-04-20,72.22
Madagascar,2020-04-21,72.22
Madagascar,2020-04-22,70.37
Madagascar,2020-04-23,70.37
Madagascar,2020-04-24,70.37
Madagascar,2020-04-25,70.37
Madagascar,2020-04-26,70.37
Madagascar,2020-04-27,67.59
Madagascar,2020-04-28,67.59
Madagascar,2020-04-29,67.59
Madagascar,2020-04-30,67.59
Madagascar,2020-05-01,67.59
Madagascar,2020-05-02,67.59
Madagascar,2020-05-03,67.59
Madagascar,2020-05-04,67.59
Madagascar,2020-05-05,67.59
Madagascar,2020-05-06,67.59
Madagascar,2020-05-07,67.59
Madagascar,2020-05-08,67.59
Madagascar,2020-05-09,67.59
Madagascar,2020-05-10,67.59
Madagascar,2020-05-11,67.59
Madagascar,2020-05-12,70.37
Madagascar,2020-05-13,70.37
Madagascar,2020-05-14,70.37
Madagascar,2020-05-15,70.37
Madagascar,2020-05-16,70.37
Madagascar,2020-05-17,70.37
Madagascar,2020-05-18,70.37
Madagascar,2020-05-19,70.37
Madagascar,2020-05-20,70.37
Madagascar,2020-05-21,70.37
Madagascar,2020-05-22,70.37
Madagascar,2020-05-23,70.37
Madagascar,2020-05-24,70.37
Madagascar,2020-05-25,70.37
Madagascar,2020-05-26,70.37
Madagascar,2020-05-27,70.37
Madagascar,2020-05-28,70.37
Madagascar,2020-05-29,70.37
Madagascar,2020-05-30,70.37
Madagascar,2020-05-31,70.37
Madagascar,2020-06-01,70.37
Madagascar,2020-06-02,70.37
Madagascar,2020-06-03,70.37
Madagascar,2020-06-04,70.37
Madagascar,2020-06-05,70.37
Madagascar,2020-06-06,70.37
Madagascar,2020-06-07,70.37
Madagascar,2020-06-08,70.37
Madagascar,2020-06-09,70.37
Madagascar,2020-06-10,70.37
Madagascar,2020-06-11,70.37
Madagascar,2020-06-12,70.37
Madagascar,2020-06-13,70.37
Madagascar,2020-06-14,70.37
Madagascar,2020-06-15,70.37
Madagascar,2020-06-16,70.37
Madagascar,2020-06-17,70.37
Madagascar,2020-06-18,70.37
Madagascar,2020-06-19,70.37
Madagascar,2020-06-20,70.37
Madagascar,2020-06-21,70.37
Madagascar,2020-06-22,70.37
Madagascar,2020-06-23,70.37
Madagascar,2020-06-24,70.37
Madagascar,2020-06-25,70.37
Madagascar,2020-06-26,70.37
Madagascar,2020-06-27,68.98
Madagascar,2020-06-28,68.98
Madagascar,2020-06-29,68.98
