Entity,Date,Stringency Index (OxBSG)
Malaysia,2020-01-01,0.0
Malaysia,2020-01-02,0.0
Malaysia,2020-01-03,0.0
Malaysia,2020-01-04,0.0
Malaysia,2020-01-05,0.0
Malaysia,2020-01-06,0.0
Malaysia,2020-01-07,0.0
Malaysia,2020-01-08,0.0
Malaysia,2020-01-09,0.0
Malaysia,2020-01-10,0.0
Malaysia,2020-01-11,0.0
Malaysia,2020-01-12,0.0
Malaysia,2020-01-13,0.0
Malaysia,2020-01-14,0.0
Malaysia,2020-01-15,0.0
Malaysia,2020-01-16,11.11
Malaysia,2020-01-17,11.11
Malaysia,2020-01-18,11.11
Malaysia,2020-01-19,11.11
Malaysia,2020-01-20,11.11
Malaysia,2020-01-21,11.11
Malaysia,2020-01-22,11.11
Malaysia,2020-01-23,11.11
Malaysia,2020-01-24,11.11
Malaysia,2020-01-25,11.11
Malaysia,2020-01-26,11.11
Malaysia,2020-01-27,11.11
Malaysia,2020-01-28,11.11
Malaysia,2020-01-29,11.11
Malaysia,2020-01-30,19.44
Malaysia,2020-01-31,19.44
Malaysia,2020-02-01,19.44
Malaysia,2020-02-02,19.44
Malaysia,2020-02-03,19.44
Malaysia,2020-02-04,19.44
Malaysia,2020-02-05,19.44
Malaysia,2020-02-06,19.44
Malaysia,2020-02-07,19.44
Malaysia,2020-02-08,19.44
Malaysia,2020-02-09,19.44
Malaysia,2020-02-10,19.44
Malaysia,2020-02-11,19.44
Malaysia,2020-02-12,19.44
Malaysia,2020-02-13,19.44
Malaysia,2020-02-14,19.44
Malaysia,2020-02-15,19.44
Malaysia,2020-02-16,19.44
Malaysia,2020-02-17,19.44
Malaysia,2020-02-18,19.44
Malaysia,2020-02-19,19.44
Malaysia,2020-02-20,19.44
Malaysia,2020-02-21,19.44
Malaysia,2020-02-22,19.44
Malaysia,2020-02-23,19.44
Malaysia,2020-02-24,19.44
Malaysia,2020-02-25,19.44
Malaysia,2020-02-26,19.44
Malaysia,2020-02-27,19.44
Malaysia,2020-02-28,19.44
Malaysia,2020-02-29,19.44
Malaysia,2020-03-01,19.44
Malaysia,2020-03-02,19.44
Malaysia,2020-03-03,19.44
Malaysia,2020-03-04,19.44
Malaysia,2020-03-05,19.44
Malaysia,2020-03-06,19.44
Malaysia,2020-03-07,22.22
Malaysia,2020-03-08,22.22
Malaysia,2020-03-09,22.22
Malaysia,2020-03-10,22.22
Malaysia,2020-03-11,22.22
Malaysia,2020-03-12,27.78
Malaysia,2020-03-13,27.78
Malaysia,2020-03-14,31.48
Malaysia,2020-03-15,31.48
Malaysia,2020-03-16,31.48
Malaysia,2020-03-17,31.48
Malaysia,2020-03-18,73.15
Malaysia,2020-03-19,73.15
Malaysia,2020-03-20,73.15
Malaysia,2020-03-21,73.15
Malaysia,2020-03-22,73.15
Malaysia,2020-03-23,73.15
Malaysia,2020-03-24,73.15
Malaysia,2020-03-25,73.15
Malaysia,2020-03-26,73.15
Malaysia,2020-03-27,73.15
Malaysia,2020-03-28,73.15
Malaysia,2020-03-29,73.15
Malaysia,2020-03-30,73.15
Malaysia,2020-03-31,73.15
Malaysia,2020-04-01,73.15
Malaysia,2020-04-02,73.15
Malaysia,2020-04-03,73.15
Malaysia,2020-04-04,73.15
Malaysia,2020-04-05,73.15
Malaysia,2020-04-06,73.15
Malaysia,2020-04-07,73.15
Malaysia,2020-04-08,73.15
Malaysia,2020-04-09,73.15
Malaysia,2020-04-10,73.15
Malaysia,2020-04-11,73.15
Malaysia,2020-04-12,73.15
Malaysia,2020-04-13,73.15
Malaysia,2020-04-14,73.15
Malaysia,2020-04-15,73.15
Malaysia,2020-04-16,73.15
Malaysia,2020-04-17,73.15
Malaysia,2020-04-18,73.15
Malaysia,2020-04-19,73.15
Malaysia,2020-04-20,73.15
Malaysia,2020-04-21,73.15
Malaysia,2020-04-22,73.15
Malaysia,2020-04-23,73.15
Malaysia,2020-04-24,73.15
Malaysia,2020-04-25,73.15
Malaysia,2020-04-26,73.15
Malaysia,2020-04-27,73.15
Malaysia,2020-04-28,73.15
