Entity,Date,Stringency Index (OxBSG)
Netherlands,2020-01-01,0.0
Netherlands,2020-01-02,0.0
Netherlands,2020-01-03,0.0
Netherlands,2020-01-04,0.0
Netherlands,2020-01-05,0.0
Netherlands,2020-01-06,0.0
Netherlands,2020-01-07,0.0
Netherlands,2020-01-08,0.0
Netherlands,2020-01-09,0.0
Netherlands,2020-01-10,0.0
Netherlands,2020-01-11,0.0
Netherlands,2020-01-12,0.0
Netherlands,2020-01-13,0.0
Netherlands,2020-01-14,0.0
Netherlands,2020-01-15,0.0
Netherlands,2020-01-16,0.0
Netherlands,2020-01-17,0.0
Netherlands,2020-01-18,0.0
Netherlands,2020-01-19,0.0
Netherlands,2020-01-20,0.0
Netherlands,2020-01-21,0.0
Netherlands,2020-01-22,0.0
Netherlands,2020-01-23,0.0
Netherlands,2020-01-24,0.0
Netherlands,2020-01-25,0.0
Netherlands,2020-01-26,0.0
Netherlands,2020-01-27,0.0
Netherlands,2020-01-28,0.0
Netherlands,2020-01-29,0.0
Netherlands,2020-01-30,0.0
Netherlands,2020-01-31,0.0
Netherlands,2020-02-01,0.0
Netherlands,2020-02-02,0.0
Netherlands,2020-02-03,0.0
Netherlands,2020-02-04,0.0
Netherlands,2020-02-05,0.0
Netherlands,2020-02-06,0.0
Netherlands,2020-02-07,0.0
Netherlands,2020-02-08,0.0
Netherlands,2020-02-09,0.0
Netherlands,2020-02-10,0.0
Netherlands,2020-02-11,0.0
Netherlands,2020-02-12,0.0
Netherlands,2020-02-13,0.0
Netherlands,2020-02-14,0.0
Netherlands,2020-02-15,0.0
Netherlands,2020-02-16,0.0
Netherlands,2020-02-17,0.0
Netherlands,2020-02-18,0.0
Netherlands,2020-02-19,0.0
Netherlands,2020-02-20,0.0
Netherlands,2020-02-21,0.0
Netherlands,2020-02-22,0.0
Netherlands,2020-02-23,0.0
Netherlands,2020-02-24,0.0
Netherlands,2020-02-25,0.0
Netherlands,2020-02-26,0.0
Netherlands,2020-02-27,0.0
Netherlands,2020-02-28,0.0
Netherlands,2020-02-29,0.0
Netherlands,2020-03-01,0.0
Netherlands,2020-03-02,0.0
Netherlands,2020-03-03,0.0
Netherlands,2020-03-04,0.0
Netherlands,2020-03-05,0.0
Netherlands,2020-03-06,1.85
Netherlands,2020-03-07,1.85
Netherlands,2020-03-08,1.85
Netherlands,2020-03-09,10.19
Netherlands,2020-03-10,18.52
Netherlands,2020-03-11,18.52
Netherlands,2020-03-12,41.67
Netherlands,2020-03-13,41.67
Netherlands,2020-03-14,41.67
Netherlands,2020-03-15,54.63
Netherlands,2020-03-16,62.04
Netherlands,2020-03-17,62.04
Netherlands,2020-03-18,62.04
Netherlands,2020-03-19,70.37
Netherlands,2020-03-20,70.37
Netherlands,2020-03-21,70.37
Netherlands,2020-03-22,70.37
Netherlands,2020-03-23,74.07
Netherlands,2020-03-24,74.07
Netherlands,2020-03-25,74.07
Netherlands,2020-03-26,74.07
Netherlands,2020-03-27,74.07
Netherlands,2020-03-28,74.07
Netherlands,2020-03-29,74.07
Netherlands,2020-03-30,74.07
Netherlands,2020-03-31,79.63
Netherlands,2020-04-01,79.63
Netherlands,2020-04-02,79.63
Netherlands,2020-04-03,79.63
Netherlands,2020-04-04,79.63
Netherlands,2020-04-05,79.63
Netherlands,2020-04-06,79.63
Netherlands,2020-04-07,79.63
Netherlands,2020-04-08,79.63
Netherlands,2020-04-09,79.63
Netherlands,2020-04-10,79.63
Netherlands,2020-04-11,79.63
Netherlands,2020-04-12,79.63
Netherlands,2020-04-13,79.63
Netherlands,2020-04-14,79.63
Netherlands,2020-04-15,79.63
Netherlands,2020-04-16,79.63
Netherlands,2020-04-17,79.63
Netherlands,2020-04-18,79.63
Netherlands,2020-04-19,79.63
Netherlands,2020-04-20,79.63
Netherlands,2020-04-21,79.63
Netherlands,2020-04-22,79.63
Netherlands,2020-04-23,79.63
Netherlands,2020-04-24,79.63
Netherlands,2020-04-25,79.63
Netherlands,2020-04-26,79.63
Netherlands,2020-04-27,79.63
Netherlands,2020-04-28,79.63
Netherlands,2020-04-29,79.63
Netherlands,2020-04-30,79.63
Netherlands,2020-05-01,79.63
Netherlands,2020-05-02,79.63
Netherlands,2020-05-03,79.63
Netherlands,2020-05-04,79.63
Netherlands,2020-05-05,79.63
Netherlands,2020-05-06,79.63
Netherlands,2020-05-07,79.63
Netherlands,2020-05-08,79.63
Netherlands,2020-05-09,79.63
Netherlands,2020-05-10,79.63
Netherlands,2020-05-11,68.52
Netherlands,2020-05-12,68.52
Netherlands,2020-05-13,68.52
Netherlands,2020-05-14,68.52
Netherlands,2020-05-15,68.52
Netherlands,2020-05-16,68.52
Netherlands,2020-05-17,68.52
Netherlands,2020-05-18,68.52
Netherlands,2020-05-19,68.52
Netherlands,2020-05-20,68.52
Netherlands,2020-05-21,68.52
Netherlands,2020-05-22,68.52
Netherlands,2020-05-23,68.52
Netherlands,2020-05-24,68.52
Netherlands,2020-05-25,68.52
Netherlands,2020-05-26,68.52
Netherlands,2020-05-27,68.52
Netherlands,2020-05-28,68.52
Netherlands,2020-05-29,68.52
Netherlands,2020-05-30,68.52
Netherlands,2020-05-31,68.52
Netherlands,2020-06-01,62.96
Netherlands,2020-06-02,62.96
Netherlands,2020-06-03,62.96
Netherlands,2020-06-04,62.96
Netherlands,2020-06-05,62.96
Netherlands,2020-06-06,62.96
Netherlands,2020-06-07,62.96
Netherlands,2020-06-08,62.96
Netherlands,2020-06-09,62.96
Netherlands,2020-06-10,62.96
Netherlands,2020-06-11,62.96
Netherlands,2020-06-12,62.96
Netherlands,2020-06-13,62.96
Netherlands,2020-06-14,62.96
Netherlands,2020-06-15,59.26
Netherlands,2020-06-16,59.26
Netherlands,2020-06-17,59.26
Netherlands,2020-06-18,59.26
Netherlands,2020-06-19,59.26
Netherlands,2020-06-20,59.26
Netherlands,2020-06-21,59.26
Netherlands,2020-06-22,59.26
Netherlands,2020-06-23,59.26
Netherlands,2020-06-24,59.26
Netherlands,2020-06-25,59.26
Netherlands,2020-06-26,59.26
Netherlands,2020-06-27,59.26
Netherlands,2020-06-28,59.26
Netherlands,2020-06-29,59.26
Netherlands,2020-06-30,59.26
Netherlands,2020-07-01,39.81
Netherlands,2020-07-02,39.81
Netherlands,2020-07-03,39.81
Netherlands,2020-07-04,39.81
Netherlands,2020-07-05,39.81
Netherlands,2020-07-06,39.81
Netherlands,2020-07-07,39.81
