Entity,Date,Stringency Index (OxBSG)
New Zealand,2020-01-01,0.0
New Zealand,2020-01-02,0.0
New Zealand,2020-01-03,0.0
New Zealand,2020-01-04,0.0
New Zealand,2020-01-05,0.0
New Zealand,2020-01-06,0.0
New Zealand,2020-01-07,0.0
New Zealand,2020-01-08,0.0
New Zealand,2020-01-09,0.0
New Zealand,2020-01-10,0.0
New Zealand,2020-01-11,0.0
New Zealand,2020-01-12,0.0
New Zealand,2020-01-13,0.0
New Zealand,2020-01-14,0.0
New Zealand,2020-01-15,0.0
New Zealand,2020-01-16,0.0
New Zealand,2020-01-17,0.0
New Zealand,2020-01-18,0.0
New Zealand,2020-01-19,0.0
New Zealand,2020-01-20,0.0
New Zealand,2020-01-21,0.0
New Zealand,2020-01-22,11.11
New Zealand,2020-01-23,11.11
New Zealand,2020-01-24,11.11
New Zealand,2020-01-25,11.11
New Zealand,2020-01-26,11.11
New Zealand,2020-01-27,11.11
New Zealand,2020-01-28,11.11
New Zealand,2020-01-29,11.11
New Zealand,2020-01-30,11.11
New Zealand,2020-01-31,11.11
New Zealand,2020-02-01,11.11
New Zealand,2020-02-02,19.44
New Zealand,2020-02-03,19.44
New Zealand,2020-02-04,19.44
New Zealand,2020-02-05,19.44
New Zealand,2020-02-06,19.44
New Zealand,2020-02-07,19.44
New Zealand,2020-02-08,19.44
New Zealand,2020-02-09,19.44
New Zealand,2020-02-10,19.44
New Zealand,2020-02-11,19.44
New Zealand,2020-02-12,19.44
New Zealand,2020-02-13,19.44
New Zealand,2020-02-14,19.44
New Zealand,2020-02-15,19.44
New Zealand,2020-02-16,19.44
New Zealand,2020-02-17,19.44
New Zealand,2020-02-18,19.44
New Zealand,2020-02-19,19.44
New Zealand,2020-02-20,19.44
New Zealand,2020-02-21,19.44
New Zealand,2020-02-22,19.44
New Zealand,2020-02-23,19.44
New Zealand,2020-02-24,19.44
New Zealand,2020-02-25,19.44
New Zealand,2020-02-26,19.44
New Zealand,2020-02-27,19.44
New Zealand,2020-02-28,19.44
New Zealand,2020-02-29,19.44
New Zealand,2020-03-01,19.44
New Zealand,2020-03-02,19.44
New Zealand,2020-03-03,19.44
New Zealand,2020-03-04,19.44
New Zealand,2020-03-05,19.44
New Zealand,2020-03-06,19.44
New Zealand,2020-03-07,19.44
New Zealand,2020-03-08,19.44
New Zealand,2020-03-09,19.44
New Zealand,2020-03-10,19.44
New Zealand,2020-03-11,19.44
New Zealand,2020-03-12,19.44
New Zealand,2020-03-13,19.44
New Zealand,2020-03-14,19.44
New Zealand,2020-03-15,19.44
New Zealand,2020-03-16,36.11
New Zealand,2020-03-17,36.11
New Zealand,2020-03-18,36.11
New Zealand,2020-03-19,36.11
New Zealand,2020-03-20,38.89
New Zealand,2020-03-21,58.33
New Zealand,2020-03-22,58.33
New Zealand,2020-03-23,79.63
New Zealand,2020-03-24,87.04
New Zealand,2020-03-25,90.74
New Zealand,2020-03-26,96.3
New Zealand,2020-03-27,96.3
New Zealand,2020-03-28,96.3
New Zealand,2020-03-29,96.3
New Zealand,2020-03-30,96.3
New Zealand,2020-03-31,96.3
New Zealand,2020-04-01,96.3
New Zealand,2020-04-02,96.3
New Zealand,2020-04-03,96.3
New Zealand,2020-04-04,96.3
New Zealand,2020-04-05,96.3
New Zealand,2020-04-06,96.3
New Zealand,2020-04-07,96.3
New Zealand,2020-04-08,96.3
New Zealand,2020-04-09,96.3
New Zealand,2020-04-10,96.3
New Zealand,2020-04-11,96.3
New Zealand,2020-04-12,96.3
New Zealand,2020-04-13,96.3
New Zealand,2020-04-14,96.3
New Zealand,2020-04-15,96.3
New Zealand,2020-04-16,96.3
New Zealand,2020-04-17,96.3
New Zealand,2020-04-18,96.3
New Zealand,2020-04-19,96.3
New Zealand,2020-04-20,96.3
New Zealand,2020-04-21,96.3
New Zealand,2020-04-22,96.3
New Zealand,2020-04-23,96.3
New Zealand,2020-04-24,96.3
New Zealand,2020-04-25,96.3
New Zealand,2020-04-26,96.3
New Zealand,2020-04-27,96.3
New Zealand,2020-04-28,87.04
New Zealand,2020-04-29,83.33
New Zealand,2020-04-30,83.33
New Zealand,2020-05-01,83.33
New Zealand,2020-05-02,83.33
New Zealand,2020-05-03,83.33
New Zealand,2020-05-04,83.33
New Zealand,2020-05-05,83.33
New Zealand,2020-05-06,83.33
New Zealand,2020-05-07,83.33
New Zealand,2020-05-08,83.33
New Zealand,2020-05-09,83.33
New Zealand,2020-05-10,83.33
New Zealand,2020-05-11,83.33
New Zealand,2020-05-12,83.33
New Zealand,2020-05-13,83.33
New Zealand,2020-05-14,39.81
New Zealand,2020-05-15,39.81
New Zealand,2020-05-16,39.81
New Zealand,2020-05-17,39.81
New Zealand,2020-05-18,39.81
New Zealand,2020-05-19,39.81
New Zealand,2020-05-20,39.81
New Zealand,2020-05-21,39.81
New Zealand,2020-05-22,39.81
New Zealand,2020-05-23,39.81
New Zealand,2020-05-24,39.81
New Zealand,2020-05-25,39.81
New Zealand,2020-05-26,39.81
New Zealand,2020-05-27,39.81
New Zealand,2020-05-28,39.81
New Zealand,2020-05-29,37.04
New Zealand,2020-05-30,37.04
New Zealand,2020-05-31,37.04
New Zealand,2020-06-01,37.04
New Zealand,2020-06-02,37.04
New Zealand,2020-06-03,37.04
New Zealand,2020-06-04,37.04
New Zealand,2020-06-05,37.04
New Zealand,2020-06-06,37.04
New Zealand,2020-06-07,37.04
New Zealand,2020-06-08,25.93
New Zealand,2020-06-09,25.93
New Zealand,2020-06-10,25.93
New Zealand,2020-06-11,25.93
New Zealand,2020-06-12,25.93
New Zealand,2020-06-13,25.93
New Zealand,2020-06-14,25.93
New Zealand,2020-06-15,25.93
New Zealand,2020-06-16,25.93
New Zealand,2020-06-17,25.93
New Zealand,2020-06-18,25.93
New Zealand,2020-06-19,25.93
New Zealand,2020-06-20,25.93
New Zealand,2020-06-21,25.93
New Zealand,2020-06-22,25.93
New Zealand,2020-06-23,25.93
New Zealand,2020-06-24,25.93
New Zealand,2020-06-25,25.93
New Zealand,2020-06-26,25.93
New Zealand,2020-06-27,22.22
New Zealand,2020-06-28,22.22
New Zealand,2020-06-29,22.22
New Zealand,2020-06-30,22.22
New Zealand,2020-07-01,22.22
New Zealand,2020-07-02,22.22
New Zealand,2020-07-03,22.22
New Zealand,2020-07-04,22.22
New Zealand,2020-07-05,22.22
New Zealand,2020-07-06,22.22
New Zealand,2020-07-07,22.22
New Zealand,2020-07-08,22.22
New Zealand,2020-07-09,22.22
New Zealand,2020-07-10,22.22
New Zealand,2020-07-11,22.22
New Zealand,2020-07-12,22.22
New Zealand,2020-07-13,22.22
New Zealand,2020-07-14,22.22
New Zealand,2020-07-15,22.22
New Zealand,2020-07-16,22.22
New Zealand,2020-07-17,22.22
New Zealand,2020-07-18,22.22
New Zealand,2020-07-19,22.22
New Zealand,2020-07-20,22.22
New Zealand,2020-07-21,22.22
New Zealand,2020-07-22,22.22
New Zealand,2020-07-23,22.22
New Zealand,2020-07-24,22.22
New Zealand,2020-07-25,22.22
New Zealand,2020-07-26,22.22
New Zealand,2020-07-27,22.22
New Zealand,2020-07-28,22.22
New Zealand,2020-07-29,22.22
New Zealand,2020-07-30,22.22
New Zealand,2020-07-31,22.22
New Zealand,2020-08-01,22.22
New Zealand,2020-08-02,22.22
New Zealand,2020-08-03,22.22
New Zealand,2020-08-04,22.22
New Zealand,2020-08-05,22.22
New Zealand,2020-08-06,22.22
New Zealand,2020-08-07,22.22
New Zealand,2020-08-08,22.22
New Zealand,2020-08-09,22.22
New Zealand,2020-08-10,22.22
New Zealand,2020-08-11,22.22
New Zealand,2020-08-12,68.98
New Zealand,2020-08-13,68.98
New Zealand,2020-08-14,68.98
New Zealand,2020-08-15,68.98
New Zealand,2020-08-16,68.98
New Zealand,2020-08-17,68.98
New Zealand,2020-08-18,68.98
New Zealand,2020-08-19,68.98
New Zealand,2020-08-20,68.98
New Zealand,2020-08-21,68.98
New Zealand,2020-08-22,68.98
New Zealand,2020-08-23,68.98
New Zealand,2020-08-24,68.98
New Zealand,2020-08-25,68.98
New Zealand,2020-08-26,68.98
New Zealand,2020-08-27,68.98
New Zealand,2020-08-28,68.98
New Zealand,2020-08-29,68.98
New Zealand,2020-08-30,68.98
New Zealand,2020-08-31,40.28
New Zealand,2020-09-01,34.72
New Zealand,2020-09-02,34.72
New Zealand,2020-09-03,34.72
New Zealand,2020-09-04,34.72
New Zealand,2020-09-05,34.72
New Zealand,2020-09-06,34.72
New Zealand,2020-09-07,34.72
New Zealand,2020-09-08,34.72
New Zealand,2020-09-09,34.72
New Zealand,2020-09-10,34.72
New Zealand,2020-09-11,34.72
New Zealand,2020-09-12,34.72
New Zealand,2020-09-13,34.72
New Zealand,2020-09-14,34.72
New Zealand,2020-09-15,34.72
New Zealand,2020-09-16,34.72
New Zealand,2020-09-17,34.72
New Zealand,2020-09-18,34.72
New Zealand,2020-09-19,34.72
New Zealand,2020-09-20,34.72
New Zealand,2020-09-21,34.72
New Zealand,2020-09-22,34.72
New Zealand,2020-09-23,31.94
New Zealand,2020-09-24,31.94
New Zealand,2020-09-25,31.94
New Zealand,2020-09-26,31.94
New Zealand,2020-09-27,31.94
New Zealand,2020-09-28,31.94
New Zealand,2020-09-29,31.94
New Zealand,2020-09-30,31.94
New Zealand,2020-10-01,31.94
New Zealand,2020-10-02,31.94
New Zealand,2020-10-03,31.94
New Zealand,2020-10-04,31.94
New Zealand,2020-10-05,31.94
New Zealand,2020-10-06,31.94
New Zealand,2020-10-07,22.22
New Zealand,2020-10-08,22.22
New Zealand,2020-10-09,22.22
New Zealand,2020-10-10,22.22
New Zealand,2020-10-11,22.22
New Zealand,2020-10-12,22.22
New Zealand,2020-10-13,22.22
New Zealand,2020-10-14,22.22
New Zealand,2020-10-15,22.22
New Zealand,2020-10-16,22.22
New Zealand,2020-10-17,22.22
New Zealand,2020-10-18,22.22
New Zealand,2020-10-19,22.22
New Zealand,2020-10-20,22.22
New Zealand,2020-10-21,22.22
New Zealand,2020-10-22,22.22
New Zealand,2020-10-23,22.22
New Zealand,2020-10-24,22.22
New Zealand,2020-10-25,22.22
New Zealand,2020-10-26,22.22
New Zealand,2020-10-27,22.22
New Zealand,2020-10-28,22.22
New Zealand,2020-10-29,22.22
New Zealand,2020-10-30,22.22
New Zealand,2020-10-31,22.22
New Zealand,2020-11-01,22.22
