Entity,Date,Stringency Index (OxBSG)
Nicaragua,2020-01-01,0.0
Nicaragua,2020-01-02,0.0
Nicaragua,2020-01-03,0.0
Nicaragua,2020-01-04,0.0
Nicaragua,2020-01-05,0.0
Nicaragua,2020-01-06,0.0
Nicaragua,2020-01-07,0.0
Nicaragua,2020-01-08,0.0
Nicaragua,2020-01-09,0.0
Nicaragua,2020-01-10,0.0
Nicaragua,2020-01-11,0.0
Nicaragua,2020-01-12,0.0
Nicaragua,2020-01-13,0.0
Nicaragua,2020-01-14,0.0
Nicaragua,2020-01-15,0.0
Nicaragua,2020-01-16,0.0
Nicaragua,2020-01-17,0.0
Nicaragua,2020-01-18,0.0
Nicaragua,2020-01-19,0.0
Nicaragua,2020-01-20,0.0
Nicaragua,2020-01-21,0.0
Nicaragua,2020-01-22,0.0
Nicaragua,2020-01-23,0.0
Nicaragua,2020-01-24,0.0
Nicaragua,2020-01-25,0.0
Nicaragua,2020-01-26,0.0
Nicaragua,2020-01-27,0.0
Nicaragua,2020-01-28,0.0
Nicaragua,2020-01-29,0.0
Nicaragua,2020-01-30,0.0
Nicaragua,2020-01-31,0.0
Nicaragua,2020-02-01,0.0
Nicaragua,2020-02-02,0.0
Nicaragua,2020-02-03,0.0
Nicaragua,2020-02-04,0.0
Nicaragua,2020-02-05,0.0
Nicaragua,2020-02-06,0.0
Nicaragua,2020-02-07,0.0
Nicaragua,2020-02-08,0.0
Nicaragua,2020-02-09,0.0
Nicaragua,2020-02-10,0.0
Nicaragua,2020-02-11,0.0
Nicaragua,2020-02-12,0.0
Nicaragua,2020-02-13,0.0
Nicaragua,2020-02-14,0.0
Nicaragua,2020-02-15,0.0
Nicaragua,2020-02-16,0.0
Nicaragua,2020-02-17,0.0
Nicaragua,2020-02-18,0.0
Nicaragua,2020-02-19,0.0
Nicaragua,2020-02-20,0.0
Nicaragua,2020-02-21,2.78
Nicaragua,2020-02-22,2.78
Nicaragua,2020-02-23,2.78
Nicaragua,2020-02-24,2.78
Nicaragua,2020-02-25,8.33
Nicaragua,2020-02-26,8.33
Nicaragua,2020-02-27,8.33
Nicaragua,2020-02-28,8.33
Nicaragua,2020-02-29,8.33
Nicaragua,2020-03-01,8.33
Nicaragua,2020-03-02,8.33
Nicaragua,2020-03-03,8.33
Nicaragua,2020-03-04,8.33
Nicaragua,2020-03-05,8.33
Nicaragua,2020-03-06,8.33
Nicaragua,2020-03-07,8.33
Nicaragua,2020-03-08,8.33
Nicaragua,2020-03-09,8.33
Nicaragua,2020-03-10,8.33
Nicaragua,2020-03-11,8.33
Nicaragua,2020-03-12,8.33
Nicaragua,2020-03-13,8.33
Nicaragua,2020-03-14,8.33
Nicaragua,2020-03-15,8.33
Nicaragua,2020-03-16,8.33
Nicaragua,2020-03-17,8.33
Nicaragua,2020-03-18,8.33
Nicaragua,2020-03-19,8.33
Nicaragua,2020-03-20,8.33
Nicaragua,2020-03-21,8.33
Nicaragua,2020-03-22,8.33
Nicaragua,2020-03-23,8.33
Nicaragua,2020-03-24,8.33
Nicaragua,2020-03-25,8.33
Nicaragua,2020-03-26,8.33
Nicaragua,2020-03-27,8.33
Nicaragua,2020-03-28,8.33
Nicaragua,2020-03-29,8.33
Nicaragua,2020-03-30,8.33
Nicaragua,2020-03-31,8.33
Nicaragua,2020-04-01,8.33
Nicaragua,2020-04-02,8.33
Nicaragua,2020-04-03,8.33
Nicaragua,2020-04-04,8.33
Nicaragua,2020-04-05,8.33
Nicaragua,2020-04-06,8.33
Nicaragua,2020-04-07,8.33
Nicaragua,2020-04-08,8.33
Nicaragua,2020-04-09,8.33
Nicaragua,2020-04-10,8.33
Nicaragua,2020-04-11,8.33
Nicaragua,2020-04-12,8.33
Nicaragua,2020-04-13,8.33
Nicaragua,2020-04-14,8.33
Nicaragua,2020-04-15,16.67
Nicaragua,2020-04-16,16.67
Nicaragua,2020-04-17,16.67
Nicaragua,2020-04-18,16.67
Nicaragua,2020-04-19,16.67
Nicaragua,2020-04-20,16.67
Nicaragua,2020-04-21,16.67
Nicaragua,2020-04-22,16.67
Nicaragua,2020-04-23,16.67
Nicaragua,2020-04-24,16.67
Nicaragua,2020-04-25,16.67
Nicaragua,2020-04-26,16.67
Nicaragua,2020-04-27,16.67
Nicaragua,2020-04-28,16.67
Nicaragua,2020-04-29,16.67
Nicaragua,2020-04-30,16.67
Nicaragua,2020-05-01,16.67
Nicaragua,2020-05-02,16.67
Nicaragua,2020-05-03,16.67
Nicaragua,2020-05-04,16.67
Nicaragua,2020-05-05,16.67
Nicaragua,2020-05-06,16.67
Nicaragua,2020-05-07,11.11
Nicaragua,2020-05-08,11.11
Nicaragua,2020-05-09,11.11
Nicaragua,2020-05-10,11.11
Nicaragua,2020-05-11,11.11
Nicaragua,2020-05-12,11.11
Nicaragua,2020-05-13,11.11
Nicaragua,2020-05-14,11.11
Nicaragua,2020-05-15,11.11
Nicaragua,2020-05-16,11.11
Nicaragua,2020-05-17,11.11
Nicaragua,2020-05-18,11.11
Nicaragua,2020-05-19,11.11
Nicaragua,2020-05-20,11.11
Nicaragua,2020-05-21,11.11
Nicaragua,2020-05-22,11.11
Nicaragua,2020-05-23,11.11
Nicaragua,2020-05-24,11.11
Nicaragua,2020-05-25,11.11
Nicaragua,2020-05-26,11.11
Nicaragua,2020-05-27,11.11
Nicaragua,2020-05-28,11.11
Nicaragua,2020-05-29,11.11
Nicaragua,2020-05-30,11.11
Nicaragua,2020-05-31,11.11
Nicaragua,2020-06-01,11.11
Nicaragua,2020-06-02,11.11
Nicaragua,2020-06-03,11.11
Nicaragua,2020-06-04,11.11
Nicaragua,2020-06-05,11.11
Nicaragua,2020-06-06,11.11
Nicaragua,2020-06-07,11.11
Nicaragua,2020-06-08,11.11
Nicaragua,2020-06-09,11.11
Nicaragua,2020-06-10,11.11
Nicaragua,2020-06-11,11.11
Nicaragua,2020-06-12,11.11
Nicaragua,2020-06-13,11.11
Nicaragua,2020-06-14,11.11
Nicaragua,2020-06-15,11.11
Nicaragua,2020-06-16,11.11
Nicaragua,2020-06-17,11.11
Nicaragua,2020-06-18,11.11
Nicaragua,2020-06-19,11.11
Nicaragua,2020-06-20,11.11
Nicaragua,2020-06-21,11.11
Nicaragua,2020-06-22,11.11
Nicaragua,2020-06-23,11.11
Nicaragua,2020-06-24,11.11
Nicaragua,2020-06-25,11.11
Nicaragua,2020-06-26,11.11
Nicaragua,2020-06-27,11.11
Nicaragua,2020-06-28,11.11
Nicaragua,2020-06-29,11.11
Nicaragua,2020-06-30,11.11
Nicaragua,2020-07-01,11.11
Nicaragua,2020-07-02,11.11
Nicaragua,2020-07-03,11.11
Nicaragua,2020-07-04,11.11
Nicaragua,2020-07-05,11.11
Nicaragua,2020-07-06,11.11
Nicaragua,2020-07-07,11.11
Nicaragua,2020-07-08,11.11
Nicaragua,2020-07-09,11.11
Nicaragua,2020-07-10,11.11
Nicaragua,2020-07-11,11.11
Nicaragua,2020-07-12,11.11
Nicaragua,2020-07-13,11.11
Nicaragua,2020-07-14,16.67
Nicaragua,2020-07-15,16.67
Nicaragua,2020-07-16,16.67
Nicaragua,2020-07-17,16.67
Nicaragua,2020-07-18,16.67
Nicaragua,2020-07-19,16.67
Nicaragua,2020-07-20,16.67
Nicaragua,2020-07-21,16.67
Nicaragua,2020-07-22,16.67
Nicaragua,2020-07-23,16.67
Nicaragua,2020-07-24,16.67
Nicaragua,2020-07-25,16.67
Nicaragua,2020-07-26,16.67
