Entity,Date,Stringency Index (OxBSG)
Panama,2020-01-01,0.0
Panama,2020-01-02,0.0
Panama,2020-01-03,0.0
Panama,2020-01-04,0.0
Panama,2020-01-05,0.0
Panama,2020-01-06,0.0
Panama,2020-01-07,0.0
Panama,2020-01-08,0.0
Panama,2020-01-09,0.0
Panama,2020-01-10,0.0
Panama,2020-01-11,0.0
Panama,2020-01-12,0.0
Panama,2020-01-13,0.0
Panama,2020-01-14,0.0
Panama,2020-01-15,0.0
Panama,2020-01-16,0.0
Panama,2020-01-17,0.0
Panama,2020-01-18,0.0
Panama,2020-01-19,0.0
Panama,2020-01-20,0.0
Panama,2020-01-21,5.56
Panama,2020-01-22,8.33
Panama,2020-01-23,8.33
Panama,2020-01-24,8.33
Panama,2020-01-25,8.33
Panama,2020-01-26,8.33
Panama,2020-01-27,8.33
Panama,2020-01-28,8.33
Panama,2020-01-29,8.33
Panama,2020-01-30,8.33
Panama,2020-01-31,8.33
Panama,2020-02-01,8.33
Panama,2020-02-02,8.33
Panama,2020-02-03,8.33
Panama,2020-02-04,8.33
Panama,2020-02-05,8.33
Panama,2020-02-06,8.33
Panama,2020-02-07,8.33
Panama,2020-02-08,8.33
Panama,2020-02-09,8.33
Panama,2020-02-10,8.33
Panama,2020-02-11,8.33
Panama,2020-02-12,8.33
Panama,2020-02-13,8.33
Panama,2020-02-14,8.33
Panama,2020-02-15,8.33
Panama,2020-02-16,8.33
Panama,2020-02-17,8.33
Panama,2020-02-18,8.33
Panama,2020-02-19,8.33
Panama,2020-02-20,8.33
Panama,2020-02-21,8.33
Panama,2020-02-22,8.33
Panama,2020-02-23,8.33
Panama,2020-02-24,8.33
Panama,2020-02-25,8.33
Panama,2020-02-26,8.33
Panama,2020-02-27,8.33
Panama,2020-02-28,8.33
Panama,2020-02-29,8.33
Panama,2020-03-01,8.33
Panama,2020-03-02,8.33
Panama,2020-03-03,8.33
Panama,2020-03-04,8.33
Panama,2020-03-05,8.33
Panama,2020-03-06,8.33
Panama,2020-03-07,8.33
Panama,2020-03-08,8.33
Panama,2020-03-09,8.33
