Entity,Date,Stringency Index (OxBSG)
Peru,2020-01-01,0.0
Peru,2020-01-02,0.0
Peru,2020-01-03,0.0
Peru,2020-01-04,0.0
Peru,2020-01-05,0.0
Peru,2020-01-06,0.0
Peru,2020-01-07,0.0
Peru,2020-01-08,0.0
Peru,2020-01-09,0.0
Peru,2020-01-10,0.0
Peru,2020-01-11,0.0
Peru,2020-01-12,0.0
Peru,2020-01-13,0.0
Peru,2020-01-14,0.0
Peru,2020-01-15,0.0
Peru,2020-01-16,0.0
Peru,2020-01-17,0.0
Peru,2020-01-18,0.0
Peru,2020-01-19,0.0
Peru,2020-01-20,0.0
Peru,2020-01-21,0.0
Peru,2020-01-22,0.0
Peru,2020-01-23,0.0
Peru,2020-01-24,0.0
Peru,2020-01-25,0.0
Peru,2020-01-26,0.0
Peru,2020-01-27,0.0
Peru,2020-01-28,0.0
Peru,2020-01-29,0.0
Peru,2020-01-30,0.0
Peru,2020-01-31,0.0
Peru,2020-02-01,0.0
Peru,2020-02-02,0.0
Peru,2020-02-03,0.0
Peru,2020-02-04,0.0
Peru,2020-02-05,0.0
Peru,2020-02-06,0.0
Peru,2020-02-07,0.0
Peru,2020-02-08,0.0
Peru,2020-02-09,0.0
Peru,2020-02-10,0.0
Peru,2020-02-11,0.0
Peru,2020-02-12,0.0
Peru,2020-02-13,0.0
Peru,2020-02-14,0.0
Peru,2020-02-15,0.0
Peru,2020-02-16,0.0
Peru,2020-02-17,0.0
Peru,2020-02-18,0.0
Peru,2020-02-19,0.0
Peru,2020-02-20,0.0
Peru,2020-02-21,0.0
Peru,2020-02-22,0.0
Peru,2020-02-23,0.0
Peru,2020-02-24,0.0
Peru,2020-02-25,0.0
Peru,2020-02-26,0.0
Peru,2020-02-27,0.0
Peru,2020-02-28,0.0
Peru,2020-02-29,0.0
Peru,2020-03-01,0.0
Peru,2020-03-02,0.0
Peru,2020-03-03,0.0
Peru,2020-03-04,0.0
Peru,2020-03-05,11.11
Peru,2020-03-06,13.89
Peru,2020-03-07,13.89
Peru,2020-03-08,13.89
Peru,2020-03-09,13.89
Peru,2020-03-10,13.89
Peru,2020-03-11,16.67
Peru,2020-03-12,44.44
Peru,2020-03-13,44.44
Peru,2020-03-14,50.0
Peru,2020-03-15,74.07
Peru,2020-03-16,90.74
Peru,2020-03-17,90.74
Peru,2020-03-18,94.44
Peru,2020-03-19,94.44
Peru,2020-03-20,94.44
Peru,2020-03-21,94.44
Peru,2020-03-22,94.44
Peru,2020-03-23,94.44
Peru,2020-03-24,94.44
Peru,2020-03-25,94.44
Peru,2020-03-26,94.44
Peru,2020-03-27,94.44
Peru,2020-03-28,94.44
Peru,2020-03-29,94.44
Peru,2020-03-30,94.44
Peru,2020-03-31,94.44
Peru,2020-04-01,94.44
Peru,2020-04-02,94.44
Peru,2020-04-03,94.44
Peru,2020-04-04,94.44
Peru,2020-04-05,94.44
Peru,2020-04-06,94.44
Peru,2020-04-07,94.44
Peru,2020-04-08,94.44
Peru,2020-04-09,94.44
Peru,2020-04-10,94.44
Peru,2020-04-11,94.44
Peru,2020-04-12,94.44
Peru,2020-04-13,94.44
Peru,2020-04-14,94.44
Peru,2020-04-15,94.44
Peru,2020-04-16,94.44
Peru,2020-04-17,94.44
Peru,2020-04-18,94.44
Peru,2020-04-19,94.44
Peru,2020-04-20,94.44
Peru,2020-04-21,94.44
Peru,2020-04-22,94.44
Peru,2020-04-23,94.44
Peru,2020-04-24,94.44
Peru,2020-04-25,94.44
Peru,2020-04-26,94.44
Peru,2020-04-27,94.44
Peru,2020-04-28,94.44
Peru,2020-04-29,94.44
Peru,2020-04-30,94.44
Peru,2020-05-01,96.3
Peru,2020-05-02,96.3
Peru,2020-05-03,96.3
Peru,2020-05-04,96.3
Peru,2020-05-05,96.3
Peru,2020-05-06,96.3
Peru,2020-05-07,96.3
Peru,2020-05-08,96.3
Peru,2020-05-09,96.3
Peru,2020-05-10,96.3
Peru,2020-05-11,92.59
Peru,2020-05-12,92.59
Peru,2020-05-13,92.59
Peru,2020-05-14,92.59
Peru,2020-05-15,92.59
Peru,2020-05-16,92.59
Peru,2020-05-17,92.59
Peru,2020-05-18,92.59
Peru,2020-05-19,92.59
Peru,2020-05-20,92.59
Peru,2020-05-21,92.59
Peru,2020-05-22,92.59
Peru,2020-05-23,92.59
Peru,2020-05-24,92.59
Peru,2020-05-25,89.81
Peru,2020-05-26,89.81
Peru,2020-05-27,89.81
Peru,2020-05-28,89.81
Peru,2020-05-29,89.81
Peru,2020-05-30,89.81
Peru,2020-05-31,89.81
Peru,2020-06-01,89.81
Peru,2020-06-02,89.81
Peru,2020-06-03,89.81
Peru,2020-06-04,89.81
Peru,2020-06-05,89.81
Peru,2020-06-06,89.81
Peru,2020-06-07,89.81
Peru,2020-06-08,89.81
Peru,2020-06-09,89.81
Peru,2020-06-10,89.81
Peru,2020-06-11,89.81
Peru,2020-06-12,89.81
Peru,2020-06-13,89.81
Peru,2020-06-14,89.81
Peru,2020-06-15,89.81
Peru,2020-06-16,89.81
Peru,2020-06-17,89.81
Peru,2020-06-18,89.81
Peru,2020-06-19,89.81
Peru,2020-06-20,89.81
Peru,2020-06-21,89.81
Peru,2020-06-22,89.81
Peru,2020-06-23,89.81
Peru,2020-06-24,89.81
Peru,2020-06-25,89.81
Peru,2020-06-26,89.81
Peru,2020-06-27,89.81
Peru,2020-06-28,89.81
Peru,2020-06-29,89.81
Peru,2020-06-30,89.81
Peru,2020-07-01,80.56
Peru,2020-07-02,80.56
Peru,2020-07-03,78.7
Peru,2020-07-04,78.7
Peru,2020-07-05,78.7
Peru,2020-07-06,78.7
Peru,2020-07-07,78.7
Peru,2020-07-08,78.7
Peru,2020-07-09,78.7
Peru,2020-07-10,78.7
Peru,2020-07-11,75.93
Peru,2020-07-12,75.93
Peru,2020-07-13,75.93
Peru,2020-07-14,75.93
Peru,2020-07-15,75.93
Peru,2020-07-16,75.93
Peru,2020-07-17,75.93
Peru,2020-07-18,75.93
Peru,2020-07-19,75.93
Peru,2020-07-20,75.93
Peru,2020-07-21,75.93
Peru,2020-07-22,75.93
Peru,2020-07-23,75.93
Peru,2020-07-24,81.48
Peru,2020-07-25,81.48
Peru,2020-07-26,81.48
Peru,2020-07-27,81.48
Peru,2020-07-28,81.48
Peru,2020-07-29,81.48
Peru,2020-07-30,81.48
Peru,2020-07-31,81.48
Peru,2020-08-01,81.48
Peru,2020-08-02,81.48
Peru,2020-08-03,81.48
Peru,2020-08-04,81.48
Peru,2020-08-05,81.48
Peru,2020-08-06,81.48
Peru,2020-08-07,81.48
Peru,2020-08-08,81.48
Peru,2020-08-09,81.48
Peru,2020-08-10,81.48
Peru,2020-08-11,81.48
Peru,2020-08-12,85.19
Peru,2020-08-13,85.19
Peru,2020-08-14,85.19
Peru,2020-08-15,85.19
Peru,2020-08-16,85.19
Peru,2020-08-17,85.19
Peru,2020-08-18,85.19
Peru,2020-08-19,85.19
Peru,2020-08-20,85.19
Peru,2020-08-21,85.19
Peru,2020-08-22,85.19
Peru,2020-08-23,85.19
Peru,2020-08-24,85.19
Peru,2020-08-25,85.19
Peru,2020-08-26,85.19
Peru,2020-08-27,85.19
Peru,2020-08-28,85.19
Peru,2020-08-29,85.19
Peru,2020-08-30,85.19
Peru,2020-08-31,85.19
Peru,2020-09-01,85.19
Peru,2020-09-02,85.19
Peru,2020-09-03,85.19
Peru,2020-09-04,85.19
Peru,2020-09-05,85.19
Peru,2020-09-06,85.19
Peru,2020-09-07,85.19
Peru,2020-09-08,85.19
Peru,2020-09-09,85.19
Peru,2020-09-10,85.19
Peru,2020-09-11,85.19
Peru,2020-09-12,85.19
Peru,2020-09-13,85.19
Peru,2020-09-14,85.19
Peru,2020-09-15,85.19
Peru,2020-09-16,85.19
Peru,2020-09-17,85.19
Peru,2020-09-18,85.19
Peru,2020-09-19,85.19
Peru,2020-09-20,85.19
Peru,2020-09-21,85.19
Peru,2020-09-22,85.19
Peru,2020-09-23,85.19
Peru,2020-09-24,85.19
Peru,2020-09-25,85.19
Peru,2020-09-26,85.19
Peru,2020-09-27,85.19
Peru,2020-09-28,85.19
Peru,2020-09-29,85.19
Peru,2020-09-30,85.19
Peru,2020-10-01,82.41
Peru,2020-10-02,82.41
Peru,2020-10-03,82.41
Peru,2020-10-04,82.41
Peru,2020-10-05,82.41
Peru,2020-10-06,82.41
Peru,2020-10-07,82.41
Peru,2020-10-08,82.41
Peru,2020-10-09,82.41
Peru,2020-10-10,82.41
Peru,2020-10-11,82.41
Peru,2020-10-12,82.41
Peru,2020-10-13,82.41
Peru,2020-10-14,82.41
Peru,2020-10-15,82.41
Peru,2020-10-16,82.41
Peru,2020-10-17,82.41
Peru,2020-10-18,82.41
Peru,2020-10-19,82.41
