Entity,Date,Stringency Index (OxBSG)
Qatar,2020-01-01,0.0
Qatar,2020-01-02,0.0
Qatar,2020-01-03,0.0
Qatar,2020-01-04,0.0
Qatar,2020-01-05,0.0
Qatar,2020-01-06,0.0
Qatar,2020-01-07,0.0
Qatar,2020-01-08,0.0
Qatar,2020-01-09,0.0
Qatar,2020-01-10,0.0
Qatar,2020-01-11,0.0
Qatar,2020-01-12,0.0
Qatar,2020-01-13,0.0
Qatar,2020-01-14,0.0
Qatar,2020-01-15,0.0
Qatar,2020-01-16,0.0
Qatar,2020-01-17,0.0
Qatar,2020-01-18,0.0
Qatar,2020-01-19,0.0
Qatar,2020-01-20,0.0
Qatar,2020-01-21,0.0
Qatar,2020-01-22,0.0
Qatar,2020-01-23,0.0
Qatar,2020-01-24,2.78
Qatar,2020-01-25,2.78
Qatar,2020-01-26,2.78
Qatar,2020-01-27,2.78
Qatar,2020-01-28,2.78
Qatar,2020-01-29,2.78
Qatar,2020-01-30,8.33
Qatar,2020-01-31,8.33
Qatar,2020-02-01,8.33
Qatar,2020-02-02,8.33
Qatar,2020-02-03,13.89
Qatar,2020-02-04,13.89
Qatar,2020-02-05,13.89
Qatar,2020-02-06,13.89
Qatar,2020-02-07,13.89
Qatar,2020-02-08,13.89
Qatar,2020-02-09,13.89
Qatar,2020-02-10,13.89
Qatar,2020-02-11,13.89
Qatar,2020-02-12,13.89
Qatar,2020-02-13,13.89
Qatar,2020-02-14,13.89
Qatar,2020-02-15,13.89
Qatar,2020-02-16,13.89
Qatar,2020-02-17,13.89
Qatar,2020-02-18,13.89
Qatar,2020-02-19,13.89
Qatar,2020-02-20,13.89
Qatar,2020-02-21,13.89
Qatar,2020-02-22,13.89
Qatar,2020-02-23,13.89
Qatar,2020-02-24,13.89
Qatar,2020-02-25,13.89
Qatar,2020-02-26,13.89
Qatar,2020-02-27,13.89
Qatar,2020-02-28,13.89
Qatar,2020-02-29,13.89
Qatar,2020-03-01,13.89
Qatar,2020-03-02,13.89
Qatar,2020-03-03,13.89
Qatar,2020-03-04,13.89
Qatar,2020-03-05,13.89
Qatar,2020-03-06,13.89
Qatar,2020-03-07,13.89
Qatar,2020-03-08,13.89
Qatar,2020-03-09,13.89
Qatar,2020-03-10,25.0
Qatar,2020-03-11,25.0
Qatar,2020-03-12,30.56
Qatar,2020-03-13,30.56
Qatar,2020-03-14,30.56
Qatar,2020-03-15,41.67
Qatar,2020-03-16,41.67
Qatar,2020-03-17,61.11
Qatar,2020-03-18,63.89
Qatar,2020-03-19,63.89
Qatar,2020-03-20,63.89
Qatar,2020-03-21,63.89
Qatar,2020-03-22,80.56
Qatar,2020-03-23,80.56
Qatar,2020-03-24,80.56
Qatar,2020-03-25,80.56
Qatar,2020-03-26,80.56
Qatar,2020-03-27,80.56
Qatar,2020-03-28,86.11
Qatar,2020-03-29,86.11
Qatar,2020-03-30,86.11
Qatar,2020-03-31,86.11
Qatar,2020-04-01,86.11
Qatar,2020-04-02,86.11
Qatar,2020-04-03,86.11
Qatar,2020-04-04,86.11
Qatar,2020-04-05,86.11
Qatar,2020-04-06,86.11
Qatar,2020-04-07,86.11
Qatar,2020-04-08,86.11
Qatar,2020-04-09,86.11
Qatar,2020-04-10,86.11
Qatar,2020-04-11,86.11
Qatar,2020-04-12,86.11
Qatar,2020-04-13,86.11
Qatar,2020-04-14,86.11
Qatar,2020-04-15,86.11
Qatar,2020-04-16,86.11
Qatar,2020-04-17,86.11
Qatar,2020-04-18,86.11
Qatar,2020-04-19,86.11
Qatar,2020-04-20,86.11
Qatar,2020-04-21,86.11
Qatar,2020-04-22,83.33
Qatar,2020-04-23,83.33
Qatar,2020-04-24,83.33
Qatar,2020-04-25,83.33
Qatar,2020-04-26,83.33
Qatar,2020-04-27,83.33
Qatar,2020-04-28,83.33
Qatar,2020-04-29,83.33
Qatar,2020-04-30,83.33
Qatar,2020-05-01,83.33
Qatar,2020-05-02,83.33
Qatar,2020-05-03,83.33
Qatar,2020-05-04,83.33
Qatar,2020-05-05,83.33
Qatar,2020-05-06,83.33
