Entity,Date,Stringency Index (OxBSG)
Saudi Arabia,2020-01-01,0.0
Saudi Arabia,2020-01-02,0.0
Saudi Arabia,2020-01-03,0.0
Saudi Arabia,2020-01-04,0.0
Saudi Arabia,2020-01-05,0.0
Saudi Arabia,2020-01-06,0.0
Saudi Arabia,2020-01-07,0.0
Saudi Arabia,2020-01-08,0.0
Saudi Arabia,2020-01-09,0.0
Saudi Arabia,2020-01-10,0.0
Saudi Arabia,2020-01-11,0.0
Saudi Arabia,2020-01-12,0.0
Saudi Arabia,2020-01-13,0.0
Saudi Arabia,2020-01-14,0.0
Saudi Arabia,2020-01-15,0.0
Saudi Arabia,2020-01-16,0.0
Saudi Arabia,2020-01-17,0.0
Saudi Arabia,2020-01-18,0.0
Saudi Arabia,2020-01-19,0.0
Saudi Arabia,2020-01-20,0.0
Saudi Arabia,2020-01-21,0.0
Saudi Arabia,2020-01-22,0.0
Saudi Arabia,2020-01-23,0.0
Saudi Arabia,2020-01-24,0.0
Saudi Arabia,2020-01-25,0.0
Saudi Arabia,2020-01-26,0.0
Saudi Arabia,2020-01-27,0.0
Saudi Arabia,2020-01-28,0.0
Saudi Arabia,2020-01-29,0.0
Saudi Arabia,2020-01-30,11.11
Saudi Arabia,2020-01-31,11.11
Saudi Arabia,2020-02-01,11.11
Saudi Arabia,2020-02-02,11.11
Saudi Arabia,2020-02-03,11.11
Saudi Arabia,2020-02-04,11.11
Saudi Arabia,2020-02-05,11.11
Saudi Arabia,2020-02-06,11.11
Saudi Arabia,2020-02-07,11.11
Saudi Arabia,2020-02-08,11.11
Saudi Arabia,2020-02-09,11.11
Saudi Arabia,2020-02-10,11.11
Saudi Arabia,2020-02-11,11.11
Saudi Arabia,2020-02-12,11.11
Saudi Arabia,2020-02-13,11.11
Saudi Arabia,2020-02-14,11.11
Saudi Arabia,2020-02-15,11.11
Saudi Arabia,2020-02-16,11.11
Saudi Arabia,2020-02-17,11.11
Saudi Arabia,2020-02-18,11.11
Saudi Arabia,2020-02-19,11.11
Saudi Arabia,2020-02-20,11.11
Saudi Arabia,2020-02-21,11.11
Saudi Arabia,2020-02-22,11.11
Saudi Arabia,2020-02-23,11.11
Saudi Arabia,2020-02-24,11.11
Saudi Arabia,2020-02-25,11.11
Saudi Arabia,2020-02-26,11.11
Saudi Arabia,2020-02-27,11.11
Saudi Arabia,2020-02-28,11.11
Saudi Arabia,2020-02-29,11.11
Saudi Arabia,2020-03-01,11.11
Saudi Arabia,2020-03-02,11.11
Saudi Arabia,2020-03-03,11.11
Saudi Arabia,2020-03-04,11.11
Saudi Arabia,2020-03-05,11.11
Saudi Arabia,2020-03-06,11.11
Saudi Arabia,2020-03-07,11.11
Saudi Arabia,2020-03-08,19.44
Saudi Arabia,2020-03-09,30.56
Saudi Arabia,2020-03-10,30.56
Saudi Arabia,2020-03-11,30.56
Saudi Arabia,2020-03-12,30.56
Saudi Arabia,2020-03-13,41.67
Saudi Arabia,2020-03-14,41.67
Saudi Arabia,2020-03-15,52.78
Saudi Arabia,2020-03-16,68.52
Saudi Arabia,2020-03-17,68.52
Saudi Arabia,2020-03-18,68.52
Saudi Arabia,2020-03-19,68.52
Saudi Arabia,2020-03-20,68.52
Saudi Arabia,2020-03-21,79.63
Saudi Arabia,2020-03-22,79.63
Saudi Arabia,2020-03-23,87.04
Saudi Arabia,2020-03-24,87.04
Saudi Arabia,2020-03-25,89.81
Saudi Arabia,2020-03-26,89.81
Saudi Arabia,2020-03-27,89.81
Saudi Arabia,2020-03-28,89.81
Saudi Arabia,2020-03-29,89.81
Saudi Arabia,2020-03-30,89.81
Saudi Arabia,2020-03-31,89.81
Saudi Arabia,2020-04-01,89.81
Saudi Arabia,2020-04-02,89.81
Saudi Arabia,2020-04-03,89.81
Saudi Arabia,2020-04-04,89.81
Saudi Arabia,2020-04-05,89.81
Saudi Arabia,2020-04-06,91.67
Saudi Arabia,2020-04-07,91.67
Saudi Arabia,2020-04-08,91.67
Saudi Arabia,2020-04-09,91.67
Saudi Arabia,2020-04-10,91.67
Saudi Arabia,2020-04-11,91.67
Saudi Arabia,2020-04-12,91.67
Saudi Arabia,2020-04-13,91.67
Saudi Arabia,2020-04-14,91.67
Saudi Arabia,2020-04-15,91.67
Saudi Arabia,2020-04-16,91.67
Saudi Arabia,2020-04-17,91.67
Saudi Arabia,2020-04-18,91.67
Saudi Arabia,2020-04-19,91.67
Saudi Arabia,2020-04-20,91.67
Saudi Arabia,2020-04-21,91.67
Saudi Arabia,2020-04-22,91.67
Saudi Arabia,2020-04-23,91.67
Saudi Arabia,2020-04-24,91.67
Saudi Arabia,2020-04-25,91.67
Saudi Arabia,2020-04-26,94.44
Saudi Arabia,2020-04-27,94.44
Saudi Arabia,2020-04-28,94.44
Saudi Arabia,2020-04-29,94.44
Saudi Arabia,2020-04-30,91.67
Saudi Arabia,2020-05-01,91.67
Saudi Arabia,2020-05-02,91.67
Saudi Arabia,2020-05-03,91.67
Saudi Arabia,2020-05-04,91.67
Saudi Arabia,2020-05-05,91.67
Saudi Arabia,2020-05-06,91.67
Saudi Arabia,2020-05-07,89.81
Saudi Arabia,2020-05-08,89.81
Saudi Arabia,2020-05-09,89.81
Saudi Arabia,2020-05-10,89.81
Saudi Arabia,2020-05-11,89.81
Saudi Arabia,2020-05-12,89.81
Saudi Arabia,2020-05-13,89.81
Saudi Arabia,2020-05-14,89.81
Saudi Arabia,2020-05-15,89.81
Saudi Arabia,2020-05-16,89.81
Saudi Arabia,2020-05-17,89.81
Saudi Arabia,2020-05-18,89.81
Saudi Arabia,2020-05-19,89.81
Saudi Arabia,2020-05-20,89.81
Saudi Arabia,2020-05-21,89.81
Saudi Arabia,2020-05-22,89.81
Saudi Arabia,2020-05-23,91.67
Saudi Arabia,2020-05-24,91.67
Saudi Arabia,2020-05-25,91.67
Saudi Arabia,2020-05-26,91.67
Saudi Arabia,2020-05-27,91.67
Saudi Arabia,2020-05-28,91.67
Saudi Arabia,2020-05-29,91.67
Saudi Arabia,2020-05-30,91.67
Saudi Arabia,2020-05-31,75.46
Saudi Arabia,2020-06-01,75.46
Saudi Arabia,2020-06-02,75.46
Saudi Arabia,2020-06-03,75.46
Saudi Arabia,2020-06-04,75.46
Saudi Arabia,2020-06-05,75.46
Saudi Arabia,2020-06-06,72.69
Saudi Arabia,2020-06-07,72.69
Saudi Arabia,2020-06-08,69.91
Saudi Arabia,2020-06-09,69.91
Saudi Arabia,2020-06-10,69.91
Saudi Arabia,2020-06-11,69.91
Saudi Arabia,2020-06-12,69.91
Saudi Arabia,2020-06-13,69.91
Saudi Arabia,2020-06-14,69.91
Saudi Arabia,2020-06-15,69.91
Saudi Arabia,2020-06-16,69.91
Saudi Arabia,2020-06-17,69.91
Saudi Arabia,2020-06-18,69.91
Saudi Arabia,2020-06-19,69.91
Saudi Arabia,2020-06-20,69.91
Saudi Arabia,2020-06-21,71.3
Saudi Arabia,2020-06-22,71.3
Saudi Arabia,2020-06-23,71.3
Saudi Arabia,2020-06-24,71.3
Saudi Arabia,2020-06-25,71.3
Saudi Arabia,2020-06-26,71.3
Saudi Arabia,2020-06-27,71.3
Saudi Arabia,2020-06-28,71.3
Saudi Arabia,2020-06-29,71.3
Saudi Arabia,2020-06-30,71.3
Saudi Arabia,2020-07-01,71.3
Saudi Arabia,2020-07-02,71.3
Saudi Arabia,2020-07-03,71.3
Saudi Arabia,2020-07-04,71.3
Saudi Arabia,2020-07-05,71.3
Saudi Arabia,2020-07-06,71.3
Saudi Arabia,2020-07-07,71.3
Saudi Arabia,2020-07-08,71.3
Saudi Arabia,2020-07-09,71.3
Saudi Arabia,2020-07-10,71.3
Saudi Arabia,2020-07-11,71.3
