Entity,Date,Stringency Index (OxBSG)
Sierra Leone,2020-01-01,0.0
Sierra Leone,2020-01-02,0.0
Sierra Leone,2020-01-03,0.0
Sierra Leone,2020-01-04,0.0
Sierra Leone,2020-01-05,0.0
Sierra Leone,2020-01-06,0.0
Sierra Leone,2020-01-07,0.0
Sierra Leone,2020-01-08,0.0
Sierra Leone,2020-01-09,0.0
Sierra Leone,2020-01-10,0.0
Sierra Leone,2020-01-11,0.0
Sierra Leone,2020-01-12,0.0
Sierra Leone,2020-01-13,0.0
Sierra Leone,2020-01-14,0.0
Sierra Leone,2020-01-15,0.0
Sierra Leone,2020-01-16,0.0
Sierra Leone,2020-01-17,0.0
Sierra Leone,2020-01-18,0.0
Sierra Leone,2020-01-19,0.0
Sierra Leone,2020-01-20,0.0
Sierra Leone,2020-01-21,0.0
Sierra Leone,2020-01-22,0.0
Sierra Leone,2020-01-23,0.0
Sierra Leone,2020-01-24,0.0
Sierra Leone,2020-01-25,0.0
Sierra Leone,2020-01-26,0.0
Sierra Leone,2020-01-27,0.0
Sierra Leone,2020-01-28,0.0
Sierra Leone,2020-01-29,0.0
Sierra Leone,2020-01-30,0.0
Sierra Leone,2020-01-31,0.0
Sierra Leone,2020-02-01,0.0
Sierra Leone,2020-02-02,0.0
Sierra Leone,2020-02-03,0.0
Sierra Leone,2020-02-04,0.0
Sierra Leone,2020-02-05,0.0
Sierra Leone,2020-02-06,0.0
Sierra Leone,2020-02-07,0.0
Sierra Leone,2020-02-08,0.0
Sierra Leone,2020-02-09,0.0
Sierra Leone,2020-02-10,0.0
Sierra Leone,2020-02-11,0.0
Sierra Leone,2020-02-12,0.0
Sierra Leone,2020-02-13,0.0
Sierra Leone,2020-02-14,0.0
Sierra Leone,2020-02-15,0.0
Sierra Leone,2020-02-16,0.0
Sierra Leone,2020-02-17,0.0
Sierra Leone,2020-02-18,0.0
Sierra Leone,2020-02-19,0.0
Sierra Leone,2020-02-20,0.0
Sierra Leone,2020-02-21,0.0
Sierra Leone,2020-02-22,0.0
Sierra Leone,2020-02-23,0.0
Sierra Leone,2020-02-24,0.0
Sierra Leone,2020-02-25,0.0
Sierra Leone,2020-02-26,0.0
Sierra Leone,2020-02-27,0.0
Sierra Leone,2020-02-28,0.0
Sierra Leone,2020-02-29,0.0
Sierra Leone,2020-03-01,0.0
Sierra Leone,2020-03-02,0.0
Sierra Leone,2020-03-03,0.0
Sierra Leone,2020-03-04,0.0
Sierra Leone,2020-03-05,0.0
Sierra Leone,2020-03-06,0.0
Sierra Leone,2020-03-07,0.0
Sierra Leone,2020-03-08,0.0
Sierra Leone,2020-03-09,0.0
Sierra Leone,2020-03-10,0.0
Sierra Leone,2020-03-11,0.0
Sierra Leone,2020-03-12,0.0
Sierra Leone,2020-03-13,0.0
Sierra Leone,2020-03-14,0.0
Sierra Leone,2020-03-15,0.0
Sierra Leone,2020-03-16,8.33
Sierra Leone,2020-03-17,8.33
Sierra Leone,2020-03-18,8.33
Sierra Leone,2020-03-19,8.33
Sierra Leone,2020-03-20,13.89
Sierra Leone,2020-03-21,22.22
Sierra Leone,2020-03-22,33.33
Sierra Leone,2020-03-23,38.89
Sierra Leone,2020-03-24,38.89
Sierra Leone,2020-03-25,38.89
Sierra Leone,2020-03-26,38.89
Sierra Leone,2020-03-27,46.3
Sierra Leone,2020-03-28,49.07
Sierra Leone,2020-03-29,49.07
Sierra Leone,2020-03-30,49.07
Sierra Leone,2020-03-31,60.19
Sierra Leone,2020-04-01,60.19
Sierra Leone,2020-04-02,60.19
Sierra Leone,2020-04-03,60.19
Sierra Leone,2020-04-04,60.19
Sierra Leone,2020-04-05,88.89
Sierra Leone,2020-04-06,88.89
Sierra Leone,2020-04-07,88.89
Sierra Leone,2020-04-08,78.7
Sierra Leone,2020-04-09,78.7
Sierra Leone,2020-04-10,78.7
Sierra Leone,2020-04-11,78.7
Sierra Leone,2020-04-12,78.7
Sierra Leone,2020-04-13,78.7
Sierra Leone,2020-04-14,78.7
Sierra Leone,2020-04-15,78.7
Sierra Leone,2020-04-16,78.7
Sierra Leone,2020-04-17,78.7
Sierra Leone,2020-04-18,84.26
Sierra Leone,2020-04-19,84.26
Sierra Leone,2020-04-20,84.26
Sierra Leone,2020-04-21,84.26
Sierra Leone,2020-04-22,84.26
Sierra Leone,2020-04-23,84.26
Sierra Leone,2020-04-24,84.26
Sierra Leone,2020-04-25,84.26
Sierra Leone,2020-04-26,80.56
